[00:00:00 - 00:06:44]:  Esta semana Ricardo Arouspreira declara-se arrendado.
[46:31:40 - 46:40:00]:  - Sim, porque todos os projetos têm coisas e algumas das aquelas coisas são absolutamente barbaras.
[46:40:00 - 47:03:20]:  - Mas já muita gente fala da despinalização, que não é uma despinalização, que é uma legalização, o Ricardo está aqui com uma história muito com o Movente, que é quem somos nós para dizer aquela pessoa que ela não pode morrer.
[47:03:20 - 47:25:00]:  - Eu vou te dizer que é o Estado, é o Estado, porque esta legislação, quem te diz a ti, se pode morrer ou não, e se o teu sufrimento é suficientemente sufrido, para poder morrer, é o Estado.
[47:25:00 - 47:45:00]:  - Não é pessoa? - Não é pessoa. - É só uma coisa que você é. - Mas o que é que você quer? É só pedir... o que você está a acusar a legislação, é que você está a acusar a legislação.
[47:45:00 - 47:58:20]:  - Não, é que você está a acusar a legislação. - É, mas a legislação que você está a acusar a legislação. - Sim, é. - Calclose. - Não, do que devia assim? - Não, toda a legislação. - Qual era o trepofoso? - A legislação. - A legisla, toda a legisla que você está a acusar a legislação.
[47:58:20 - 48:00:00]:  e consciência.
[48:00:00 - 48:07:20]:  Se você conseguir se ficar a lei, seguir incluirem a entreda dificuldade que você
[48:07:20 - 48:15:32]:  tem de julgar dessa forma, se eu tivesse a fazer um suicídio assistido, em que pessoa
[48:15:32 - 48:25:10]:  ou a optava ou não, porque margam comprimido, eu entendo melhor um suicídio assistido
[48:25:10 - 48:27:40]:  à disponibilidade daquela...
[48:27:40 - 48:29:20]:  - Comenta a população.
[48:29:20 - 48:31:00]:  - A população?
[48:31:00 - 48:32:40]:  - A população da população!
[48:32:40 - 48:42:36]:  Quem quiser matar pode chegar e ter a disponibilidade da cidade, tem aqui um comprimido.
[48:42:36 - 48:44:16]:  Isso, pronto?
[48:44:16 - 48:45:56]:  - Não, não, pega aí.
[48:45:56 - 48:49:16]:  - Então, não tem um encontrimido.
[48:49:16 - 48:50:56]:  - Não, não, não, não.
[48:50:56 - 48:52:36]:  - A população landeia.
[48:52:36 - 48:54:16]:  - Não, não é.
[48:54:16 - 48:55:56]:  - E a eleção?
[48:55:56 - 48:57:36]:  - Não.
[48:57:36 - 48:59:16]:  Essa posição é coerente.
[48:59:16 - 49:05:24]:  Esse tem alguma lógica, depois de concordar ou não concordar com ela, mas ela tem lógica.
[49:05:24 - 49:15:12]:  Tu coloca o estado aqui e segue o estado a decidir, quem morra ou não, seguem médicos,
[49:15:12 - 49:20:16]:  você te decidir quem morra ou não, não tem pés nem que ver.
[49:20:16 - 49:23:36]:  - Além, já, eu tinha se falado aqui do...
[49:23:36 - 49:30:20]:  O julgamento de hipócolas, ele disse muito engraçado, porque a nova versão diz-se
[49:30:20 - 49:36:36]:  simplesmente, gordo da rega, respeita absoluto pela vida humana desde o seu início.
[49:36:36 - 49:43:44]:  Esta versão já é muito difícil compatibilizar com isto, mas a versão original do século
[49:43:44 - 49:54:40]:  dezoico dizia, explicitamente, mesmo em estado, não darei droga mortífera nem a considerar
[49:54:40 - 49:56:20]:  ai.
[49:56:20 - 49:58:00]:  Olha, isto é o que os médicos julgam.
[49:58:00 - 49:59:40]:  É o que os médicos julgam.
[49:59:40 - 50:01:20]:  Que não é um atemédico.
[50:01:20 - 50:07:24]:  Não devia ser o médico que se quer estar envolvido.
[50:07:24 - 50:09:04]:  Só para finalizar.
[50:09:04 - 50:12:24]:  - É, que o senhor é o mudador do time.
[50:12:24 - 50:15:44]:  - Estou ficando impassivindo, porque o tempo está passando.
[50:15:44 - 50:19:56]:  - O senhor é o mudador está ficando impassivino, só uma última nota.
[50:19:56 - 50:30:08]:  O proposta do PSE é as quase todas elas, como se disse, elas são muito parecidas.
[50:30:08 - 50:36:28]:  Tem, isto é um ponto que ainda poucos gente se sublhe, quer perceber, é a gente que
[50:36:28 - 50:38:08]:  faz o trabalho.
[50:38:08 - 50:48:48]:  Que o capítulo de cada objeção de consciência diz assim, a recusa do profissional, ou seja,
[50:48:48 - 50:56:00]:  se tu for os médicos e quiseres objetar, não quer matar aquela pessoa ou não, quer ter
[50:56:00 - 51:06:28]:  nada a ver com isso, a recusa do profissional deve ser comunicada ao doente num prazo, não
[51:06:28 - 51:19:20]:  superiola, 24 horas, e deve especificar as razões que motivam a proposta do PS, diz que tu
[51:19:20 - 51:26:08]:  com o médico, tem que ir assim, não, papel e justificar ao doente 24 horas, porque tu não
[51:26:08 - 51:27:48]:  quer matar.
[51:27:48 - 51:29:28]:  - É mais do que uma luca.
[51:29:28 - 51:31:08]:  - Está toda a gente, mas não.
[51:31:08 - 51:32:48]:  - Está toda a gente, mas não.
[51:32:48 - 51:40:48]:  - O médico tem que se justificar, porque não quer matar uma pessoa e isto mostra o delírio
[51:40:48 - 51:43:32]:  que é esta questão.
[51:43:32 - 51:49:40]:  É, o sentimento é muito bonito quando eu também vi o mar dentro, que toda a gente ficou
[51:49:40 - 51:57:00]:  convida com o caso de San Pedro, mas a que a vida é mais complicada do que isso.
[51:57:00 - 52:04:52]:  O problema é como é que tu logissemos o caso de um momento complicado, é exatamente isso,
[52:04:52 - 52:06:32]:  é um caso de um momento complicado.
[52:06:32 - 52:18:24]:  - Mas como é que tu está a pedir uma legislação mais que seja eficaz?
[52:18:24 - 52:25:00]:  - Ah, 10 minutos estava a dizer que só veram um comprimento pra matar toda a gente que
[52:25:00 - 52:26:40]:  vai ir.
[52:26:40 - 52:33:28]:  - Mas tu está a dizer que somos nóis, mas está a dizer que é que é o momento.
[52:33:28 - 52:36:48]:  - No caso, que é que é o momento.
[52:36:48 - 52:45:00]:  - É, mas os casos estão na lei, os casos estão na lei, não é, não é gente que é priciosa,
[52:45:00 - 52:46:40]:  não é gente.
[52:46:40 - 52:48:20]:  - Agora está a sair um gabrimípo.
[52:48:20 - 52:52:16]:  Mas é um estado que vai decidir se tu me gasto morrer ou não.
[52:52:16 - 52:59:08]:  - É um estado que vai decidir por que o que está na lei, o que está na lei, são que
[52:59:08 - 53:06:52]:  determinado tipo de pessoas, são as únicas que podem requisitar e têm que requisitar.
[53:06:52 - 53:10:08]:  - Com certeza, têm que haver fundamento legal.
[53:10:08 - 53:11:48]:  - Com certeza.
[53:11:48 - 53:19:44]:  - Tem que requisitar da determinada maneira, que é conscientemente, reiteradamente,
[53:19:44 - 53:27:40]:  e dentro de determinado seu custolemé, que tu não sabe o que é que é um suferimento extremo.
[53:27:40 - 53:31:40]:  Não é muito difícil saber o que é do...
[53:31:40 - 53:35:20]:  Absor que está sufreçado.
[53:35:20 - 53:37:20]:  Absor que está sufreçado.
[53:37:20 - 53:39:00]:  - E ela tem que pedir.
[53:39:00 - 53:41:56]:  - Pois, mas é um médico que vai decidir.
[53:41:56 - 53:44:04]:  - É um médico, é um médico que tem que decidir.
[53:44:04 - 53:48:44]:  Se este suferimento é suferimento, é suficientemente sufrido.
[53:48:44 - 53:54:36]:  Ou então, como diz o proposta do PES, se tem uma lesão definitiva.
[53:54:36 - 53:59:48]:  A proposta do PES, nesse que é falando, isso é um que está o só, a lesão definitiva.
[53:59:48 - 54:01:28]:  - Vamos ver o que dá.
[54:01:28 - 54:10:08]:  A restação na quinta-feira entregamos ao João Miguel Tavar, a Pasta de Ministro da Utanásia,
[54:10:08 - 54:17:44]:  quanto ao Pedro Messia quer ser, desta vez, ministro da suspensão ainda em tempo útil,
[54:17:44 - 54:20:44]:  ou já tarde demais, Pedro Messia.
[54:20:44 - 54:22:48]:  - Não, a suspensão vai em tempo útil.
[54:22:48 - 54:24:28]:  Muito caro, obviamente.
[54:24:28 - 54:32:00]:  - Quer falar da decisão da Procredir e Jalder Republica de suspender uma diretiva que
[54:32:00 - 54:41:16]:  posa, mas a estrutura em pé de guerra vê um recuo na esta decisão de Lucilia Gago?
[54:41:16 - 54:50:20]:  - Sim, na medida em que eu vou mais suspensão e um pedido, um parecer articional.
[54:50:20 - 54:58:32]:  O Conselho Consultivo da PGR, se é um recuo, ou menos um recuo pro visório.
[54:58:32 - 55:08:08]:  - O que está em causa é a diretiva que vem reforçar o poder e a arque do Ministério Público.
[55:08:08 - 55:15:16]:  O que paraígos é que vislumbra nessa decisão que agora foi a suspensa.
[55:15:16 - 55:23:56]:  - Mais uma vez aqui, o que se discutiu também foi que isso não dá autonomia curiosamente.
[55:23:56 - 55:32:00]:  Se em que medida é que isto configura uma diminuição da edad autonomia, para um lado,
[55:32:00 - 55:40:40]:  e em que medida é que isto também configura uma questão do lugar da opacidade, porque
[55:40:40 - 55:51:20]:  se trata de ver ou não haver registres dessas instruções e ararquicas.
[55:51:20 - 55:58:40]:  - Esse é o ponto substantivo, substancial, em relação ao debate.
[55:58:40 - 56:05:12]:  Mas depois, ouve evidentemente aquele recuo que isto me chamaram, e fica a se portem que
[56:05:12 - 56:19:08]:  foi os defensores, nem se quer, os defensores atualais, o PGR, os defensores de qualquer
[56:19:08 - 56:26:44]:  outro PGR que não há anterior, versos dos defensores da anterior.
[56:26:44 - 56:38:52]:  E portanto, a ideia que foi evidentemente serado, que ou havia ou não, segundo um, uma
[56:38:52 - 56:47:04]:  Procredoreja da República que funcionava e que tinha autonomia, segundo outros, uma Procredoreja
[56:47:04 - 56:57:56]:  da República descontrolada, abusadora e essa discussão continuou, e tanto tempo depois,
[56:57:56 - 57:05:48]:  com uma crescentezinho do caso de tancos, porque isto tem alguma coisa a ver com o caso de tancos,
[57:05:48 - 57:09:08]:  e de menos internos.
[57:09:08 - 57:22:44]:  - Com este aspecto de haver instruções para que altos titulares de cargos públicos não
[57:22:44 - 57:34:48]:  fossem ouvidos nesse caso, por ser a sua dignidade da Ignito Xoxo Carque, o presidente
[57:34:48 - 57:38:48]:  e o presidente e o presidente e o presidente e o presidente.
[57:38:48 - 57:48:16]:  E portanto, o clima, o mudança para o acurador é mas o clima e o tribalismo, o clima, no
[57:48:16 - 57:52:28]:  sentido, eu acho que estes que são substanciales.
[57:52:28 - 57:59:40]:  - Mas o tribalismo não é substanciale, é muito pregoso e continua em qual o minta-acto.
[57:59:40 - 58:03:44]:  - Vem em aplicações políticas neste tema, mas não é legal estar a vars.
[58:03:44 - 58:08:16]:  - Claro que é em aplicações políticas, desde logo por causa da questão da coincidência
[58:08:16 - 58:09:56]:  e conta-me.
[58:09:56 - 58:15:32]:  - E não será também um tema que se presta a aproveitamento de políticos?
[58:15:32 - 58:20:24]:  - Não, como é evidente, eu percebo que são aproveitamento de políticos, porque aquilo
[58:20:24 - 58:26:44]:  quando as pessoas não vão ver isto, o que é que elas estão a pensar, não é o que é que
[58:26:44 - 58:36:16]:  vai acontecer ali aos é que pelôs galinhas na loja do manélo, não é?
[58:36:16 - 58:44:32]:  - O que toda a gente pensa é e como é que acontece com os carros de corrupção envolvido
[58:44:32 - 58:49:08]:  de políticos, é isso que está em causa, não é?
[58:49:08 - 58:56:28]:  Até que ponto o ministério público é ou não independente quando se puxa pelas questões
[58:56:28 - 58:58:08]:  e a gárquicas.
[58:58:08 - 59:08:08]:  - O problema central é o de não haver registro escrito, ao melhor não ser público quando
[59:08:08 - 59:16:08]:  há uma intervenção do superior e arar que é sobre uma gestrata titular do processo.
[59:16:08 - 59:18:56]:  - Eu acho que é um problema.
[59:18:56 - 59:27:08]:  O problema é que há uma espécie de reafirmar da hierarquia do ministério público e depois
[59:27:08 - 59:33:28]:  é isso segundo, então reafirma, se a hierarquia ainda assim com esse reforte não se
[59:33:28 - 59:36:48]:  cria que isso ficasse registrado no processo.
[59:36:48 - 59:44:48]:  - Tessão, isto tem teoria, quando eu leia aquilo para ser entoria, ele não parece mal
[59:44:48 - 59:50:40]:  luto, o parcer do conceito de supergadamas de truco, o problema é que isto é, é um bocadinho
[59:50:40 - 59:56:40]:  como a questão da eutanasia, a teoria é toda muito linda, o problema é que temos que
[59:56:40 - 60:05:40]:  olhar para a prática e a prática em Portugal, não é de um ministério público
[60:05:40 - 60:09:24]:  e munas influências políticas.
[60:09:24 - 60:17:04]:  E portanto, é preciso olhar para o contexto do país e no contexto do país, tudo isto foi
[60:17:04 - 60:20:32]:  tratado de forma muito desastrada.
[60:20:32 - 60:27:40]:  - Qual em que é tanto para se recardar aos parados de tema das relações e ararqueicas
[60:27:40 - 60:30:12]:  dentro da magistratura?
[60:30:12 - 60:37:36]:  - Eu acompanho com muito interesse em as relações e ararqueicas dentro da magistratura.
[60:37:36 - 60:42:36]:  Só que aconteceu aquilo que o Pedro disse que foi, vai ficar se portem.
[60:42:36 - 60:48:32]:  Eu ainda não tinha lido nada sobre o assunto e já tinha perseguido.
[60:48:32 - 60:51:52]:  - Dá-se a ter que ter delas que retorçaram essa.
[60:51:52 - 61:00:44]:  - Porque eu gosto muito, este tema em três, eu não estava a ser irônica, eu entrasse
[61:00:44 - 61:04:04]:  mesmo porque eu gosto muito de peças teatros.
[61:04:04 - 61:10:04]:  E mudas que o mais gosto é, são cenas como por causa do pôneo.
[61:10:04 - 61:12:36]:  - Não, os atores nas as vezes.
[61:12:36 - 61:18:52]:  Eu gosto mais do texto, é uma das coisas como as gosto.
[61:18:52 - 61:28:44]:  É quando, por exemplo, um casal está a falar sobre e em comer um lado, mas a gente percebe
[61:28:44 - 61:34:56]:  que eles na verdade estão a falar do seu próprio casamento, por exemplo.
[61:34:56 - 61:43:24]:  E normalmente, nisto, a propósito das eararqueias do ministério pública, a gente percebe
[61:43:24 - 61:48:00]:  que a gente já está falando outra coisa.
[61:48:00 - 61:49:40]:  - Já se está falando outra coisa.
[61:49:40 - 61:55:04]:  - Já se está falando outra coisa, a gente já está falando outra coisa desde o início.
[61:55:04 - 61:58:24]:  - Pois, este é um tema portante.
[61:58:24 - 62:06:32]:  - Vamos ver, que é que estudar porque foi suspensa esta norma, esta diretiva e foi
[62:06:32 - 62:18:12]:  pedido um parceiro adicional, quando vier o parceiro adicional, haverá novo fulitina
[62:18:12 - 62:19:52]:  no vela.
[62:19:52 - 62:26:56]:  O pedermixia fica então o ministro de suspensão e é a altura do Ricardo Arospreira
[62:26:56 - 62:34:16]:  se tornar ministro da atuação rápida, com o rápido, o Ricardo Arospreira.
[62:34:16 - 62:35:56]:  - É muito bom.
[62:35:56 - 62:42:40]:  - Estou em propósito da decisão judicial, que é esta semana com os loas quantas bancárias
[62:42:40 - 62:44:20]:  de Zével dos Santos.
[62:44:20 - 62:49:20]:  - Exatamente, esta semana é a sua propósito das noceso do Luán Dalíx.
[62:49:20 - 62:51:48]:  - Luán Dalíx, que se saíram quando?
[62:51:48 - 62:56:12]:  - Foi aqui há tempos, não foi, já também.
[62:56:12 - 62:57:52]:  - Aqui há trazado.
[62:57:52 - 63:02:04]:  - Parece me claramente, porque tenho que fazer a mesma pergunta de cada dia.
[63:02:04 - 63:03:44]:  - É mesmo uma pedermixia.
[63:03:44 - 63:05:24]:  - Ah, a respeito tem anterior.
[63:05:24 - 63:15:44]:  - Se eu falar de uma corrupção em tempo útil, é prazer que me conto curou.
[63:15:44 - 63:17:24]:  - Não é isso.
[63:17:24 - 63:19:04]:  - Não é isso.
[63:19:04 - 63:20:44]:  Não é isso.
[63:20:44 - 63:22:24]:  É outra.
[63:22:24 - 63:28:52]:  Se chamos a falar de uma atuação em tempo útil, ou seja, será tarde demais.
[63:28:52 - 63:32:24]:  - É capaz de ser legilmente tarde.
[63:32:24 - 63:38:44]:  Parece que, por santo, a decisão de conselhar as contas vem agora.
[63:38:44 - 63:44:04]:  Luán Dalíx, que se gente já discutiu há quantos programas.
[63:44:04 - 63:47:00]:  Há uns três ou quatro, não foi?
[63:47:00 - 63:51:20]:  - E o Gui da Menhãs, que a José Vesta semana com os bancos de Zével dos Santos
[63:51:20 - 63:55:52]:  com os lados em Portugal, são trocos.
[63:55:52 - 63:57:32]:  - O que será?
[63:57:32 - 63:59:12]:  - Por que?
[63:59:12 - 64:02:32]:  - Acho que já teve tempo a vá estar assim.
[64:02:32 - 64:04:12]:  - Entra uma coisa.
[64:04:12 - 64:05:52]:  Eu adoro ao vento os trocos.
[64:05:52 - 64:09:12]:  Isso parece um caso, por isso.
[64:09:12 - 64:10:52]:  - Não, eu deixo os trocos.
[64:10:52 - 64:12:32]:  - Não, eu deixo os trocos.
[64:12:32 - 64:14:12]:  - Não resto.
[64:14:12 - 64:15:52]:  - Eu vou restaurar as notas.
[64:15:52 - 64:22:36]:  - Parece, claramente, um caso de não te digo mais vezes nenhuma Luís Miguel.
[64:22:36 - 64:27:24]:  E aí está a sequer, onde aqueles casos emqueles Miguel.
[64:27:24 - 64:29:04]:  Olha que não sei quê.
[64:29:04 - 64:37:52]:  E depois do Luís Miguel, fazer todas as coisas que ele olhe que ele apetece, olha que eu não
[64:37:52 - 64:40:44]:  te digo mais vezes nenhuma Luís Miguel.
[64:40:44 - 64:46:20]:  Não é preciso, porque já tudo com Luís Miguel queria fazer.
[64:46:20 - 64:51:40]:  Todas as jarras que ele queria partir, eram tão partidas.
[64:51:40 - 64:54:56]:  E, portanto, parece que é um...
[64:54:56 - 65:01:20]:  Conhei agora, um caso de não te digo mais vezes nenhuma Luís Miguel.
[65:01:20 - 65:07:44]:  - Podemos supor que o significado simbólico desta operação é mais relevante do que
[65:07:44 - 65:14:52]:  seu alcance econômico, João Miguel Tavares.
[65:14:52 - 65:20:32]:  - Isso é evidente, não é?
[65:20:32 - 65:31:48]:  - O que eu acho também coguei ao Zenisto, eu não sou tão pessimista como o Ricardo em relação
[65:31:48 - 65:33:28]:  a a rapididade.
[65:33:28 - 65:39:20]:  É verdade que ele não foi suficientemente rápido para evitar que, evidentemente, neste
[65:39:20 - 65:43:44]:  momento o dinheiro era a maior parte de eu já esteja na Rússia.
[65:43:44 - 65:49:44]:  Mas isso foi muito mais rápido do que o que a gente está habito há de nas relações angola
[65:49:44 - 65:51:24]:  protocolas.
[65:51:24 - 65:53:24]:  E então, o que é que se passa?
[65:53:24 - 66:02:04]:  Eu acho que isso está acontecendo porque que angola deu chinás, cheques e deixou.
[66:02:04 - 66:08:44]:  Porque, no caso de manuel Vicente, a coisa foi bastante mais difícil.
[66:08:44 - 66:19:16]:  E, portanto, quando eu note que eu vou uma injustiça portuguesa que andou ali a mastigar,
[66:19:16 - 66:21:36]:  manuel, Vicente, eu ganho tanto tempo.
[66:21:36 - 66:32:16]:  E quando puguam atrelar, até que depois lau que os pio pangola.
[66:32:16 - 66:33:56]:  E agora?
[66:33:56 - 66:35:36]:  - Só se as outras.
[66:35:36 - 66:37:16]:  - Só se as outras.
[66:37:16 - 66:38:56]:  - Só se as outras.
[66:38:56 - 66:40:36]:  - Mas como estáforas digestivas?
[66:40:36 - 66:42:16]:  - Não.
[66:42:16 - 66:44:48]:  - Estava a fazer só se a gente ainda paga.
[66:44:48 - 66:46:28]:  - Não, nunca.
[66:46:28 - 66:53:28]:  - E para a minha estementora, quando ele já está feito um bolo alimentar, só se a gente está
[66:53:28 - 66:55:08]:  não.
[66:55:08 - 67:06:40]:  - No caso, no caso de Isabel Dechante, eu acho que foi mesmo porque angola disse, olha,
[67:06:40 - 67:10:00]:  faça favor que serve-se.
[67:10:00 - 67:17:32]:  - Enaguamos disso que, antes de que a Europa portava especialista, diz que Portugal está
[67:17:32 - 67:26:00]:  numa posição extremamente vulnerável no que diz respeito ao branquimento capitais.
[67:26:00 - 67:27:40]:  - Existe.
[67:27:40 - 67:33:20]:  - Para se clique este caso aponta nesse sentido de pedremixia.
[67:33:20 - 67:38:20]:  - O que ela diz tem duas aspectos diferentes.
[67:38:20 - 67:48:16]:  - Um é que Portugal é um caso típico de trás da transposição dos diretivos europeias.
[67:48:16 - 67:51:24]:  Infelizmente não é só nessas matérias.
[67:51:24 - 67:55:40]:  - Há muitos mesmos matériais, não começou agora.
[67:55:40 - 68:05:36]:  Há muitos mesmos matériais em que Portugal já havia teologizado a transpondo de
[68:05:36 - 68:10:08]:  diretivas da União Europeia para a legislação portuguesa.
[68:10:08 - 68:11:48]:  Isso não aconteceu.
[68:11:48 - 68:22:00]:  Neste caso, em particular, evitamente que é nossa posição, o Ricardo estava a dizer,
[68:22:00 - 68:29:24]:  "Ah, nós aqui há quatro programas, já falamos disso".
[68:29:24 - 68:32:44]:  Mas também se dizem, nós aqui há quatro anos.
[68:32:44 - 68:34:24]:  - Bom, claro.
[68:34:24 - 68:40:48]:  - Já falamos de coisas que não eram que não tinham sido comunicadas por o Espírito
[68:40:48 - 68:42:28]:  Santo.
[68:42:28 - 68:52:32]:  - Tenham sido comunicadas por pessoas que no Jormáin, no Espírito Santo, neste caso,
[68:52:32 - 68:54:12]:  que era não é melhor.
[68:54:12 - 68:55:52]:  - Não é melhor a imagem.
[68:55:52 - 68:57:32]:  - Não, não.
[68:57:32 - 69:02:16]:  - Até por que o rincado pode começar a jogar.
[69:02:16 - 69:03:56]:  - Não, não.
[69:03:56 - 69:07:32]:  - Você percebi a que o Espírito Santo está com o meu rio.
[69:07:32 - 69:10:52]:  - Essa seria a pessoa da Santísima.
[69:10:52 - 69:22:48]:  Mas nós sabemos isso porque havia trabalho de investigação, Jornais Online, livros publicados
[69:22:48 - 69:33:48]:  e, portanto, aquilo coro que varreu Portugal, Portugal empresarial e financeiro e bancário
[69:33:48 - 69:35:28]:  de norte-assulcom.
[69:35:28 - 69:38:48]:  Ah, não sabia isto.
[69:38:48 - 69:41:16]:  É um bocadinho bizarro.
[69:41:16 - 69:53:56]:  - O Ricardo Arospreira fica, então, ministro da atuação rápida e como isto não foi
[69:53:56 - 70:03:26]:  de todo rápido, só agora entregamos as pastas ministriais, o que quero dizer que o
[70:03:26 - 70:06:48]:  vontema que eu tenaziou todos os outros.
[70:06:48 - 70:20:44]:  - E que nos faz saltar para os decretos, para ainda termos tempo também do livro.
[70:20:44 - 70:24:08]:  E o Pedro Messia decreta...
[70:24:08 - 70:28:04]:  - Barreira, barreira, exatamente.
[70:28:04 - 70:36:48]:  - O Cádiz do Senhor William Barr, entre o Cadeiro, que é um procurador geral, um procurador
[70:36:48 - 70:47:16]:  geral dos Estados Unidos e que, em funções, que, estando ainda em funções, crítico
[70:47:16 - 70:48:56]:  da noldre-ampo.
[70:48:56 - 70:54:08]:  Tem, evidentemente, a gente acredita em que a noldre-ampo quando deixa de estar em funções,
[70:54:08 - 71:01:56]:  ela ainda está, porque o que aconteceu muito, muito, sentamente é que o Roger Stone, que
[71:01:56 - 71:13:20]:  eram dos comparças do trempe, foi condenado, os procuradores sugeriram uma pena, o trempe,
[71:13:20 - 71:22:44]:  como faz os presidentes da República, nos Estados direitos, contestou a recomendação
[71:22:44 - 71:34:28]:  no Twitter e, estranhamento, o procurador geral modificou a pena, até não a pena.
[71:34:28 - 71:41:56]:  E, mas mesmo depois do ter feito, e mesmo depois de muita gente ter clamado pelo fim do
[71:41:56 - 71:52:32]:  Estado direito, nos Estados Unidos, o Senhor William Barr vai dizer, "Eu não posso jorir
[71:52:32 - 71:57:52]:  o departamento da estista com o Twitter e com pressões".
[71:57:52 - 72:07:16]:  - Pois não, mas finalmente uma barreirinha, há quem é que está tudo fita, atenção,
[72:07:16 - 72:10:04]:  há quem, acho que está tudo combinado.
[72:10:04 - 72:16:12]:  - Esperemos que não seja e que a gente já se emiteram várias pessoas do departamento
[72:16:12 - 72:21:56]:  de estista e esperemos que a gente a acordar dos Estados Unidos.
[72:21:56 - 72:33:08]:  - E, portanto, só lá aconteceram as primárias democratas, mas mesmo assim, aqui, mas vai continuar
[72:33:08 - 72:41:56]:  no ardeno dia, o João Miguel Tavares de Cretta, Suprema, Suprema aqui.
[72:41:56 - 72:43:36]:  - Suprema Fuga.
[72:43:36 - 72:45:16]:  - Suprema Fuga.
[72:45:16 - 72:46:56]:  - Suprema Fuga.
[72:46:56 - 72:50:24]:  - A que é a Fuga ao Senhor é de estista.
[72:50:24 - 73:05:12]:  - O Carlos Alexandre pediu ao Ministério Público para a Valerla Lillard, se a publicação
[73:05:12 - 73:14:20]:  na internet das respostas da António Costa, ao caso de tantos, compaginavam ou não uma
[73:14:20 - 73:23:00]:  Fuga ao secretário de estista, e portanto, um clima entre que tanto foi chutado para
[73:23:00 - 73:31:12]:  o Ministério Público, junto do Suprema, pugu, António Costa, ser que paguei o Ministro.
[73:31:12 - 73:35:24]:  - E este processo é daquelas coisas.
[73:35:24 - 73:40:20]:  Ali, nós temos essa exceção, quem olha por fora, que há uma espécie.
[73:40:20 - 73:53:08]:  Ali de Picanço, entre Carlos Alexandre e António Costa.
[73:53:08 - 74:03:48]:  Até porquanto António Costa e reagiu António Costa, enfim, o seu gabinete reagiu, dizendo
[74:03:48 - 74:10:32]:  que, bom, as notícias, porque, mas já tinha dado a entender que, de qualquer forma,
[74:10:32 - 74:15:20]:  que as perguntas tinham sido publicadas na publicação social e portanto tinha habido
[74:15:20 - 74:24:52]:  um primeiro fogo a secretário de estista, e que depois que estava a ser reta-tratada
[74:24:52 - 74:36:28]:  de forma pacial, o conteúdo das respostas que António Costa tinha dado, no inquérito
[74:36:28 - 74:43:44]:  a tantos, e portanto, eles decidiram, por alguma razão, ter a despreguência, colocar-se
[74:43:44 - 74:45:24]:  tudo à fista.
[74:45:24 - 74:53:12]:  E eu acho que se evitar veíste, porque isto não é bom para ninguém, tanto mais que
[74:53:12 - 75:05:12]:  tudo apagente aquilo que o Ministério Público vá rapidamente, acho que vago o caso, e
[75:05:12 - 75:06:52]:  isto não vai dar ganhada.
[75:06:52 - 75:13:04]:  E como isto também não vai dar ganhada, mas valia não ter acontecido, porque acho que
[75:13:04 - 75:14:44]:  não é bom.
[75:14:44 - 75:26:20]:  Não ter acontecido, mas não ter acontecido, acho que não devia ter acontecido a fuga,
[75:26:20 - 75:32:24]:  e a caixa de cada letrante, que puvava-me, também não devia ter evido, para que eu acho que
[75:32:24 - 75:39:12]:  isso era de necessário, e depois que estamos em fase de inquérito, e até há dúvidas
[75:39:12 - 75:45:16]:  de se na fase de inquérito, que são as declarações das pessoas ainda tão anão, abriga-se
[75:45:16 - 75:53:00]:  de seguir de estista, mas ainda que esteja um abrigo de estes pedros de estista, o António
[75:53:00 - 76:02:16]:  Costa teria que ter sido previamente avisado que ele não poderia tornar públicas aquelas
[76:02:16 - 76:06:24]:  declarações, e aparentemente não foi.
[76:06:24 - 76:16:08]:  E portanto isto vai ser, aparentemente, vai ser eliminar-me, ter equivado, e então evitava-se
[76:16:08 - 76:24:44]:  um bocadinho desta conversa que mais parece quando o Ministério Público foi investigar
[76:24:44 - 76:29:52]:  o gabinete de Maghe Vicente, em por causa dos bilhetes do Benfica.
[76:29:52 - 76:37:20]:  É daqueles coisas em que a justiça precisa ter mais, às vezes, ser um bocadinho mais inteligente,
[76:37:20 - 76:44:48]:  para evitar conflitos e notes com a classe política, porque muitos dos seus conflitos são
[76:44:48 - 76:46:28]:  estremamente úteis.
[76:46:28 - 76:50:28]:  Donde os inutas é das cháudas fora?
[76:50:28 - 77:00:20]:  O Ricardo Arospre, este semana não decreta porque é a semana de trazer o livro, na verdade
[77:00:20 - 77:02:32]:  dois livros do meu autor.
[77:02:32 - 77:10:40]:  Dões de sim, são de do meu autor, na verdade são, é este aqui, que se chama, contos
[77:10:40 - 77:17:36]:  inovelas, toda a ficção curta de Camilo Castelo Branco, é na verdade o primeiro volume
[77:17:36 - 77:22:16]:  ainda, de um, por exemplo, é uma edição...
[77:22:16 - 77:23:56]:  Tem a primata.
[77:23:56 - 77:31:08]:  Tem a primata, que tem organização entre os são inotas do Ocupino de Sante, e não só,
[77:31:08 - 77:39:16]:  tem por fàcie, também tem uma cronologia camilhiana, tem aula em disso o Ocupino de Sante
[77:39:16 - 77:52:36]:  ainda que sentou um apêndice, com documentos judiciais, referentes ao processo no qual Camilo
[77:52:36 - 78:01:44]:  se inspirou para escrever o texto Maria, não Matis, que sou tu amém, que é por pósito.
