[00:00:00 - 00:14:48]:  Esta semana, Ricardo Raul's Pereira sentes pesado João Miguel Tavares de Clara S. Em Pussado
[41:50:32 - 42:02:12]:  Seja. E daqui uns tempos até se revei o número que não deve ser 120 e deve ser 240 e muda susenso.
[42:02:12 - 42:05:32]:  E ela tem que ser um de cada coisa.
[42:05:32 - 42:12:12]:  Mas aquilo é que é compreensível. Ou seja, aquilo tem uma lógica.
[42:12:12 - 42:23:52]:  E é isso que faltava muito no combate à pandemia e portanto eu estou genuinamente entro de esmato com algo que pode abrir os telas ronais.
[42:23:52 - 42:33:52]:  E que pode abrir os telas ronais? Isso que pessoas percebem. Olha, o X está só após cima de uma linha perigosa.
[42:33:52 - 42:42:12]:  E é isso que nós precisamos. É essa racionalidade que nós precisamos.
[42:42:12 - 42:57:12]:  Na próxima segunda feira, já se pode tratar da barba e do cabelo, já se podem fazer compras ao postigo,
[42:57:12 - 43:07:12]:  comprar um livro numa livraria. As crianças mais pequenas vão poder ir à escola.
[43:07:12 - 43:13:52]:  Falta aqui alguma coisa essencial no seu entender, Pedro Messia.
[43:13:52 - 43:25:32]:  Acho que a escala do essencial tem um primeiro de grau indiscutível.
[43:25:32 - 43:32:12]:  E que era aquilo que sempre fez parte da chessa.
[43:32:12 - 43:43:52]:  Supermercados, mercilhas, restaurantes, embora entrei, calei e farmácias.
[43:43:52 - 43:48:52]:  Portanto, são coisas de que as pessoas literalmente precisam para viver.
[43:48:52 - 43:57:12]:  E depois há um segundo de grau de bens que nós podemos até...
[43:57:12 - 44:07:12]:  E acho que o que fazemos de clarares com essenciais, mas que não são biológico e medicenciais,
[44:07:12 - 44:17:12]:  mas são socialmente essenciais como algumas atividades culturais, neste caso as livrarias,
[44:17:12 - 44:23:52]:  e a educação, ou pelo menos a educação, faziada.
[44:23:52 - 44:40:32]:  Claro que é muito difícil dizer algo uma atividade, a concessão talvez do disposto e da atividade de certas atividades de laser,
[44:40:32 - 44:47:12]:  que não são essenciais, ou por tudo para as pessoas que trabalham nelas.
[44:47:12 - 44:57:12]:  Para todas as pessoas o seu ganha tão essencial, mas para a sociedade, ou seja,
[44:57:12 - 45:05:32]:  nem se quer me parecer que os barbairos e os cobrareiros estejam necessariamente neste segundo de grau,
[45:05:32 - 45:12:12]:  embora, evidentemente, seja importante, seja importante, mas não é...
[45:12:12 - 45:22:12]:  É uma dimensão largamente estética, não só estética, mas de uma dimensão largamente estética,
[45:22:12 - 45:38:52]:  não é... Fic muito contente que o livro seja divuldiado, para dar seguiment à ideia de que o governo acredita,
[45:38:52 - 45:45:32]:  que seja um bem essencial, não sei se acredita, senão, mas, por isso, seja acredita,
[45:45:32 - 45:58:52]:  e segundo lugar, para dar um sinal positivo à cultura que não tem sido...
[45:58:52 - 46:12:12]:  É muita vez o primo ex-nich, o parente pobre, o parente pobre destas,
[46:12:12 - 46:15:32]:  prior ocupações e aqui também estava a ser.
[46:15:32 - 46:28:52]:  Entretanto, os preços escreveu que Marcelo tentou atravar a riabratura emediata de algum comercio,
[46:28:52 - 46:37:12]:  viu niste sinalgio de distinto unia entre Belém e São Bentro e Carda Raul Espereira.
[46:37:12 - 46:45:32]:  O presidente já veio dizer que está final totalmente sintonizado,
[46:45:32 - 47:00:32]:  mas houve, sim, umas horas de turbulência, a cerca da relação entre os dois...
[47:00:32 - 47:10:32]:  Nessa medida, né, Sintonia é a relação à estratégia do presidente,
[47:10:32 - 47:28:52]:  que normalmente é isto, é, por exemplo, não vai pra Itália quando os resultados estão a ser apresentados,
[47:28:52 - 47:37:12]:  permita alguma especulação sobre o assunto, provavelmente fontes próximas,
[47:37:12 - 47:47:12]:  dizem aos preços que é o que estaria da outra coisa, e depois aparece em público e oficialmente diz.
[47:47:12 - 47:50:32]:  Não, não, está, estava bastante bem.
[47:50:32 - 48:08:52]:  E portanto, com isso, consegue dar o apoio institucional e manter, caso as coisas corromal,
[48:08:52 - 48:17:12]:  mas lembram-se que eu claramente quer dizer apoio aí porque eu vou te ver lá,
[48:17:12 - 48:28:52]:  mas é assim, mas é a relação à cruzinha, eu compreendo o que o João Miguel diz,
[48:28:52 - 48:37:12]:  que seja... admit, que seja útil, como o próprio Primeiro Ministro diz,
[48:37:12 - 48:42:12]:  que as pessoas passem a ver isto como o último trilógico,
[48:42:12 - 48:50:32]:  para saber se se leva guarda xuvonão, o problema é que eu acho que a cruzinha devia estar sempre disponível,
[48:50:32 - 48:55:32]:  para nós vemos como o último trilógico está, e hoje de manhã,
[48:55:32 - 49:07:12]:  puxo, puxo, primeiro puxo, cruzinha hoje no Google, e a percehome, o provisão do tempo em cruzinha minas gerais,
[49:07:12 - 49:12:12]:  e a seguir resolvei ser, eu não sei fazer...
[49:12:12 - 49:20:32]:  - Seguir, eu não sei fazer bem, pesquisas no Google, a seguir puxo, que esteja mais específico e puxo,
[49:20:32 - 49:28:52]:  em que quadrados está a cruzinha do Costa, e deu-me 9 centas ideias de ponto de cruz.
[49:28:52 - 49:37:12]:  E portanto, acho que devia estar mais acessível para nós saber-me-se qual é o quadrinho,
[49:37:12 - 49:43:52]:  é para, vai para ser para ali, não listo o quadrinho hoje, cuidado, olha a cruzinha,
[49:43:52 - 49:50:32]:  para nós podermos ir nos vigiando uns às outros.
[49:50:32 - 49:57:12]:  - Então, vamos me caltar, vamos. - Esperar, boas coisas no próximo mim, Ricardo, já estou.
[49:57:12 - 50:03:52]:  - Fica aqui o apelo de exercícios. - E já não se é bom para comer.
[50:03:52 - 50:12:12]:  - O João Miguel Tavaar, fica assim o ministro do quadrado, que é retango,
[50:12:12 - 50:18:52]:  las cores, estão entregues das pastas ministriais por esta semana,
[50:18:52 - 50:25:32]:  vamos agora saber por que o Pedro Mexia se declara figurinha repetida,
[50:25:32 - 50:30:32]:  e figurinha repetida conta a Pedro Mexia.
[50:30:32 - 50:38:52]:  - Tiguirinha, os brasileiros chamam aos crômes, os álbums de coleção,
[50:38:52 - 50:47:12]:  e isto vem em propósito de revir a volta que aconteceu esta semana na política brasileira
[50:47:12 - 50:57:12]:  com a anulação das condemunções de Lua da Silva, o que levou a apresentadora de televisão
[50:57:12 - 51:05:32]:  apontado como possível candidato às próximas presidenciais no Brasil,
[51:05:32 - 51:13:52]:  no ano que vem, é escrever no Twitter que figurinha repetida não completa álbum.
[51:13:52 - 51:22:12]:  Também vê Lula como um crôme repetido, o Pedro Mexia.
[51:22:12 - 51:27:12]:  - Um crôme repetido é com a certeza, não é? - Um crôme que não completa álbum.
[51:27:12 - 51:32:12]:  - Um crôme, sim, não sei se não é completado, vamos laver aqui,
[51:32:12 - 51:38:52]:  aqui três coisas diferentes, uma é o facto de o que aconteceu,
[51:38:52 - 51:50:32]:  foi que o supremo decidiu que o Tribunal Autocritiva não tinha competência para este augamento,
[51:50:32 - 51:58:52]:  não foi uma decisão sobre um mérito da causa, uma decisão sobre a competência,
[51:58:52 - 52:07:12]:  também uma decisão sobre todas as investigações e processos,
[52:07:12 - 52:12:12]:  em pendência sobre Lula, mas este é concreto, por isso é importante.
[52:12:12 - 52:23:52]:  Segundo, acho que há duas coisas que não podem ser esquecidas
[52:23:52 - 52:28:52]:  e que para mim não causa dúvida nenhuma, embora causa dúvidas a muitas pessoas.
[52:28:52 - 52:33:52]:  Uma é que o Lava Jato, e quando dig Lava Jato,
[52:33:52 - 52:40:32]:  diz que todos os processos ligados a corrupção da classe política,
[52:40:32 - 52:48:52]:  foi positivo, aliás, mesmas pessoas que acham que foi negativo,
[52:48:52 - 52:55:32]:  por causa do Lula, acham que foi muito positivo a relação aos políticos
[52:55:32 - 53:00:32]:  e candidatos presidenciais do PSDB dos outros partidos,
[53:00:32 - 53:07:12]:  eu acho que foi positivo para todos, foi positivo que a questão da corrupção,
[53:07:12 - 53:20:32]:  da ficha limpa, como eles dizem, se tem a tornável um requisito na classe política
[53:20:32 - 53:23:52]:  ou requisito difícil de como primeiro como sabemos,
[53:23:52 - 53:27:12]:  e acho que, para mim, isso é discutível,
[53:27:12 - 53:37:12]:  e é também discutível que a partir do momento em que o juiz,
[53:37:12 - 53:42:12]:  moro, fez parte do governo Bolsonaro,
[53:42:12 - 53:48:52]:  isso manchou de uma forma absolutamente inapagável,
[53:48:52 - 53:55:32]:  é que o processo, ou seja, mesmo que o processo fosse limping limpinho,
[53:55:32 - 54:03:52]:  como diria o outro, ficava inquinado pelo facto de alguém ter afastado,
[54:03:52 - 54:08:52]:  como se conseguissem da sua decisão afastado,
[54:08:52 - 54:15:32]:  o candidato presencial mais forte e integrado o governo do candidato
[54:15:32 - 54:17:12]:  do polo oposto.
[54:17:12 - 54:20:32]:  A razão pelo que eu acho que é uma figura repetida,
[54:20:32 - 54:25:32]:  é que eu acho que vemos neste momento o Lula,
[54:25:32 - 54:30:32]:  a mesma tempo, o melhor candidato e o pior candidato do PT,
[54:30:32 - 54:33:52]:  é o melhor, porque é o mais popular,
[54:33:52 - 54:38:52]:  é o pior, porque é aquilo que vai mais acirrar toda a gente,
[54:38:52 - 54:45:32]:  eu estava no Brasil quando o Bolsonaro foi o leite e eu viva a das pessoas
[54:45:32 - 54:50:32]:  que eu nunca imaginei que votasse em Bolsonaro e que disse,
[54:50:32 - 54:55:32]:  não, controlou o Lula, controlou o PT, votaríamos em qualquer um,
[54:55:32 - 55:02:12]:  e portanto isso é um grau de polarização,
[55:02:12 - 55:07:12]:  que nunca deixou de estar presente nos Obo Brasil nos últimos anos
[55:07:12 - 55:12:12]:  e era muito concluo se fiz essa na Obo Brasil,
[55:12:12 - 55:15:32]:  que pode bolsonar o Epoje do Lula.
[55:15:32 - 55:20:32]:  De que modo é que esta decisão judicial vem barrelear as contas
[55:20:32 - 55:25:32]:  na política brasileira, João Miguel Tavárez?
[55:25:32 - 55:32:12]:  Como o PT disse muito bem, as contas já estavam todas barreledas
[55:32:12 - 55:38:52]:  a partir do momento que o Sejo Morgham decidiu aceitar o ser ministro da justiça
[55:38:52 - 55:43:52]:  de Bolsonaro. Agora evidentemente barrelo de também as contas,
[55:43:52 - 55:50:32]:  porque o PT subitamente fica com um candidato que parece relativamente óbvio,
[55:50:32 - 55:57:12]:  vamos ver se Lula se chega à frente, mas se cagar é homem para isso,
[55:57:12 - 56:00:32]:  ele já tem 75 anos, não é porpermente...
[56:00:32 - 56:07:12]:  - Se ele já deu o exemplo de Joe Biden, que é mais velho do que ele.
[56:07:12 - 56:12:12]:  - Exatamente, é verdade, é realmente ele vai alude.
[56:12:12 - 56:17:12]:  - É, realmente uma boa justificação.
[56:17:12 - 56:25:32]:  - Ele provavelmente vai alude, e aquilo que a gente vai ter é um Brasil estremado
[56:25:32 - 56:30:32]:  por os dois lados, por um lado já é bolsonar, por outro lado do Silva,
[56:30:32 - 56:37:12]:  e resta saber que se é o centro, terpente consegue aparecer uma candidatura
[56:37:12 - 56:42:12]:  que seja candidadora, que evidentemente não vai ser difícil.
[56:42:12 - 56:50:32]:  Eu lamento tudo isto, porque para quem acompanhou o caso lava já,
[56:50:32 - 57:02:12]:  é muito difícil não acreditar na forma com uma corrupção através
[57:02:12 - 57:07:12]:  toda a estrutura política brasileira, e portanto também,
[57:07:12 - 57:13:52]:  para mim, é muito difícil acreditar que Lula da Silva está a gente no centro
[57:13:52 - 57:17:12]:  no meio daquilo tudo, porque é uma coisa...
[57:17:12 - 57:22:12]:  É porque simplesmente implausível, é porque simplesmente implausível
[57:22:12 - 57:28:52]:  é sem em todos menos de repente o homem que mandava naquilo tudo.
[57:28:52 - 57:37:12]:  Agora, é um facto que, para isso, existe a imparcialidade da justiça
[57:37:12 - 57:43:52]:  e da minha ideia que seja um muro, acredito tão profundamente
[57:43:52 - 57:50:32]:  na culpabilidade Lula da Silva que levo o todoito,
[57:50:32 - 58:02:12]:  volto o todoito, e é verdade que esta decisão leva apenas o processo de volta
[58:02:12 - 58:07:12]:  para a premenção, esse para a instrução.
[58:07:12 - 58:13:52]:  Agora, a questão é que há outros processos para a Lula desnuminhadamente,
[58:13:52 - 58:25:32]:  processos que variguiam até que ponto, até que ponto seja um muro,
[58:25:32 - 58:32:12]:  foi uma figura com um distanciamento mensagem neste processo,
[58:32:12 - 58:40:32]:  que parece absolutamente evento, depois de ele ter tomado posse, a resposta não foi.
[58:40:32 - 58:42:12]:  Não foi.
[58:42:12 - 58:48:52]:  Como é que interpreta Ricardo Aosperer o apelo de Lula da Silva,
[58:48:52 - 58:53:52]:  o apelo que ele deixou aos brasileiros no primeiro discurso público,
[58:53:52 - 58:58:52]:  depois de ter sido restituidos aos direitos políticos,
[58:58:52 - 59:02:12]:  dizendo não tenho medo de mim.
[59:02:12 - 59:13:52]:  -Vamos lá ver, entram-nos de restritamente relativos à filosofia da linguagem,
[59:13:52 - 59:18:52]:  parece um desastrado, que é o tipo de frase,
[59:18:52 - 59:27:12]:  que é juntamente com, tem calma, e isto não vai adorar nada,
[59:27:12 - 59:37:12]:  que claramente provoca no recettor o efeito oposto ao Osperado.
[59:37:12 - 59:48:52]:  Mas parece-me que este caso de Lula ainda precisa ter nem conta que não sendo desta decisão sobre os factos,
[59:48:52 - 59:57:12]:  mas sobre formalidades que eram de facto que são importantes e claramente a história do muro,
[59:57:12 - 60:15:32]:  que depois ainda foi ministro da justiça, sempre para toda a gente sempre apontou como mal feita.
[60:15:32 - 60:22:12]:  -A falta de um macro que eu não mais nada.
[60:22:12 - 60:27:12]:  Na próxima semana eu trago uma dietaiva.
[60:27:12 - 60:35:32]:  -Mas parecem isto faz me lembrar um caso parecido que nós temos cá também.
[60:35:32 - 60:42:12]:  -E provavelmente é surpreendente para todos, mas é passo escolho.
[60:42:12 - 60:47:12]:  -É passo escolho, o nome que estava a espera,
[60:47:12 - 60:55:32]:  mas parece-me que tal como a direita portuguesa não tem outro nome,
[60:55:32 - 61:00:32]:  e isso é bastante preocupante para a direita portuguesa,
[61:00:32 - 61:03:52]:  também parece preocupante para a direita brasileira,
[61:03:52 - 61:10:32]:  que um homem que mantém todos os anticorpos que o Pedro referiu e que ainda por cima,
[61:10:32 - 61:17:12]:  como já foi dita, esta decisão não é sobre os factos,
[61:17:12 - 61:25:32]:  de uns quais ele era acusado, mas sem sobre uma formalidade que é importante não há dúvida,
[61:25:32 - 61:33:52]:  mas não é o mérito da ação que está em causa.
[61:33:52 - 61:45:32]:  Parece num bocadinho triste que a esquerda brasileira não tenha outro nome além deste.
[61:45:32 - 61:52:12]:  -Estás parecido porque o Pedro Bixia se declara figurinha repetida
[61:52:12 - 61:58:52]:  quanto ao João Miguel Tavares diz sentir-se empossado, e a cerimônio de postos
[61:58:52 - 62:03:52]:  teve altura de existir constâncias, João Miguel Tavares?
[62:03:52 - 62:10:32]:  -A cerimônio de postos foi bastante interessante, mas a chegada fuís diga,
[62:10:32 - 62:17:12]:  não é a peda, desde a casa de seus pais, e isso é muito curioso, realmente,
[62:17:12 - 62:25:32]:  mas se ela anunciia a candidatura numa parte de alegria e vai a peda,
[62:25:32 - 62:30:32]:  há até a tomada de postos, para que ele seja...
[62:30:32 - 62:40:32]:  -Esta semana de Marcelo II, com a renovação de mandato presidencial,
[62:40:32 - 62:47:12]:  em plen por mais cinco anos, gostou do discurso do presidente?
[62:47:12 - 62:58:52]:  -E o discurso do presidente em geral não me identifica, especialmente agora.
[62:58:52 - 63:07:12]:  Ele falou na... Não me identifica, mas que eu acho que gostou deste teio,
[63:07:12 - 63:17:12]:  mas ele falou na incíncima missões, né, que foi o centro do discurso.
[63:17:12 - 63:23:52]:  E essas incíncimas, quatro de elas, tinham direto ainda,
[63:23:52 - 63:33:52]:  a ver com a pandemia, e a quinta é aquela do amor transatlântico,
[63:33:52 - 63:42:12]:  do Portugal solidário, e de Abrí e os braços ao mundo,
[63:42:12 - 63:48:52]:  que fica sempre bem em pensar raio, em pensar aos discursos.
[63:48:52 - 63:57:12]:  A mim, para ser curto, no sentido de que eu acho que os problemas mais grafos
[63:57:12 - 64:03:52]:  do Portugal podem ter sido gravados pela pandemia, mas não se devem a pandemia,
[64:03:52 - 64:10:32]:  e portanto convém nós não confundimos uma coisa com a outra.
[64:10:32 - 64:18:52]:  E parece-me que essa clareza deveria ter estado no seu discurso,
[64:18:52 - 64:30:32]:  mas depois do que eu cria aqui assim na área, que vamos entrar no segundo mandato de Marcelo,
[64:30:32 - 64:37:12]:  porque aquilo tem sido os primeiros chinais, parece-se estar-se a preparar ali
[64:37:12 - 64:43:52]:  de repente algum ligeiro afestamento de António Costa,
[64:43:52 - 64:50:32]:  há muita gente a contar com isso, nomeadamente muita gente a direita,
[64:50:32 - 64:58:52]:  e eu continuo a ter imensas de ouvido, as que esse afestamento vai acontecer
[64:58:52 - 65:05:32]:  daquilo que é a natureza de Marcelo, e ela visou,
[65:05:32 - 65:13:52]:  a visou naquele discurso, para não se esprar nacionismos presidenciais.
[65:13:52 - 65:22:12]:  Que dita assim, parece algo prudente e com bom senso,
[65:22:12 - 65:33:52]:  mas também, salvado demasiado à letra, pode conduzir a uma demissão do presidente
[65:33:52 - 65:43:52]:  daquilo que são as principais fragilidades e aquilo devem ser as principais chamadas
[65:43:52 - 65:52:12]:  da atenção para o país. E é muito importante que Marcelo tenha esse papel,
[65:52:12 - 65:58:52]:  porque ele é de longe o político mais poderoso, Portugal,
[65:58:52 - 66:02:12]:  para resta saber o que é que é fazer com este poder.
[66:02:12 - 66:07:12]:  Eu ando a dizer que está muito tempo e para mim continua a seguir mistério,
[66:07:12 - 66:17:12]:  mas isso pode ser a diferença entre ele ser apenas um candidato muito popular
[66:17:12 - 66:25:32]:  ou ser realmente um político marcante da história da democracia e portuguesa.
[66:25:32 - 66:28:52]:  Vamos ver o que nos trajo de novo, este segundo mandato,
[66:28:52 - 66:37:12]:  um dos acontecimentos mais comentados da serimónea de possoféat e tudo,
[66:37:12 - 66:45:32]:  que a vaca possilva de não comprimentar o presidente do gilho comeda praxe,
[66:45:32 - 66:55:32]:  a que atribui a urgência de que a vaca de voltar rapidamente para casa naquela manhã?
[66:55:32 - 67:03:52]:  - Ricardo Raúz Pereira. - Eu acho que o que a vaca não comprimentou Marcelo
[67:03:52 - 67:10:32]:  para ir rapidamente para casa, ainda chegar a tempo de ver as notícias
[67:10:32 - 67:15:32]:  sobre o facto de ele não ter comprimentado Marcelo. Acho que eu acho que o planéria é isso,
[67:15:32 - 67:20:32]:  era deixar ver não quero perder isto. Como é que eu é, em principe,
[67:20:32 - 67:30:32]:  é que eu é protagonizar aqui esta serimónea que já não tem nada a ver comigo.
[67:30:32 - 67:38:52]:  Ele tinha na semana anterior de dar uma entrevista sobre o facto de vivermos todos amordassados,
[67:38:52 - 67:43:52]:  eu fiquei preocupada em que eu pedei se em que eu conhece a entrevista
[67:43:52 - 67:52:12]:  porque o cavaco não é particularmente famoso, por sim que é estar muito
[67:52:12 - 67:57:12]:  quando vivem em regímos que a amordação e, portanto, para ele se cachar,
[67:57:12 - 68:05:32]:  é porque estamos devemos estar mesmo numa fase muito grave de amordacamento.
[68:05:32 - 68:13:52]:  E, portanto, ao menos, eu creio que se calhar foi para escapar uma vergonha
[68:13:52 - 68:27:12]:  porque, provavelmente, o que ele teria para dizer a amordação era "mais não deixaria ouvir".
[68:27:12 - 68:37:12]:  - O cavaco se deu-la, de facto, conhecido de já protagonista no final da semana passada
[68:37:12 - 68:48:52]:  pela declarações que fez em encontro online com mulheres social democráticas,
[68:48:52 - 68:57:12]:  para a silla de coado de diagnóstico que vivemos em um Portugal amordassado, peda-me-sia.
[68:57:12 - 69:07:12]:  - O problema é o diagnóstico, ele descreve, sintoma, e o sintoma são quase todos existentes,
[69:07:12 - 69:12:12]:  ou seja, ele é o impedimento da especificidade, porque, não,
[69:12:12 - 69:22:12]:  ele diz, por exemplo, que tenha vida, táques à órgãos de regulação,
[69:22:12 - 69:33:52]:  lembra casos pelo menos de vídeos como o DPR, o Tribunal de Contas, o Transição de Centeno,
[69:33:52 - 69:42:12]:  entre o Governo do Banco de Portugal, a questão do Procredor Europeu,
[69:42:12 - 69:50:32]:  os ataques acrencriticou o caso para que os europeus cominemigos,
[69:50:32 - 69:58:52]:  enfim, inimigos da patria, por isso a população que tira a capturar a amordação
[69:58:52 - 70:07:12]:  ainda, por cima, uma expressão com a peso da política portuguesa.
[70:07:12 - 70:15:32]:  - A palavra não faz sentido, no sentido em que a expressão, eu estou amordassado,
[70:15:32 - 70:23:52]:  não faz sentido, propriamente, como o Ricardo diz, que está amordassado por dos sões e não palavras,
[70:23:52 - 70:30:32]:  ou seja, não está em causa, a liberdade de expressão, está em causa.
[70:30:32 - 70:42:12]:  - Será que se estava da alguma forma referir ao livro de mar e soar?
[70:42:12 - 70:43:52]:  - Foi, também.
[70:43:52 - 70:47:12]:  - E ao tempo de mar e soar?
[70:47:12 - 70:48:52]:  - Teria graça.
[70:48:52 - 71:00:32]:  Agora, até porque boa parte dos sintomas que se podem descrever,
[71:00:32 - 71:08:52]:  como fazendo parte dessa doença que a vaca selva, diagnostica,
[71:08:52 - 71:17:12]:  algo este chão, culpa do PS, mas, por exemplo, diminuir os crutínio
[71:17:12 - 71:28:52]:  parlamentares, acabando com os diminuindo, o número de partos do parlamentar de pêo.
[71:28:52 - 71:37:12]:  E quem é que propõe uma agenda de jornalismo contra a la curta em Portugal,
[71:37:12 - 71:45:32]:  se não a liberdade ou posição, portanto, eu acho que se a amordassa, a amordassa,
[71:45:32 - 71:47:12]:  é estar da de dois lados.
[71:47:12 - 71:52:12]:  - Já sabemos porque os homigalta-vários se anunciem em possado,
[71:52:12 - 71:58:52]:  agora vamos tentar rapidamente perceber o que leva o Ricardo a osprear,
[71:58:52 - 72:02:12]:  a declarar-se pesado, o que ele pensa?
[72:02:12 - 72:07:12]:  - Ah, muito rapidamente, são dois péssios e duas medidas,
[72:07:12 - 72:12:12]:  são dois péssios e duas medidas acerca da suspensão,
[72:12:12 - 72:18:52]:  agora, efetiva do agente manual morais, aqui eu falo...
[72:18:52 - 72:20:32]:  - Suntos que já falamos aqui.
[72:20:32 - 72:25:32]:  - Suntos que já falamos aqui, o agente manual morais fez uma declaração no Facebook
[72:25:32 - 72:32:12]:  e foi agora a suspensão de 10 dias, corte no salário, etc.
[72:32:12 - 72:40:32]:  Parece que ele fez uma declaração sobre os gases sobre racistas,
[72:40:32 - 72:50:32]:  sobre o André Ventura, parece evidente que há dois péssios e duas medidas nisto,
[72:50:32 - 72:57:12]:  já nem falo na quantidade de policias que se manifestam nas redes sociais,
[72:57:12 - 73:07:12]:  em sentido oposto aquela que o agente manual morais ou fez e que não são punidos,
[73:07:12 - 73:17:12]:  mas é que, quando o diretor nacional da PSP se referiu àquele incidente da amadora
[73:17:12 - 73:25:32]:  em que um agente autoridade se rebala no chão durante lágros minutos a fio,
[73:25:32 - 73:32:12]:  como uma cidadã, e disse que ele usou a força com forma bíblia dos policias.
[73:32:12 - 73:40:32]:  Em princípio deve ser o antiquitestamento, deve ser a parte da bilhada dos policias
[73:40:32 - 73:47:12]:  que respondem-se o antiquitestamento, e portanto é muito difícil compreender
[73:47:12 - 74:00:32]:  que estes dois casos, o agente que é punido com 10 dias de suspensão seja o nome moleiro.
[74:00:32 - 74:05:32]:  E como estes estão à altura dos livros, e outra é a esta semana,
[74:05:32 - 74:13:52]:  um livro que também pode servir de curso prático para as pirantes das caritores policiais,
[74:13:52 - 74:20:32]:  como, e parece-me que é este o interesse maior, deste pequeno salio,
[74:20:32 - 74:32:12]:  como uma forma de espreitar-mos, ou sinalitrália, de uma escritora que transcendeu o gênero a que se dedicou.
[74:32:12 - 74:50:32]:  A escritora é Patrícia Aismit, que, entre tanto, se tornou uma escritora famosa no gênero policial,
[74:50:32 - 75:00:32]:  que, por exemplo, escreveu livros como o desconhecido do Nordes Presso,
[75:00:32 - 75:15:32]:  que é o Francisco que adaptou, e também é série famosa de cinco romances com a personagem de Ripley.
[75:15:32 - 75:33:52]:  E então este livro mostra-nos como a própria Patrícia Aismit nos quer revelar aquilo que foi o processo,
[75:33:52 - 75:45:32]:  como chegou a essas histórias e a esta obra, uma edição da Cavalto Ferro.
[75:45:32 - 75:57:12]:  Quanto ao João Miguel Tavares traz um livro que também pode ter uma componente por assim dizer de autor ajuda?
[75:57:12 - 76:08:52]:  É verdade, ele acha algumas críticas que fazem ao Pitter Saneis, exatamente ele, de escrever livros da autor ajuda.
[76:08:52 - 76:20:32]:  Mas, quer dizer, só se isto for autor ajuda na mesma perspectiva da lita que tu está apiência a aula,
[76:20:32 - 76:30:32]:  no sentido de que nos dá pistas para a maneira como nós nos devemos comportar no nosso cotidiano.
[76:30:32 - 76:42:12]:  Agora, isto não tem nada a ver com que autor ajuda de Encha Pelaboca, são livros bastante pensados e bastante suficitados.
[76:42:12 - 76:53:52]:  E o Pitter Saneis, eu sou daqueles que acham mesmo que é um dos mais estimulantes intelectuais,
[76:53:52 - 77:03:52]:  quanto em Poganis e uma, e talvez a maior surpresa apacida nos últimos tempos, eles teve muito, muito antes,
[77:03:52 - 77:12:12]:  re-aparqueceu agora com este livro e parece-se uma ótima surstão, não só para quem está lá em casa,
[77:12:12 - 77:17:12]:  mas também para a mega de marca, se não estiver a ver.
[77:17:12 - 77:27:12]:  Talvez o livro anterior de ele, para ela ainda seja melhor, que é o 12 regas para a vida, um antito para o caos,
[77:27:12 - 77:42:12]:  mas ela também não vai nada mal seguida com este livro, portanto para a Megan e para todos os interessados em ter uma vida com sentido e melhor.
[77:42:12 - 77:50:32]:  No caso do Pedro Machia, não sei se também quer recomendar a Megan de Marcos.
[77:50:32 - 77:58:52]:  Se que roubar a menorquia, acho que sim, acho que sim.
[77:58:52 - 78:10:32]:  Não é este livro do... porque é que Marcos em irrasão do Terry Eagle, que é um homem da literatura, de irra-latratura, de irra-latratura, de crítica,
[78:10:32 - 78:18:52]:  e que tem a particularidade de ser a mesma tempo. Marcosista Católica é muito invertido.
[78:18:52 - 78:30:32]:  A coisa que não é... Marcosista é muito invertido, não é muito fácil, mas Marcosista Católica é muito invertida, realmente uma malinha,
[78:30:32 - 78:43:52]:  e porque é que eu falo no el ser católico, porque eu faz aqui um exercício que os cristãos conhecem bem, que é o exercício tipilogética.
[78:43:52 - 78:57:12]:  E ele vai fazer uma lista das críticas abituais ao Marcosismo e tenta provar que essas críticas são infundadas,
[78:57:12 - 79:08:52]:  na alguma eslaça faz-se com brilhantismo, como a questão da classe e das questões económicas, notros como o topiú de determinismo,
[79:08:52 - 79:18:52]:  tem cada mais dificuldade, passamos por que nem mais difíceis, mas o que ele diz é que ele tenta demonstrar isso,
[79:18:52 - 79:30:32]:  todos os católicos sabem que o Marcosismo não é muitas vezes caricaturado, sobretudo por Marcosistas,
[79:30:32 - 79:43:52]:  como todos os católicos têm a experiência de ver o que é policismo caricaturado por os católicos, e, portanto, ele sabe do que falo e falo com muito brilhantismo,
[79:43:52 - 79:53:52]:  escusado, será dizer que estou em geral em desacordo, como é, mas ninguém defende melhor a sua dama do que eu terei a Gultano.
[79:53:52 - 80:00:32]:  O Ricardo R.O. Esperer atrás um ensai muito sobre o nosso tempo.
[80:00:32 - 80:13:52]:  Sim, vamos chamar de um ensai, o ensai humorista, que é um livro se o "Woke", e é chegou agora a Portugal,
[80:13:52 - 80:28:52]:  a tradução deste, deste, de um livro desta autora que chama "Titania MacGrath", que tem a particularidade curiosa de não existir,
[80:28:52 - 80:43:52]:  ela é uma personagem fictícia criada pelo humorista, inglês, de esquerda e homossexual, isso lá mais para a frente vai ser importante,
[80:43:52 - 81:02:12]:  chamado "Endure the Oil", é como ele se chama, e o livro é uma satria, o livro demonstra que é, mais uma vez que há poucas coisas mais engressadas do que o fanatismo,
[81:02:12 - 81:18:52]:  e o livro é uma satria, é um tipo de fanatismo, é claramente herdeiro do livro dos livros de James Finngarner,
