[00:00:00 - 00:10:00]:  Esta semana a Pedermescia, desta vez a distância, quer ter acente no Polite Buro.
[45:40:00 - 45:56:40]:  Há alguma coisa em Portugal que se prepara com antecedência e de sessatudo certinho. Para já, para já, são tantas e tão boas opções que uma pessoa até tem...
[45:56:40 - 46:03:20]:  -Fartura? Vamos ver o que que acontece.
[46:03:20 - 46:10:00]:  -Não tem não-mus para o porra, porque tem a vida tanta gente, a propor de nome.
[46:10:00 - 46:13:20]:  -Tou muito satisfaícido. -Tou muito satisfaícido.
[46:13:20 - 46:23:20]:  -Também, fazendo com que este programa tivesse alguma utilidade, uma vez, para variar.
[46:23:20 - 46:30:00]:  -Cante, fazer com que este programa tenea utilidade. Acho que é um esforço que está acima das nossas...
[46:30:00 - 46:35:00]:  -Acho lá, gafo realavos, como vê um texto no expressão da...
[46:35:00 - 46:41:40]:  -E foi uma ingressada, porque tendo um café ou uma pessoa que se virou para mim de...
[46:41:40 - 46:55:00]:  -O senhor que conhece... Acho que ela tem alguma hipótese. Isso é uma crônica de jornal.
[46:55:00 - 46:56:40]:  -Ah!
[46:56:40 - 47:01:40]:  -Tou ir a cadera de litracia para a crônica.
[47:01:40 - 47:08:20]:  -Se isso, eu fredeço às vezes, todos nós escrevemos nos jornais.
[47:08:20 - 47:16:40]:  -Tem que ter uma bolinha parecida com aquela dos filmes chocantes a dizer "ironia".
[47:16:40 - 47:21:40]:  -Nos podemos concluir em conjunto. Não é possível uma cadera de jornal.
[47:21:40 - 47:25:00]:  -Mumaca de hidrocoletiva, é um rolê.
[47:25:00 - 47:30:00]:  -Aquilo que tenta ter um barco átomo. -É tão grande o palácio.
[47:30:00 - 47:36:40]:  -Podeíamos nos conseguirmos arranjar, fazer um arranjo de moda.
[47:36:40 - 47:43:20]:  -Temos muitas qualidades diferentes entre nós e também de futebol.
[47:43:20 - 47:51:40]:  -E muito de futebol. E tudo junto, acho que é um aganador.
[47:51:40 - 47:55:00]:  -O Ricardo não fica antes, é só...
[47:55:00 - 48:00:00]:  -O Ricardo não tem que evitar com nós.
[48:00:00 - 48:01:40]:  -Acho uma descomunção.
[48:01:40 - 48:06:40]:  -Posso para vocês, acho que era o óptimo, se senhora era progredir na carreira.
[48:06:40 - 48:11:40]:  -Eu passava do humorista, para o presidente, de repente, eu acho que era...
[48:11:40 - 48:15:00]:  -Ai, quando tinha tão mesmo com os aliens?
[48:15:00 - 48:18:20]:  -Exatamente. Acho uma descomunção muito grande.
[48:18:20 - 48:21:40]:  -Então começava a uma guerra.
[48:21:40 - 48:26:40]:  -O Pedro Mexí, fica assim, ministro do Cain Módromo,
[48:26:40 - 48:31:40]:  e estão entregues as pastas ministriais para esta semana.
[48:31:40 - 48:36:40]:  Altura, agora, para saber-nos, porque Ricardo Raú's Pereira
[48:36:40 - 48:45:00]:  sente banalizado, mas consegue apesar de ver alguma utilidade
[48:45:00 - 48:51:40]:  da banalização. -Neste caso, não.
[48:51:40 - 49:01:40]:  -E isso trata-se de moção de censura que o chega vai apresentar,
[49:01:40 - 49:08:20]:  que toda a gente sabe que não tem nenhuma condições para passar.
[49:08:20 - 49:13:20]:  -Era uma cânce política que vê nesta iniciativa.
[49:13:20 - 49:18:20]:  -O alcance político é este, é uma moção de censura a estressa delas.
[49:18:20 - 49:21:40]:  -E isto não é patingir o PS.
[49:21:40 - 49:26:40]:  É patingir o PSD, ou seja, é uma carambola de censura.
[49:26:40 - 49:35:00]:  -E o Cruz Sáquim, em causa, é o chega apresentar uma moção de censura.
[49:35:00 - 49:41:40]:  -Todas a gente sabe que vai chumbar, só para poder dizer,
[49:41:40 - 49:48:20]:  olha o PSD estava para contra a nossa moção de censura.
[49:48:20 - 49:51:40]:  -E isto é o que souvias muito facilmente.
[49:51:40 - 49:56:40]:  -Deixava-se, em vez de estar abo o recero pulnário com isto.
[49:56:40 - 50:01:40]:  -Pulnário continuava a decorrer normalmente.
[50:01:40 - 50:08:20]:  -O PSD e o chega iam lá para uma daquelas salas de bastidores
[50:08:20 - 50:13:20]:  nos corredores da Assembleia com uma fitamétrica,
[50:13:20 - 50:18:20]:  -Medir pilinhas antisocialistas,
[50:18:20 - 50:23:20]:  e pronto quem tivesse a melhor pilinha antisocialista,
[50:23:20 - 50:28:20]:  voltava para pulnário, eles comunicavam, olha, parece que
[50:28:20 - 50:31:40]:  -aquí este senhor estava feito.
[50:31:40 - 50:38:20]:  -Mas sabe que se calhar o tamanho, a altega se consonto em tuziagem,
[50:38:20 - 50:40:00]:  -mumentânio.
[50:40:00 - 50:46:40]:  -Esse não há dovidan-me, não há dovidan-me, mas é, vivimos...
[50:46:40 - 50:48:20]:  -Lostá.
[50:48:20 - 50:53:20]:  -Iamos monitorizando o consonso, dizíamos, olha.
[50:53:20 - 51:00:00]:  -A setembro de 2023, quem tinha a maior pilinha antisocialista
[51:00:00 - 51:03:20]:  -era o deputado X.
[51:03:20 - 51:06:40]:  -E assim, é insorcível, parece modo.
[51:06:40 - 51:10:00]:  -Pode-se ser uma serimonimensa.
[51:10:00 - 51:16:40]:  -Fica-se gestão e se calhar haverá até canais televisivos
[51:16:40 - 51:21:40]:  -que se propõem transmitir em direto.
[51:21:40 - 51:25:00]:  -E que se pegava na fitamétrica?
[51:25:00 - 51:30:00]:  -Eu acho que tinha de ser um funcionário.
[51:30:00 - 51:31:40]:  -Tinha de ser um funcionário.
[51:31:40 - 51:33:20]:  -Tinha de ser um funcionário.
[51:33:20 - 51:36:40]:  -Tinha de ser um funcionário.
[51:36:40 - 51:38:20]:  -Propos senti-lo.
[51:38:20 - 51:40:00]:  -Propos senti-lo.
[51:40:00 - 51:41:40]:  -Propos senti-lo.
[51:41:40 - 51:43:20]:  -Vai votar.
[51:43:20 - 51:45:00]:  -Vai, eu quero ver.
[51:45:00 - 51:48:20]:  -Cual é que elas luvas de borracha?
[51:48:20 - 51:51:40]:  -Eu não sei se o programa não podia...
[51:51:40 - 51:56:40]:  -A gente não tem que ser um métrica para medir pilinhas antisocialistas.
[51:56:40 - 52:00:00]:  -E eu acho que isso poderia ser um ézido.
[52:00:00 - 52:11:40]:  -Potanto, uma vez que o que vai estar em jogo é saber se o método votará o PSD...
[52:11:40 - 52:16:40]:  -Aseida parece-lo fácil, o jubilhão está avar.
[52:16:40 - 52:23:20]:  -Aseida de Montenegro, o montenegro corre o risco de vir a ficar em que ela é carada.
[52:23:20 - 52:33:20]:  -Eu vi Montenegro a responder a Gais, a gente tem de dizer que é um deja-view...
[52:33:20 - 52:36:40]:  -De isso, vai, às vezes, não deja-view.
[52:36:40 - 52:43:20]:  -O PS parece realmente embarassado hoje em dia cada vez que ele fala o PSD.
[52:43:20 - 52:46:40]:  -Cada vez que ele fala o mundo chega.
[52:46:40 - 52:50:00]:  -E, de facto, porque se deixou embarassado...
[52:50:00 - 52:56:40]:  -Eu acho que se deixou embarassado pela esquerda, como se deixou embarassado pela DGTA,
[52:56:40 - 53:01:40]:  -Faque fala, como nós já falamos aqui, várias vezes.
[53:01:40 - 53:05:00]:  -E isso é um problema.
[53:05:00 - 53:08:20]:  -Eu não percebo qual é a defiga...
[53:08:20 - 53:16:40]:  -Então, terceira hipótese, porque não estabeleceu uma distinção das Águas clara.
[53:16:40 - 53:21:40]:  -E importante não resolveu o problema à partida.
[53:21:40 - 53:26:40]:  -Não, o problema não é que a gente tem que ir.
[53:26:40 - 53:35:00]:  -E que já disse coisas diferentes, entaminados momentos e as pessoas não sabem o que.
[53:35:00 - 53:41:40]:  -Nunque eu fui, claro, nunca consegui arranjar uma resposta inteligente para esse problema.
[53:41:40 - 53:45:00]:  -E que não fica para esse nisso.
[53:45:00 - 53:48:20]:  -Nince que é consigo se bacolher um interesse.
[53:48:20 - 53:51:40]:  -Como só, uma nova...
[53:51:40 - 54:00:00]:  -Manovação legislativa e lá vai a moção de censura.
[54:00:00 - 54:06:40]:  -Que é uma banalidade, uma coisa aborcida, mais uma pateta isso do chega.
[54:06:40 - 54:11:40]:  -E eu acho que as pessoas começam também, tenho uma experiência,
[54:11:40 - 54:16:40]:  -está em um bocadinho de vacinadas com que elas patetizam.
[54:16:40 - 54:20:00]:  -Você não pague essa altura, o Lisbon tem que já,
[54:20:00 - 54:23:20]:  -de que já tinha uma baguação de saber responder a isto de sentimentos.
[54:23:20 - 54:26:40]:  -Em vez como já viu.
[54:26:40 - 54:35:00]:  -O que a aventura tem a ganhar com esta iniciativa política, Pedro Muxia?
[54:35:00 - 54:40:00]:  -E a ganhar o que já disse, não foi, entalar o PSD.
[54:40:00 - 54:46:40]:  -Prolyme, é cantigamente, era muito fácil saber que era o dodo dodo da oposição.
[54:46:40 - 54:51:40]:  -E era o líder do maior partida da oposição.
[54:51:40 - 54:58:20]:  -E o instrumento, essa afitamétrica já foi testada,
[54:58:20 - 55:03:20]:  -porquê tanda as pessoas que acham que é o líder do oposição.
[55:03:20 - 55:08:20]:  -E mais pessoas dizem que é a aventura de colismo muito negro.
[55:08:20 - 55:15:00]:  -Porque ser o líder do oposição já não é ser o líder do maior partida do oposição,
[55:15:00 - 55:18:20]:  -é ser o mais estriônico.
[55:18:20 - 55:26:40]:  -Porque, por absurdo, o líder é quem apresenta mais moções de censura.
[55:26:40 - 55:36:40]:  -E, portanto, isto é uma espécie de renovação da carta de condição.
[55:36:40 - 55:43:20]:  -Não é da carta de condição, mas é a renovação da carta de líder da oposição.
[55:43:20 - 55:50:00]:  -É tão oposição, que quer que o governo caia em uma moção de censura.
[55:50:00 - 55:53:20]:  -Ah, mas o governo não vai queia em uma moção de censura.
[55:53:20 - 55:56:40]:  -Sim, mas eu fiz o que tinha a fazer.
[55:56:40 - 56:01:40]:  -E o PSD, a PSD não quis.
[56:01:40 - 56:06:40]:  -Potanto, isto é o limento, ação.
[56:06:40 - 56:11:40]:  -É um jogo me cada infantil, mas é assim que nós estamos.
[56:11:40 - 56:21:40]:  -O desfecho está anunciado e está achado por que o Ricardo e os Pereiras declaram banalizado.
[56:21:40 - 56:28:20]:  -O João Miguel Tavares, saindo agora do ámbito político,
[56:28:20 - 56:35:00]:  -quero esta semana investir a pele de São Jorge, a Caval e de lança na mão.
[56:35:00 - 56:40:00]:  -Exato, assim, para combater o Dagaigão.
[56:40:00 - 56:45:00]:  -E o que é que o leva a identificar-se com o santo que deu o Lutodragão?
[56:45:00 - 56:48:20]:  -Não, verdade, eu não estou acido do ámbito político.
[56:48:20 - 56:51:40]:  -Quer ser o do ámbito político foi rumorado.
[56:51:40 - 56:53:20]:  -A minha é.
[56:53:20 - 57:00:00]:  -O meu desejo era que o rumorgue se mantivesse no ámbito político.
[57:00:00 - 57:03:20]:  -Estamos a falar, claro, metafóricamente,
[57:03:20 - 57:11:40]:  -A proposito das declarações públicas de Rui Mureira sobre Sergio Conceição,
[57:11:40 - 57:20:00]:  -que considera, que Rui Mureira considera um treinador falhado,
[57:20:00 - 57:30:00]:  -atribui estas opiniões em espouca bundatórias João Miguel Tavares ao adepto portista,
[57:30:00 - 57:35:00]:  -al membro do Conselho Superior do Fipóculo do Porto,
[57:35:00 - 57:41:40]:  -o ao presidente da Câmara da Segunda, a maior cidade do país.
[57:41:40 - 57:45:00]:  -Exato, é isso mesmo.
[57:45:00 - 57:51:40]:  -Não estou a perguntar, está a resposta, porque o problema é exatamente esse.
[57:51:40 - 57:58:20]:  -É confusão de papelis, e eu continuo na minha.
[57:58:20 - 58:06:40]:  -Depois, já terem seguido, é que não esqueçam as velhas cultas de agora,
[58:06:40 - 58:11:40]:  -más padi gaia do ámbito, saber como chegar a casa,
[58:11:40 - 58:21:40]:  -que já sigam notícias, subo bem-fica, subo porto, subo braga,
[58:21:40 - 58:26:40]:  -çoe que é, isso quer ainda não ser um pouco suporte ainda,
[58:26:40 - 58:31:40]:  -desde a vez que não sei se mudou outro estilo,
[58:31:40 - 58:35:00]:  -sindo a nova oportunidade, o futebol,
[58:35:00 - 58:41:40]:  -é um meio pouco recomendável, mas muito pouco recomendável,
[58:41:40 - 58:46:40]:  -a maltata lá em casa, aqui vira bola,
[58:46:40 - 58:50:00]:  -mas não se misture isso com a política, aliás,
[58:50:00 - 58:55:00]:  -a agora, nem com a Santa Mada e Crega,
[58:55:00 - 59:01:40]:  -porque nós estávamos de férias, mas eu vi do Améria e Caguíar,
[59:01:40 - 59:08:20]:  -do Améria e Caguíar, um cardéal estrela das jornadas mediais,
[59:08:20 - 59:15:00]:  -as vêm tudo, na capa do jornal de notícias, com uma bola de futebol,
[59:15:00 - 59:23:20]:  -assinada, e depois de queção com a cruz de bízpo,
[59:23:20 - 59:28:20]:  -a apoiar a requendida dura de pintar costa,
[59:28:20 - 59:33:20]:  -mas por que, por um molho de Deus,
[59:33:20 - 59:35:00]:  -primário, pintar costa não precisa,
[59:35:00 - 59:38:20]:  -eu vai ser rio, lente de qualquer maneira,
[59:38:20 - 59:46:40]:  -porque é que estas confusões entre a igreja, entre a política e o futebol,
[59:46:40 - 59:50:00]:  -que é que as pessoas, por um molho de Deus,
[59:50:00 - 59:53:20]:  -senhios políticos, presidentes da Câmara,
[59:53:20 - 59:58:20]:  -apultados, ministros, fiquem lá em casa,
[59:58:20 - 60:03:20]:  -haber uma cerveja, chameram-nos ao árbore,
[60:03:20 - 60:10:00]:  -se quiserem criticar em o, a contratação do filho,
[60:10:00 - 60:18:20]:  -de ser de concessão, criticam certamente a falta de ferro de ser de ser de concessão,
[60:18:20 - 60:23:20]:  -o que quiserem, mas são políticos, não há o ativo,
[60:23:20 - 60:28:20]:  -calem a boca, é verdade que isto foi feito,
[60:28:20 - 60:31:40]:  -sepostamente a mensagem privada,
[60:31:40 - 60:36:40]:  -mas a mensagem privada nos redes sociais,
[60:36:40 - 60:40:00]:  -porant não existem, -correcto,
[60:40:00 - 60:46:40]:  -esado, não existe nada privado que seja trucada em redes sociais,
[60:46:40 - 60:50:00]:  -para com isso, e para ir ao rir morar,
[60:50:00 - 60:53:20]:  -que tem um pequeno mais de contenção,
[60:53:20 - 61:00:00]:  -seja agora largo do Concentre Superior, do FB,
[61:00:00 - 61:05:00]:  -porque sólha fica mal, ainda por cima,
[61:05:00 - 61:08:20]:  -se depois isto terá acontecido,
[61:08:20 - 61:13:20]:  -eu veio novamente, também pode jornal,
[61:13:20 - 61:16:40]:  -teces dizer, se isto pica a saga, o treinador,
[61:16:40 - 61:23:20]:  -pafazém melhor ótimo, disse "Rui morar, isso é por amor de eu".
[61:23:20 - 61:26:40]:  -Talvez vai lá pena, talvez vou receber,
[61:26:40 - 61:30:00]:  -não sei se o Ricardo está preparado para isso,
[61:30:00 - 61:33:20]:  -o Ricardo Arroz, para ler na íntica,
[61:33:20 - 61:40:00]:  -porque eu sei que gosta de dar voz e dar a palavra "Rui morar",
[61:40:00 - 61:46:40]:  -a ler aquela declaração de "Rui morar",
[61:46:40 - 61:53:20]:  -temos de estar aqui, eu impresso,
[61:53:20 - 61:55:00]:  -tá aqui, -quilo ler,
[61:55:00 - 62:00:00]:  -quilo ler, e tal, então o que eles que me foi assim,
[62:00:00 - 62:06:40]:  - agora temos o mini, eu estou a ler a tásca,
[62:06:40 - 62:10:00]:  -porque são coisas que, -tabola,
[62:10:00 - 62:15:00]:  -que se dizem que se diriam melhor na tásca,
[62:15:00 - 62:18:20]:  - agora temos o mini, e ele refere a sua francês concessão,
[62:18:20 - 62:25:00]:  -que é o filho de treinador, um jogador que agora regressou ao club,
[62:25:00 - 62:28:20]:  -que saiu a de Zemali de Borlan,
[62:28:20 - 62:33:20]:  -que seja de concessão de volta a fazer cenas no banco,
[62:33:20 - 62:36:40]:  -e continua tudo segno,
[62:36:40 - 62:41:40]:  -coupam assados, de gredores, um arbito, o var,
[62:41:40 - 62:46:40]:  -atéu a panha bolas, o antijogo de usados adversários,
[62:46:40 - 62:51:40]:  -não quem foi o óbvio, homem, homem não está cá,
[62:51:40 - 62:55:00]:  -pues eu, após, -temos um treino afolhado,
[62:55:00 - 63:00:00]:  -agredissamos o passado e Chauque se faz tardem,
[63:00:00 - 63:05:00]:  -porque não vemos lá e não tem fére-peleim.
[63:05:00 - 63:08:20]:  -Chauque se faz tardem,
[63:08:20 - 63:11:40]:  -esco isso, isto, isto, isto, isto, isto, isto, isto, isto,
[63:11:40 - 63:15:00]:  -particularmente, eu fensivo, tu fiz esse, isto, com voz de Jorge Zeus.
[63:15:00 - 63:18:20]:  -Não fiz constáculos, por isso, não fiz constáculos,
[63:18:20 - 63:21:40]:  -pues eu não sou bem offensive,
[63:21:40 - 63:28:20]:  -també não seria a propriação cultural fazer o do porto,
[63:28:20 - 63:31:40]:  -dem acho sinceramente, eu acho que...
[63:31:40 - 63:43:20]:  -Mas na sequência, isto, parece que o Rio Mureira deve preocupar-se com a reação
[63:43:20 - 63:50:00]:  -de Fernando Madureira, o líder da cláquia portista,
[63:50:00 - 63:56:40]:  -estas palavras, porque Fernando Madureira foi muito exporcivo,
[63:56:40 - 64:00:00]:  -não é exposto.
[64:00:00 - 64:03:20]:  -E o Rio Mureira foi muito bem educado.
[64:03:20 - 64:08:20]:  -Não recebi preocupa-se tanto, é que foi apagar o que tinha escrito.
[64:08:20 - 64:20:00]:  -Mas eu, o João Miguel acha que não devia haver por minha escuidade entre o Futebol e o política.
[64:20:00 - 64:25:00]:  -Tes são lá coisas, coisas do João Miguel.
[64:25:00 - 64:26:40]:  -Festa desculpa.
[64:26:40 - 64:30:00]:  -Está chante que se idado.
[64:30:00 - 64:35:00]:  -Eu tenho a missão que já perdemos, esta batalha, por isso que eu digo,
[64:35:00 - 64:43:20]:  -o contrário, vamos reforçar, eu acho que o Robi Real, o Rio Mureira,
[64:43:20 - 64:48:20]:  -devia ser presidente, da câmera do porto,
[64:48:20 - 64:56:40]:  -do Futebol, do Porto Ferreira, tudo o que tivesse de Porto,
[64:56:40 - 65:00:00]:  -no nome, o Rui Mureira era presidente.
[65:00:00 - 65:01:40]:  -Do Porto Lisboa?
[65:01:40 - 65:06:40]:  -O Porto Lisboa também, que ele se cede a esporto cento,
[65:06:40 - 65:13:20]:  -tudo o que tivesse de Porto, o Rui Mureira era presidente.
[65:13:20 - 65:18:20]:  -Prompte acabavam-se as suas inquietações,
[65:18:20 - 65:21:40]:  -compariam-se as ambições que ele tem,
[65:21:40 - 65:28:20]:  -e já, acho que usava de vi para os redes sociais dizer coisas,
[65:28:20 - 65:31:40]:  -por que tenham o poder de mandar em tudo.
[65:31:40 - 65:38:20]:  -Entretanto, veio a publica notícia, de que na sequência deste episódio,
[65:38:20 - 65:43:20]:  -de esta mensagem de Rui Mureira, que deu o que falar,
[65:43:20 - 65:48:20]:  -a Newsletter de área do Futebol, do Porto,
[65:48:20 - 65:53:20]:  -passou a incluir críticas à problemas autarquicos,
[65:53:20 - 66:00:00]:  -como a justão urbanística e as dificuldades no trânsito.
[66:00:00 - 66:06:40]:  -Ven isto pedamos-se a alguma relação de causa efeito,
[66:06:40 - 66:11:40]:  -o é apenas uma caso, teve piada.
[66:11:40 - 66:15:00]:  -Ele é o exactivo graço, basicamente.
[66:15:00 - 66:18:20]:  -Ele é o exactivo que foi muito disposto de engraçar.
[66:18:20 - 66:26:40]:  -Ele não tem muito a acrescentar, no sentido em que acho que os políticos no ativo
[66:26:40 - 66:33:20]:  -não devem estar a confundir-se como gostam dizer com meros adeptos,
[66:33:20 - 66:38:20]:  -que não são meros adeptos por um lado,
[66:38:20 - 66:48:20]:  -por que o clima está muito pesado e nova lapena contribuir para isso.
[66:48:20 - 66:56:40]:  -E depois, porque há relações problemáticas entre o poder político
[66:56:40 - 67:01:40]:  -e o poder futebolístico no passado,
[67:01:40 - 67:05:00]:  -e dinheiro, e tribunais e coisas de acessão.
[67:05:00 - 67:13:20]:  -Mas, o rirmorar é diz duas coisas sobre sérgio concessão,
[67:13:20 - 67:18:20]:  -que são do domínio do óbvio, o meu obviamente falso,
[67:18:20 - 67:21:40]:  -que é um treinador fallado,
[67:21:40 - 67:25:00]:  -o outro é o movimento verdadeiro,
[67:25:00 - 67:26:40]:  -que quando isto não tem férplai,
[67:26:40 - 67:33:20]:  - acho que é muito difícil contestar com qualquer uma dessas afirmações,
[67:33:20 - 67:38:20]:  -mas qual ainda é o interesse de ter o presente da Câmara do Porto
[67:38:20 - 67:43:20]:  -a intervir para todos os efeitos publicamente,
[67:43:20 - 67:50:00]:  -como disse, era uma distância de república privável,
[67:50:00 - 67:56:40]:  -não nas redes sociais e nossa aplica,
[67:56:40 - 67:58:20]:  -viveramente.
[67:58:20 - 68:06:40]:  -E, portanto, eu preferia que esta semana,
[68:06:40 - 68:15:00]:  -não as últimas semanas, o grau de teribolismo,
[68:15:00 - 68:16:40]:  -como que se discutiu,
[68:16:40 - 68:21:40]:  -por longamentos, vares e não sei o que é mais,
[68:21:40 - 68:26:40]:  -más não é que isto é uma conversa completamente insalúbria,
[68:26:40 - 68:31:40]:  -al peda qual a política é quase uma escola de ver a todos.
[68:31:40 - 68:35:00]:  -Pere aí, eu já não sei assim,
[68:35:00 - 68:45:00]:  -não vamos dizer que, não vamos também dizer que a política é impluta,
[68:45:00 - 68:51:40]:  -aportante a política não se pode misturar com o fotobó,
[68:51:40 - 68:55:00]:  -que se vai sujar, mas neste momento,
[68:55:00 - 68:56:40]:  -por um mal que esta já a política,
[68:56:40 - 69:03:20]:  -não está tão mal como esta o fotobó e com o grau de total irracionalidade,
[69:03:20 - 69:10:00]:  -eu lembro-me das pessoas, olha, os atimistas, os atimitas que diziam,
[69:10:00 - 69:16:40]:  - isto dovar é muito bom, porque vai acabar com as polêmicas da arbitragem,
[69:16:40 - 69:21:40]:  -e houve uns maduros meio louvidas que disseram,
[69:21:40 - 69:26:40]:  -se que ele não vai e não foi.
[69:26:40 - 69:33:20]:  -Já sabemos por que que o João Miguel Tavar se identifica com São Jorge,
[69:33:20 - 69:41:40]:  -não vamos tentar perceber por que o peda-mexia se sente no Pólite Buro,
[69:41:40 - 69:46:40]:  -está a falar daquela Assembleia de Gerontes,
[69:46:40 - 69:51:40]:  -que ele tinha o poder no tempo da União Soviética.
[69:51:40 - 70:00:00]:  -Sim, de vez e quando morreram alguns líderes da União Soviética,
[70:00:00 - 70:05:00]:  -havia um delay até nós sabermos,
[70:05:00 - 70:11:40]:  -porque alguns casos também não eram evidentes que estivessem vivos antes.
[70:11:40 - 70:16:40]:  -E o que se passa no Estado Unidos é muito inquietante,
[70:16:40 - 70:26:40]:  -eu devo fazer aqui o aviso que não estou hoje a exercer com a que este forma de idadeismo,
[70:26:40 - 70:35:00]:  -está não acho que as pessoas mais velhas tenham com a equia de minuição do direito
[70:35:00 - 70:41:40]:  -a capacidade de estar na política, mas no caso americano,
[70:41:40 - 70:50:00]:  -so para falar de presidentes, as presidentes, líderes da bancada,
[70:50:00 - 71:01:40]:  -a escândilidade, temos, tempo com os 77 anos, o Biden com 80,
[71:01:40 - 71:13:20]:  -o mito Macon, que teve praticamente um av receço que era em direto duas vezes,
[71:13:20 - 71:25:00]:  -já tem 80 anos, o Bernie Sanders 81, a Nancy Pelosi 82 e a Senadora da Anne Fine,
[71:25:00 - 71:30:00]:  -estino 89.
[71:30:00 - 71:38:20]:  -E não se vê ninguém mais novo ter um papel de protagonismo,
[71:38:20 - 71:48:20]:  -não tem a ver com o facto de o Trump ter feito uma loppa sobre o Partido Republicano,
[71:48:20 - 71:53:20]:  -não dá-se não o Trump, não há mais ninguém,
[71:53:20 - 72:03:20]:  -o Biden ter sido de leito como um dico moderado contra o Trump,
[72:03:20 - 72:11:40]:  -mas que também secou qualquer outra hipótesia,
[72:11:40 - 72:16:40]:  -se o aviso é presidente, não se afirmou durante este ano,
[72:16:40 - 72:30:00]:  -não negando os méritos de alguns das pessoas dessa lista,
[72:30:00 - 72:36:40]:  -não direitos estarão na política, até quando se sentirem bem,
[72:36:40 - 72:41:40]:  -mas quando aconteceu uma coisa como é que aconteceu o mito Macon,
[72:41:40 - 72:46:40]:  -não duas vezes, nós temos que pensar se é possível, como?
[72:46:40 - 72:51:40]:  -É preocupante, porque não sabe onde está,
[72:51:40 - 72:56:40]:  -não responde, fica olhar o vazio,
[72:56:40 - 73:10:00]:  -não é um servável da política americana.
[73:10:00 - 73:16:40]:  -E as questões de reaccionar, agora, numa frase para cada um,
[73:16:40 - 73:21:40]:  -para se relevantem em políticas, ou a minha garota avar?
[73:21:40 - 73:26:40]:  -O problema não é que estão em reaccionar, né,
[73:26:40 - 73:31:40]:  -o Churchill tinha 70 anos quando a campanha-guéria mundial,
[73:31:40 - 73:36:40]:  -o Roosevelt andava de cadagas de rodas e morreu no cargo,
[73:36:40 - 73:43:20]:  -e foram estrodeinários presidentes, não, agora?
[73:43:20 - 73:50:00]:  -Agoga, é legal, não é resaço, é sentido?
[73:50:00 - 73:56:40]:  -Exato, agora quando um mito está ali, já, porque duas vezes,
[73:56:40 - 74:03:20]:  -em confeciação, que a paga, totalmente do ganto vagu dos segundos,
[74:03:20 - 74:06:40]:  -evidentemente que o senhor não tem condições com a conteno a não política.
[74:06:40 - 74:10:00]:  -E se há acontecido, o Ricardo e os primeiros,
[74:10:00 - 74:15:00]:  -porque os vejos não argam o oso, porque os mais jovens não se chegam à frente?
[74:15:00 - 74:20:00]:  -O Carlos seja por razão fora, há de luz maneiras de resolver o problema
[74:20:00 - 74:25:00]:  -de a política ser só velhos na política,
[74:25:00 - 74:30:00]:  -um é estimular a participação dos mais novos na política,
[74:30:00 - 74:33:20]:  -a rega a maneira de eles participarem mais,
[74:33:20 - 74:36:40]:  -a outra é impedir os velhos de participarem,
[74:36:40 - 74:43:20]:  -a nossa sociedade hoje em dia, que é tão, é muito amigado pro hibir.
[74:43:20 - 74:50:00]:  -In desta semana, eu vi alguém, foi a escola de verão do PSD,
[74:50:00 - 74:55:00]:  -propora que os velhos sejam impedidos de participar na política.
[74:55:00 - 75:00:00]:  -Não sei se é boa ideia, até porque reparem?
[75:00:00 - 75:06:40]:  -Enrigou, sem pros vizes, para que toda a gente deva participar,
[75:06:40 - 75:11:40]:  -não, óbvio e velhos, mas a idade,
[75:11:40 - 75:18:20]:  -estas características que são independentes da vontade de uma pessoa,
[75:18:20 - 75:23:20]:  -não é a raça, o gênero, a idade.
[75:23:20 - 75:30:00]:  -Em princípio, não são decisivas naquilo que, para mim,
[75:30:00 - 75:36:40]:  -pão votar numa pessoa, por exemplo, nós agora temos na corrida a presidência americana,
[75:36:40 - 75:43:20]:  -un jovem que, na primeira, racializada, um jovem racializada,
[75:43:20 - 75:50:00]:  -schema de Vivek, ramazuame, tem 38 anos, este jovem,
[75:50:00 - 75:55:00]:  -e ele é realmente uma lufada, a Zinha dar fresco,
[75:55:00 - 76:00:00]:  -é um teca-ndidade republicana, e ele diz o seguinte,
[76:00:00 - 76:03:20]:  -a bordeu é homicídio, essa é a liga primeira,
[76:03:20 - 76:10:00]:  -me díadas, pois jovens tem várias, por exemplo, aumentar a idade de votar, pois 25,
[76:10:00 - 76:13:20]:  -cablar a coedade de voto, subir.
[76:13:20 - 76:21:40]:  -Premite, e por aí eu acho que é o crânia, deve permitir a ocupação dos territórios
[76:21:40 - 76:25:00]:  -pela Rússia, que é para a gente avançar,
[76:25:00 - 76:28:20]:  -presenter este é este... -Tenho jovem.
[76:28:20 - 76:33:20]:  -E este jovem, este jovem, eu não sei se...
[76:33:20 - 76:36:40]:  -Las tá, não é decisivo a idade dele.
[76:36:40 - 76:40:00]:  -Sá a altura dos livros...
[76:40:00 - 76:45:00]:  [Música]
