[00:00:00 - 00:06:20]:  Esta semana João Miguel Tavares soltou uma exclamação.
[44:08:30 - 44:31:50]:  Seguim pensável, Lula da Silva tem uma história ligada, claga a liberdade no Brasil, e ele disse que era um criterio de amor, porque esse criterio é um criterio que depende do lado e o ciclo que está sentado.
[44:31:50 - 44:36:50]:  O criterio deve ser anterior ao juiz político, o que faz isso?
[44:36:50 - 44:38:30]:  Não, pagar isso.
[44:38:30 - 44:41:50]:  São ambos, o que ela era pra derver?
[44:41:50 - 44:51:50]:  O Lenski não tinha nenhum problema, até ficava por que? Não divinte, sim, dá pra derver. Por que?
[44:51:50 - 44:51:50]:  É a pessoa.
[44:51:50 - 44:53:30]:  Por que?
[44:53:30 - 44:58:30]:  Vem nos temcos, vem nos temcos se sentarem, os Lenski...
[44:58:30 - 45:06:50]:  Não, porque está-se a solobar a liberdade, e o Lenski é um grande valor de liberdade do lado.
[45:06:50 - 45:21:50]:  Não precisa, só solobarado de uma maneira passadista. Eu tenho argumento com ele não esteve lá nos temcos, mas se não faz sentido nenhum, até se não quando...
[45:21:50 - 45:31:50]:  É a pessoa que deixa se solobar a abrigão, mas enquanto... Enquanto estão vivas pessoas que estão...
[45:31:50 - 45:38:30]:  Que têm a haver com o vítico de abrigão, é essa que...
[45:38:30 - 45:46:50]:  Estás a solobar a liberdade, é que estão aqui, clua da Silva, então pode falar a 300 mil polegas...
[45:46:50 - 45:51:50]:  Pode falar a 300 mil polegas, pode falar a 300 mil polegas, pode falar a 300 mil polegas...
[45:51:50 - 46:01:50]:  Pode falar o posse do exército internacional, hoje é um criterio, só a liberdade, isso.
[46:01:50 - 46:15:10]:  Então qualquer pessoa pode falar a muitos pessoas, qualquer ativista político, qualquer unidador ou posicionista, de uma ditadura...
[46:15:10 - 46:18:30]:  Não tem nada que dar uma ligação... Não tem nada que dar uma ligação.
[46:18:30 - 46:28:30]:  É que a liberdade pode falar agora, tendo a quanto ocorre com o Lenski, o Lenski é uma maneira que bolsa o Nug, não faz sentido...
[46:28:30 - 46:31:50]:  Mas o Lenski é uma coisa mais difícil...
[46:31:50 - 46:41:50]:  Mesmo este edem que surgiu entretanto, que parece que em 2024, ele pode ser os presidentes dos palops.
[46:41:50 - 47:05:10]:  A relação entre os presidentes dos... Não, espera, também acho que não, mas a relação entre os presidentes dos palops, o 25 de abril, é menos obscura do que a relação do 25 de abril com o Lula da Silva, com o presidente do Brasil, seja o qual for.
[47:05:10 - 47:21:50]:  Como é que a interpreta recardar os prédios factos partidos mais preocupados com a sessão com morativa de revolução do 25 de abril terenciada a iniciativa liberal e chega?
[47:21:50 - 47:31:50]:  Eu tenho uma relação de grande afeto com a data, não é? O 25 de abril...
[47:31:50 - 47:50:10]:  É rigor, até as pessoas que concordavam se manifestaram contra o PC e o blog, disseram que sendo a favor dele falar, descordaram da maneira como foi lançado o Nug.
[47:50:10 - 47:51:50]:  Com certeza, por isso também...
[47:51:50 - 47:55:10]:  Porque a Defender Inscotivo é uma coisa...
[47:55:10 - 47:56:50]:  É isso.
[47:56:50 - 48:00:10]:  Tem por isso que eu perguntei isso.
[48:00:10 - 48:10:10]:  O senhor, o senhor Montesque, é a gafo de João Goubos, que teve um lugar...
[48:10:10 - 48:13:30]:  O Governo é uma oferta.
[48:13:30 - 48:16:50]:  Sem balida de República ou outra.
[48:16:50 - 48:20:10]:  E portanto, lição número 1.
[48:20:10 - 48:21:50]:  Reção número 1, mas já é assim.
[48:21:50 - 48:26:50]:  Pois, é isso, realmente, é isso.
[48:26:50 - 48:46:50]:  A humanificação de uma preocupação que o saúde, com a data, a sequência da condicimenta, como já temos visto aqui, para essa direita,
[48:46:50 - 48:56:50]:  o primeiro ocorreu o 25 de abril de 1974, que foi necessário, mas insuficiente.
[48:56:50 - 49:06:50]:  Pois, o 25 de novembro de 1975 é que nos salvou do socialismo.
[49:06:50 - 49:15:10]:  Mas a constituição de 76, não nos deixa sair do socialismo.
[49:15:10 - 49:16:50]:  Essa sequência foi...
[49:16:50 - 49:18:30]:  Ok, sim, não é mais.
[49:18:30 - 49:21:50]:  Com a que vi, então, de 77 foi votada pelo PSD.
[49:21:50 - 49:23:30]:  O que?
[49:23:30 - 49:25:10]:  Não é uma atraclição.
[49:25:10 - 49:28:30]:  Portanto, só tenho um problema.
[49:28:30 - 49:31:50]:  Essa é a sua história de origem, tá afurada, logo aí.
[49:31:50 - 49:35:10]:  Essa descrição só tenho um problema.
[49:35:10 - 49:50:10]:  É que, como o próprio nome indica, o 25 de novembro de 1975, que nos livrou do socialismo, é anterior a constituição de 76, que não nos deixa sair dele.
[49:50:10 - 50:03:30]:  Mas o problema é que há uma grande diferença entre o socialismo da constituição e o marxismo, o Leninismo, do 25 de novembro.
[50:03:30 - 50:15:10]:  O que tem indito é que o 25 de novembro é que nos livrou, é que nos salvou, é que nos turistas...
[50:15:10 - 50:19:06]:  Tá-ls... tá-s a elections
[50:19:06 - 50:22:50]:  Tá-s a elections, o que estão no lado que entre intimidating
[50:22:50 - 50:24:48]:  Porque por outro lado左右
[50:24:48 - 50:28:36]:  A gente não está eu agarrado a silских
[50:28:36 - 50:29:48]:  Um servidor e Time????
[50:29:48 - 50:31:56]: rades de zero
[50:31:56 - 50:33:10]:  Dude, é que euhappy
[50:33:10 - 50:37:06]:  Que você está diyor de novo
[50:37:06 - 50:39:48]:  É que eu não constructed Fl put you
[50:39:48 - 50:44:06]:  Não seja que você está sóadando
[50:44:06 - 50:49:34]:  Eu não JOE
[50:49:34 - 50:52:38]:  e eu acredito que eu não tenho que pensar
[50:52:38 - 50:55:38]:  Credo que eu nãoņ...
[50:55:38 - 50:57:50]:  eu acredito que eu não quero ser
[50:57:50 - 51:00:34]:  Eu acredito que eu não sou
[51:00:34 - 51:03:58]:  Ryan어지iro
[51:03:58 - 51:08:30]:  O mais sensível nesta matéria
[51:08:30 - 51:11:14]:  dos metadados aqui à mesa
[51:11:14 - 51:13:58]:  sobretudo aqui ó, perto do meu
[51:13:58 - 51:16:18]:  Do meu colega da esquerda
[51:16:18 - 51:19:48]:  Que acha que é tudo que é toda abrir
[51:19:48 - 51:21:58]:  E eu... das geografias
[51:21:58 - 51:23:34]:  das geografias
[51:23:34 - 51:24:24]:  das geografias
[51:24:24 - 51:26:04]:  das geografias
[51:26:04 - 51:27:44]:  das geografias
[51:27:44 - 51:30:38]:  E eu não acho que seja toda abrir
[51:30:38 - 51:32:42]:  Acho que aliás
[51:32:42 - 51:37:42]:  A decisão de constitucionar o Tribunal
[51:37:42 - 51:39:42]:  A decisão de constitucionar
[51:39:42 - 51:41:14]:  Sobre aliás
[51:41:14 - 51:43:10]:  Estando
[51:43:10 - 51:44:50]:  Deu...
[51:44:50 - 51:48:10]:  Sequência até uma decisão europeia
[51:48:10 - 51:51:30]:  Sobre o facto as operadoras terem que manter
[51:51:30 - 51:55:50]:  Durante um ano os metadados
[51:55:50 - 51:58:10]:  Parece uma boa decisão
[51:58:10 - 52:01:30]:  Estamos a falar da decisão agora
[52:01:30 - 52:04:50]:  Neste caso, nesta semana
[52:04:50 - 52:08:10]:  Da decisão do Tribunal de Relação de Évve
[52:08:10 - 52:11:30]:  De anular a sentença
[52:11:30 - 52:14:50]:  Que continuou 11 responsáveis
[52:14:50 - 52:18:10]:  Por o já famoso
[52:18:10 - 52:21:30]:  O rôabizar mas de tencus
[52:21:30 - 52:24:50]:  A prova produzir a partir de dados
[52:24:50 - 52:28:10]:  O recolhido nos telém uma vez foi anulada
[52:28:10 - 52:31:30]:  Por onde é que...
[52:31:30 - 52:33:10]:  Quero pegar neste caso
[52:33:10 - 52:38:10]:  Quero pegar neste caso em 3 pontos muito capos
[52:38:10 - 52:41:30]:  O que é que tem que os convidêzer
[52:41:30 - 52:44:50]:  Que foi o momento mais terceiro mundo dista
[52:44:50 - 52:48:10]:  De Portugal nas últimas décadas
[52:48:10 - 52:51:30]:  E tem competição forte
[52:51:30 - 52:53:10]:  E tem competição forte
[52:53:10 - 52:56:30]:  É um momento vergonhoso
[52:56:30 - 52:59:50]:  Não é uma coisa de uma gravidade
[52:59:50 - 53:03:10]:  Comparativa com outras coisas que aconteceram
[53:03:10 - 53:04:50]:  Porque isto é Portugal
[53:04:50 - 53:06:30]:  Mas é um...
[53:06:30 - 53:08:10]:  É um madingar do Sol Mando
[53:08:10 - 53:13:10]:  Mas é um momento de brincar aos países
[53:13:10 - 53:16:30]:  De brincar atropa
[53:16:30 - 53:19:50]:  De brincar com atropa
[53:19:50 - 53:23:10]:  É um momento lamentável
[53:23:10 - 53:26:30]:  Senhor Gordou, o Arsenal, em casa da Foto
[53:26:30 - 53:29:50]:  Pois e depois...
[53:29:50 - 53:33:10]:  E depois foi celebrado quando se descobriu
[53:33:10 - 53:36:30]:  E afinal veio a mais
[53:36:30 - 53:39:50]:  Tudo isso é uma história absolutamente escabrosa
[53:39:50 - 53:41:30]:  Mas...
[53:41:30 - 53:44:50]:  É que estão dos dados
[53:44:50 - 53:46:30]:  É importante...
[53:46:30 - 53:51:30]:  E a problemática em dois momentos
[53:51:30 - 53:56:30]:  Por um lado, como aqui falamos numa semana anterior
[53:56:30 - 54:01:30]:  Sobre a questão da repriga que estava desaparecida
[54:01:30 - 54:06:30]:  Tem que ver uma dimensão de sensateus
[54:06:30 - 54:09:50]:  Com o nosso poder...
[54:09:50 - 54:14:50]:  O nosso poder seder, também por causa de uma decisão judicial
[54:14:50 - 54:19:50]:  A ajudar os metadades do Telemóvel
[54:19:50 - 54:23:10]:  Porque se evalida a privacidade
[54:23:10 - 54:24:50]:  Da pessoa que tinha sido
[54:24:50 - 54:28:10]:  Repetável para todos os efeitos
[54:28:10 - 54:31:30]:  É...
[54:31:30 - 54:33:10]:  É...
[54:33:10 - 54:38:10]:  Absurto porque não é por isso que a proteção dos dados existe
[54:38:10 - 54:41:30]:  E neste caso, até...
[54:41:30 - 54:44:50]:  Aliás, muitos juristas pronunciaram na imprensa
[54:44:50 - 54:53:10]:  A muita discussão sobre o prímito dos dados e dos metadados
[54:53:10 - 54:56:30]:  Do que expova ou não
[54:56:30 - 54:59:50]:  E de fato, se...
[54:59:50 - 55:04:50]:  Se serve não para proteger
[55:04:50 - 55:09:50]:  O abuso das empresas
[55:09:50 - 55:13:10]:  E não só...
[55:13:10 - 55:16:30]:  E dos movientes em relação a Chidadão
[55:16:30 - 55:21:30]:  Mas serve para proteger os movientes
[55:21:30 - 55:31:30]:  Que cometeram crimes e que podem opor a justiça
[55:31:30 - 55:34:50]:  No meadamento previo judicial
[55:34:50 - 55:41:30]:  Não podem usar as modidades, esta parte de a sentença cai
[55:41:30 - 55:44:50]:  Tem que provar mais em esta prova
[55:44:50 - 55:49:50]:  E acho que é um gol para a justiça em Portugal
[55:49:50 - 55:56:30]:  E há muita gente que acha que não é verdade
[55:56:30 - 56:03:10]:  Se que era o prímito daquilo que nós designemos por metadados
[56:03:10 - 56:11:30]:  Não abrange o suficiente para fazer perigar tantas investigações como...
[56:11:30 - 56:16:30]:  Já toda a gente vai dizer que são muito preocupantes
[56:16:30 - 56:23:10]:  Os problemas judiciais que a lei dos metadados está provocar
[56:23:10 - 56:26:30]:  Estes casos que não refilitam agora
[56:26:30 - 56:29:50]:  Por que o assunto não se resolve
[56:29:50 - 56:31:30]:  E não se resolveu, os agravados
[56:31:30 - 56:34:50]:  Tem que ir a visão constitucional
[56:34:50 - 56:39:50]:  E é como a outra que a gente falou do sócato
[56:39:50 - 56:43:10]:  É a quantidade de assuntos que não países dispensam nos justiça
[56:43:10 - 56:44:50]:  Sem se resolveu, é igual a estrépis
[56:44:50 - 56:46:30]:  Também tem que acreditar
[56:46:30 - 56:48:10]:  Eu...
[56:48:10 - 56:54:50]:  Se está no meu próprio ano passado
[56:54:50 - 56:58:10]:  Eu escrevi um teste de curso de utilega
[56:58:10 - 57:04:50]:  Quanta impunidade vale a privacidade que adou nos nós?
[57:04:50 - 57:09:50]:  E é a pergunta continua, sem ter ganha em porco
[57:09:50 - 57:23:10]:  Quanta impunidade vale a privacidade que adou nos nós?
[57:23:10 - 57:26:30]:  Não é isso que está em causa
[57:26:30 - 57:31:30]:  É isso que não há que nos metadados
[57:31:30 - 57:38:10]:  Eles chegam recorridos, ninguém sabe o que é que é o pagador fazia
[57:38:10 - 57:41:30]:  Parentemente nem sequer havia expoções
[57:41:30 - 57:46:30]:  E aqui é uma rebaldaguei total e sem evidente
[57:46:30 - 57:53:10]:  E havia uma decisão do tribunal europeu de justiça sobre essa matéria
[57:53:10 - 58:01:30]:  Mas eu estou... mas eu não acho que o tribunal europeu de justiça não é isso?
[58:01:30 - 58:04:50]:  Não é isso, não foi um que...
[58:04:50 - 58:09:50]:  Não foi um que por isso eu trebinava a constitucionar porque...
[58:09:50 - 58:11:30]:  Não, por isso...
[58:11:30 - 58:18:10]:  Serto, eu não estou a dizer que não, agora, alguém...
[58:18:10 - 58:23:10]:  Evidentemente que isto é inaceitável, é inaceitável no caso da senhora da época
[58:23:10 - 58:28:10]:  É inaceitável no caso de tantos que as outras agora não ter de itávalo em algum
[58:28:10 - 58:34:50]:  Não, mas é o conforto que é um bom beigo, a tio dezoite focos
[58:34:50 - 58:38:10]:  Utiliza uns metadados, vai ser melhor...
[58:38:10 - 58:41:30]:  Não concorda que foi contraposição
[58:41:30 - 58:49:50]:  É contraposição não é covida privada, é contraposição é para que serve essa proteção
[58:49:50 - 58:54:50]:  E não ser para deixar criminosos impunos
[58:54:50 - 59:06:30]:  A uma pondração a fazer entre o aspecto da privacidade...
[59:06:30 - 59:13:10]:  Com o caso de trulismo, além de uma espulgada mais um...
[59:13:10 - 59:18:10]:  Que a world trade senta que mais nós não podemos dizer isso?
[59:18:10 - 59:26:30]:  Que pondracidade dos prédios que faz entre privacidade, o direito à privacidade
[59:26:30 - 59:29:50]:  E o bem público que é o combate ao crime?
[59:29:50 - 59:36:30]:  Sim, há uma pondração a fazer, a privacidade não é um direito menor, atenção
[59:36:30 - 59:39:50]:  Claro, a privacidade significa...
[59:39:50 - 59:41:30]:  É isso mesmo
[59:41:30 - 59:46:30]:  Liberdade, não há a liberdade sem privacidade
[59:46:30 - 59:51:30]:  E privacidade, para ele gostar, o engolimento
[59:51:30 - 59:58:10]:  Isso não se fosse uma circunstria, mas você estava falando de um telefone numa lista...
[59:58:10 - 60:08:10]:  Bem, sem, mas é por isso que agora a Assembleia, toda a Assembleia em peso
[60:08:10 - 60:14:50]:  Está a tentar deslindar, arranjar uma solução
[60:14:50 - 60:21:30]:  Para conciliar as duas coisas, claro
[60:21:30 - 60:28:10]:  E parece que tem tenta-te enunha, banhé, gato, pavanhão
[60:28:10 - 60:33:10]:  E isso é que são os dados, não é isso, né?
[60:33:10 - 60:36:30]:  Vamos ver como é que se deslinda
[60:36:30 - 60:41:30]:  Sim, isso tem uma mente entre pessoas que não é só eu, todo mundo...
[60:41:30 - 60:46:30]:  Está esclarecido ou melhor? Não está ainda, bem esclarecido, mas...
[60:46:30 - 60:49:50]:  Esperemos que se banhá esclarecer-se
[60:49:50 - 60:56:30]:  Porque aqui o Pedro Messia sente amterdados para o liso
[60:56:30 - 61:08:10]:  Quando a João Miguel Tavares está em modo exclamativo, partir de lá, essa exclamação que soltou esta semana
[61:08:10 - 61:09:50]:  A João Miguel Tavares
[61:09:50 - 61:11:30]:  Elas, elas, elas
[61:11:30 - 61:16:30]:  O fato de exclamar este tranjeiro é uma homenagem ao protagonista deste caso
[61:16:30 - 61:23:10]:  Sim, sim, não foi verbal, quer dizer, não foi oral, ainda por cima
[61:23:10 - 61:28:10]:  É meio um misto que dizia "jamé", portanto a oliga
[61:28:10 - 61:31:30]:  Jamé é o "lofrensirismo" ataca forte
[61:31:30 - 61:38:10]:  E o protagonista, neste caso, tem bastante internacionalizado, diga-te, né?
[61:38:10 - 61:39:50]:  Sim, sim
[61:39:50 - 61:56:30]:  O protagonista é Manuel Pinho, foi o próprio que soltou o elas ao confessar ter contido crimes de fraude fiscal
[61:56:30 - 62:11:30]:  Sobesta semana, poderá ver se, nesta confissão, um barco tático para tentar fugir a acusação mais graves de corrupção
[62:11:30 - 62:13:10]:  João Miguel Tavares
[62:13:10 - 62:23:10]:  Não, isso é em dúvida, mas é muito gilhar para agressivar a justificação, porque tem este distante escrito pela defesa do Pinho
[62:23:10 - 62:39:50]:  Agora, antes do debate insta-botoque, sou bocaz, é D.P. e portanto, o que nós temos é Manuel Pinho, admitir que sim, comitir crimes de fraude fiscal
[62:39:50 - 62:49:50]:  Sim, era prática, isto diz ele atenção, não é a acusação do Ministério Público, é ele a dizer
[62:49:50 - 62:58:10]:  Sim, era prática corrente no banco de Espírito Santo, centenas pessoas fizeram o mesmo
[62:58:10 - 63:06:30]:  A situação era conhecida de uma e finança, portanto, fora do banco de Espírito Santo
[63:06:30 - 63:21:30]:  Todos, ao quase todos os quadros superiores do banco, eram pagues assim e depois, e não eram só os funcionários, muitos outros recebiam, diz Manuel Pinho
[63:21:30 - 63:49:50]:  E então, e sim, portanto, em tabre ele, de 2005 e mai de 2010, quando ele era ministro, tabulei economia, percebi 1,5 milhões de euros do banco de Espírito Santo, porque todos os meses saíiam de uma tranche, uma espécie de ouro de nada para a deléo, o Paco por Ricardo Salgado
[63:49:50 - 64:06:30]:  E ele diz tudo isto, diz que está profundamente arrependido, porque tem feito parte bem engrenagem, mas, não for o que ele é
[64:06:30 - 64:19:50]:  Já está, já está, já está, e por isso não, não for corrupto, apenas que me tinha falto fiscal e ela foi arrumada pelo reto 3
[64:19:50 - 64:29:50]:  E pela decoração de RRS, de substituição, portanto, o falto fiscal está arrumada e agora porque vocês dizem que eu sou corrupto
[64:29:50 - 64:44:50]:  E não sou corrupto de coisa em cima nenhuma, e ele acha, e diz ele que a acusação é uma mão cheia de quase nada, portanto, ele confessa
[64:44:50 - 64:56:30]:  Tudo está a soldo do ano de Espírito Santo, mas ele diz, e depois de mais depois é que senta, e agora por favor lá que eu sou corrupto
[64:56:30 - 65:13:10]:  E é verdade aquilo, notei, ele até pode ter a razão por que o ato de corrupção é tu recebeix de dinheiro por um ato concreto que tu praticaste
[65:13:10 - 65:26:30]:  Ok, quando tu estás a soldo, e portanto, é bom ser muito divisos, mas isto foi para pagar o quê?
[65:26:30 - 65:31:30]:  Para pagar coisa nenhuma, porque ele é engraçado e ele dava para tudo
[65:31:30 - 65:33:10]:  E era menista?
[65:33:10 - 65:36:30]:  E ainda há de ter graça, isto ainda há de ter graça
[65:36:30 - 65:43:10]:  É laço, que já está a estar, mas a menor alpinho de recrimin...
[65:43:10 - 66:01:30]:  Está no recriminamento da abratura de instrução do processo, onde até se queixado a passo de justiça de ter cortado o acesso a vinho corrente na prisão de um misseleária
[66:01:30 - 66:14:50]:  Que crime é de onde é que alguém te derá de praticar para sujeitar uma serviça de estas recartas de respareira?
[66:14:50 - 66:16:30]:  Não se percebe
[66:16:30 - 66:19:50]:  Como é que nos cortam um vinho corrente?
[66:19:50 - 66:28:10]:  Carlos, ainda por cima, há um arrependido, porque o Manuel Pindis estou muito arrependido do que fiz
[66:28:10 - 66:43:10]:  Ele diz, realmente, eu conti o crime de fraude fiscal continuadamente, durante anos a fio
[66:43:10 - 66:59:50]:  Mas isso era uma prática corrente e com origem histórica, portanto, e, às vezes, ir perrepeitável, uma coisa vittusta, no grupo Espírito Santo, o crime de fio-gafescal
[66:59:50 - 67:01:30]:  Era...
[67:01:30 - 67:06:30]:  Não foi derrumada fiscal, era uma tradição
[67:06:30 - 67:21:30]:  Era uma tradição, portanto, isto parece o padrinho 3, portanto, é o final, no final é uma pessoa que diz assim, eu realmente potência uma quadrilha
[67:21:30 - 67:38:10]:  Mas não estou já antes, sabe, em continuar, as pessoas não deixam sair, é isto deixaram, não sei o que é que se passa, também é quadrilha antes, tanto de ser muito forte
[67:38:10 - 67:44:50]:  Mas também retirarem umas botelhas, é...
[67:44:50 - 68:01:30]:  Retirarem o vinho corrente, eu acho realmente uma... não sei... não está na lei certamente, um dos castigos não há nenhum sentido a lei que diga
[68:01:30 - 68:23:10]:  E é certo ponto, vamos retirar o vinho corrente ao argoído, vinho corrente pelos vistos, é o que ele vinho do dia a dia, não é? Não é o vinho especial de certas ocasiões, será isto?
[68:23:10 - 68:26:30]:  Depois é possível, se eu for querendo deixar...
[68:26:30 - 68:38:10]:  Eu não sei que ele será que ele tem uma canalização que é vinho corrente, não sei se ele puxar na esta torneira
[68:38:10 - 68:48:10]:  E esta ideia de que toda a gente fazia ao mesmo, parece limato no entro de algum modo, perdemos que ia
[68:48:10 - 68:58:10]:  Bem quer dizer, há aqui várias coisas interessantes, para já uma coisa muito cara, é o primeiro...
[68:58:10 - 69:18:10]:  Suspeito de alguma coisa, por exemplo, que confessa, nunca ninguém confessa nada no argoído de fomosos, que não precisaram precisar de nada, ele decidiu confessar, claro que é que é que ele confessa, que o doing menos...
[69:18:10 - 69:19:50]:  Corrupção?
[69:19:50 - 69:23:10]:  Corrupção, menos e pode já estar...
[69:23:10 - 69:41:30]:  Sim, exatamente, regularizar, regularizar, só estar aparentemente, o que ninguém confessa é corrupção, porque isso é aquilo que é infamente...
[69:41:30 - 69:46:30]:  É de ser lugar o que ele disse, o que era...
[69:46:30 - 69:49:50]:  Essa é uma derretida datática
[69:49:50 - 70:04:50]:  O que era conhecido no meio, o que é susto, é que pode ser verdade, eu lembro quando se começou a falar deste caso, eu estou longíssimo de conhecer o meio
[70:04:50 - 70:29:50]:  E quando você ia falar de pessoas que o conheciam, logo no início, quando isto chegou a jornais, se as olhava para a mesa, claro, então, isto era só uma questão de tempo, e portanto, de facto as pessoas que conviviam com este meio não eram susto, isso é susto
[70:29:50 - 70:58:10]:  Então, a impressão económica, a impressão de investigação, é que há sobre esses assuntos, e depois, a frase do Jastá já está que o sujeiro que seja, é de fazer todos os amicidas porque é verdade, uma amicida depois de matar alguém, cara, pago, já está...
[70:58:10 - 71:43:10]:  E não dá para pagar impostos, não é? A regularização, não dá para fazer desta... Já está, é lá, já sabemos por que o João Miguel Tavars, é lá se faz éco do "elás" de Manuel Pinho, agora vamos tentar perceber rapidamente, porque o Ricardo Arrozpreira se nos apresenta como o Inocente Pangoldin, isso não é que é o bicho camudo, que nos pôs o mundo de quarentena, não o Carlos, é um bicho camudo
[71:43:10 - 72:24:50]:  Mas não foi quem pôs o mundo de quarentena, e é que está ao problema, Pangolin limitou a sastar no citia radar a orerrada, Pangolin foi acusado durante muito tempo, de ter sido, era o principal suspeito da transmissão, o Mano do Coronavírus, o primeiro estudo dizia "ah, realmente fomos ver a proteína e conhecida, mas um mapeamento subsocute de DNA da proteína concluiu o seguinte"
[72:24:50 - 72:41:30]:  As semelhanças eram apenas 90%, e para que se possa falar em mutação genética e contágio, tem de ser de 98,2%.
[72:41:30 - 72:49:50]:  Portanto, Pangolin, o Pangolin nós sabemos de certeza absoluta que não é o responsável pelo coronavírus.
[72:49:50 - 73:04:50]:  E agora, quero falar da suspeita, anunciada esta semana, pelo diretor do FBI, de que COVID-19 potará ter tido origem num laboratório chinês.
[73:04:50 - 73:14:50]:  Será esta a absorvação do Pangolin, algo somente já estava.
[73:14:50 - 73:38:10]:  Agora é diferente, que é um responsável do FBI, que vem dizer uma coisa, que agora tem vindo a ser mais vezes dita, que é "espera, há aqui de facto uma hipótese de que isto possa ter sido produto de uma fuga laboratorial".
[73:38:10 - 74:04:50]:  Ora, eu quero recordar este propósito, que entra fevereiro de 2021 e maio de 2021, o Facebook pro iBio, que alguém fizer assunto post, apore hipótese da COVID-19 ter resultado de fuga laboratorial.
[74:04:50 - 74:23:10]:  Portanto, entre fevereiro e maio de 2021, era uma fake news pro iBida a partir de maio. É uma hipótese que pode ser...
[74:23:10 - 74:33:10]:  E o diretor do FBI envolve isto num provávelmente. E o povo não provávelmente. E este momento...
[74:33:10 - 74:39:50]:  E acha também o pânico de fundo da tensão entre chinês e Estados Unidos?
[74:39:50 - 75:04:50]:  Não há muito medo. Mas não há muita tensão. Este ano é o primeiro, o próprio Joe Biden tem dito que realmente se calhar devíamos investigar isto melhor, e isto significa que se calhar por empresas multibilionárias, definir o que é aceitável e inaceitável, dizer em público, não é boa ideia.
[75:04:50 - 75:14:50]:  Não deve ser o senhor Marcos Zuckerberg a dizer "não, isso é fake news, isso não é, por como se vê".
[75:14:50 - 75:19:50]:  Não deve ser o senhor Marcos Zuckerberg a dizer "não, isso é fake news, isso não é, porque como se vê".
[75:19:50 - 75:24:50]:  Isso é o senhor Marcos Zuckerberg, isso não é, por como se vê...
[75:24:50 - 75:43:10]:  Isso é a altura dos livros. Temos de saltar já para os livros e eu trago esta semana, um livro que é um grito da Lerta e ele acha vai em certo sentido ao encontro destas últimas palavras do Ricardo Ajo Pérez, o livro chama-se como fazer frente a um ditador.
[75:43:10 - 76:09:50]:  A jornalista é prêmio Nobel da Paz Maria Reça, a quem talvez ainda se lembra dela na CNN no período crítico do referente em humor, aliás, eu cruzame com ela essa altura em dílil, ela era uma das estrelas dos jornalismo internacional a acompanhar a situação em humor.
[76:09:50 - 76:29:50]:  Depois disso Maria Reça fundou nas filipinas um jornal online independente, que se destacou na denúncia dos crimes do presidente do Terte, calculasse que morreram mais de 27 mil pessoas em menos de dois anos,
[76:29:50 - 77:14:50]:  vítimas dações brutais da policia do exército, numa espécie de cruzada antidroga, acontece que o poder filipino não gostou das revelações e dos jornalismo independente de Maria Reça e acabou possível ter sobrelá, crevejando de processos judiciais ainda não mais passado ela ganhou a mais um, mas tem outros três pela frente e corre o perigo, se for condinada, passar o resto da vida na cadeia.
[77:14:50 - 77:59:50]:  Este livro é uma espécie de autobiografia profissional de Maria Reça, mas acima de tudo é um alerta para aquilo que ela chama o silencioso holocausto nuclear do nosso eco-assumamento de informação, um holocausto que, segundo a autora, tem culpados em Silicon Valley, lá está, o Facebook e as redes sociais com as fake news instrumentos preciosos para autocratas sem grupos, como foi do Terte.
[77:59:50 - 78:46:30]:  As filipinas de Maria Reça são aliás um protótipo do futuro nesta matéria, porque há seis anos que são, há seis anos que as filipinas são o país com a população que passa mais tempo na internet, 97% das filipinas dos filipinos estão no Facebook e sujeitos altíssimos índices de manipulação da iutá-lo silencioso ou locales nuclear do nosso eco-assumamento de informação.
[78:46:30 - 79:01:30]:  Como fazer frente a auditador de Maria Reça, edição, ideias de ler, o João Miguel Tavares traz BD japonesa.
[79:01:30 - 79:26:30]:  Sim, eu ainda sou do tempo aqui há 20 e tal anos, havia editoros tentávamos desesperadamente trazer BD japonesa para cá e não porco lava, mas o tempo mudou e a verdade é que não só, BD japonesa, mas chamada mangá, está em força em Portugal.
[79:26:30 - 79:46:30]:  Aquela que se abro contra a área, não é? Aquela que se abro contra a ir exatamente. E como já temos a honra de ter edições de autóxicos estranhos e edições inspiradas.
[79:46:30 - 80:06:30]:  E o caso de uma pequena editora, chamada "Sendai editora", que não só edita BD japonesa como BD japonesa, altamente imperovável. Este livro chama-se na prisão de um autóxio japonesa chamado Casuíche Anaua.
[80:06:30 - 80:24:50]:  E é uma história autobogràfica da sua passagem pela prisão, porque lando ou brincar com algumas de filipinas de uma florista, foi preso durante 3 anos.
[80:24:50 - 81:01:30]:  E é absolutamente fascinante, este retratado da sua vida na prisão, porque as prisões japonesas nada tem a ver com as portuguesas. E o outro livro que eu trouxe é este de Junji Ito, que é um dos mestres do Orroga, a japonesa, é uma história estória estrangeíssima, espagal paladar o acidental, mas para quem gosta da cultura japonesa são muito fascinantes, coleção de contes das histórias de Orroga e este de Junji Ito.
[81:01:30 - 81:24:50]:  O Pedro Machia traz um grande autor norteamericano em rir eção.
[81:24:50 - 81:51:30]:  O Rio do Branco é um romance que trata de temas com as agruras acadêmicas, a desagregação da vida doméstica, o nazismo, as estilinhas da conspiração e as ameaças radioativas e é portanto uma comédia.
