[00:00:00 - 00:06:44]:  Essa semana a Ricardo Araús Pereira confessa-se em Inciso.
[40:33:20 - 40:43:20]:  As pessoas, se tiver que eles boam, é óbvio, não podem abrir o restaurante, não podem ser imissável.
[40:43:20 - 40:50:00]:  -As pessoas não podem engentar lá. -Podem até às três e meia das tardas.
[40:50:00 - 41:13:20]:  -Podem engentar quando fazia mais dinheiro. -A sua oportuno, pelo ferrodericos, Ricardo Raúr-Spreiro, pode haver malindra diplomático nesta ideia de mandar os portugueses de erenafeta arándologia.
[41:13:20 - 41:20:00]:  -Não sei o que vai engentar cá. -Andologia, como estava esta engentada, né?
[41:20:00 - 41:36:40]:  -Ela é basicamente o apel de ferroderico, é pessoal, nós, que estamos a pondrar para arco o desconfinamento, vamos massivamente para um sitio que ainda está pior do que nós.
[41:36:40 - 41:46:40]:  É ó, ou seja, é capaz de ser dos piores conselhos da história da política portuguesa.
[41:46:40 - 42:05:00]:  E o que estão é este tipo de declaração. A única coisa que me surpreendeu foi o senhor presidente da Assembleia da República, não estar em tronco-núco ou uma litrosa na mão.
[42:05:00 - 42:18:20]:  -Porque é o tipo de declaração que a costuma ser preferida nessas condições. Vai amor, bora, invasão, invasão.
[42:18:20 - 42:40:00]:  -Agora, eu cria, o João Miguel disse, isso que é isso, isso que é isso, os políticos quando falam de futebol, sentem-se próximos do povo, acham que é uma maneira de se aproximar, ainda, de...
[42:40:00 - 42:58:20]:  -É alguma... Mas cheirame isso é que tem um cheirinho, não é apopulismo, porque, na verdade, será aproximar-se do povo...
[42:58:20 - 43:13:20]:  Minha questão é que o povo, porque neste momento, vamos só fazer um resumzinho, portanto, nós estamos no mês de uma pandemia que está neste momento a gravar-se,
[43:13:20 - 43:43:20]:  a pandemia gerou uma crise económica bastante arruda, há desemprego designadamente, como disse João Miguel, um setor da otelaria e da restauração, há pessoas que estão mesmo com a corda negarganta, e a segunda figura do Estado diz, vamos avar, como é que é? Não preocupa-te com outras coisas, preocupa-se.
[43:43:20 - 43:51:40]:  -Ata porque havia de ver o critério de só nos aproximar-se do povo, se ele se tiver vacinado.
[43:51:40 - 44:28:20]:  -Exato, nesse caso, para a pandemia. -E, enfim, isto já seria meio absurdo, esta estreia com a seleção e tal, já acostumam cada engolir a inser com estes normais, agora, no momento como este, de pandemia e crise económica, etc., deixa lá, belge-capa.
[44:28:20 - 44:36:40]:  -Traci dentusiasmo, não é? -Já o que é só dizer. -Só que é isso. -Só que é isso.
[44:36:40 - 45:11:40]:  -Traci dentusiasmo, no momento em que se consumou apuramento, mas esta sexta-feira, no Parlamento, como é que entrepeta, pedromecia, insistencia, de ferro de riguesão, uma bravata, uma forma de responder as críticas que vieram todo lado menos da iniciativa liberal, foi a única força política a saudar o...
[45:11:40 - 45:25:00]:  -Pos claro, esses deversos de liberal, que é índio, vim para a luzinha, provavelmente, naqueles, acho que as pessoas aqui têm...
[45:25:00 - 45:50:00]:  -Aquela é muito, ideia muito como, prática, muito com muitos políticos que, para não serem apanhados em falso, dobram a voz, isso é muito como é verdade que o senhor disse uma coisa relativamente chocando, não, não, o que eu disse foi e é duplamente chocando.
[45:50:00 - 46:05:00]:  -E, portanto, não perceba insistencia, o estatuto que o futebol tem, é um estatuto que ultrapassa toda a racionalidade e é...
[46:05:00 - 46:30:00]:  -E é uma que se chama isso a psicotemia entre os cuidados e circunstancia normal e o atirar-se para a frente, em certas circunstancias, seja na política, seja na bola, é que o patamento é depressuro.
[46:30:00 - 46:38:20]:  -Vai doardo, vamos, se vire, ultima lambar uma saneta, é um ouve poder doardo, vamos.
[46:38:20 - 47:01:40]:  -Vamos lá então, acho que as sérias, o plano desconferimento foi suspenso, no caso dos conceitos de Lisboa e de Sésima, a mesma um recul, e a área entre poletana de Lisboa volta a fechar ao fim de semana.
[47:05:00 - 47:23:20]:  -Mantemos na sequência das primeiras informações que resultam da sequênciação, a prohibição de circulação de e para a área entre poletana de Lisboa ao fim de semana.
[47:23:20 - 47:40:00]:  Incluímos, no entanto, a possibilidade de se poder sair ou entrar na área entre poletana de Lisboa, com este negativo, o certificado digital.
[47:43:20 - 48:01:40]:  -Promo no Ministro Mariana Viera da Silva, anunciar a primeira utilidade prática para o novo certificado digital que não vai servir, no entanto, para ir a jantar fora em Lisboa ao fim de semana.
[48:01:40 - 48:08:20]:  -Parecem assertadas as decisões tomadas pelo Governo João Miguel Bavar.
[48:08:20 - 48:23:20]:  -Quês? Não é muito fácil responder a isso, se nós acreditámos ainda na famosa Manta Guística, o que na altura surgiu e bem, nós neste momento estamos no Vego Manque,
[48:23:20 - 48:43:20]:  portanto a lógica é seguir, vamos lá, revertir as medidas. Agora, como diz o presidente da República, o que também faz sentido, convenhem se calhar agora em que o desigote de dados, como seja, a questão da vacinação.
[48:43:20 - 48:53:20]:  -A questão da vacinação já está... -Mistra Viera da Silva referiu isso.
[48:53:20 - 49:18:20]:  -Já está introduzida na própria matriz no sentido em que já altera os dados daquelas resultados, porque, por natureza, quem foi vacinado já não estará naquela situação.
[49:18:20 - 49:25:00]:  -Já está incorporada a vacinação na matriz.
[49:25:00 - 49:40:00]:  -E se não parece que seja assim tão clágua, porque, supostamente, tu pode ser vacinado e ser desenfetado, simplesmente que eu não te refeta a ti, mas tu pode desenfetar a outros.
[49:40:00 - 49:55:00]:  -A muitas coisas que ainda não sabem sobre isso, mas o atlado é que estão, que tu não me deixaste acabar, mas é que estão dos internados.
[49:55:00 - 50:05:00]:  -Ocê já tem que se ver quantas pessoas estão realmente, sem internadas e quantas pessoas de repente estão a morrer de covid.
[50:05:00 - 50:21:40]:  -Porque, é evidente se os números subiram, mas se aquilo não tiver um impacto extraordinário, sou boi cnS, então podemos admitir certamente mais infeções na sociedade portuguesa.
[50:21:40 - 50:36:40]:  -E isso não é fácil apagar agora. Seja como for a única coisa que eu gostava de ver, também era um ocem de dar algumas responsabilidades.
[50:36:40 - 50:48:20]:  -E nós começamos a falar de bola, eu gostava ainda de saber como é que andar aqui o famoso relatório sobre o que aconteceu.
[50:48:20 - 51:01:40]:  -O governo diz que eu estava a ser elaborado por uma gestrado e que, sim, tiver concluído, será tornado por tudo.
[51:01:40 - 51:25:00]:  -Eu tenho muita curiosidade, mas se querhar antes da próxima pandemia, é bom ele vir porque quando eu olho, pôs números, aquilo que me parece que é que ela fisteijo teve um impacto claro nos números de Lisboa.
[51:25:00 - 51:40:00]:  -O que que vai custar mais? Ricardo Rousspreira, não poder jantar fora a Lisboa ou não poder sair da área de Lisboa?
[51:40:00 - 51:58:20]:  -Eu tenho pena de não poder jantar fora a Lisboa, acho que os empresários da restoração têm ainda, mas pena que eu não possa jantar fora a Lisboa, porque eu faço bastante espesa porquê muito.
[51:58:20 - 52:20:00]:  -Mas eu estava aqui, em princípio, jantar em civil é possível, e eu estava aqui a ver, os melhores do tripadvisor, tenho aqui a Baceria del Póstico, diz que é boa comida mediterrânica.
[52:20:00 - 52:41:40]:  -Lá com a milona, que também me ditrânica 2 a 3 cifrões, acho que fica mais ficar em conta, pode ser quem sabe se não dá para ir.
[52:41:40 - 52:50:00]:  -Vai ficar sugestão para... -Ficar sugestão não se pode jantar em um pômes para as massas, porque...
[52:50:00 - 53:00:00]:  -Pra a preenjo, a deslugação será massiva. -Mas massivamente jantar a civil, eu propunei isso.
[53:00:00 - 53:15:00]:  -A 19 concelha, mais de 19 conceles entre eles o Porto, a ver, de poderência obrigada a voltar atrás, como Lisboa, no plano de confinamento.
[53:15:00 - 53:25:00]:  -Está a sentir isto como uma quarta vaga e um momento preocupante da pandemia?
[53:25:00 - 53:38:20]:  -O... Como o presidente da República não há a razão assim para alarm.
[53:38:20 - 53:55:00]:  -A razão para a preocupação, a razão para alarm começa quando o SNS deixar de conseguir responder devido.
[53:55:00 - 54:01:40]:  -E o número de mortos... -Vou dar a aumentar.
[54:01:40 - 54:08:20]:  -Exatamente. -Que feita este recuo, poderá ter em termos animicos pedermos.
[54:08:20 - 54:23:20]:  Vai tornar-nos mais cuidadosos, ou irá servir de argumento para que eles conteste as restrições em postas pro governo.
[54:23:20 - 54:35:00]:  -A minha impressão para as pessoas conhecem que as pessoas cuidadosos estão tão cuidadosos como dentes,
[54:35:00 - 54:40:00]:  e as pessoas impacientes estão mais impacientes do que nunca.
[54:40:00 - 55:05:00]:  E portanto, quando as pessoas impacientes deixarem apenas de ser faixas etárias ou outras, apesar de tudo localizáveis e faças de distrossar,
[55:05:00 - 55:18:20]:  e isso vai estornar no problema. A cada vez mais, pessoas que já não estão na onda do negacionismo,
[55:18:20 - 55:28:20]:  mas já estão fartas. -E isso vai ser muito problemático.
[55:28:20 - 55:36:40]:  -O João Miguel Tavares fica sem ministro de ser castanho entre as pastas ministriais por esta semana.
[55:36:40 - 55:45:00]:  A altura agora para sabermos e temos a acelorar, ainda com a pandemia, com o pão de fundo,
[55:45:00 - 55:56:40]:  porque o Ricardo Raúx Pereira se declara, indeciso, um estado de espírito, na sequência de declarações,
[55:56:40 - 56:05:00]:  da chefe do governo ao meu angle amércolo, com críticas implícitas ao governo português.
[56:05:00 - 56:21:40]:  Lamento que não tínhamos chegado a acordo com as restrições, as viagens entre os Estados membros, e agora isso traz consequências.
[56:21:40 - 56:30:00]:  Estamos a assistir a uma situação em Portugal que talvez pudesse ter sido evitada.
[56:33:20 - 56:50:00]:  Um pochão de orélias de Ángela Merkel, ao governo português, que gerou uma troca de tweets entre PSD e IPS entre Rui Rio e Ana Catarina Mendes.
[56:50:00 - 56:55:00]:  O que é que o fecha ficaram decisos? O Ricardo Raúx Pereira.
[56:55:00 - 57:06:40]:  -Eu acompanhei também a política ao mais alto nível de via tweet, e o que o fecha ficaram decisos foi o seguinte Carlos.
[57:06:40 - 57:35:00]:  -Básicamente foi a indecisão em princípio estar manifesto, porque do PSD ainda não há muito tempo. Rui Rio estava a dizer que era uma vergonha, como é que não conseguíamos ter mais ingleses.
[57:35:00 - 57:50:00]:  -Rui o portato cristal foi o norte? -Sim, o PSD lamentava que não se Portugal não tivesse criadas quando isso podermos ter mais ingleses.
[57:50:00 - 58:01:40]:  Nisto, vem Rui Rio também do PSD e deixamos a vergonha. Temos que ter de ficar tantos ingleses no porto.
[58:01:40 - 58:26:40]:  Mesmo da parte do governo, não passou assim tanto tempo desde que se disse, é uma injustiça, nós temos saído na lista verde, para se calhar vamos parar aqui com o desconfinamento, porque isto está agregado.
[58:26:40 - 58:50:00]:  E portanto, as indecisões são de parte a parte, o nome é de quando o vejo, que quero o governo, que é a oposição, uma fase de maltura de pandemia.
[58:50:00 - 59:06:40]:  Estão com estes exágros, que eu faço, eu forço lavagem de mãos, a utilização da máscara e para baixo da cama.
[59:06:40 - 59:28:20]:  -Predar o arquivo espaço. -Compreende as críticas da chefe do governo de mãos, o amigo Alta Varzo acompanha o ministro dos novas exágros, português, quando ele diz que as palavras de Merkel são difíceis de entender.
[59:28:20 - 59:40:00]:  Eu não tenho as minhas dúvidas que algo sante-ilva, seja uma pessoa de compreensão lenta, aliás, é uma pessoa que sabe ao mal.
[59:40:00 - 60:00:00]:  -Sim, eu também cheio os palavras, ela é difícil entender, mas felizmente havia aquela dobragem. -Evei, não, não. Mas eu acho que o sante-ilva tem um histórico de dificuldade de compreensão das coisas que são verdadeiramente importantes.
[60:00:00 - 60:10:00]:  E é por causa dessa dificuldade de compreensão, que eu acho que a sua carreira governativa devia ter acabado em 2011.
[60:10:00 - 60:18:20]:  Tenda em conta aquela continuou, a gente quer que a casa atrapativa, é normal.
[60:18:20 - 60:41:40]:  Tenda em conta aquela continuou, é normal as suas dificuldades, mas atenção, eu também tenho para municar algo sante-ilva, compreensão lenta, exatamente por que o Ricardo estava a dizer, por que o mesmo algo sante-ilva estava muito pouco tempo em indignar-se.
[60:41:40 - 60:55:00]:  Portugal tem sido retirado o corredor agrego, porque aquela coisa da delta não para que se erram até o problema menino. E agora já está assim.
[60:55:00 - 61:10:00]:  Portugal devia ter fechado as portas aos ingleses, pedram-me-se antes de ser o Governo Inglês a retirar Portugal da famosa lista verde.
[61:10:00 - 61:30:00]:  -O outros países todos fizeram de fora da final, incluindo numa final entre duas equipas inglesas, em Nugrata R, que não quis.
[61:30:00 - 61:46:40]:  E portanto, acho que não teria sido desparatado, pensaram-me, pensaram-me-se nesse salto, mas deixe-me só dizer-me aqui por causa dos homenígamos.
[61:46:40 - 61:58:20]:  -E agora tenho que se dizer que o problema é grave neste matenário, em Turcolão, a Lisboa e o jogo aconteceu no Porto.
[61:58:20 - 62:10:00]:  -Eu sei, não, eu sei, mas estou a falar agora da resposta, da resposta, da não compreender a escodeça das reglas da Angela Merkel.
[62:10:00 - 62:30:00]:  O ministro Santos Silva, nos últimos meses, não vou retrocer a 2011, disse várias vezes, decisões europeias sobre de listas verdes e tal, não compreender, incompreensível, é difícil de compreender.
[62:30:00 - 62:40:00]:  O ministro Santos Silva é, a que reconhecer, um dos nesses mais inteligentes neste Governo.
[62:40:00 - 62:45:00]:  E a que tem tantas todas as semanas diz que não compreendo coisas.
[62:45:00 - 62:58:20]:  -Não sei que o círculo do inferno de vento é que eles está conservado, mas quando uma pessoa muito inteligente, todas as semanas nos comunica que não compreendeu uma coisa,
