[00:00:00 - 00:06:44]:  Esta semana, Ricardo Oro-O-Esperer declara-se fraude o lento.
[46:09:52 - 46:26:32]:  Ele relacionou a emigração com a sensação de insugurança. E quando? Quando a gente recorre ao Instituto Nacional do Dama, sem sensação?
[46:26:32 - 46:39:52]:  Isso é entrar na política de se inequivar. E entrar na política de se inequivar. É natural que há a celebração.
[46:39:52 - 46:43:12]:  - É, tem... - Tem a tabacaria, né?
[46:43:12 - 46:49:52]:  - Sim, é natural que as pessoas que praticam o política de se inequivar. - É uma celebra.
[46:49:52 - 47:04:52]:  Esta entrada em cena de pazes coelhos, a Miguel Tavares foi positiva, negativa para a estratégia de Luís Montenegro de tentar com que está ao Centro político.
[47:04:52 - 47:19:52]:  - É uma situação paralela ou parecida com o outro? - Ela está... Tu nunca sabes, não é a impossível levar a isso.
[47:19:52 - 47:39:52]:  Dentro de uma lógica de gajá, foi negativa para tentar conquistar o Centro político. Mas ao mesmo tempo, tu também pode segmentar que o Luís Montenegro está a tentar conquistar os passos do chegue, que esta terá sido até a intenção do passos coelhos.
[47:39:52 - 47:48:12]:  - Ser no algaro. - Essa matemática é absolutamente impossível de fazer.
[47:48:12 - 48:06:32]:  Mas já que o Ricardo me chamou para aqui, deixa-me só o esteste... - Deixa-me só esquecer que eu aliás, no público, utilizei mesmo o adjetivo primário.
[48:06:32 - 48:19:52]:  Eu acho que as企grações foram primárias e acho que não devem ser feitas desta maneira. E neste caso, agora, não é verdade, eu dizia no público...
[48:19:52 - 48:31:32]:  Não, não, há uma ligação em teimmigração e segurança. E em segurança, que é da parte dos immigrantes.
[48:31:32 - 48:48:12]:  - Se eles é que estão escuros. - Se eles é que estão escuros. - Mas não era isso, não era isso. - Não, não, não era. - São bons spinos. - Não, mas nós não é intensa. - Eu não estou fazendo um spin de passos coelhos.
[48:48:12 - 49:04:52]:  - Estou a dizer que este é um problema seguido do lado dos emigrantes. - Por aos quais o país se está a brinfada. - Estou de atenção, não é? - Estou de atenção nas palavras de passos coelhos.
[49:04:52 - 49:24:52]:  - Mas eu não posso... - Assim, mas eu me siga morar aqui. - A discutir as palavras de passos coelhos. - Eu acabei de dizer as palavras de passos coelhos que são primárias, mas vocês não podem. Isso é que eu sinto que ela está a história das palavras bombas, as coisas que...
[49:24:52 - 49:39:52]:  - A isto não se pode dizer assim, mas depois parece que não se pode dizer assim e também não se pode dizer de managhanhuma. - Sim, pode-se discutir. - É discutir o que eles decem concreto, amigo.
[49:39:52 - 49:44:52]:  - Está bem. - Mas é o que se pode dar, não dizem.
[49:44:52 - 50:11:32]:  - Já que estamos a falar do assunto, não vamos dizer porque a mentira que não existe um problema em cima da mesa, existe. Para já existe um problema se quiser do lado português, né? - É um emiginado dos comunidades. - É um emiginado dos comunidades do alentejo. Não é pela insugurança, mas é pela...
[50:11:32 - 50:19:52]:  - Repenta, hein, que estamos sempre acertados, mas não foi a discussa. - Não foi a discussa que ela falou isso, eu não posso falar outras coisas.
[50:19:52 - 50:28:12]:  - Não, mas estamos. - Sim, mas o último é o que estamos a comentar. - Não, mas estamos a comentar a ti, porque...
[50:28:12 - 50:38:12]:  - Sim, não é mim, é o tema. Não, só podemos... - Não, aumentar aquelas palavras do passo. - Não, não podemos comentar o tema da imensão. - Não, podemos comentar o tema da imensão.
[50:38:12 - 50:48:12]:  - Podemos comentar o tema da imensão, mas estamos a comentar o que o passo diz. - Eu já tis a reação. - O que primar. - Está bem, pronto, tarea.
[50:48:12 - 51:03:12]:  - Ficamos aí. - Ah, eu não posso dizer outro lado. - Já está. Já está dito, manhã. - É isso, mas isso é o propondo, já está? - Não, não, podemos. - Não, não, não. - Mas isso não. - É se ficamos agendados. - Mas você esqueceu se ficam. - Mas isso não.
[51:03:12 - 51:21:32]:  - É o que vocês... - O que nós estamos a fazer aqui é que ele tem um ciclo. É o que faz com que... Lá está aja, ele formulou isto de uma maneira impossível, e ele está me despedindo. Então, nós vamos para aí.
[51:21:32 - 51:51:32]:  Podemos te seguir isto de uma outra maneira. Não podemos. - Porque, que interessa. Foi a maneira como ele não se disse. - É um momento, hein, do lado, do lado. - O que é que, que é que ele nasa a esta? - É um programa, em concreto. Nesta imensão, em concreto, são as declarações do Pares de Conhe, como antes foram as declarações do Pares de Conhe. - É um desalto. - É um desalto. - Como antes. - E não se despreu a exploração do mundo. - E tem quem fala sobre isso.
[51:51:32 - 52:11:32]:  - Só se pode manifestar. - Nós temos de comentar a senhora, o João Miguel. - Nós temos de comentar a senhora. - Muito bem, muito bem. Então, como o tempo é limitado, vamos passar o próximo.
[52:11:32 - 52:38:12]:  - Não, mas que é, os passos de semana. - Não é, não é. - Não é. - Não, não é. - Por todos os seus folhares. - O que nós temos de um tempo limitado. O que eu estou aqui de não se agra é manega, como vocês empurram as coisas, para que os temas chocam, se não se desitem nada, manega.
[52:38:12 - 52:59:52]:  - Sim, sim. - É o que estás a fazer aqui. - Bom, agora estes que temos lá fora. O Pedro Messia fica assim, mistro. - Isso, o Obrita, minha sessão. - Se nós com as nossas ideias. - Não, não, não. - E os Jovem vai. - Vou ver com o tinta-vê. - Estou traducindo, não, e de tal vez.
[52:59:52 - 53:16:32]:  - Estou entregando as pastas de os dias para esta semana. Agora, altera, percebemos, porque o Jovem é igual a estar avar-se de clara "Flor de Lis" e vai ter que ser rápido, porque o tempo é curto.
[53:16:32 - 53:26:32]:  Peloas vistas, a "Flor de Lis" convontava que convocava alguma iludição literária.
[53:26:32 - 53:44:52]:  - Estou tendo a dar alíros os três musqueteiros, só estender a memória dos tempos do "Dar Takão", que é o Série X, na RTP. - São duas excelentes obras.
[53:44:52 - 54:01:32]:  - Duas últimas obras, tantos estes três musqués, e um estes de "Más" como "O Dark Takão". Não estou se apreciando muitas duas, não estou certo se que a "Flor de Lis" apagueçam no "Dar Takão" nos gastar. - Não, não me recorrem.
[54:01:32 - 54:41:32]:  - O "Flor de Lis" era o "Cymbol do Mal", descoberto por "Dar Takão" e "Milédi". - Neste caso, não está "Flor de Lis" a desmociaram "Altades". Não era só o "Cymbol do Mal". É o "Cymbol do Mal", certamente, mas era de certamente, era sobretudo, o "Franco" com que os "Criminossos" levavam e que ficava eternamente marcada na "Pel", ou seja, para todo o tempo.
[54:41:32 - 55:26:32]:  E essa é culpa do "Pastos", que parece que tem ver com o tema de "Mas" por "Dar Takão". Parece que tem ver com o tema anterior, mas não tem, porque isso foi um tema anterior, a intervenção dele, que teve ver com o "Fact" de "Permem Video" da "Campanha do PS", quando começou a "Campanha Eleitoral", "Permem Video" da "Campanha do PS". Parece mais uma vez uma senhora "Verdinha", "Perdinha" pode ter sido aquela, não é com aquelas portalecas, mas pode ser "Ah, e o "Pastos", meu Deus, e ela, como voa, as reformas".
[55:26:32 - 56:01:32]:  E eu faz muita confusão, e acho que é mal pro PS, acho que é mal pro PS, que foi aqui 2011, 2012, 12 anos depois, 12 anos depois, a primeira mensagem que o PS tem para oferecer ao país é "O "Iu Pastos", que foi tão mal postreformado".
[56:01:32 - 56:46:32]:  Isto é absurdo, é absurdo, eu acho que se vai virar contra a "Campanha do PS", e acho que é esta campanha que muita gente tem ensinado e bem que tem sido da parte da esquerda e do PS, uma campanha reativa, sempre de "Ah, e agora, que vovei o "Pastos", falou da "Imigração", e agora o "Núcio" falou do aborto, e agora ali um senhor Gensantarán que falou de "Tor uma queia e de molícias de agricultores".
[56:46:32 - 57:11:32]:  Significa que aquilo que está sempre no centro da campanha é o PSD, é a D, e parece que o PS nada tem a propriedor ao país, senão o espétero do medo, o medo do fantasma passado, o medo do "Pastos Passados".
[57:11:32 - 57:38:12]:  Acho que é pau-perre, a quem acho que funcionou em 2022, ainda que posso colocar, e pode ser funcionado em 2022, do vídeo, que é este tipo da alimentação, funciona em 2024 e estão constantemente da muito negro no coração desta campanha do Portugal.
[57:38:12 - 57:39:52]:  O "Pastos" que eu olho?
[57:39:52 - 58:04:52]:  Não, neste caso, o mundo negro quer que a gente ta...
[58:04:52 - 58:29:52]:  O que é que a gente fala disso?
[58:29:52 - 58:53:12]:  Ou seja, os malificios da friais de imaginares do pacismo em relação ao PS, e acho que é hora de acreditar os eleitos mais veitos, que na próxima sabemos que votaram pelo menos,
[58:53:12 - 59:36:32]:  que o que é mais verdade é que o PS é um dos seus feitos de eleituras mais suposivamente mais seguros, mas também o facto de não estarmos, é uma chava para a casa deve dizer, falarmos neste na altura, que é a discussão da campanha-ceria, veniu o "Pastos" ou veniu fascismo, do "Ai de outro lado veniu responsabilidade dos corruptos".
[59:36:32 - 60:23:12]:  E de facto não tem sido isso, não se tem falado, os casos que o PS, talvez porque, digamos assim, as consequências dos casos nos parecem muito nebulosas, esses não têm sido o assunto, e as figuras do, como ele diz, não arrastar os PS, pedra no santo, e o que isso na prática, o levou a fazer enquanto ministro, também não são assuntos, portanto, provavelmente, para o mal falar a cidade, talvez, por ali, estar com mais...
[60:23:12 - 61:04:52]:  como, aparentemente, com mais dinâmica do que o PS, eu acho que, acho que ele gita em me falar, não tem que se falar só, da última legislatura, mas o PS está lá há 8 anos, 3 legislaturas, eu acho que apesar de tudo, já justificava que esse não fosse o principal assunto, embora, quando as pessoas se sentem,
[61:04:52 - 61:24:52]:  e, efetivamente, tocado as por assunto, é normal que tragam essa campanha, e o PS tem que reagir a que são 2 pensões, é sempre um dos problemas que terá sempre um monte de negra, tem que lidar como é?
[61:24:52 - 61:38:12]:  E que tal tem estado a esta campanha recaradrou-vos para a era de ponto de vista, de quem tem mais interesse na espuma, de uma subestância?
[61:38:12 - 62:26:32]:  Olha, se calhar este espuma, é que é parte de espuma, porque são umas declarações de ruitaváras, sobre estar disponível para de alugar com a direita democrática, e fazer coisas em conjunto de céu, e deu um exemplo que foi, se me derem qualquer coisinha, eu aprovo vos um orçamento, não, não, não foi isso que ele disse, ele disse, deu um exemplo, que era, por exemplo, no Círculo de Compensação Nacional,
[62:26:32 - 62:46:32]:  que é que é uma coisa que tem a ver com as eleições, a votos que são desperdissados, se calhar gente podem entender-se, diz-lo com a direita democrática, e que é no sentido de fazer com que ele fosse.
[62:46:32 - 62:58:12]:  Não é votos que são desperdissados, alucais, como meu destino, ponto não pode ser de iniciativa liberal, porque o voto sabe-se que a cabeça vai potear só de polícia.
[62:58:12 - 63:03:12]:  É isso, só elas de dois deputados, é mais do que só perdido.
[63:03:12 - 63:13:12]:  E portanto, ele de paz, ele concluiza em matéries de defesa da democracia, é isso, é isso que é o Estado.
[63:13:12 - 63:19:52]:  Também foi uma outra forma de dizer que há duas direitas.
[63:19:52 - 63:31:32]:  Há duas direitas, exatamente, ele foi imediatamente posto fora da esquerda, que é um espetáculo que eu gosto de sempre de assistir,
[63:31:32 - 63:43:12]:  sobre o outro caso que é uma estratégia vencedora, a desunião parece o ideal, mas não só por...
[63:43:12 - 63:56:32]:  Assim ficam só os puros, e por isso acaba a potear mais força, apesar de ser apenas quatro pessoas do bloco de esquerda.
[63:56:32 - 64:13:12]:  Sim, o bloco de esquerda foi sobretudo o bloco de esquerda, embora também ideólogos de pedra num santo, mas sobretudo o bloco de esquerda viraram só a retavar com uma gana.
[64:13:12 - 64:28:12]:  E quer dizer, isso e translendo as declarações dele para o outro, dizendo que tinha sido outra coisa, que não é esta, que eu acabei de escrever.
[64:28:12 - 64:49:52]:  Eu não sei por que eu irritava, eu sei o que dizer, eu ofereço-lo um comunicado para ele publicar, que diz o seguinte, era a insistencia de vários dirigentes do bloco, entre as leiras minhas declarações, está sobressalta para minha avó.
[64:49:52 - 65:01:32]:  Se eu publicar isto, eu acho que talvez elas ficam conduídos e parem.
[65:01:32 - 65:18:08]:  Fica-se claro, porque é que o João Miguel Taváres se declara "Flor de Lis", o Pedro Bessia diz sentir-se que o ligado ou desligado explícela a razão de ser
[65:18:08 - 65:41:28]:  muito rapidamente a condição da coisa bizarra que foi o Biden, está no processo das primárias, o partido democrata vai ser, evidentemente, os colhidos do seu partido, mas agora nas primárias do Michigan,
[65:41:28 - 66:04:48]:  ou 100 mil pessoas a menos a votar nela em relação às anteriores primárias, e a Amazon não dá muitos humanos ou descendentes de pesar.
[66:04:48 - 66:09:48]:  Festa ligação direta com a situação no meio do dia.
[66:09:48 - 66:21:28]:  O situação do meio-oriento, que o outro fez a continuada do Estado Unido da Organção Israel, com os vetos em relação aos pedidos de ser, foguete, etc.
[66:21:28 - 66:46:28]:  O Biden foi eleito, com uma colhigação muito frágil, já da outra vez, em que incluia latinos e negros e gulhos josos, e branco, zoolco, que não tinha um prático que tinha muito criatório como...
[66:46:28 - 67:03:08]:  e gente supera com a educação superior, e o praio de febrinha, e, portanto, foi uma colhigação, embora muitos de nós perdemos de hipótica, o Trump.
[67:03:08 - 67:13:08]:  O Biden não se pode primitir para denunir os votos, agora neste momento é quase impossível isso para acontecer.
[67:13:08 - 67:23:08]:  E, portanto, esta quebra de 100 mil votos, claro, foi para assustar, ou dizem que provavelmente votarão nela...
[67:23:08 - 67:26:28]:  - A implementa de votarão. - Na seleção gerais.
[67:26:28 - 67:49:48]:  Mas qualquer pequena perda, o Michigan era um Estado, que tinha sido democrata, que o Trump, depois ganhou a Clinton, e que o Biden recuperou nas últimas eleições.
[67:49:48 - 68:09:48]:  E, falando das problemas todos que afeta o Biden, a fragilidade desta colhigação e a possibilidade de se ter alguma qualquer das latinhas que ir aquilo tudo, é assustadora.
[68:09:48 - 68:26:28]:  Como isto vai ser um tema recorrente ao longo dos próximos meses, soltamos para o próximo, uma vez que, a vemos tolerar muito das eleições americanas nas próximas semanas.
[68:26:28 - 68:38:08]:  - Estão relacionados aliás? - Já sabemos, porque aqui o Pedro Messias declara desligado ou colhigado, e vamos tentar perceber ainda no mesmo tempo.
[68:38:08 - 68:51:28]:  - Perceberem ainda no mesmo âmbito, justamente, no mesmo âmbito de certo modo. - Por que o Ricardo Raúx Pereira se anunciia fraude o lento?
[68:51:28 - 69:03:08]:  Estão aí proposito do Regresso do Daily Show na televisão americana da John Stewart, o Ricardo Raúx Pereira lá do Sítio?
[69:03:08 - 69:08:08]:  - É, chamou-lhe isso lá, né? - É, sem se dizer, sem que o desigar.
[69:08:08 - 69:13:08]:  - Um Regresso que está a ser controversa, explique-la, porquê?
[69:13:08 - 69:33:08]:  - Não, eu não diria que está a ser controversa, seria provisível, o que acontece é o John Stewart regressou, o Twitter é essa entidade, enfim...
[69:33:08 - 69:39:48]:  - John existe? - Que já não existe, tem outra nome, é a mesma coisa.
[69:39:48 - 69:54:48]:  Dice, umas pessoas disse, eram escândalos, tem muito inclinado para a esquerda, os outros disse, eram escândalos que não são socientemente inclinados para a esquerda.
[69:54:48 - 70:03:08]:  - Outro versos lá está? - Em Portugal, eu vi uma notícia sobre isto.
[70:03:08 - 70:18:08]:  O título era, John Stewart regressou e nem Biden foi popado, o que indica que, pelo justi, começa a ser, diga um nota que num programa de satira política.
[70:18:08 - 70:36:28]:  - Era o suposto Biden de ser popado? - O poder, o presidente da República calcula, não foi popado, por tanto, o olhar humorístico posou, no presidente da República, imagina.
[70:36:28 - 70:59:48]:  E depois, mas houve coisas interessantes como, por exemplo, o senhor Keith Olberman, da MSNBC, que escreveu um tweet que diz assim, após nove anos fora, nada mais há a dizer "Afrald, Boutçaidista".
[70:59:48 - 71:23:08]:  Já explico que é, do John Stewart e Chedo, por favor, vai ter embora durante outros nove anos. Boutçaidista significa o John Stewart cometo-seguinte-pecado, que é "Olhar pro Trump" e criticar as coisas que acham que são el criticáveis.
[71:23:08 - 71:54:48]:  E olhar pro Biden e fazer o mesmo. O John Stewart disse o seguinte, o John Stewart para quem eu dado a olhar há alguns anos, com a mesma vontade com que o Nani Moretti olhava pro Adalema, não a dizer "Diz uma coisa de esquerda", mas "Diz uma coisa de humorista".
[71:54:48 - 72:14:48]:  E ele disse que eu acabei de dizer que realmente eu consigo ver coisas no e no outro e depois ele disse "Se os barbaros estão aos portões", é uma coisa bastante sensata.
[72:14:48 - 72:26:28]:  "Se os barbaros estão aos portões, convém que o guarda que está a guardar o portão não seja um palerma".
[72:26:28 - 72:41:28]:  E então é que convém que a gente olha também "Poguarda" para perceber se ele é um palerma ou não, porque isso é perigoso, né? É perigoso quando o barbar está aos portões.
[72:41:28 - 72:51:28]:  Se o guardião é torsco, convém a gente também assim na láris.
[72:51:28 - 73:04:48]:  E assim se explica a situação na América também em muitos aspectos, sabemos de falar ela, naturalmente, está na altura dos livros.
[73:04:48 - 73:23:08]:  E eu trago esta semana uma proposta de desintoxicação, uma espécie de detox, estamos intoxicados de sloganes, de declarações, de controversias, natural, em tempo de campanha,
[73:23:08 - 73:41:28]:  mas há momentos em que é preciso fazer uma pausa e este livro pode ser uma boa forma de escaparmos, por instantes, à voce heria de mundo, a um livro de poesias zen japonesa.
[73:41:28 - 73:58:08]:  A primeira tradução de um dos mestres da poesia, o H. Uma forma poética clássica da literatura japonesa, menos conhecida do que o I.C.
[73:58:08 - 74:04:48]:  A poesia, o H. A caracteriza-se por cinco versos e não os três do I.C.
[74:04:48 - 74:14:48]:  Tem outras particularidades como a Métrica, mas não vamos entrar na promenora, até porque nem os conhecem bem.
[74:14:48 - 74:28:18]:  Mas há um espírito comum entre o Waka e o Aikou, um espírito subtilês, e de uma atensão
[74:28:18 - 74:36:50]:  muito particular a detalhes em fíimos este livro, recolhe, como diz a Poizia, uma dos mestres
[74:36:50 - 74:49:36]:  deste género, um monjo bodista rioca, que vivela entre 1758 e 1831 e que escreveu poemas
[74:49:36 - 74:51:24]:  como esta.
[74:51:24 - 75:04:12]:  No mundo onde tudo passeimuda, as flores da primavera iguaisinhas às doutoura.
[75:04:12 - 75:13:32]:  O livro chama "Setal como é" de rioca, seleção, organização e tradução dos japoneses
[75:13:32 - 75:19:04]:  de Marta Morais, edição acirio e alvinho.
[75:19:04 - 75:27:16]:  O João Miguel Tavares traz uma vez mais uma novela gráfica premiada, ou como dizem os
[75:27:16 - 75:28:56]:  grunhos bonecos.
[75:28:56 - 75:30:36]:  Bonecos, né?
[75:30:36 - 75:38:16]:  Sim, a banda desenhada, verdadegamente, deixou de ser bonecos, exatamente por causa de
[75:38:16 - 75:39:56]:  livros como este.
[75:39:56 - 75:51:08]:  Quando nas últimas décadas começou a dedicar, digamos assim, a ser um veículo autobiográfico
[75:51:08 - 75:58:16]:  para autores que têm histórias pessoais, claro, para contar.
[75:58:16 - 76:09:00]:  E o caso deste livro, chamado "Patro dos Dois Antes" nas áreas, "Patro Livras", é a
[76:09:00 - 76:20:36]:  história da Kate Bitton, a autora que teve que pagar o seu empreste imunificitário, volumoso
[76:20:36 - 76:27:20]:  como acontece tanto nos Estados Unidos, como no Canadá, inter-trabalhar para aquilo que
[76:27:20 - 76:32:44]:  é uma zona de estração de petróleo no coração do Canadá.
[76:32:44 - 76:46:04]:  E são os onais muito isoladas e por causa disso é como se fosse uma pequena sociedade
[76:46:04 - 76:49:36]:  no meio, com centra-secionária.
[76:49:36 - 76:56:24]:  E este livro é sobre isso e sobre as implicações todas que se têm.
[76:56:24 - 77:01:40]:  É uma ótima história, é uma história muito surpreendente.
[77:01:40 - 77:08:48]:  Ela não é uma grande desenhadora, tem um desenho 14, que é uma coisa que me chateia, mas
[77:08:48 - 77:18:40]:  ainda assim vale, e me sapena, exatamente pela originalidade da história e pela dinâmica
[77:18:40 - 77:25:32]:  que é uma edição da religião da água que tenta dar a apostar também nos teixos bonitos.
[77:25:32 - 77:34:56]:  O Pedro Mah, a mecia traz uma biografia de um político de direitas já de separecida.
[77:34:56 - 77:42:20]:  Sim, mas ficou na memória parte da direita, escoramento?
[77:42:20 - 77:48:08]:  Sim, mas se fosse para democracia, uma biografia de francês clicas-pírus, de não me
[77:48:08 - 77:49:48]:  começar de poças.
[77:49:48 - 78:00:44]:  É interessante porque o Lucas Pírus, como o autor aqui diz, esteve em todas as direitas,
[78:00:44 - 78:08:00]:  o próprio dizia, esteve em todas as direitas, deste Coimbra, até ao Governo, esteve na
[78:08:00 - 78:15:08]:  direita radical, conservadora, democrata cristã, liberal, etc.
[78:15:08 - 78:23:16]:  Era coisa rara na direita portuguesa, o fruvoroso europeiista, ou que fez, entre as coisas que
[78:23:16 - 78:31:32]:  sei isso, o CDS, enfim, não só por causa disso, foi também outra coisa rara, uma pessoa
[78:31:32 - 78:38:50]:  que esteve, que foi a ministra cultura e um bom ministra cultura de direita, há muito
[78:38:50 - 78:40:30]:  poucos.
[78:40:30 - 78:53:06]:  E foi também o criador de um dos momentos mais interessantes do pensamento, talvez o melhor
[78:53:06 - 79:00:30]:  "Think" tem que dar direita em portuguesa, foi o chamado "Grupe do Ophir", com pessoas muito
[79:00:30 - 79:09:46]:  qualificadas e que de certa forma, lançaram as baixas para um entendimento entre as direitas
[79:09:46 - 79:19:46]:  liberais, no sentido de ampla do termo, que ainda hoje pode ser quase supergramada, digamos
[79:19:46 - 79:24:58]:  assim, montar-te esmutando-esco, que se passou interessante.
[79:24:58 - 79:33:22]:  E portanto, é de facto uma... e há ainda mais uma de cada fígrimas que nos fez pensar
[79:33:22 - 79:39:58]:  com uma certa nostalgia que os nossos líderes políticos se afuram bastante melhor do que
[79:39:58 - 79:41:38]:  são agora.
[79:41:38 - 79:57:06]:  O Ricardo Arospreira propõe uma recolheta de testos de um intelectual sólido, também é
[79:57:06 - 79:58:46]:  um ficcionista.
[79:58:46 - 80:00:26]:  Exatamente.
[80:00:26 - 80:10:38]:  Mas neste livro, eu tenho 10 segundos, por isso este livro é do professor Elra Macedo, é uma
[80:10:38 - 80:18:18]:  boa maneira de pessoas como eu que não foram alunos dele e que estavam ter sido, é uma
[80:18:18 - 80:25:02]:  espécie de... é alternativa dos pobres, no fundo.
[80:25:02 - 80:34:14]:  Essa é ter aqui um conjunto de testes, são crónicas de magadora maioria editadas no
[80:34:14 - 80:43:30]:  JTL, em que o professor Elra Macedo fala das coisas que interessam, livros, escritores,
[80:43:30 - 80:54:42]:  artes geral, às vezes acontecimentos políticos que ele observa a partir do seu olhar em
[80:54:42 - 80:58:02]:  inglês, exatamente.
[80:58:02 - 80:59:42]:  É da Caminho.
[80:59:42 - 81:07:34]:  Elra Macedo, o Afxar está concluído mais uma reunião semanal, hoje é hoje, dia a
[81:07:34 - 81:15:28]:  mesmo hora, e qualquer hora em podcast, os mesmos que sempre pedram de chia, João Miguel
[81:15:28 - 82:02:46]:  Macedo, a dar-se e recarpor os prédios.
[82:02:46 - 82:16:36]:  [Música]
