[00:00:00 - 00:14:00]:  Esta semana João Miguel Tavares declarasse-se meiestro, Ricardo Braux Pereira-Sente-Scanalizador
[41:34:56 - 41:54:56]:  Agora, o que é absorso é que o Jogin Gossa mencionou, que foi evidentemente que há partidos anti-Europaíistas em Portugal, são partidos que apoiaram a Jogin Gossa.
[41:54:56 - 42:08:16]:  Portanto, isso de facto é um certo te explante que é a mesma pessoa que trouxe esses partidos para a área do Prolarco da Governação,
[42:08:16 - 42:31:36]:  mesmo que com uma forma da o poder parlamentar, agora utiliza esse argumento. É verdade que, apesar justo, esse senti o europeismo, o Euro-Seticismo, não teve influência na aevoção do PS,
[42:31:36 - 42:54:56]:  isso não vale a pena dizer que teve que não teve, é um facto que as posições sobranatos e sob a Europa do PC e do bloco não tiver influência nos grandes PS.
[42:54:56 - 43:16:36]:  Portanto, não teve. Agora, lançar a questão parece uma coisa que um pouco me desaga tanto que o chega de facto já eles foi perguntado isso por causa do grupo europeu da que fazem parte.
[43:16:36 - 43:44:56]:  O chega está rodeado de partidos que tem opiniões muito diferentes, sem assuntos muito importantes partidos que são pro-Russia e não pro-Ocrania, quase todos os amigos deles, quase todos, e mais euro-o-Séticos do que o Orócal nos convidiam.
[43:44:56 - 44:14:56]:  Por exemplo, há uma peculiaridade do chega, o chega curiosamente nesse sentido, não com pratez da mudança do João Miguel, mas nesse sentido o chega é a d'origine, digamos assim, oplements por control centralizado portas do ventura,
[44:14:56 - 44:49:56]:  basta ir às grados sociais de algumas figuras do chega, para perceber que isso não é assim, decidiu que nessa matéria nós estamos com uma indestrime e o Partido Comunista é que está com a Rússia, e foi muito lato, um pouco uma melônica e também fez na Itália, que é de facto o único exemplo que as pessoas conseguem andar sobre um radical que se mover é a melônica, não há outro.
[44:49:56 - 45:13:16]:  E por tanto, isso vai ser muito interessante uma calvagem de gerir isso até do ponto de vista europeu, onde, provavelmente, poderá ganhar as europeias do chega, perfeitamente possível que o chega chega, mas as ilestões...
[45:13:16 - 45:16:36]:  O comportamento da abstenção, né?
[45:16:36 - 45:38:16]:  Não é muito isso, mas as ilestões é que as pessoas arriscam e votam de forma diferente, não têm a mesma filidade partidária, vai com este embal, ainda faltam uns meses, devoremos o que será na altura.
[45:38:16 - 45:58:16]:  Em que me dídem que os resultados da emigração podem ser um pronúncio para as eleições europeias em junho, Ricardo Raúxpera, nessa votação já não vai estar nada muito dramático em jogo,
[45:58:16 - 46:09:56]:  só vão votar os eleitores mais motivados, motivados por qualquer razão, consegue pro-musticar?
[46:09:56 - 46:24:56]:  Sim, normalmente, eleitores motivados para votar nas eleições europeias, que estuma ser um grupo bastante reduzida de pessoas.
[46:24:56 - 46:43:16]:  Eu acho que não sei se vai acontecer o mesmo, porque que estuma ser assim, não é, destas são mais curiosas ainda, porque são eleições que estão muito juntas uma da outra.
[46:43:16 - 47:11:36]:  Mas que estuma ser assim, às vezes, o eleiturado diz coisas muito diferentes entre uma eleição para outra. Aliás, acabamos de ver que há dois anos tivemos umas legis relativas e em que as respostas de eleitratos foi bastante diferente da que deu agora.
[47:11:36 - 47:43:16]:  Neste ex-Europaíso, eu acho que não sei se vai acontecer o mesmo, se as pessoas querem, de facto, reforçar votando no chegue, reforçar o grupo europeu, que inclui como Pedro dizia, todos aqueles amigos do chegue, incluindo, por exemplo, a AfD, que era abandonar o euro e retomar o mar com a um.
[47:43:16 - 48:23:16]:  Por exemplo, se nós queremos dar força a esse grupo, eu imagino que mesmo próprio chegue seja desgradável integrar este grupo, porque apresentar-se lá com esta gente do sul da Europa, com esta espécie vagamente magra-bino, entrar naquele grupo identidade e não sei que sentar ao pé dos senhores.
[48:23:16 - 48:34:56]:  Não, não, o Pedro é o único exemplar aqui desta mesa que não parece ser andar a uma procura de lojas.
[48:34:56 - 48:39:56]:  Só sei lojas branquinhos. Só se estoura a procura de lojas branquinhos.
[48:39:56 - 48:44:56]:  E ainda não vista a lista. Não tenho a certeza.
[48:44:56 - 48:56:36]:  O João Miguel Tavarres, ficar sim ministro do Euro, setecismo estão entregos as pastas ministriais para esta semana.
[48:56:36 - 49:21:36]:  Agora vamos saber por que o Pedro mexia, se declara uma força viva, como aquelas que andré aventura invocou, evocou a campanha-litoral para que o PSD aceita-se coligasse com chega.
[49:21:36 - 49:31:36]:  Eu tenho aqui este tema que já estamos com a dinhum ultrapassada de certa forma para se liberar o facto de me estar enganado.
[49:31:36 - 49:54:56]:  Uma vez que começou a peçar, muitas vezes fica o conteúdo de me estar enganado. E eu achei que o PSD não ia resistir ao canto das direitas todas as luntas.
[49:54:56 - 49:59:56]:  Mas sim, plica que achava que a aventura estava a dizer a verdade.
[49:59:56 - 50:04:56]:  E a relação às forças de vasirento roubar o mundo?
[50:04:56 - 50:23:16]:  Não, isso não, desse ponto é isso, não. Acho que ia ter uma clausela mais em aberto para depois de bom, não vamos falar, depois veremos do Parlamento.
[50:23:16 - 50:38:16]:  Esta semana conhecemos as forças vivas militantes e ex-militantes do PSD. Não ouviram mas era com as militantes.
[50:38:16 - 50:51:36]:  Os militantes e ex-militantes apresentaram o manifesto portugá-la em primeiro.
[50:51:36 - 51:04:56]:  Os militantes enquanto as endiam, os hematicos que eu disse a outra direita, a vez que a vez no partido nunca ou nunca ouviu falar alguns deles.
[51:04:56 - 51:19:56]:  Isso surpreende porque precisar toda a duas fações no PSD ou falar como ta gente do PSD, no último mês.
[51:19:56 - 51:34:56]:  E percebi e confirmar em minha impressão que havia duas fações que havia a fação da empatia e a fação da aritomética.
[51:34:56 - 51:48:16]:  A fação da empatia é uma fação que eu embora repugno totalmente a ideia.
[51:48:16 - 51:56:36]:  Estou no seu direito que são as pessoas que acham que o cheguei o PSD tem mais a mesma imas ideias.
[51:56:36 - 52:16:36]:  Muitas pessoas conhecem muito as pessoas que não ouviram nada a dizer que o que eu acho que o que é o estranho é que a gente diz que "eu não tenho nada a ver com isso".
[52:16:36 - 52:33:16]:  Mas faz sentido, faz sentido, sem acredito nisso, faz sentido que ajam a união e depois há a pandilha da matemática.
[52:33:16 - 52:48:16]:  É o que é realmente a leção, péssimos, temos que poder, vende também, vamos lá do mês daqui a pecado.
[52:48:16 - 52:53:16]:  Temos que poder vende essa mãe e eu tenho mentir para ti.
[52:53:16 - 53:04:56]:  É porque haveria este grupo de sete capitaniados por o que vamos dar a sema, faz parte do grupo da matemática, faz parte do grupo da matemática.
[53:04:56 - 53:13:16]:  Eu faço, eu faço ele não sei se é justiça, eu acho que são do primeiro grupo.
[53:13:16 - 53:21:36]:  Acho que eles fazem parte. Parece que eu não conheço alguns deles, mas do que vi.
[53:21:36 - 53:24:56]:  É mais correus.
[53:24:56 - 53:29:56]:  Gomes da Silva já tem esta opinião há muito tempo.
[53:29:56 - 53:48:16]:  É um defensor desta política da primeira hora e, portanto, na verdade, até há pessoas da linha da proximidade dos manteneicos que mudaram de ideias.
[53:48:16 - 53:56:36]:  Amiga, o Pintulio me deu de ideias. Por exemplo, ainda bem, me deu de ideias, mas me deu de ideias.
[53:56:36 - 54:08:16]:  Eu achava que havia mais gente que ia ficar no fim em cima do muro e não ficar.
[54:08:16 - 54:11:36]:  Vamos ver o que é isto vai acontecer.
[54:11:36 - 54:26:36]:  Sendo que isto foi uma promessa eleitoral que ele manteve, mas eu não estou na hora que eu conhecido que isto seja para durar.
[54:26:36 - 54:29:56]:  Ou seja, não estou convencido que...
[54:29:56 - 54:39:56]:  Que o Peste não sei se manto negro, que o Peste tem a manter em a esta...
[54:39:56 - 54:46:36]:  Acho que o Mante negro não tem maneira que, quer dizer, seria escandaloso.
[54:46:36 - 55:01:36]:  Mas o Peste depois mante negro acho que a institucionalização do chega e o peso para lamentar do chega, que é absolutamente logítimo,
[55:01:36 - 55:11:36]:  vai convencer uma parte das pessoas de que é um parecer natural, uma vez que é um partido de direita.
[55:11:36 - 55:18:16]:  Esse parecer diz que o Peste é igual a o PS, mas isso é um pequeno detalhe.
[55:18:16 - 55:24:56]:  Mas, mas de lhes mante negro aguento-o se eu fiquei contendo com isto.
[55:24:56 - 55:36:36]:  Serão os 7 deste documento, João Miguel Tavares, candidatos potenciais entre gravas listas do chega numa próxima eleição?
[55:36:36 - 55:44:56]:  Olha uma ideia. É uma ideia que está saudável. Acho que sim, a este deve ser aproveitada.
[55:44:56 - 55:51:36]:  Nós em Portugal temos a expressão de repara o fundo de otasho.
[55:51:36 - 55:56:36]:  E isto não é repara o fundo de otasho.
[55:56:36 - 56:04:56]:  Isto é tirar com o dedo uma pinga, aquelas pinga isto comida, que ficaram no fogão.
[56:04:56 - 56:21:36]:  Tigando tal vez Miguel Corte Real que tem algum papel no pote, no PSD, a lista é de facto que tem engraçada,
[56:21:36 - 56:29:56]:  em que cabeçada por Hugo Riga-Mosda Silva, que é uma pessoa ingressa e de estes tempos de pete Santana-Lobos
[56:29:56 - 56:34:56]:  e depois continuou com o comentador de portivo.
[56:34:56 - 56:43:16]:  É que é um consórcio do Ricardo, sim, um consórcio do Ricardo, e um consórcio de todos nós.
[56:43:16 - 56:48:16]:  Acho que eu. É exato. É um pacota.
[56:48:16 - 57:01:36]:  É um pacota. E o autor não desfazendo de colesterol, me desrealidade.
[57:01:36 - 57:04:56]:  É, mano, ao pinto colho.
[57:04:56 - 57:09:56]:  Você sabe que era o Hugo Amosda Silva?
[57:09:56 - 57:18:16]:  Não, não, não. Se calhar também, a capaça é uma boa reflexão sobre o colesterol.
[57:18:16 - 57:28:16]:  Acho que esta é a coisa que fica um bocadinho ridículo no sentido que é bem.
[57:28:16 - 57:43:16]:  É um encontrar-vaz ali alguns nomes de peso, então, a bestinha, isto fazia aquilo, mas não é este facto o Riga-Mosda Silva naquilo que é a ter renação do ridículo, não é a sua melhor qualidade.
[57:43:16 - 57:53:16]:  Mas é algo que um comentário o facto de já que falamos dele, o padrinho de casamento de André Ventura,
[57:53:16 - 57:58:16]:  - Sim, está logo a brincadeira do mundo. - O que você acha?
[57:58:16 - 58:01:36]:  Fomentar esta lista? É a próxima.
[58:01:36 - 58:06:36]:  - É, mas manifeste? - Sim, é porvoa sério.
[58:06:36 - 58:09:46]:  masyas foi, sejaonter as 5, mas Practice não foi čã não, bumpy ref this
[58:09:46 - 58:11:58]:  começa em sphere costumando uma tranquila sangria
[58:11:58 - 58:16:34]:  e eu nem soudem muito de um vente com o problema
[58:16:34 - 58:18:10]:  no Bernie 1990 сказ para a imediat properties
[58:18:10 - 58:21:12]:  contra os Bang R cooperative
[58:21:12 - 58:25:30]:  nas maisростas de gasto desperately
[58:25:30 - 58:29:28]:  e também no sobretanto para os governos
[58:29:28 - 58:31:58]:  que hoje também Trying to Power
[58:31:58 - 58:33:16]:  Fujow
[58:33:16 - 58:35:36]:  que é sóło
[58:35:36 - 59:16:42]: ى noấtos e calina da Transνε dos
[59:16:42 - 59:26:06]:  Quando ninguém está ao vir... eu acho que ela também se inscreva, mas não pode dizer que é pública.
[59:26:06 - 59:31:42]:  Pois não diz que é de poder, mas pode! Só que eu quero fazer essa figura...
[59:31:42 - 59:35:06]:  Por tanto lembrar que o venturas teve no PS!
[59:35:06 - 59:39:14]:  - É uma das vantagens, é uma das vantagens. - É uma das vantagens da...
[59:39:14 - 59:43:46]:  - Da como... - Tem o debate da cipulusacional! - Não, não!
[59:43:46 - 59:47:02]:  - Tem que ter as compagens de cipulusacional. - Tem que ter que ter o debate da cipulusacional.
[59:47:02 - 59:49:18]:  Eu factarro holótoco como um monte negro.
[59:49:18 - 59:54:54]:  - E por tanto, tem que ser... - O venturas teve no PSD, então...
[59:54:54 - 59:57:00]:  Desculpa, deixa-me fazer a pergunta!
[59:57:00 - 60:04:02]:  O lujo foi o homem que acabou de dizer no meio de entrevista, que a razão pela qual
[60:04:02 - 60:11:06]:  mudou da opinião, de forma tão celebrada pelo mexer, foi...
[60:11:06 - 60:15:14]:  É, é que em 2019...
[60:15:14 - 60:21:38]:  O chega era mais mudrada e depois radicalizou-se!
[60:21:38 - 60:28:46]:  Foi o que ele disse! A razão pela qual mudou de ideias foi a radicalização do chega
[60:28:46 - 60:31:14]:  desde 2019 até agora!
[60:31:14 - 60:38:14]:  Pois é, lá está o mesmo aventura quando esteve no PSD, recordo!
[60:38:14 - 60:48:30]:  Era muito mudrado, foi celebrada a mudração de algo como candidato a Lourdes,
[60:48:30 - 60:56:14]:  de tal forma que o CDS resolveu abandonar essa coligação.
[60:56:14 - 61:05:42]:  Mas, para uma pessoa que esteve no PSD e que esteve numa posição de destaque tal que chegou
[61:05:42 - 61:14:06]:  a ser candidato a uma autarquia, o que ele tem para apresentar a isto?
[61:14:06 - 61:23:22]:  As forças vivas são estas, as pessoas que ençaiam por um acordo com ele, são estas.
[61:23:22 - 61:25:50]:  - É, não são, de facto não são. - Sério?
[61:25:50 - 61:32:46]:  - Há muita gente, mas é o único que tem este, o afrenico que tem, o curagem de o deserempo.
[61:32:46 - 61:39:38]:  - Sim, sim. - Que não tem um vergonha de o deserempo, que estas são forças vivas, porque se cadarei
[61:39:38 - 61:46:22]:  aquilo é, é, mentáforo do João Miguel, é rapar o fundo ao taxo, só que o taxo está para
[61:46:22 - 61:56:14]:  lavar há muito tempo e as forças são vivas, porque começou a germinar, naquelas crostas.
[61:56:14 - 62:06:22]:  E como é que se rapa o fundo do taxo com um saluzar, o que é propria a partir deste caso?
[62:06:22 - 62:14:54]:  - Está esclarecido porque aqui o Pedro Messia, se declara uma força viva, o João Miguel
[62:14:54 - 62:24:04]:  Tavars identifica-se com maestro e que está lá a afinação.
[62:24:04 - 62:29:18]:  - A afinação é ótima, está em linha contra as composições.
[62:29:18 - 62:36:30]:  - Quero falar da operação lançada esta semana pela Pejota, que tem como principal
[62:36:30 - 62:45:42]:  suspeito o empresário manual serrão, o que é que eles chamam mais atenção neste caso?
[62:45:42 - 62:48:30]:  - Há várias coisas que me chamam atenção.
[62:48:30 - 62:56:34]:  Primeiro, o Ministério Público continua a ter um grande talento para saber aquilo que
[62:56:34 - 63:06:16]:  interessa aos jornais e uma coisa é alguém de viar com 40 milhões, que é uma chatice,
[63:06:16 - 63:07:56]:  é chate, tal.
[63:07:56 - 63:10:26]:  - Por que você vive em hotel?
[63:10:26 - 63:20:02]:  - Quanta coisa está a viver em 8 anos, não chega tanto do Porto e aparentemente quem
[63:20:02 - 63:31:12]:  pagar as faturas é empresa e isso a gente fica ali, não só ficamos logo ali, olha como
[63:31:12 - 63:36:46]:  é parte de secar, não é uma coisa muito difícil de provar, é só perguntar ao portário
[63:36:46 - 63:45:26]:  e perguntar, isso também quer que andou pagar as faturas, porque o facto que andou as faturas
[63:45:26 - 63:52:34]:  foi em empresa do 8 anos, é daquelas coisas, é verdade que isso ainda não foi em tribunal,
[63:52:34 - 63:58:54]:  isso quer nem isso, quer que crima, mas é uma situação absolutamente insustentável para
[63:58:54 - 64:06:46]:  me alcerrar, aparentemente também, isso, aparentemente insustentável para o Pujolo Imagalhantes,
[64:06:46 - 64:13:14]:  que já teve que ser afastado da TVI, já teve que afastar da radio observador e é muito
[64:13:14 - 64:16:42]:  embarassoso para todas estas pessoas.
[64:16:42 - 64:25:22]:  Agora, há um lado aqui também muito curioso, que o Ministério Público também aprendeu
[64:25:22 - 64:34:54]:  porque desta vez, não, ou que por isso ainda não é se cargar, que o It's, e eu acho que isso
[64:34:54 - 64:41:50]:  é positivo, até porque ainda está para provar, que se quando os aguíds são de tides e
[64:41:50 - 64:51:54]:  apresentados ao juiz, que eles depois tenham ali umas declarações extremamente eclaxidoras
[64:51:54 - 65:04:10]:  que ajudem muito a tentar perceber porque aqui estece em uma outra maneira, foram
[65:04:10 - 65:15:10]:  pesquisar, agora ficam uns tempinhos analisados contidos dos computadores e do que
[65:15:10 - 65:21:34]:  os meus apregandidos, estão em móveis e depois daqui a uns tempos menos dá mais notícias
[65:21:34 - 65:26:38]:  disso, o que me parece ser muito bem.
[65:26:38 - 65:28:18]:  Saram logo a dar?
[65:28:18 - 65:34:58]:  Não, mas é aquela que já sabia, até porque combásem escutas e tudo isso, mas isso ainda
[65:34:58 - 65:43:02]:  é uma investigação para o Minagalhantes, estão a profundar essa investigação, parece
[65:43:02 - 65:50:10]:  também, bom, espossitamente, aparentemente também há secretários de estado envolvidos
[65:50:10 - 65:55:54]:  e não há garantias que não há a política esclista, até porque há alguém que atribui os
[65:55:54 - 66:05:06]:  fundos e finalmente só em relação aos próprios fundos, olha que estranho não.
[66:05:06 - 66:13:46]:  Os fundos de bosseelas estão seguindo por ventados por mais práticas, é uma coisa que os pantatotos.
[66:13:46 - 66:23:18]:  O aspecto mais vistoso do que veia pública é que estão que o João Miguel já refriu o
[66:23:18 - 66:31:26]:  facto de legadamente de uma noce raro ter vivido durante oito anos, no hotel a custa de
[66:31:26 - 66:38:14]:  fundos europeus gostaria de viver no hotel, recada no espera.
[66:38:14 - 66:43:14]:  Não, parece muito prático, mas prático é para.
[66:43:14 - 66:48:02]:  Não sei se é prático, não confide com tudo onde há, não é?
[66:48:02 - 66:49:42]:  Não dá.
[66:49:42 - 66:51:46]:  E a mesma mesa é repalavada.
[66:51:46 - 66:54:18]:  Claro que, certo, sim.
[66:54:18 - 67:03:30]:  Mas se for um niore para apagar, é uma prisão.
[67:03:30 - 67:05:10]:  É certo.
[67:05:10 - 67:18:50]:  Mas eu acho que a questão é ser sempre o mesmo hotel, porque se fosse, vamos sepor que ele
[67:18:50 - 67:20:30]:  é do comida ao fim do mundo.
[67:20:30 - 67:22:58]:  É do clítica, é do fim dos meses.
[67:22:58 - 67:26:50]:  Em Jó, foram servidos, apacariados.
[67:26:50 - 67:29:18]:  São várias coisas, é isso.
[67:29:18 - 67:30:58]:  Minivar sempre é igual.
[67:30:58 - 67:41:38]:  É isso, e depois é uma questão de poder agora responder à investigação que não repare
[67:41:38 - 67:44:30]:  o seu, eu passei uma semana, né?
[67:44:30 - 67:47:58]:  Nel últimos oito anos passei uma semana em cada hotel.
[67:47:58 - 67:55:26]:  Na verdade é um investimento europeu, em atalaria, em turismo, em Portugal.
[67:55:26 - 68:02:30]:  Agora é canalizar todo o investimento europeu no cheiro do polio.
[68:02:30 - 68:04:10]:  Porto, sim.
[68:04:10 - 68:12:10]:  Parece-me que ainda, por cima, quer dizer, conhecendo o cheiro, eu não sei se ele estava
[68:12:10 - 68:18:10]:  a precisar deste ingéso de capital.
[68:18:10 - 68:21:10]:  É possível que seja de desperdição.
[68:21:10 - 68:27:10]:  O que é que se lhe oferece dizer, este respeito, a respeito deste caso, ou está
[68:27:10 - 68:32:10]:  muito bem, é isso.
[68:32:10 - 68:40:30]:  Só duas coisas muito graficas, uma é que as suas desenhas, as crianças, segue o teu sonho.
[68:40:30 - 68:47:54]:  E por isso, deviver no hotel do luxo, é custa dinheiro de europeus, parece um sonho
[68:47:54 - 68:51:18]:  perfectamente bom para se ter.
[68:51:18 - 68:54:38]:  Estas enviando a vida do Anel Sinal.
[68:54:38 - 68:57:58]:  A sua inscrição daqui, é realmente.
[68:57:58 - 68:59:38]:  É a sua inscrição.
[68:59:38 - 69:01:18]:  Nossa, é verdade.
[69:01:18 - 69:02:58]:  Não sei o que aconteceu.
[69:02:58 - 69:04:38]:  Estou só a dizer...
[69:04:38 - 69:07:58]:  É comenta-me um título de jornal.
[69:07:58 - 69:09:38]:  Eu vivia.
[69:09:38 - 69:11:18]:  É sabe-se que isso era.
[69:11:18 - 69:12:58]:  Eu não devia de nada.
[69:12:58 - 69:16:18]:  É o segundo lugar.
[69:16:18 - 69:19:38]:  Eu não devia deixar as minhas empas.
[69:19:38 - 69:33:30]:  E irritante tanto que as trafelices com mães, mães ou pais, mas as mães, a conta da
[69:33:30 - 69:38:50]:  mãe, me comentava a conta da mãe para...
[69:38:50 - 69:41:10]:  Não, deixei as mães.
[69:41:10 - 69:45:10]:  Temos também, forte, o nível.
[69:45:10 - 69:46:50]:  Fulis mesmo mesmo.
[69:46:50 - 69:50:10]:  Mas a checo nível é exáduamente.
[69:50:10 - 69:51:50]:  Exatamente.
[69:51:50 - 69:56:10]:  É uma congível de decidida aí da senhora serão.
[69:56:10 - 69:57:50]:  Concord.
[69:57:50 - 70:09:20]:  Há demasiadas pessoas já me teram o cong no estrafilice, mas quando eu lhe queim, é mãe e
[70:09:20 - 70:11:00]:  filho.
[70:11:00 - 70:21:42]:  E a Espanha neste momento há dois casos políticos de alta intensidade com congios.
[70:21:42 - 70:26:02]:  Comgis, aí o marido da ai.
[70:26:02 - 70:36:42]:  E a mulher do Pedro Sánchez são dois casos que estão animados.
[70:36:42 - 70:38:22]:  Que é para não se ficar errando.
[70:38:22 - 70:40:02]:  É política espagnola.
[70:40:02 - 70:49:02]:  Já sabemos porque o João Miguel Tavares se declara, mas é esto, agora vamos tentar perceber
[70:49:02 - 70:54:18]:  porque o Ricardo Raújo para era rapidinho, sim?
[70:54:18 - 70:55:58]:  Sim, sim.
[70:55:58 - 71:02:06]:  Se anunciar canalizadora, está a pensar que analisar o quê?
[71:02:06 - 71:13:42]:  Eu verifiquei um problema de canalização porque quando este problema do aventura social
[71:13:42 - 71:22:58]:  santo, em Coimbra, surgiu, o aventura disse se lembra o neoliberalismo estar a robar
[71:22:58 - 71:35:10]:  a alma da solidariedade e da coisão social e a criar subjectividades que canalizam os seus
[71:35:10 - 71:41:50]:  recentimentos para acusações de que sabem não poder haver contraditório e ficar.
[71:41:50 - 71:43:30]:  Isso é propósito.
[71:43:30 - 71:51:58]:  O neoliberalismo estava a canalizar estas subjectividades.
[71:51:58 - 72:00:38]:  E isto vem do relatório de uma comissão independenta do Centro de Estudos Sociais
[72:00:38 - 72:08:54]:  de Coimbra para investigar práticas, alregadas práticas de abusos na instituição.
[72:08:54 - 72:21:06]:  E esta semana, um grupo de queixosas, o neoliberalismo do Anonimáza, para dar-te muito público
[72:21:06 - 72:22:46]:  das suas queixas.
[72:22:46 - 72:28:22]:  Sim, de que as alquatoras neoliberais, algumas as coisas trabalham no sério.
[72:28:22 - 72:37:06]:  Para mais ou menos, são o principal visado nisso todo o social, por vento de pessoas
[72:37:06 - 72:42:02]:  acentes, se saí da tudo isto.
[72:42:02 - 72:47:06]:  Acho que saí com alguma dificuldade.
[72:47:06 - 72:55:58]:  Porque as subjectividades que tinham canalizável, eram tantos.
[72:55:58 - 73:07:10]:  Não entretanto abriu o cetroneiro da canalização, saiu este relatório e estas 13 mulheres que
[73:07:10 - 73:12:50]:  tiveram a curagem de ouvir.
[73:12:50 - 73:18:10]:  A gente sabe os nomes, elas assinaram.
[73:18:10 - 73:24:10]:  Elas não parecem de facto especialmente comprometidas com neoliberalismo.
[73:24:10 - 73:35:10]:  E portanto, é possível que neste caso, tanto, adicou neoliberalismo que tem innumos
[73:35:10 - 73:42:02]:  de feitos, mas é possível que esteja inocente deste caso concreto, tal como o próprio
[73:42:02 - 73:45:22]:  feudalismo.
[73:45:22 - 73:52:10]:  Acho que o feudalismo também é capaz de estar inocente aqui, o nazismo.
[73:52:10 - 74:09:22]:  Porque, lendo o relatório, parece ser mais um padrão de abusos e da séril, que costuma
[74:09:22 - 74:19:54]:  acontecer quando pessoas podem e como podem.
[74:19:54 - 74:21:34]:  Claro.
[74:21:34 - 74:23:14]:  É uma questão do poder.
[74:23:14 - 74:24:54]:  É a questão do poder.
[74:24:54 - 74:34:50]:  Está a altura dos livros e eu trago esta semana um livro de um sábio, que uma ter
[74:34:50 - 74:43:38]:  a verdadeira que todos os professores deviam ler, chamam-se as lições dos mestres.
[74:43:38 - 74:49:02]:  E o autor é o enceito George Steiner, como o reúeno de 2020.
[74:49:02 - 74:53:38]:  É um livro que já teve quatro edições entre ireiras.
[74:53:38 - 74:57:22]:  Já estava há algum tempo posturado.
[74:57:22 - 75:05:10]:  Regresa agora as livrarias com um profácio da professora Maria do Carme Vieira, que considera
[75:05:10 - 75:14:14]:  um ato de resistência e vou citá-la nesta frase, um ato de resistência contra a crise
[75:14:14 - 75:27:22]:  na educação e a ênfase posta na tecnologia, uma crise generalizada que atingiu a maioria
[75:27:22 - 75:37:46]:  das disciplinas escolas, ponde partes chamadas humanidades, por não serem imediatamente produtivas
[75:37:46 - 75:46:54]:  e orientadas para o pragmatismo de uma valorização económica imediata.
[75:46:54 - 75:54:46]:  Essas conferências, preferidas por George Steiner, não necessidade de adarvar no princípio
[75:54:46 - 76:05:10]:  do século, no ano-relativo de 2001-2002, encontramos um cruzamento de saber-se, por isso
[76:05:10 - 76:15:02]:  eu dizia que se trata de um sábio, com referências a filosofia, a literatura, a ciência, a
[76:15:02 - 76:27:18]:  arte, a religião, até ao desporto, uma irudição serena, em que a relação entre mestres
[76:27:18 - 76:34:54]:  e de cipulo é questionada, sempre com a certeza de que a transmissão de saber que o
[76:34:54 - 76:46:34]:  passado nos ligou a essencial e que ninguém pode ignorar o conhecimento acumulado pela humanidade
[76:46:34 - 76:56:18]:  como se não tivesse habido nada antes de nós e como se pudessemos reinventar a roda.
[76:56:18 - 77:03:10]:  As lições dos mestres de George Steiner é de agrediva.
[77:03:10 - 77:11:18]:  O João Miguel Taváres suger um livro com letras sobre letras.
[77:11:18 - 77:18:18]:  Sim, sobre letras é daqueles livres assim, que nos aparecem inopinadamente, não atrás
[77:18:18 - 77:29:58]:  do carro, mas às vezes numa livraria, esse caso foi na coloque de alvalada, o que me entregaram
[77:29:58 - 77:39:14]:  o livro, o que me muderam a conhecer, também está disponível no site do autor, porque é uma edição
[77:39:14 - 77:48:30]:  da autor, do vitórica, que é a designer e que ter repente dicou os últimos dez anos da
[77:48:30 - 77:57:42]:  sua vida a fazer e investigar este livro, chamado letras, Histórias Art e Enjâneo, e é uma
[77:57:42 - 78:01:46]:  história das letras desde o Gutemberg, até...
[78:01:46 - 78:10:22]:  E da typografia, desde o Gutemberg até o presente, mas é realmente um trabalho enorme,
[78:10:22 - 78:18:58]:  não só a nível de investigação e de contar a história de tudo, e depois ele ainda
[78:18:58 - 78:26:14]:  se deu a trabalho de fazer estas ilustrançações em as amãs a partir de fotografias, claro,
[78:26:14 - 78:34:14]:  e de alguns casos, tive que andar nas letras mais antigas, andou entre comenta centígros,
[78:34:14 - 78:44:02]:  a desenhaga as letras também, porque ele, portanto, é um trabalho mesmo muito interessante
[78:44:02 - 78:48:50]:  que eu recomendo que a história das letras é uma história fascinante.
[78:48:50 - 78:54:58]:  Usamos-las todos os dias, mas, muitas vezes, não sabemos onde aquelas vem e aqui está uma ótima
[78:54:58 - 78:57:18]:  oportunidade para ficar a saber.
[78:57:18 - 79:04:42]:  O Permice é, traz um estudo sobre bons bandidos.
[79:04:42 - 79:10:06]:  Sim, bons bandidos, não é o preno do autor, naturalmente.
[79:10:06 - 79:17:50]:  O Eric Obesbaum, que era um historiador marxista em inglês, e Eric Marquesista, porque é
[79:17:50 - 79:27:38]:  importante, porque eu vou falar de pessoas ou de grupos que às vezes um marxismo olha
[79:27:38 - 79:37:34]:  com alguma desconfiança, e pelo contrário, eu vei as hipóticas que eu vou funcionar
[79:37:34 - 79:47:34]:  e as outras escrupcadas, mas a falar dos cangaceiros, dos que voltosos, não necessariamente
[79:47:34 - 79:56:34]:  por razões políticos ideológicas, que vão desde o Robin de Bosques até o Pansuvila
[79:56:34 - 79:59:54]:  e outras figuras.
[79:59:54 - 80:10:18]:  E o Eric Obesbaum vai estudar estas figuras, mostrando que elas foram, nem dimentem que
[80:10:18 - 80:22:22]:  eram isso o messe que se opunham a menor que a Aristocaricia, a Oestado Borguês e que contribuiam,
[80:22:22 - 80:33:58]:  na famosa história do Robin de Bosques, para tirar os ricos e dar aos pobres, eram
[80:33:58 - 80:48:38]:  uma espécie de distribuição pouco amável de riqueza, de terras, de costumas locais, e
[80:48:38 - 81:00:02]:  portanto, a possibilidade de revolucionar e dos forais de aleitos, não é sempre uma coisa
