[00:00:00 - 00:06:20]:  Esta semana João Miguel Tavarres confessa-se zero.
[46:22:32 - 46:29:12]:  - Ele é uma la atenção, isso. - É verdade, faz uma la atenção e por isso já tenho que tomar comprimento.
[46:29:12 - 46:32:32]:  Mas...
[46:32:32 - 46:54:12]:  Porque aquele leva-seio, estas coisas, com de corrupção, de volas nocráticos, de guerras e outras coisas que tais, é muito difícil engolir.
[46:54:12 - 47:15:52]:  Esta vinda, não vim de ser de abril mais uma vez, porque um é preciso ser totalmente insensível. Acho que as questões, da corrupção e das ligações de lula, a sócria, que são profundíssimas.
[47:15:52 - 47:19:12]:  - Tá, tá, tá, tá. - E ainda agora, o semer...
[47:19:12 - 47:22:32]:  - Essa discussão é uma decisão, a decisão não é a decisão. - Essa...
[47:22:32 - 47:27:32]:  Nós já tivemos essa discussão e estamos em parte do acordo da discussão.
[47:27:32 - 47:31:44]:  - Essa é uma, mas que mesmo assim as pessoas continuam indif
[47:31:44 - 47:45:04]:  - E indif Commission não fosse nada, o fim deste tempo, todo ainda... - Neste caso não vai para azeit, para não ter imóneo oficial. - É que estão do que é. - É que estão do que é. - Quer que não vai passar.
[47:45:04 - 47:51:44]:  - Mas eu já argumenta, isso é um mentira completo, mas quer te compre isso.
[47:51:44 - 47:56:44]:  - Quer que compre que não vai para a situação? - Normalmente, oficialmente, não vai.
[47:56:44 - 48:03:24]:  - Normalmente eu já disse isto aqui e vou ter e pas pessoas por aí. - É, não é a menina.
[48:03:24 - 48:11:44]:  - Não é a menina, é. É as dez da manhã. O ano passado começou às dez da manhã.
[48:11:44 - 48:21:44]:  - Mas fecham a sessão. - É única de infragem. - Mas a sessão, depois vendas ao presidente brasileiro,
[48:21:44 - 48:26:44]:  - e vendas... - Depois vão me ver um café e depois voltam para a sessão.
[48:26:44 - 48:30:04]:  - Eu em tempo já acho que vim. - O sial do vizinho de treco.
[48:30:04 - 48:35:04]:  Não, é um fumar, mas não inalou. É igual.
[48:35:04 - 48:45:04]:  Tás a fumar, mas depois diz que não inala. É a mesma coisa e tu tá. Tás a fumar o lula e a inalá-lula.
[48:45:04 - 48:53:24]:  - Se a aste iberam os cravos, é um problema. Suscreva-vos só fora em postes depois. - Exato.
[48:53:24 - 49:03:24]:  - A coisa tá mais ou menos resolvida. - E a outra coisa, mas qual que é a forma? Sem senso-posar.
[49:03:24 - 49:08:24]:  - A ativaira dos cravos, sou... - A phonética é muito boa.
[49:08:24 - 49:11:44]:  - A ativaira dos cravos. - Os cravos.
[49:11:44 - 49:16:44]:  - Os cravos. - Eles se esticolonizaram o parlamento.
[49:16:44 - 49:21:44]:  - A outra coisa tem realmente que o que está dando a o Cléneco.
[49:21:44 - 49:28:24]:  - Cléneco, isso não embaraçou-se porque as águedos dos távores, o senhor foi a China,
[49:28:24 - 49:38:24]:  - dizer coisas indignas. - Mas aí ao mesmo tempo, eu digo, mas as pessoas não lêm jornais.
[49:38:24 - 49:46:44]:  - Aqui o que eu foi dizer é a China, já repetiu, e mensos vezes. - E mensos vezes.
[49:46:44 - 49:51:44]:  - E mensos vezes. - Que isso é claro, na verdade, o que ele dizia agora.
[49:51:44 - 49:56:44]:  - Ah, realmente, não, mas eu vim gente dizer, não, eu realmente...
[49:56:44 - 50:01:44]:  - Eu até aceitava, mas depois disse que ele disse na China.
[50:01:44 - 50:08:24]:  - Porque ele disse na China já tinha dido em uma vez. - Por tanto, para todos os efeitos, Portugal devaluiza.
[50:08:24 - 50:13:24]:  - A questão de sóc, a razão já estamos habituados.
[50:13:24 - 50:18:24]:  - Mas também está devaluizar a questão da o Cléneco.
[50:18:24 - 50:21:44]:  - A questão da o Cléneco é a questão decisiva do nosso tempo.
[50:21:44 - 50:30:04]:  - E quando tu convidas o Lula para este dia, no dia 25 de abril, está a estabelecer para o Cléneco.
[50:30:04 - 50:38:24]:  - É aquilo que a gente já sabe, mas dá-me ficar mau fupô da grega e tem que esquentar o funcionamento.
[50:38:24 - 50:41:44]:  - A questão é sobre o Cléneco, é o Miguel.
[50:41:44 - 50:46:44]:  - Nossa, é o simbolismo. - Não é o simbolismo.
[50:46:44 - 50:51:44]:  - Não é o simbolismo. - Não é o simbolismo.
[50:51:44 - 51:03:24]:  - É só não é sobre o Cléneco. - Se o Estado português, que tem uma determinada posição,
[51:03:24 - 51:11:44]:  convidar-se um presidente estrangeiro que tem uma posição diferente para falar sobre isso,
[51:11:44 - 51:21:44]:  seria bizarro, seria imbarassoso, seria conflito-ozo, a sessão é discutível,
[51:21:44 - 51:26:44]:  pelas vezes que já falamos, mas não tem nada a ver com a crânia.
[51:26:44 - 51:30:04]:  Não tem nada a ver com a crânia.
[51:30:04 - 51:43:24]:  - Foi da mexia ficar sem ministro da clare ficação, vamos ver como corre o dia 25 de abril e a cerimónia das Auxiais de 20 de abril.
[51:43:24 - 51:56:44]:  Estou a entregar as pastas ministriais por esta semana, altura para saber-me porque é que o pedramenciia, ainda ele,
[51:56:44 - 52:08:24]:  se declara sem fundamento. Não será de mergo que a fundamentação possa vir a causar danos pedramenciia.
[52:08:24 - 52:18:24]:  - É uma história que causou um dano de mim, porque isto é... isto entra na... isto entra na...
[52:18:24 - 52:21:44]:  - Você vai falar da... - Da fundamentação.
[52:21:44 - 52:25:04]:  - Faz de inscriver na sessão das pessoas que se indiga alguma coisa.
[52:25:04 - 52:28:24]:  - Daí você vai falar da... - Não, não, não, não.
[52:28:24 - 52:45:04]:  - Você vai falar da parceira que não existe. - Isso não é mais difícil, mas isto entra na domínio das várias desculpas que todas são falsas.
[52:45:04 - 52:51:44]:  - É o parceiro que não existe, mas que o governo se repusou a dar... - Não, não, não, não.
[52:51:44 - 52:56:44]:  - A gente se chama, é parceira. - É uma loja leite.
[52:56:44 - 53:11:44]:  - Portanto, até que veio um bêlde à pôr-no, recusou-se a entregar a comissão parlamentar de inquérito.
[53:11:44 - 53:26:44]:  - O parceiro que fundamentou o tepidimento da CEO da TAP. - Dezendo que não entregava este parceiro, fortinho.
[53:26:44 - 53:55:04]:  - Dezendo que não entregava este parceiro por uma razão, a razão era que estava fora do âmbito da comissão e a sua divulgação podia prejudicar o Estado se houvesse um como provavelmente haverá um conflito judicial entre a senhora e o Estado.
[53:55:04 - 54:00:04]:  - Riscos na defesa jurídica. - Pronto.
[54:00:04 - 54:08:24]:  - Portanto, e por isso não mostravo o parceiro.
[54:08:24 - 54:23:24]:  - Portanto, nós podemos achar estas duas desculpas são mais, mas são mais para que, para não mostrar o parceiro, que era isso que elas fundamentavam.
[54:23:24 - 54:36:44]:  - Mas no fim da semana não há parceiro. - Funda-me, o ministro da China-sas foi dizer no parlamento?
[54:36:44 - 54:40:04]:  - Não há parceiro. - Não há parceiro.
[54:40:04 - 54:56:44]:  - Não há parceiro esquisito, ponto de vista, já vimos muitas questões das decisões informais e tal, dizem que no fundo é o relatório da expressão geral dos finanças, é isso que fundo inventava.
[54:56:44 - 55:05:04]:  - Mas, já agora queria que voltassemos ao autotráfico, pois fiz o rewind.
[55:05:04 - 55:15:04]:  - Então, se não há parceiro, por que que disse que não entregava o parceiro?
[55:15:04 - 55:35:04]:  - Portanto, o parceiro não, isto que é o parceiro, não vos posso dar por várias razões, que é uma e a duas, e também por outro, não tem aqui nada.
[55:35:04 - 55:45:04]:  - É para estar, não dá para, é assim, eu não me indigno, porque este é chegar a ser divertido.
[55:45:04 - 55:48:24]:  - Não dá para lá, é a prestidigitação.
[55:48:24 - 55:55:04]:  - Como é que é possível, uma reforça super-per-per-ipa.
[55:55:04 - 55:58:24]:  - Ou seja, a mentiga é fácil de compreender.
[55:58:24 - 56:06:44]:  - E fácil de se apanhar também. - E a gente se aparcega uma vergonha, proto com a certeza.
[56:06:44 - 56:10:04]:  - E ela estava astralhada. - E ela gravaram.
[56:10:04 - 56:15:04]:  - E foram tão longe com essa mentira. - Claro.
[56:15:04 - 56:23:24]:  - Claro, que é o problema das mentiras, a resposta é que não mentiga é para ser bomzinho e entrar à poceau.
[56:23:24 - 56:28:24]:  - Não, não mentiga. É para para trabalhar.
[56:28:24 - 56:36:44]:  - A gente se diz "eu só de meus filhos lá em casa", não mentiras, não é para não ainda.
[56:36:44 - 56:46:44]:  - É para que mentiras mentiras dá uma terabalhada do caráça, as pessoas têm que se lembrar do que disseram,
[56:46:44 - 56:51:44]:  que mentiam o que não é verdade, é executante.
[56:51:44 - 56:58:24]:  - Eu compro a mentira, porque a gente se apopaga energia.
[56:58:24 - 57:01:44]:  - Mas este é o verde.
[57:01:44 - 57:05:04]:  - Estou uma etica, uma pragmática.
[57:05:04 - 57:10:04]:  - É exatamente uma pragmática, mas este ainda não é.
[57:10:04 - 57:15:04]:  - A clagamente falta da mentira no verde.
[57:15:04 - 57:18:24]:  - Porque este é uma terabalhada executante.
[57:18:24 - 57:21:44]:  - E é panheon-stoze.
[57:21:44 - 57:26:44]:  - É país, tipo, a gente se diz um nível patético.
[57:26:44 - 57:30:04]:  - Mas este ainda não é a minha vida.
[57:30:04 - 57:33:24]:  - Não é, mas este é para aberto.
[57:33:24 - 57:36:44]:  - É, mas este esculpa zero mais.
[57:36:44 - 57:38:24]:  - Estes esculpas zero mais.
[57:38:24 - 57:48:24]:  Não senti de que está no âmbito da comissão, mesmo que se possa dizer que no timing não é aquilo, mas é o mesmo assunto.
[57:48:24 - 58:01:44]:  E é possível que a comissão tivesse acesso sem revelar, mas tudo isso para um documento que existe.
[58:01:44 - 58:10:04]:  A partir do momento, o resultado é, além do mais, não há documento nenhum,
[58:10:04 - 58:16:44]:  aí temos a certeza absoluta que estiveram a gostar com o nóisco.
[58:16:44 - 58:21:44]:  Aliás, disse-não assim, não sei se foi naquitademento, ou quem disse,
[58:21:44 - 58:31:44]:  mas temos toda a disponibilidade para colaborar com a comissão.
[58:31:44 - 58:35:04]:  - Eu isso é que não percebo.
[58:35:04 - 58:38:24]:  Essa parte é que não percebo que não é que é que é que...
[58:38:24 - 58:41:44]:  - Claro, eu sou certeza. Eu sou o carlos.
[58:41:44 - 58:46:44]:  - Eu, em semanas como este, eu fico tão contente.
[58:46:44 - 58:50:04]:  - Mas tem sido muito bom.
[58:50:04 - 58:55:04]:  - Não é só isso. É que tem sido há uma semana ou duas,
[58:55:04 - 59:03:24]:  tivemos aqui falar sobre o líder espiritual que pediu a uma criança para lhe chorar a língua.
[59:03:24 - 59:13:24]:  - E eu também fico... Eu sou um carro-vasor espiritual e nessas ocasiões,
[59:13:24 - 59:18:24]:  ou seja, quando o farol da moralidade se comporta assim.
[59:18:24 - 59:25:04]:  Uma pessoa que está que admite estar no fim da escala moral,
[59:25:04 - 59:30:04]:  fica contente por não ser um farol de moralidade.
[59:30:04 - 59:35:04]:  Desta vez, a mesma coisa, quando gente seria,
[59:35:04 - 59:50:04]:  a produzir teoria sobre a razão placoal, não era admissível exibir um parceiro.
[59:50:04 - 59:53:24]:  E os do outro lado estiveram dizendo, não, não.
[59:53:24 - 60:00:04]:  - Exigimos a exibição desse parceiro.
[60:00:04 - 60:06:44]:  Até que se descobre que não há parceiro.
[60:06:44 - 60:10:04]:  E, portanto, gente seria e faz isto.
[60:10:04 - 60:15:04]:  É um gosto de ser um palhaço, sincera-me, então,
[60:15:04 - 60:20:04]:  é um gosto... Porque eu faz isto, mas é de propósito.
[60:20:04 - 60:23:24]:  De propósito.
[60:23:24 - 60:30:04]:  Não é... Quer dizer, o Rui Tavares, o Deputado, disse-te.
[60:30:04 - 60:35:04]:  - Parece os sequetes do gato por dentro. É verdade, sim.
[60:35:04 - 60:41:44]:  - O sequete do papel, qual o papel? - O papel, o papel.
[60:41:44 - 60:45:04]:  - O parecer, qual o parecer. - Exato.
[60:45:04 - 60:55:04]:  E lá está... Mas os meus amigos e eu juntá-nos para escrever esses sequetes.
[60:55:04 - 61:00:04]:  - Dizendo, qual é a coisa mais parva que a gente consegue inventar?
[61:00:04 - 61:06:44]:  Nós estamos a fazer de propósito, para ser parva.
[61:06:44 - 61:13:24]:  E eles não estão. Eles estão a comportar-se, naturalmente.
[61:13:24 - 61:16:44]:  - O parecer, qual o parecer.
[61:16:44 - 61:20:04]:  - É incrível. Eu às vezes... - Às vezes, antes.
[61:20:04 - 61:26:44]:  É restaurante, eu digo... Não se porquê acha, "Acham, fanas, faixa o voro".
[61:26:44 - 61:31:44]:  Acha, fanas já não temos. Eu digo, então, não traga.
[61:31:44 - 61:36:44]:  É sempre um ganhêzito. Sempre um ganhêzito.
[61:36:44 - 61:41:44]:  Olha, já não há não traga. Porque realmente uns tu peder as dizer,
[61:41:44 - 61:48:24]:  "Ah, se não há não traga". Não é... Esta semana demonstra-se que não é.
[61:48:24 - 61:53:24]:  - Tu é despecialista de azeria. - Não há por ser, eu estou nois ibas.
[61:53:24 - 61:58:24]:  - Aí não, eu gostava de anspecializar, de ambifes e perguntar, de bifestes.
[61:58:24 - 62:00:04]:  - Eu já bifes, sim. - Sim.
[62:00:04 - 62:05:04]:  - E eles respondem. Nesta casa, nós trabalhamos mais a base de bifes.
[62:05:04 - 62:11:44]:  - Fais sempre a se piada. - Se não se for sempre. Não pode ser empregados.
[62:11:44 - 62:15:04]:  - Não, por eles não. - Posa a verdade.
[62:15:04 - 62:18:24]:  Nós ainda estamos na sexta faga.
[62:18:24 - 62:28:24]:  Eu posto durante o fim de semana, ainda nos vamos divertir com discussões semânticas
[62:28:24 - 62:33:24]:  - a chá cerca da palavra "perceiro". - Nós divertir, tu indignar.
[62:33:24 - 62:40:04]:  Não, não, não. É o nisto porque, caso, acho que é o divertimento.
[62:40:04 - 62:43:24]:  Acho que a mão é uma coisa que pode passar indignação.
[62:43:24 - 62:48:24]:  Não é um porceiro. Porque o Fernando Dina pode dizer que, de facto,
[62:48:24 - 62:55:04]:  o Dina nunca usou a palavra "perceiro". E, lá devido dizer,
[62:55:04 - 62:58:24]:  eu nunca falei na palavra "perceiro". O problema é que, na crescendamente,
[62:58:24 - 63:03:24]:  de magia na verga da seua, disseram a palavra "perceiro".
[63:03:24 - 63:08:24]:  E agora vai se estar discutir porque realmente não existe o "perceiro",
[63:08:24 - 63:13:24]:  que existe, é uma declaração. E o que é uma declaração?
[63:13:24 - 63:16:44]:  - Sim. - O que é que é um "perceiro"? - Uma minha, que é uma de duas pasas.
[63:16:44 - 63:21:44]:  - Sim, que são umas duas pasas, mas as duas pasas,
[63:21:44 - 63:26:44]:  e nas, basicamente, dizem, olha, a gente se deu, despedir esta senhora.
[63:26:44 - 63:30:04]:  O problema da indisistência de "perceiro".
[63:30:04 - 63:35:04]:  É que isso significa que é que ela é justa causa daquilo,
[63:35:04 - 63:40:04]:  que eu te pedi em mente indireto. Eu acho que o estilioná,
[63:40:04 - 63:48:24]:  o estilioná é nem sequer. Eu vou aceitar o processo.
[63:48:24 - 63:55:04]:  Eu acho que a senhora que Cristina vai fazer, eu queria me defender sobre isto.
[63:55:04 - 64:01:44]:  E eles vão dizer "eu não vale a pena". Não vai oujuí-se a secretária assim,
[64:01:44 - 64:10:04]:  porque aquilo é absolutamente inaceitável. Foi uma pessoa que foi te pedido em direto.
[64:10:04 - 64:15:04]:  Por que eu percebi que ela nunca foi ouvida, mas alguém possa ser te pedido.
[64:15:04 - 64:20:04]:  Se esquece de escutar de uma edu por ser. Se aquilo lá aprendi,
[64:20:04 - 64:26:44]:  o mesmo tempo foi te pedido ao vivo na televisão, e só alguém perguntar,
[64:26:44 - 64:31:44]:  "A audiência para a eva é o ovo?" "Pra eu ferido não".
[64:31:44 - 64:35:04]:  E essa é a gravidade da falta do parceiro.
[64:35:04 - 64:40:04]:  Fiquei para a Plexo quando hoje sei o anitície,
[64:40:04 - 64:48:24]:  porque, assim, o francesa ponde era processar o estado, porque acho que não estava a esperar desta.
[64:48:24 - 64:55:04]:  Vocês se fossem convocados para te estenhar, estavam a favor de que?
[64:55:04 - 64:58:24]:  Acho que é.
[64:58:24 - 65:05:04]:  -Turamos tanto nos 500 mil e vixos. -Se não é final de largar,
[65:05:04 - 65:11:44]:  mas ainda vamos ver o governo. Não havia aquela famosa manifestação contra o governo,
[65:11:44 - 65:15:04]:  que havia um ministro que lá estava.
[65:15:04 - 65:20:04]:  -Provavamente ainda vamos assistir isso. -Era uma mistura de cultura, na altura.
[65:20:04 - 65:25:04]:  Aliás, porque o próprio Pesnis não se está em lugar.
[65:25:04 - 65:28:24]:  O próprio Pesnis, realmente está em dignato contra o governo.
[65:28:24 - 65:31:44]:  E está por estarem até os sonhos.
[65:31:44 - 65:36:44]:  Está esclarecido porque o Pedro Mexías declara sem fundamento
[65:36:44 - 65:40:04]:  quanto tal João Miguel Tavares considera-se zero.
[65:40:04 - 65:45:04]:  Acho que é do lado da direita.
[65:45:04 - 65:48:24]:  Neste caso, é zero em todo o ano.
[65:48:24 - 65:53:24]:  Acho que é do lado da direita, ao meio, no ping-dô, se não continuem.
[65:53:24 - 66:01:44]:  O IWA Zero entrou em vigor esta semana em 44 produtos alimentares básicos.
[66:01:44 - 66:11:44]:  E o primeiro ministro foi ao supermercado de verificar a implementação da medida.
[66:11:44 - 66:16:44]:  -O que por exemplo? -Tá aqui, o terão preço.
[66:16:44 - 66:20:04]:  -O que se pagaria? -Por isso. Com o IWA?
[66:20:04 - 66:21:44]:  -O IWA? -O IWA?
[66:21:44 - 66:25:04]:  -E o nosso chão, João. -Bem, então.
[66:25:04 - 66:38:24]:  É com o IWAZ essa a melhor ainda.
[66:41:44 - 66:51:44]:  O primeiro ministro é degustar no terreno, a decisão política do governo.
[66:51:44 - 66:58:24]:  Com o IWAZ, como é que ele percebeu este slogan de António Costa?
[66:58:24 - 67:03:24]:  -Exatamente. Com o IWAZ, como ele fazia ainda sabe melhor.
[67:03:24 - 67:08:24]:  -Espa que é uma campanha. -É uma dor.
[67:08:24 - 67:11:44]:  -É uma campanha de auto, e isso se é unido naturalmente.
[67:11:44 - 67:15:04]:  Portanto, além de um publicitar e de Renoma Gorge.
[67:15:04 - 67:23:24]:  É pai, eu não sei se a mim algum dia me pagaria um suficiente para fazer aquelas figuras.
[67:23:24 - 67:31:44]:  -E o ventar e tiquetas, o pingo doce ou o condicionante? -Se já acontece.
[67:31:44 - 67:35:04]:  -É pai. -Não, não.
[67:35:04 - 67:38:24]:  -É pai. -E o ventar e tiquetas.
[67:38:24 - 67:43:24]:  -Masso, então, "Ah, está a 0%".
[67:43:24 - 67:46:44]:  Agora, eu vou lheir aos pés me casos de duas maiores cadeiras,
[67:46:44 - 67:50:04]:  que é pra nenhuma delas, que tenho realmente ficado com o ciúmes.
[67:50:04 - 67:55:04]:  E pra mostrar como eu me consegui organizar com ela,
[67:55:04 - 67:56:44]:  e aqui, também, é o percento.
[67:56:44 - 68:03:24]:  "Ah, que bonito". Sinto que, depois que lá, as pessoas já estão a andando e dizem,
[68:03:24 - 68:08:24]:  "Ah, mas eu reparei com a primeira semana passada, entre tantos pés me casos,
[68:08:24 - 68:15:04]:  já aumentaram os pés, porque isto é uma confusão de que a graça de ninguém consegue pontular".
[68:15:04 - 68:20:04]:  Não, não, não, não, não, não. É o termo técnico, confusão de que a graça é pequena,
[68:20:04 - 68:28:24]:  porque é impossível saber isto. E a expressão de confusão de que a graça é minha,
[68:28:24 - 68:33:24]:  mas alguém ouve o Mario Centeno falar sobre isso, porque eu fui ao meu escola,
[68:33:24 - 68:38:24]:  lá de norte, e eu voo um mil de esperto que ele perguntou pelo Ivo 0.
[68:38:24 - 68:43:24]:  E o que é que diz Mario Centeno? Que isto representa um custor instrumental elevado,
[68:43:24 - 68:48:24]:  e são muitos melhores quatrocentes minhas pelo que eu me lembro,
[68:48:24 - 68:56:44]:  e que é um grande risco, e pode não ser sentido pelas pessoas,
[68:56:44 - 69:01:44]:  e porque os preços, pois aumentam no Distribui do olho,
[69:01:44 - 69:06:44]:  portanto mesmo no prototório, portanto quando chegam a Distribuição,
[69:06:44 - 69:10:04]:  já ninguém sabe se é por causa do Ivo, se não é por causa do Ivo,
[69:10:04 - 69:16:44]:  aquilo é impossível devagar, e isto basicamente é altamente estupido.
[69:16:44 - 69:21:44]:  E portanto temos o senhor primeiro ministro, que não abre,
[69:21:44 - 69:28:24]:  boa, até agora, sou boa para a cera e sobre esse assunto está caladinho.
[69:28:24 - 69:35:04]:  Não, mas tem que tempo é para iverificar para esses as pretoleiros dos pés me casos.
[69:35:04 - 69:38:24]:  E é isto, em que nós...
[69:38:24 - 69:40:04]:  O que é o que é o barco do Ivo 0?
[69:40:04 - 69:48:24]:  E que isto? Parece adequado às necessidades básicas e recardar-los para a cera.
[69:48:24 - 69:51:44]:  Caras, deixe-me só fazer aqui um resumo sim.
[69:51:44 - 70:00:04]:  Portanto, sobre o tema das pensões, nós não tirámosmos, mas vamos devolver,
[70:00:04 - 70:08:24]:  sobre o tema do parecer, nós não mostramos, até porque não existe,
[70:08:24 - 70:15:04]:  e sobre o tema do Ivo 0, recordo que não vale a pena,
[70:15:04 - 70:20:04]:  porque tem em Espanha até experimentar um Ivo,
[70:20:04 - 70:23:24]:  vamos implementar.
[70:23:24 - 70:28:24]:  Nessa medida, então...
[70:28:24 - 70:31:44]:  É um regular funcionamento, a gente precisa.
[70:31:44 - 70:36:44]:  E agora, não se pode acusar de não ser o regular funcionamento,
[70:36:44 - 70:38:24]:  a gente precisa.
[70:38:24 - 70:40:04]:  Para nós está ótima.
[70:40:04 - 70:43:24]:  Eu acho que a necessidade básica, correspondência básica,
[70:43:24 - 70:46:44]:  a necessidade básica era o preço baixar, carno.
[70:46:44 - 70:55:04]:  Eu não sei se isso é obtido, não sei o suficiente de economia para saber se isto.
[70:55:04 - 71:03:24]:  É o melhor método para baixar o preço, mas é algo que me dizem.
[71:03:24 - 71:06:44]:  As pessoas chegam ao...
[71:06:44 - 71:11:44]:  Estes economistas amadores chegam ao supermercado,
[71:11:44 - 71:16:44]:  e depois verificam na sua carteira,
[71:16:44 - 71:25:04]:  sobre este baixo ou não, têm recolhido alguns dados preocupantes.
[71:25:04 - 71:33:24]:  O primeiro ministro já admitiu antes que daqui por seis meses o governo pode prolongar,
[71:33:24 - 71:41:44]:  no tempo, esta medida do Ivo 0, que era para durar seis meses,
[71:41:44 - 71:45:04]:  está previsto que dura apenas seis meses,
[71:45:04 - 71:50:04]:  mas o primeiro ministro admit que possa prolongar,
[71:50:04 - 71:56:44]:  antecipa dificultades políticas pedramogia.
[71:56:44 - 72:08:24]:  Para o momento em que os preços vierem a ter de aumentar seis por cento um dia para o outro,
[72:08:24 - 72:18:24]:  porque aí António Costa dificilmente irá ao supermercado dizer que agora sabe pior.
[72:18:24 - 72:23:24]:  Deixamente interpretar a imprefundidade do pensamento político António Costa,
[72:23:24 - 72:26:44]:  até que há seis meses logo que se vê.
[72:26:44 - 72:30:04]:  É isso.
[72:30:04 - 72:40:04]:  Na alguma outra área tem sido alguma resposta que não é essa.
[72:40:04 - 72:43:24]:  Não, isso não vai acontecer e se acontecer.
[72:43:24 - 72:45:04]:  Logo se vê.
[72:45:04 - 72:50:04]:  Já sabemos por que João Miguel Tavára se declara zero.
[72:50:04 - 72:58:24]:  Agora vamos tentar perceber por que Ricardo Raúx Pereira se sente roubado
[72:58:24 - 73:00:04]:  a alguma de não se há fazer.
[73:00:04 - 73:05:04]:  Acho que sim, Carlos, porque eu estava ler um...
[73:05:04 - 73:13:24]:  Supressal time, supressal time, porque estava ler um teste das sensos simões.
[73:13:24 - 73:23:24]:  Nos preços na semana passada, que era uma carta ao seu camarada António Costa,
[73:23:24 - 73:26:44]:  sobre António Costa do Vercero,
[73:26:44 - 73:33:24]:  -Ema carta motivacional. -Utivacional, vai António, o camarada António.
[73:33:24 - 73:36:44]:  Não diga isso, que eu digo que tanto mal,
[73:36:44 - 73:40:04]:  desvezo mal das sensos simões, mas esse se tem, este é...
[73:40:04 - 73:41:44]:  -Acho. -Acho.
[73:41:44 - 73:45:04]:  -Acho. -O último, já o impreguimismo foi para os meus equipos.
[73:45:04 - 73:48:24]:  Então eu peço do que eu te documentário.
[73:48:24 - 73:51:44]:  Não, essa parte não, por que não te lhe lixo.
[73:51:44 - 73:55:04]:  -Loga aquela de lores. -É que diz aqui.
[73:55:04 - 74:01:44]:  -Não faço a ideia. -António, tu com 30 anos também tentaste
[74:01:44 - 74:08:24]:  o lênglores e perder este robado nas urnas.
[74:08:24 - 74:15:04]:  -E isto foi em 93, quase 23 anos depois...
[74:15:04 - 74:20:04]:  Já para se inscrever, ainda se pode rir, mas não se rir.
[74:20:04 - 74:26:44]:  Mas este entendimento não crescia para o turno do búrbio do Ferrari.
[74:26:44 - 74:36:44]:  Foi em 93, quase 20 anos depois de 25 de abril, as pessoas ainda eram robadas nas urnas.
[74:36:44 - 74:41:44]:  Ainda por cima, de por deu, para uma pessoa da CDU.
[74:41:44 - 74:45:04]:  Não sei se está em cima da lago.
[74:45:04 - 74:53:24]:  Ou seja, quem tem de mente da democracia portuguesa é este, que tem o ascenso de simões.
[74:53:24 - 75:00:04]:  A quem é que nós costumamos ouvir esta ideia,
[75:00:04 - 75:10:04]:  que quem é derrotado em eleições democráticas, foi robado nas urnas.
[75:10:04 - 75:16:44]:  É só a mim em que isto causa uma pequena urticaria.
[75:16:44 - 75:20:04]:  -Seria a minha... -Seria a iripicela.
[75:20:04 - 75:25:04]:  Não sei, eu gostava de ver esclarecer desta questão.
[75:25:04 - 75:30:04]:  Se, de facto, António Costa, foi robado nas urnas
[75:30:04 - 75:36:44]:  20 anos depois de haver democracia em Portugal.
[75:36:44 - 75:45:04]:  -Mas tem este tão bom e abirras de louco. -Mas ter, mas não agora.
