[00:00:00 - 00:11:08]:  Esta semana recartera aos prédios sentidos apoiado. João Miguel Tavares sentidos muito só.
[43:35:20 - 44:00:20]:  ou seja, a indirecie ou não, eram fenómeno carismático. - Nem falacês que reiram. - Nem falacês que reiram. Portanto, havia pessoas que acreditavam naquelas ideias, nesse sentido, pode se supor que as pessoas que votaram em falacês que reiram votaram realmente no PAN.
[44:00:20 - 44:25:20]:  - De twist, ele está em toda a legitomira de manter a mandada, mas acho que como é que se mereçam essas acusações ideológicas de partidos que forjam como diálogo de cruz de funções ideológicas,
[44:25:20 - 44:47:00]:  dizendo que isso são coisas dos séculos anoves, que é, basicamente, não legionagem todo, em todo o mundo as questões de candidato nunca tiveram tão pramentes e tão às vezes virou lentas como estão neste momento.
[44:47:00 - 45:05:20]:  E portanto, não percebo a divergência ideológica, não percebo. A divergência interna, os protagonismes, essas coisas todas que têm os partidos, acho que sim, mas por ter virado a esquerda.
[45:05:20 - 45:22:00]:  - E ainda se lembrava que o PAN tinha o aeropan, o Ricardo Alvaro, porque tinha acompanhado com gosto a eleição, os gritos de "Europan", "Europan".
[45:22:00 - 45:33:40]:  - E agora apenas tem. - E o gesto, como é que era o gesto? - E o gesto da árvore, em linguagem gestual. - Língua gestual.
[45:33:40 - 45:42:00]:  - Ai se quer dizer "arvor"? - Acho que sim, é "arvor" de arvor, exatamente. - E assim é com palminhas?
[45:42:00 - 45:57:00]:  - Sim, mas isso é outra coisa, isso são palminhas. - Não, mas o gesto, o gesto, o subração, em vez do punho fechado, do punho erguido... - O que eu gosto muito da manáco, é agora, hein?
[45:57:00 - 46:02:00]:  - É certo, é árvor. - Que é a maná de ver.
[46:02:00 - 46:23:40]:  - Mas quando eu percebi que o Francisco Guerreiro tinha saía em divergência política com o PAN, eu fiquei muito avantado falar com ele, porque, pela justião, um homem que sabe o que é politicamente o PAN.
[46:23:40 - 46:35:20]:  - E está divergente disso, porque era aquilo que o Pedro estava a dizer, o PAN sempre disse, nós somos de esquerda na indireta, são modelos do passado.
[46:35:20 - 46:53:40]:  E portanto, o Pedro disse que ele foi eleito pelas ideias do PAN, que os deputados do PAN, que o Indovandrasil, que não são um especialmente carismático, são ideias pelas ideias do PAN.
[46:53:40 - 47:08:40]:  Não do vido, mas as ideias do PAN, quando nós dizemos os eleitores votam nas ideias do PAN, a sensação que não dá é que votam assim numa nuvem meio difusa.
[47:08:40 - 47:20:20]:  - De boa intenções relativamente dos animais? - Exatamente, uma nuvem de algo difusa de nós defendemos os animais.
[47:20:20 - 47:45:20]:  - É que estão de definição ideológica, ajudava porque ajudava a perceber, para a defesa dos animais é curto, até porque há vários outros partidos que têm uma vortente, uma componente ecológica forte.
[47:45:20 - 47:55:20]:  - E para usar aquais questões que estão em real ao ar, e estaram essas coisas, essas coisas que não são a caminhar, que foi amor dos animais, não nos ajuda.
[47:55:20 - 48:08:40]:  - Não ajuda e dá as jetas gente de posicionar, se o PAN não se tinha posicionado, mas o francês que rerram pelos jítis sabe coisas.
[48:08:40 - 48:17:00]:  - Vamos esperar que eles digam, porque eu só deu uma entrevista à luz, e depois não voltou a falar.
[48:17:00 - 48:37:00]:  - Há algum paralelismo entre este caso, e o da portada José de Catar Mureira, eleita pelo livro, e agora a portada não inscrito depois da rotura com o livro, João Miguel Davar.
[48:37:00 - 48:53:40]:  - Se não sentida em que depois se encontram diversões ideológicas, razões de divergência ideológica, apaga coisas que são evidentemente, razões de divergência pessoal.
[48:53:40 - 49:20:20]:  - É velhante de uma turista humana, porque razões ideológicas é como um Ricardo, eu estava dizendo que eu fico aqui chocado, se você é o leitor do PAN, porque se me disse, que há uma divergência ideológica entre Fernando Gragin, e eu disse que "é, qual deu-se deixou-se de chate de quente?"
[49:20:20 - 49:33:40]:  - Eu ficava preocupado que ainda deixou-te de gostar da animais, qual deu-se foi? Escandalou! Isso é o que estava da pugar.
[49:33:40 - 49:43:40]:  - Se poguei caso, ambos continuam a gostar de bichos, e muito. - O que está na gosta é um do outro.
[49:43:40 - 49:53:40]:  - Pois! Que também acontece as bichos, quebrão um gosto mais de quente, o outro gosto mais de gatos, e que naturalmente não se conseguem entender.
[49:53:40 - 50:03:40]:  - O Pedro Mexia fica assim, ministro da natureza das coisas, e estão a instraigas as pastas ministriais por esta semana.
[50:03:40 - 50:15:20]:  Agora vamos saber por que o João Miguel Davar se sente muito só quem é que o abandonou a João Miguel Davar.
[50:15:20 - 50:25:20]:  - Eu sinto uma abandonada por todos, Carlos. - Todos? - Todos. Talvez não, a iniciativa liberal.
[50:25:20 - 50:42:00]:  Mas tirando a iniciativa, mas é só um em 230. E o nisso todos, pelos quais estou abandonado, também metem-te o blanque, é a parte, provavelmente mais grave do problema.
[50:42:00 - 50:52:00]:  - Não diga que se sente já a única forma de ficar a disposição ao governo.
[50:52:00 - 51:00:20]:  - E isso que me preocupa, mas eu não acho que esteja só, no sentido que eu sou a dimensão. - Eu estou vivo, como fui ele.
[51:00:20 - 51:17:00]:  - Qual é o meu problema? Eu sinto uma condição. - Tanto, o João Miguel Davar confirma sentir-se a única forma de ficar-se de a opressão ao governo.
[51:17:00 - 51:38:40]:  - Não, no sentido, em que eu acho que há outros como eu, por aí, pelo mundo. E alguns, já até escrevem, e jornais, e tudo aí, eu sinto é que estou só por não me sinto representado por ninguém.
[51:38:40 - 51:57:00]:  - Tem grande iniciativa liberal, mas que é um deputado. E eu sinto uma pessoa de uma direita mudrada, embora a gente não acredita nisso, mas é isso que eu sou.
[51:57:00 - 52:15:20]:  - Eu devia sentir mais representado, por exemplo. - O que que eu pensava? - A direita devia estar a fazer. - Eu pensava que o presidente de república estava em Blan, é para volar pelos meus interesses.
[52:15:20 - 52:30:20]:  - Eu hoje em dia, olha a minha volta em péssima, porque é que nos protege. Isso foi muito claro, a semana. - E isso foi muito claro.
[52:30:20 - 52:45:20]:  - Que nos protege das esneiras do governo. E quando são coisas do tamanho das pegami de Giza é acontecer dentro dos nossos olhos.
[52:45:20 - 53:13:40]:  E, de repente, nós olhamos e estão todos juntos. Isso não é só, Marcelo Rebel de Sousa, António Costa, Juntinges na Aoteuropa. É Marcelo Rebel de Sousa, Juntinges na Aoteuropa, Juntinges no combate a pandemia. Não combate a pandemia.
[53:13:40 - 53:37:00]:  Mas, depois, Juntinges não anunciam o patético, mas a gente acabou de falar do deporte ou numa frase. - O que a direita devia estar a fazer que não está neste momento porém prática?
[53:37:00 - 54:07:00]:  - A direita devia estar a fazer alguma coisa que não fosse o presidente república, que está no bolso de António Costa, e o Rio e o Rio e o Estado do Bolso esquerdo de António Costa. E quando nós olhamos para isso, é desesperente porque as pessoas começam a sentir-se não representadas.
[54:07:00 - 54:20:20]:  - A Grava de la Centonia Ricardo Rospereira entre o presidente república e o governo ao gosto mais dos verás de torres.
[54:20:20 - 54:25:18]:  Ah, bom, vamos lá, é depois assim…
[54:25:18 - 54:32:20]:  É, dico "tomia" tão redoutora, "sinto nia" turas…
[54:32:20 - 54:36:28]:  O nosso modo é o que costuma estar tão bem, né?
[54:36:28 - 54:38:24]:  E de repente, o representão…
[54:38:24 - 54:42:06]:  Então, uma dico "tomia" tão redoutora que…
[54:42:06 - 54:46:06]:  Podemos introduzir um intreceiro elemento.
[54:46:06 - 54:48:06]:  Podemos introduzir complexidade.
[54:48:06 - 54:49:38]:  Complexidade?
[54:49:38 - 54:51:30]:  Nós os nossos espectadores…
[54:51:30 - 54:52:30]:  Isso utiliza.
[54:52:30 - 54:55:46]:  Nós os espectadores é isso que esperam de nós.
[54:55:46 - 55:02:14]:  Que… ah, aí, digamos, há entre esses dois extremos,
[55:02:14 - 55:04:52]:  entre as turas e a "sentonia"...
[55:04:52 - 55:15:36]:  Ah, toda uma paleta de posições políticas que se pode ter.
[55:15:36 - 55:17:16]:  Eu acho que…
[55:17:16 - 55:20:12]:  Quer dizer, eu encontro…
[55:20:12 - 55:23:16]:  Percebo que o João Miguel quer dizer.
[55:23:16 - 55:29:32]:  Parece haver uma espécie de mudor política, mas também…
[55:29:32 - 55:31:32]:  Mas não há tudo que te crise.
[55:31:32 - 55:33:12]:  Por mais lá está a dica.
[55:33:12 - 55:34:52]:  O senhor não vai dar uma coisa de jovens.
[55:34:52 - 55:36:32]:  É porque…
[55:36:32 - 55:38:44]:  É porque…
[55:38:44 - 55:40:52]:  É porque…
[55:40:52 - 55:45:36]:  Acho que se juntou aqui até em portato, perfeita que tenha ver.
[55:45:36 - 55:50:16]:  Com, por exemplo, primeiro, com o Aíndulo de Rui Rio…
[55:50:16 - 56:00:16]:  Não sei se ele é especialmente dado a fazer a posição frós.
[56:00:16 - 56:13:40]:  E depois, talvez também precisamente a crise que faz com que haja um sentimento de…
[56:13:40 - 56:15:20]:  Estamos todos…
[56:15:20 - 56:18:40]:  Sentimento eu, esse que eu acho.
[56:18:40 - 56:20:20]:  Estás a brincar.
[56:20:20 - 56:22:00]:  Não, que eu acho…
[56:22:00 - 56:25:40]:  Com o Durante Atroica, não é, estávamos em crise.
[56:25:40 - 56:27:20]:  E repart…
[56:27:20 - 56:30:00]:  Toda aquela solidariedade…
[56:30:00 - 56:31:40]:  Não, não, mas ele…
[56:31:40 - 56:33:20]:  Foi uma grafinha.
[56:33:20 - 56:35:00]:  É isso, hein?
[56:35:00 - 56:36:40]:  Porque isso é de idual.
[56:36:40 - 56:38:20]:  Isso é que é um remedio.
[56:38:20 - 56:40:00]:  Não é ninguém que acha que…
[56:40:00 - 56:41:40]:  Ah, mas pegue por clá, de gilhante.
[56:41:40 - 56:45:00]:  Hoje em gré, mas isso é o que eu estou dizendo.
[56:45:00 - 56:48:20]:  Não há dividências, é uma crise de clá, não há dividência.
[56:48:20 - 56:50:00]:  É uma crise de clá, não há dividência.
[56:50:00 - 56:51:40]:  É uma crise de clá, não há dividência.
[56:51:40 - 56:53:20]:  É uma crise de clá, não há dividência.
[56:53:20 - 56:55:00]:  É uma crise de clá, não há dividência.
[56:55:00 - 56:56:40]:  É uma crise de clá, não há dividência.
[56:56:40 - 56:58:20]:  É uma crise de clá, não há dividência.
[56:58:20 - 57:00:00]:  Não há dividência.
[57:00:00 - 57:01:40]:  É uma crise de clá, não há dividência.
[57:01:40 - 57:03:20]:  É uma crise de clá, não há dividência.
[57:03:20 - 57:05:00]:  É uma crise de clá, não há dividência.
[57:05:00 - 57:06:40]:  É uma crise de clá, não há dividência.
[57:06:40 - 57:46:40]:  É uma crise de clá, não há dividência.
[57:46:40 - 58:06:40]:  É uma crise de clá, não há dividência.
[58:06:40 - 58:08:20]:  É uma crise de clá, não há dividência.
[58:08:20 - 58:10:00]:  É uma crise de clá, não há dividência.
[58:10:00 - 58:11:40]:  É uma crise de clá, não há dividência.
[58:11:40 - 58:13:20]:  É uma crise de clá, não há dividência.
[58:13:20 - 58:15:00]:  É uma crise de clá, não há dividência.
[58:15:00 - 58:16:40]:  É uma crise de clá, não há dividência.
[58:16:40 - 58:18:20]:  É uma crise de clá, não há dividência.
[58:18:20 - 58:20:00]:  É uma crise de clá, não há dividência.
[58:20:00 - 58:21:40]:  É uma crise de clá, não há dividência.
[58:21:40 - 58:23:20]:  É uma crise de clá, não há dividência.
[58:23:20 - 58:25:00]:  É uma crise de clá, não há dividência.
[58:25:00 - 58:26:40]:  É uma crise de clá, não há dividência.
[58:26:40 - 58:28:20]:  É uma crise de clá, não há dividência.
[58:28:20 - 58:30:00]:  É uma crise de clá, não há dividência.
[58:30:00 - 58:50:00]:  É uma crise de clá, não há dividência.
[58:50:00 - 58:51:40]:  É uma crise de clá, não há dividência.
[58:51:40 - 58:53:20]:  É uma crise de clá, não há dividência.
[58:53:20 - 58:55:00]:  É uma crise de clá, não há dividência.
[58:55:00 - 58:56:40]:  É uma crise de clá, não há dividência.
[58:56:40 - 58:58:20]:  É uma crise de clá, não há dividência.
[58:58:20 - 59:00:00]:  É uma crise de clá, não há dividência.
[59:00:00 - 59:01:40]:  É uma crise de clá, não há dividência.
[59:01:40 - 59:03:20]:  É uma crise de clá, não há dividência.
[59:03:20 - 59:05:00]:  É uma crise de clá, não há dividência.
[59:05:00 - 59:06:40]:  É uma crise de clá, não há dividência.
[59:06:40 - 59:08:20]:  É uma crise de clá, não há dividência.
[59:08:20 - 59:10:00]:  É uma crise de clá, não há dividência.
[59:10:00 - 59:11:40]:  É uma crise de clá, não há dividência.
[59:11:40 - 59:13:20]:  É uma crise de clá, não há dividência.
[59:13:20 - 59:30:00]:  É uma crise de clá, não há dividência.
[59:30:00 - 59:33:20]:  É uma crise de clá, não há dividência.
[59:33:20 - 59:36:40]:  É uma crise de clá, não há dividência.
[59:36:40 - 59:38:20]:  É uma crise de clá, não há dividência.
[59:38:20 - 59:40:00]:  É uma crise de clá, não há dividência.
[59:40:00 - 59:41:40]:  É uma crise de clá, não há dividência.
[59:41:40 - 59:43:20]:  É uma crise de clá, não há dividência.
[59:43:20 - 59:45:00]:  É uma crise de clá, não há dividência.
[59:45:00 - 59:46:40]:  É uma crise de clá, não há dividência.
[59:46:40 - 59:48:20]:  É uma crise de clá, não há dividência.
[59:48:20 - 59:50:00]:  É uma crise de clá, não há dividência.
[59:50:00 - 59:51:40]:  É uma crise de clá, não há dividência.
[59:51:40 - 59:53:20]:  É uma crise de clá, não há dividência.
[59:53:20 - 59:55:00]:  É uma crise de clá, não há dividência.
[59:55:00 - 59:56:40]:  É uma crise de clá, não há dividência.
[59:56:40 - 60:05:00]:  E cala que os três partidos ou posicionistas têm seis deputados todos juntos.
[60:05:00 - 60:11:40]:  São partidos diferentes porque eu tenho algas opiniões bastante diferentes.
[60:11:40 - 60:15:00]:  Embora nenhuma representa nesse momento.
[60:15:00 - 60:20:00]:  Estás se laucido porque o João Miguel Tavaard disse sentir-se muito só
[60:20:00 - 60:25:00]:  quanto ao Ricardo Raúche Pereira pelo contrário de clá, de sapoilhado.
[60:25:00 - 60:31:40]:  Mas é um apoio que está a ser contestado.
[60:31:40 - 60:38:20]:  Se está a ser contestado e bem ao Carlos Estás, se contestado e bem, porque o que?
[60:38:20 - 60:45:00]:  Estamos a falar do apoio, do facto governo ter autorizado, empresas ligadas a offshores,
[60:45:00 - 60:50:00]:  a receber apoio do Estado por causa da COVID-19.
[60:50:00 - 60:53:20]:  Se a senhora, nós vamos termos de equação.
[60:53:20 - 61:03:20]:  Empresas ligadas a offshores, não pago em posto, isso aqui.
[61:03:20 - 61:08:20]:  E agora apoio do Estado. Eu assim também.
[61:08:20 - 61:11:40]:  O vários pesos tomaram decisões diferentes.
[61:11:40 - 61:13:20]:  Pois com a dina marca, por exemplo.
[61:13:20 - 61:15:00]:  Sim, eu assim.
[61:15:00 - 61:16:40]:  Vamos deixar entrar portugueses.
[61:16:40 - 61:21:40]:  Este tipo de empresa é uma espécie de...
[61:21:40 - 61:25:00]:  São aqueles jovens que são...
[61:25:00 - 61:30:00]:  Eu agora sou independento.
[61:30:00 - 61:33:20]:  Ou seja, ele está ao vôme embora.
[61:33:20 - 61:45:00]:  Para minha casa. Só que quem paga a renda é o pai, quem paga o carro, é mãe e quem se enche o frigorífico é a bom.
[61:45:00 - 61:46:40]:  E portanto, este...
[61:46:40 - 61:56:40]:  Estas empresas que não pago em postos e agora na altura de apoiar,
[61:56:40 - 62:01:40]:  é para vão falar com o Ministério da Economia das Ilhas Caimão.
[62:01:40 - 62:11:40]:  O Ministro da Economia diz que se as empresas ligadas a offshores fossem excluídas depois do Estado,
[62:11:40 - 62:18:20]:  isso poderia criar e vou citar agora o Ministro com os transimentos em empresas
[62:18:20 - 62:26:40]:  que exercem a sua actividade económica em Portugal e que empregam o trabalhador no território nacional.
[62:26:40 - 62:30:00]:  Conseguiu perceber o que está em casa.
[62:30:00 - 62:38:20]:  É assim que as empresas se referam o Ministro, o João Miguel Daváres.
[62:38:20 - 62:45:00]:  O que está em casa é assim a vergonha do capitalismo no maixão vagem.
[62:45:00 - 62:50:00]:  E o qual se deveria colocar um travão?
[62:50:00 - 62:58:20]:  Porque eu sou uma pessoa da digaita de liberal, caso as offshores, uma vergonha plantária
[62:58:20 - 63:03:20]:  e que mais de imens de dia tem que ser segmentatacado com...
[63:03:20 - 63:16:40]:  Sim, por que se não o dia o que nos vai acontecer é que os pequenos marquesistas voltam outra vez a ir
[63:16:40 - 63:21:40]:  e porque dizem que esta desigualdade ainda seitável, isso é verdade.
[63:21:40 - 63:23:20]:  Qual é o problema para a gente?
[63:23:20 - 63:27:02]:  O
[63:27:02 - 63:36:40]:  Com o batal de offshores sempre, vou ver março com o cataginamar tins pela avenida da liberdade abaixo,
[63:36:40 - 63:38:20]:  quando ela quiser.
[63:38:20 - 63:40:00]:  Agora, agora.
[63:40:00 - 63:45:00]:  Tem um problema porque nós também temos um na madagra.
[63:45:00 - 63:48:20]:  Pois mas, tentei-se.
[63:48:20 - 63:50:00]:  Pois tentei-se.
[63:50:00 - 63:53:20]:  É por si não, é por si não.
[63:53:20 - 64:00:00]:  O Lá de esquerda já anunciou que vai apresentar propostas a alteração na discussão do oçamento
[64:00:00 - 64:08:20]:  de suplementar na especialidade e aliás uma das razões porque se esteve e não votou a favor
[64:08:20 - 64:13:20]:  terá tido a ver precisamente com esta sunto.
[64:13:20 - 64:18:20]:  Vem nesta matéria uma clivagem esquerda direita, Pedro Messia.
[64:18:20 - 64:23:20]:  Sim, alguma clivagem esquerda, mas também há uma falto.
[64:23:20 - 64:26:40]:  O João Vírus, mas tem uma falto de poleresa.
[64:26:40 - 64:28:20]:  O que é o que eu compara?
[64:28:20 - 64:31:40]:  A esquerda de offshores costorados.
[64:31:40 - 64:33:20]:  Que?
[64:33:20 - 64:40:00]:  Que?
[64:40:00 - 64:43:20]:  Isto é tudo motorado?
[64:43:20 - 64:46:40]:  Não é isso, é isso.
[64:46:40 - 64:50:00]:  É isso para polivir.
[64:50:00 - 64:53:20]:  É isso para polivir.
[64:53:20 - 64:58:20]:  Portanto, as os offshores não são ilgais.
[64:58:20 - 65:03:20]:  E portanto, quem pode ter a pesada de problema.
[65:03:20 - 65:05:00]:  Que é o outro problema.
[65:05:00 - 65:06:40]:  Que é o outro problema.
[65:06:40 - 65:08:20]:  Não é isso.
[65:08:20 - 65:13:20]:  Que ele pode ter um discurso ou estilo as offshores.
[65:13:20 - 65:20:00]:  É quem tem um discurso ou estilo as offshores, eventualmente, que são os casos dos partidos.
[65:20:00 - 65:25:00]:  A esquerda do partido socialista.
[65:25:00 - 65:31:40]:  A comparação costorada é que a pessoa que não propõe o fim das torradas.
[65:31:40 - 65:33:20]:  E, por enquanto, poe, quatro torradas.
[65:33:20 - 65:35:00]:  Não faz sentido.
[65:35:00 - 65:40:00]:  Acho que é normal isso em alguém que seja contra as torradas.
[65:40:00 - 65:41:40]:  Propõe o fim das torradas.
[65:41:40 - 65:43:20]:  Depois vai ter vóderas.
[65:43:20 - 65:51:40]:  Mas neste caso, agora as offshores são toleradas pacificamente,
[65:51:40 - 65:56:40]:  ou mais ou menos pacificamente, no sistema.
[65:56:40 - 66:06:40]:  Não há iniciativas, os deslativas desmontam contra elas.
[66:06:40 - 66:13:20]:  E depois chega a seis dos casos, que é um caso que facteja o jocante.
[66:13:20 - 66:15:00]:  Mas...
[66:15:00 - 66:16:40]:  Mas repara.
[66:16:40 - 66:21:40]:  Eu também sou contra as offshores.
[66:21:40 - 66:26:40]:  Mas é mesmo as pessoas que não lá falam leia do crime.
[66:26:40 - 66:33:20]:  Mesmas pessoas que não são outras offshores, estão agora, é o outro assunto que é.
[66:33:20 - 66:35:00]:  Estou falado após o tato.
[66:35:00 - 66:36:40]:  Ou a shores.
[66:36:40 - 66:38:20]:  E após o tato.
[66:38:20 - 66:40:00]:  Eu estou da cor.
[66:40:00 - 66:43:20]:  Eu sou que aí, mas o fichores também não é legal.
[66:43:20 - 66:45:00]:  Não, não.
[66:45:00 - 66:46:40]:  Não, não.
[66:46:40 - 66:48:20]:  Não.
[66:48:20 - 66:50:00]:  É um número de clíberismo.
[66:50:00 - 66:51:40]:  É 5 centímetros do sol.
[66:51:40 - 66:53:20]:  Eu estou de acordo com a substância.
[66:53:20 - 66:58:20]:  Não estou de acordo com as pessoas que subiam a falar do assunto.
[66:58:20 - 67:01:40]:  Isso mostram preocupadas neste momento.
[67:01:40 - 67:03:20]:  Não é o caso do blog, não é do peso.
[67:03:20 - 67:13:20]:  Já sabemos por que o Ricardo Arous, para era de sentir-se qualquer coisa, não é?
[67:13:20 - 67:15:00]:  Apoiar, não é?
[67:15:00 - 67:16:40]:  Apoiar.
[67:16:40 - 67:18:20]:  É, é.
[67:18:20 - 67:25:00]:  Vamos saber atentar a saber porque o Pedro Mexí é super-me.
[67:25:00 - 67:28:20]:  E a sua presença, não é?
[67:28:20 - 67:35:00]:  Relativamente de um deprimo americano, né?
[67:35:00 - 67:51:40]:  Sim, em que a decisão, em que nós se podem, em que o supremo de escarimento, não se pode descriminar pessoas em função das orientas sexual.
[67:51:40 - 67:55:00]:  É mesmo uma regta.
[67:55:00 - 67:56:40]:  É claro, é da senão.
[67:56:40 - 67:58:20]:  É uma novidade.
[67:58:20 - 68:05:00]:  É preciso ter realmente reunir e, de facto, pensar nisso.
[68:05:00 - 68:18:20]:  É embora eu te pode ver isso depois de jurir, que é interessante que eu acho que é a decisão, seja uma decisão, para mim, indiscutiva uma decisão indiscumamente.
[68:18:20 - 68:38:20]:  Boa é uma decisão de ponto de vista jurídica das questões, se é por extensão do conceito sexo, que ele tem algumas fragilidades jurídicas, acho eu, mas isso não é o fundamental.
[68:38:20 - 68:53:20]:  Mas o que aconteceu foi que, no tribunal, onde há cinco ou quatro, a favor dos meus conservadores, a votação foi seis ou três.
[68:53:20 - 69:06:40]:  E a surpresa tem a ver por fao que ele compra o juiz, que um dos juiz, que desempatou, ter sido nomeado por Trump.
[69:06:40 - 69:11:40]:  É uma coisa menos que Trump preferia que a decisão tivesse sido no outro sentido.
[69:11:40 - 69:23:20]:  Ou seja, dois juízes conservadores, um dos quais, um dos quais, um dos quais, no mesmo por Trump, votou a favor.
[69:23:20 - 69:33:20]:  E o que é que isso tudo significa? Não, é a primeira vez, ao mesmo, um dos juiz, John Roberts.
[69:33:20 - 69:41:40]:  Várias vezes, tem votado com votos mais centristes ou mais liberais.
[69:41:40 - 69:55:00]:  O que acontece aqui é que, de repente, várias pessoas que ligadas ao movimentivo angélico americano, que escreveram artigos,
[69:55:00 - 70:01:40]:  que tiveram intervenções nas últimas eleições e ao longo deste ano que disseram.
[70:01:40 - 70:15:00]:  Não, Trump é horroroso, não representa os nossos valores, é uma amém moral, etc., mas, felizmente, com ele ganhamos sempre no Supremo Tribunal.
[70:15:00 - 70:28:20]:  E essas pessoas não a dizem, estão a final e escrevem, não se muitos artigos, na última, muitos programas de rádio, de evangelho que se dizem,
[70:28:20 - 70:40:00]:  então, mas, afinal, nem ganhamos no Supremo Tribunal. Será que vale a pena? Ora, sabemos que o Trump não ganhará eleições sem ter o grosso,
[70:40:00 - 70:48:20]:  o voto evangelho aqui, ainda tem, mas, é um fator, pode ser interessante, pode ser um voto evangelho.
[70:48:20 - 70:56:40]:  Como a frase, John Roberts, em que me diz, é que esta rota pode fazer moça de um alto-tramp.
[70:56:40 - 71:08:20]:  Pode fazer moça de um alto-tramp, de exáter forma que o senhor pedra-gentexia acabou de formular.
[71:08:20 - 71:20:00]:  Só me dá uma frase, é o que eu posso dizer neste momento. É como aquele menino disso?
[71:20:00 - 71:26:40]:  É como aquele menino disso, um menino neste momento, por acaso até falou muito bem, e alguma coisa com ela.
[71:26:40 - 71:38:20]:  Refeleções breves é que ele merece, Ricardo Raúche, para ele o facto de, até agora no desidrido de São-Americana,
[71:38:20 - 71:50:00]:  não haver um mechanism que impediza a discriminação, a discriminação no trabalho de homossexuais.
[71:50:00 - 71:51:40]:  É realmente...
[71:51:40 - 71:55:00]:  Pertenção, se eu falar mais de uma frase, eu vou amor.
[71:55:00 - 71:56:40]:  Não, eu entro resto do problema.
[71:56:40 - 71:58:20]:  Não, porque eu vou...
[71:58:20 - 72:01:40]:  E eu vou fazer tudo com o vírgula e trafissão.
[72:01:40 - 72:06:40]:  Sim, vai, posso fazer uma página, a Sara Magu, e tu nem dá as confiadas.
[72:06:40 - 72:10:00]:  Tu me fiz, é um ponto final, e eu faço o final.
[72:10:00 - 72:11:40]:  Não, eu não sou de nada.
[72:11:40 - 72:18:20]:  Não, eu acho que você quer dizer, é realmente...
[72:18:20 - 72:21:40]:  Vamos progordindo, hein?
[72:21:40 - 72:30:00]:  Em 2020, é tão nos Estados Unidos, um trabalhador não pode ser despedido por aquilo que faz...
[72:30:00 - 72:31:40]:  O que é que faz no quarto?
[72:31:40 - 72:35:00]:  Rua, isso deixou de ser possível.
[72:35:00 - 72:36:40]:  É uma...
[72:36:40 - 72:38:20]:  É que eu acho que isso é atenção, minha precisão é de sempre.
[72:38:20 - 72:40:00]:  Acho bem...
[72:40:00 - 72:43:20]:  Acho que me tenho que ir um ponto final.
[72:43:20 - 72:45:00]:  Acho bem, não tive.
[72:45:00 - 72:53:20]:  Acho bem, é exceto no caso dos fetis chistas de peça, que continuam discriminadas.
[72:53:20 - 73:05:00]:  Bom, essa é a altura de livros e eu trago esta semana uma nova edição de um livro, diria monumental,
[73:05:00 - 73:15:00]:  os 7 pilares da sabedoria de ti e Laurence é monumental até porque é bastante espesso, como podem ver.
[73:15:00 - 73:23:20]:  Ti e Laurence, que é o Laurence da Árbia para quem se lembra do filme de David Linn,
[73:23:20 - 73:31:40]:  Laurence foi um oficial britânico que teve um papel determinante durante a primeira guerra mundial,
[73:31:40 - 73:40:00]:  na revolta à ára contra o imperio ou o domano, os turcos eram aliados dos almeis,
[73:40:00 - 73:48:20]:  e portanto inimigos dos ingleses, mas para além de um livro da aventuras, pode dizer,
[73:48:20 - 73:55:00]:  se este é também um livro sobre a traição, o papel de Laurence da Árbia,
[73:55:00 - 74:01:40]:  foi o de convencer os árabes a revoltar em secom promessa a inglesa,
[74:01:40 - 74:10:00]:  de que quando a guerra acabasse triam um estado próprio e independente,
[74:10:00 - 74:16:40]:  coisa que não aconteceu, os ingleses não honraram o compromisso,
[74:16:40 - 74:25:00]:  o que torna este reglato, uma espécie de ajustes de conta de existencial,
[74:25:00 - 74:30:00]:  porque Laurence sentiu seu próprio treído.
[74:30:00 - 74:38:20]:  O João Miguel Tavar, também, vem sob o sítimo do 7, que são os 7 pilares de tabelurina,
[74:38:20 - 74:41:40]:  e é, no caso, o João Miguel?
[74:41:40 - 74:46:40]:  Sim, é exatamente, se não sou livre porque os que é cidadão em casa,
[74:46:40 - 74:50:00]:  mas vai, porque isso é uma bonita imagem nos écrãs,
[74:50:00 - 74:56:40]:  é um pouquinho pavariar, nós às vezes é muita litratura, muito litratura,
[74:56:40 - 75:01:40]:  mas isso não deixa de ser litratura sem ser também ciência.
[75:01:40 - 75:08:20]:  E é isso que um fascinô neste livro do Carlos Corvall é um livro muito pequenino,
[75:08:20 - 75:16:40]:  basicamente sou mostrado da física, não sei que o ouvinte, mas ele consegue ser,
[75:16:40 - 75:21:40]:  com o que ele disse, facilmente mesmo, porque não é físico,
[75:21:40 - 75:28:20]:  mas, sobretudo, é uma portável, e ele escreve muito bem que é uma coisa que dá
[75:28:20 - 75:36:40]:  alguns cientistas italianos, que está escrito com uma imensa qualidade,
[75:36:40 - 75:43:20]:  e depois abre a porta, é uma coisa que faz desesperadamente falta nos dias de hoje,
[75:43:20 - 75:50:00]:  que é nós temos consciência de como pouco sabemos,
[75:50:00 - 75:56:40]:  do como pouco sabemos, porque nós vemos num mundo cheio de gente cheia de certezas,
[75:56:40 - 76:06:40]:  e quando nós lembemos aquele livro sobre o estado atual da física, não sei que o ouvinte,
[76:06:40 - 76:16:40]:  é, é, é de século XXI, é realmente extraordinário a quantidade de mistério
