[00:00:00 - 00:02:08]:  Hora muito bom dia!
[34:09:48 - 34:14:48]:  não gostas batatas, não gostas do bife, não gostas do arroz e não fica nada.
[34:14:48 - 34:23:08]:  Em missão a Alexandre Reyes, o ministro Pedro Não de Santos, sabia,
[34:23:08 - 34:26:28]:  mas não aconteceu o cláusulado concreto.
[34:26:28 - 34:34:48]:  O WhatsApp, as de comunicação pro WhatsApp, não significa uma informalidade da comunicação.
[34:34:48 - 34:38:08]:  Unister das finanças não tinha conhecimento.
[34:38:08 - 34:43:08]:  Em gerencio política não aprova.
[34:43:08 - 34:49:48]:  Os acontecimentos de unisteras e infraestruturas é com o ministério público.
[34:49:48 - 34:59:48]:  A questão do cis, a fiscalização do cis, as gerenias preparatórias,
[34:59:48 - 35:03:08]:  está com a comissão de transparência pronto,
[35:03:08 - 35:09:48]:  tirou-se todos os ítamos do prato e o prato estava assim, não há nada.
[35:09:48 - 35:14:48]:  Toda é muito rara, apesar de tudo.
[35:14:48 - 35:21:28]:  Pensei que nós sabemos que essas coisas funcionam por linhas partidárias.
[35:21:28 - 35:28:08]:  Mas eu não sei se há muitas pessoas que tenham ouvido isto
[35:28:08 - 35:38:08]:  e que tenham ouvido o íncrito, a comissão parlamentar e que concordem com esta exclusão
[35:38:08 - 35:44:48]:  de tudo aquilo que se falou, não apenas...
[35:44:48 - 35:53:08]:  O que é legal relatório é que não fazia tudo isto amargem,
[35:53:08 - 35:58:08]:  não faz parte do objeto da comissão.
[35:58:08 - 36:03:08]:  Mas, la Serda Salos achou aliás havia perguntas,
[36:03:08 - 36:13:08]:  mesmo nesse entendimento alargado, e acho eu correto de la Serda Salos,
[36:13:08 - 36:16:28]:  ou perguntas que ele disse.
[36:16:28 - 36:19:48]:  Meu deputado, isso não está no âmbito da comissão,
[36:19:48 - 36:29:48]:  porque ele estabeleceu um critério mais alargado, do âmbito da comissão.
[36:29:48 - 36:38:08]:  Por isso, produziram-se horas e horas e horas do inquérito parlamentar,
[36:38:08 - 36:44:48]:  que o relatório final diz, esta parte não ouvi porque não me interessa.
[36:44:48 - 36:59:48]:  Ou então dizer, por exemplo, que a questão do Cista resolveu com o parecer feito em 24 horas da comissão,
[36:59:48 - 37:14:48]:  é exatamente fiscaliza as secretas, é ridículo, é ridículo.
[37:14:48 - 37:28:08]:  E dizer que o que está com outro âmbito, o Parlamento não é a primeira vez que o Parlamento está a discutir coisas que também estão no Ministério público,
[37:28:08 - 37:34:48]:  também estão nos tribunais, são órgãos diferentes com competências diferentes,
[37:34:48 - 37:41:28]:  e das quais os últimos juízes diferentes, e nós devíamos ter direito a saber isso.
[37:41:28 - 37:51:28]:  Então, eu gosto de pedir de ter que há tempos que quando fosse conhecido o relatório, tiraria as necessárias eláções políticas,
[37:51:28 - 37:59:48]:  com aquilo que já se conhece, embora este tem, não seja a visão final do relatório,
[37:59:48 - 38:11:28]:  que eláções políticas recargaram os preras, espera que venham ser retiradas pelo primeiro ministro no fim desta...
[38:11:28 - 38:16:28]:  O Carlos, eu ainda bem que isto é publicada agora antes das ferias,
[38:16:28 - 38:24:48]:  que é para ele ter tempo para tirar eláções, e acho que vai estar a tirar eláções durante bastante tempo,
[38:24:48 - 38:33:08]:  que está muita matéria aqui, eu vou lá ver, lá está nas recomendações,
[38:33:08 - 38:43:08]:  acho que, parecem-me que era jucosamente, que a ilação é ria de emitir pedra no ministro.
[38:43:08 - 38:49:48]:  E bem, sim, porque ninguém, uma vez que não há responsabilidade,
[38:49:48 - 38:58:08]:  não houve informalidade no processo, não houve interferência do Estado,
[38:58:08 - 39:06:28]:  e a culpa foi da francesa, não é? Acho que isto é o bom bom bom bom bom,
[39:06:28 - 39:08:08]:  só que recomendações.
[39:08:08 - 39:13:08]:  Não, mas as recomendações, eu não tenho a mesma efecto, tens das recomendações.
[39:13:08 - 39:19:48]:  Mas, é que a fé é que não, porque eu também já fiz trabalhos,
[39:19:48 - 39:29:48]:  já fiz trabalhos em que era preciso dizer coisas vagas e repara.
[39:29:48 - 39:38:08]:  As recomendações têm, o vocabulario é melhorar, determinado das coisas.
[39:38:08 - 39:46:28]:  - Quer dizer, é bom? - melhorar significa, está bom, vamos só, para fãs fãs um carinho.
[39:46:28 - 39:59:48]:  - Vamos melhorar, robuste ser, já é forte. - É bom, vamos robuste ser articular,
[39:59:48 - 40:03:08]:  - é esta do articular, - é ação.
[40:03:08 - 40:11:28]:  O verbo articular, eu sempre custo numa reunião em que alguém diz,
[40:11:28 - 40:16:28]:  e agora é preciso articular, eu levanto e me saio.
[40:16:28 - 40:19:48]:  Não é obeder daqueles.
[40:19:48 - 40:24:48]:  - É articular, é articular. - Estou os articularções não andam bom, né?
[40:24:48 - 40:29:48]:  É articular, é pa, isto significa sempre,
[40:29:48 - 40:38:08]:  - é sempre que alguém está só preencher tempo de antena,
[40:38:08 - 40:41:28]:  está só preencher tempo de antena.
[40:41:28 - 40:51:28]:  Mas eu creio que outra coisa que a gente podia ter popado, era as leções,
[40:51:28 - 40:58:08]:  porque em presumir eu este relatório podia estar escrito antes da CPI.
[40:58:08 - 41:08:08]:  - Claro. - Tenha em conta que não parece ter ouvido nada do que se passou na CPI.
[41:08:08 - 41:16:28]:  Eu ouvi, tem pena, porque podia ter tado a fazer outras coisas.
[41:16:28 - 41:26:28]:  - Perdendo das jovens. - Lendo relatório, não creio que ele corresponde a aquilo que aconteceu,
[41:26:28 - 41:33:08]:  e portanto é possível que já tenha te engane. - Mas já queria se escritar três meses.
[41:33:08 - 41:36:28]:  Mas o mais importante é o que apareceu na CPI, né?
[41:36:28 - 41:43:08]:  Fos imagens, não tem aquele que tem o programa menos famoso, certo?
[41:43:08 - 41:48:08]:  Não costuma apresentar as conclusões dos relatórios da CPI, não é?
[41:48:08 - 41:49:48]:  - Não. - No caso é o ota parte.
[41:49:48 - 41:56:28]:  - O ota parte tem que ir boa, essa é que é isto. - Vamos ver que tem que ficar o relatório final.
[41:56:28 - 41:59:48]:  - Isso aqui é o BIF. - Embora não acha grandes dúvidas na relação,
[41:59:48 - 42:06:28]:  é isso, João Miguel Tavares fica a sem ministro do branquimento
[42:06:28 - 42:14:48]:  e é, ao vezes de pedra-mexia, se tornar ministro da afirmação ativa ou inativa.
[42:14:48 - 42:21:28]:  - Bem, foi ativar ou não ativar ou não afirmação. - Ativar ou afirmação.
[42:21:28 - 42:28:08]:  Quero falar da decisão do suprematribunal norte-americano de considerar
[42:28:08 - 42:34:48]:  ilegal, ao fim de 45 anos, quase meio século de existência,
[42:34:48 - 42:39:48]:  a chamada afirma-tevexan ou a ação afirma-teva,
[42:39:48 - 42:49:48]:  no acesso ao ensino superior ao Universidade, afirma-tevexan
[42:49:48 - 42:58:08]:  que permitia que o overso da descaminação positiva por razões raciais.
[42:58:08 - 43:09:48]:  - O que é que mudou na sociedade americana para que esta decisão tenha sido tomada, pedra-mexia?
[43:09:48 - 43:14:48]:  Estamos prontos um novo exemplo da agenda conservadora
[43:14:48 - 43:21:28]:  que já reverteu também no ano passado a ajuda e exprodência a unitiva ou aborto.
[43:21:28 - 43:29:48]:  - Só até certo sentido, no sentido dos votos sífamos,
[43:29:48 - 43:34:48]:  é uma votação 6-3, o qual é ação?
[43:34:48 - 43:44:48]:  Portanto, os 6 conservadores votaram no sentido e os progressistas votaram a nota.
[43:44:48 - 43:51:28]:  Nesse sentido, não é igual ao aborto no sentido.
[43:51:28 - 44:03:08]:  É que a estatística está com os proponentes de decriminalização do aborto em geral,
[44:03:08 - 44:11:28]:  o deprimidor não progliubiu o aborto, mas, enfim, tem um teu posto estados.
[44:11:28 - 44:18:08]:  - Mas... - É a estatística que é que é que a gente...
[44:18:08 - 44:24:48]:  - A chontagem, a população americana, genéricamente apoiou o direto ao aborto,
[44:24:48 - 44:29:48]:  mas está muito mais dividida sobre a discriminação positiva,
[44:29:48 - 44:36:28]:  que foi aliás chumbada agora, tratou-se dois casos concretos,
[44:36:28 - 44:41:28]:  Harvard e Carolina do Norte, estalhás aplicaçados os casos,
[44:41:28 - 44:46:28]:  que a escolas delíte não é que sentem um pouco mais.
[44:46:28 - 44:56:28]:  O opávaz e mais proativas nessa matéria, mas, projabem na Califórnia,
[44:56:28 - 45:04:48]:  que é um dos estados mais progressistas dos estados unidos,
[45:04:48 - 45:09:48]:  a discriminação positiva foi a referendo e perdeu por muito.
[45:09:48 - 45:19:48]:  E, portanto, não é verdade que haja uma tinta unia tão grande como no caso do aborto.
[45:19:48 - 45:23:08]:  Deixa-me só dizer duas coisas rapidamente.
[45:23:08 - 45:31:28]:  Uma járista é essa, que está o apoio da população,
[45:31:28 - 45:44:48]:  e a segunda é se há ou não possibilidades de manter a questão da diversidade
[45:44:48 - 45:49:48]:  sem ser pela discriminação positiva, que eles dizem que é incosticional,
[45:49:48 - 45:53:08]:  porque é uma quarta emenda.
[45:53:08 - 45:58:08]:  E, de fato, sabemos a experiência da Califórnia.
[45:58:08 - 46:06:28]:  A experiência da Califórnia foi tentar que a diversidade entreasse
[46:06:28 - 46:11:28]:  por outras formas que não as cotas, a importância dos ensaios,
[46:11:28 - 46:16:28]:  que as pessoas das candidaturas.
[46:16:28 - 46:21:28]:  E, sobretudo, essa tem sido uma grande discussão,
[46:21:28 - 46:26:28]:  mas já tivemos aqui no programa sobre outros assuntos,
[46:26:28 - 46:36:28]:  que é saber se, na verdade, o foco não deve estar
[46:49:48 - 46:53:08]:  Até porque não sabemos um caso, por exemplo,
[46:53:08 - 46:58:08]:  que há pessoas que não precisam de quarta de panada, que são os asiáticos,
[46:58:08 - 47:01:28]:  que entram em todo o lado, têm grandes notas.
[47:01:28 - 47:06:28]:  A situação é um bocadinho mais complicado,
[47:06:28 - 47:14:48]:  ou lido entre pessoas como sempre, ou, óbvio que isto é, por exemplo,
[47:14:48 - 47:19:48]:  o nível de pessoas dizer assim, uma coisa que os americanos apoiam,
[47:19:48 - 47:23:08]:  não é verdade, não é verdade, muito se americante que apoiam,
[47:23:08 - 47:28:08]:  e é muito não apoiam. Acho que o caso daquele forneir isto,
[47:28:08 - 47:34:48]:  então, então, é um assunto complicado, há muitas décadas que é complicado,
[47:34:48 - 47:39:48]:  e vamos ver qual é como vai ser a reação das escolas,
[47:39:48 - 47:44:48]:  a diversidade é evidentemente um bom fito.
[47:44:48 - 47:48:08]:  Onde é de decisão do suprem tribunal americano,
[47:48:08 - 47:53:08]:  o João Miguel Tabácio como o avesso, como o autor processo?
[47:53:08 - 47:56:28]:  Não é fácil responder a isso,
[47:56:28 - 47:59:48]:  ou as pelas razões que o Pedro já falou,
[47:59:48 - 48:06:28]:  mas eu ainda assim tendo a achar mais que é um avanço que é um autor processo.
[48:06:28 - 48:13:08]:  E, apesar de... aquilo tem o problema dos 6 estereis, que são em termos 6 estereis,
[48:13:08 - 48:18:08]:  e portanto dá o 6 estereis do gol, 6 conservadores no lado,
[48:18:08 - 48:26:28]:  3 vezes, liberar as do outro, e portanto, isso dá uma ideia que parece que é um pouco bem fica,
[48:26:28 - 48:29:48]:  sempre, e isso é mal.
[48:29:48 - 48:33:08]:  Mas, mas...
[48:33:08 - 48:38:08]:  - É isso, é muito mais subtil, que é um especial trabalho,
[48:38:08 - 48:41:28]:  porque não vamos nos ouvir há tempo aqui.
[48:41:28 - 48:46:28]:  A decisão é muito mais subtil do que parece,
[48:46:28 - 48:51:28]:  muito mais subtil do que parece, e o tempo é muito mais complexo do que parece,
[48:51:28 - 49:01:28]:  e, deslogo, o Pedro refriu isso de passagem, mas, para mim, é o centro, tudo isso,
[49:01:28 - 49:09:48]:  é, há uma minoria que lixa a conversa das minugueses, que são estudantes asiáticos,
[49:09:48 - 49:16:28]:  e foi isto que ele é... o que originou esta tomada decisão.
[49:16:28 - 49:18:08]:  - Sim.
[49:18:08 - 49:24:48]:  - Por que? Porque os estudantes, as asiáticos, amiguitantes, que são uma minoria,
[49:24:48 - 49:29:48]:  estão a queixasse de ser indiscriminados.
[49:29:48 - 49:31:28]:  - Exatamente.
[49:31:28 - 49:34:48]:  - Por que? Porque, se não fosse indiscriminados,
[49:34:48 - 49:41:28]:  eles ocupavam a maior parte dos lugares, ao pômenes uma significativa, porque...
[49:41:28 - 49:43:08]:  - Tem um aproveitamento escolar.
[49:43:08 - 49:46:28]:  - Tem um aproveitamento escolar, a absolutamente excelente, e, portanto,
[49:46:28 - 49:54:48]:  eles teriam muito, de profissionalmente, representados nas unificidades de elite.
[49:54:48 - 50:03:08]:  É difícil estar a falar em discriminações de minugues, como um todo,
[50:03:08 - 50:09:48]:  quando, dependemos, uma minugria que tem uma performance muito melhor que a dos barangos.
[50:09:48 - 50:13:08]:  - Como se diz, como é que vocês polícia...
[50:13:08 - 50:19:48]:  - O argumenta é que o laxtro histórico é da discriminação dos negos,
[50:19:48 - 50:26:28]:  e, portanto, essa tem terra. - Mas, quem conhece a história dos os...
[50:26:28 - 50:33:08]:  - Quem conhece a história dos trabalhadores asiáticos no Estados Unidos,
[50:33:08 - 50:36:28]:  a América, sabe que isso é uma perfeita minha.
[50:36:28 - 50:39:48]:  - É evidente que hoje não fomos vítimas de escuro da Luga.
[50:39:48 - 50:43:08]:  - Dos japoneses na segunda guerra mundial.
[50:43:08 - 50:51:28]:  - Dos japoneses dos chinês, que fomos com consta-o e os caminhos de ferro americanos, que é deserto.
[50:51:28 - 50:56:28]:  Então, a bagunca é, ou seja, mais uma vez, o problema é dos dois lados.
[50:56:28 - 51:01:28]:  - Há um problema de discriminação racial da sociedade.
[51:01:28 - 51:11:28]:  - E há um problema de grupos étnicos internos, de problemas de família, que quer se empoitar em problema,
[51:11:28 - 51:16:28]:  da com a de inicia de vida sexual, da...
[51:16:28 - 51:23:08]:  da... do furticimento da família, da de venzão em famílias monoparentais.
[51:23:08 - 51:26:28]:  E, por isso, não são problemas de estanguamento complexos,
[51:26:28 - 51:29:48]:  tem que ser enfrentados com mais subterrânsa.
[51:29:48 - 51:36:28]:  - Há 10 anos em 2013, um estudo de Harvard realizado,
[51:36:28 - 51:48:08]:  ao longo de duas décadas, com coluia, que nos Estados que decidiram acabar com a chamada ação afirmativa,
[51:48:08 - 51:58:08]:  não apenas em relação ao questão universitária, mas em sentido geral,
[51:58:08 - 52:06:28]:  que, nesse estados em que a ação afirmativa foi entrampida,
[52:06:28 - 52:11:28]:  ou vão de clínio acentuado da presença de mulheres negras e asiáticas
[52:11:28 - 52:18:08]:  e de homens espânicos nos locais de trabalho.
[52:18:08 - 52:23:08]:  Isto é só para encodrar esse estudo, que é muito...
[52:23:08 - 52:31:28]:  é sobre uma questão bastante mais vasta do que esta, com o crédito que estamos a tratar,
[52:31:28 - 52:38:08]:  mas para perguntar como é que encarar os prerestes,
[52:38:08 - 52:43:08]:  a questão das políticas de correção de assim matria sociais,
[52:43:08 - 52:48:08]:  por via da descomendação positiva?
[52:48:08 - 52:58:08]:  - Em geral, sou favorável a políticas de correção de assim matria sociais.
[52:58:08 - 53:11:28]:  Eu não sei se somos todos amezas, mas a questão é a que a gente acredita em igualdade de oportunidades.
[53:11:28 - 53:24:48]:  - Ah, quem acredita que deve haver uma liberdade total sem interferência de regras externas?
[53:24:48 - 53:26:28]:  - Sí, é...
[53:26:28 - 53:28:08]:  - O que eu acho que tem...
[53:28:08 - 53:31:28]:  - Descriminação positiva?
[53:31:28 - 53:33:08]:  - Acontece-se.
[53:33:08 - 53:33:08]:  - Conteste-se.
[53:33:08 - 53:34:48]:  - Tem a descriminação positiva?
[53:34:48 - 53:38:08]:  - Ah, é verdade. Não há de um departicismo.
[53:38:08 - 53:43:08]:  - Da percimanável e quem entre ação, a maior parte são os negros ricos.
[53:43:08 - 53:44:48]:  - É só um superterro.
[53:44:48 - 53:46:28]:  - Mas aí a questão é...
[53:46:28 - 53:51:28]:  - Estamos a falar disso mesmo, estamos a falar das escolas de elite.
[53:51:28 - 53:54:48]:  - Sim, e a questão é o critério.
[53:54:48 - 54:01:28]:  E o meu critério era aquilo que o Pedro estava a dizer.
[54:01:28 - 54:11:28]:  Já eu tenho referido aqui várias vezes que é o meu critério, tem a ver com a classe social das pessoas.
[54:11:28 - 54:28:08]:  Porque parece que é muito diferente, começar a corrida numa casa de classe baixa e começar a corrida numa casa de classe alta.
[54:28:08 - 54:29:48]:  - Na verdade.
[54:29:48 - 54:31:28]:  - O mesmo tendo enquanto outros fatores que existem.
[54:31:28 - 54:41:28]:  - O momento é um argumento adicional, que a ação afirmativa seria uma espécie de reparação histórica.
[54:41:28 - 54:44:48]:  - Sim, mas é pesar tudo.
[54:44:48 - 54:49:48]:  E aqui estamos a falar da acesso universitário.
[54:49:48 - 54:58:08]:  Hoje há aqui, por exemplo, em Harvard, a aquela questão do facto dos estudantes asiáticos,
[54:58:08 - 55:06:28]:  que têm uma, digamos, uma performance acadêmica extraordinária.
[55:06:28 - 55:14:48]:  E por isso iam ser prejudicados, que é um mercado bizarro.
[55:14:48 - 55:26:28]:  Mas eu não sei se isto não deve ser anterior ao acesso à universidade.
[55:26:28 - 55:28:08]:  - Ou seja, se o problema não começa...
[55:28:08 - 55:29:48]:  - Claro que começa.
[55:29:48 - 55:31:28]:  - De 16 anos antes.
[55:31:28 - 55:33:08]:  - 18 anos antes.
[55:33:08 - 55:34:48]:  - E portanto...
[55:34:48 - 55:46:28]:  - Além de que as universidades de live elic são um pingo no meio do sistema educativo americano.
[55:46:28 - 56:01:28]:  - Não pedrem que se ia ficar sem ministro de afirmação e estão a entrar com as as pastas ministriais por esta semana na altura para sabermos mais rapidamente.
[56:01:28 - 56:19:48]:  - Porque o João Miguel Tavares se declara um jovem de linko entre portantes e desprensas por ocasião da vinda do Papa Francisco Portugal?
[56:19:48 - 56:24:48]:  - Sim, eu já não sou jovem e também não sou lá muito linko entre.
[56:24:48 - 56:39:48]:  Mas na verdade esta mesa provavelmente ter grande pedra de energia que não consegue realmente, por muito que esforça, ser um verdade de linko entre todos nós temos aquelas multosinhas que não nos importar aqui.
[56:39:48 - 56:41:28]:  - Estava falando isso.
[56:41:28 - 56:46:28]:  - A gente não conduz é difícil, porque isso é porque isso é.
[56:46:28 - 57:13:08]:  - A semana foi marcar a placostão do perdão de pedares pela visita do Papa que o governo proposta seja para condonados que não tenham mais de 30 anos e que levantou a dúvida de constationalidade.
[57:13:08 - 57:14:48]:  - Valeu saber-se por que?
[57:14:48 - 57:31:28]:  - Percebe-me melhor as dúvidas, João Miguel Tavares, ou a justificação do limite de idade por se tratar de um gesto de climação e no ámbito da jornada mundial da juventude?
[57:31:28 - 57:38:08]:  - É a pola de até aos 30 anos.
[57:38:08 - 57:46:28]:  - Eu aqui indigo, por que você foi surpreendido?
[57:46:28 - 57:56:28]:  - Porque são cisteras para que fosse liberar a vinda do Papa e a jornada mundial de esventudo, não pode ser só idade.
[57:56:28 - 58:04:48]:  - Tem que ser jovens até 30 anos que sabem um pômenes um pai nosso e uma avem.
[58:04:48 - 58:14:48]:  - E eu e xa acho que isso tinha muito mais graça, ok, um ano só, o pai disse que a avem a guia.
[58:14:48 - 58:23:08]:  - Por exemplo, se imagina se saber dizer o careto sem ajuda, mas o que é mais difícil?
[58:23:08 - 58:28:08]:  - Eu acho que se viu lá, por que se me dá, não vai me dar mais.
[58:28:08 - 58:31:28]:  - Não, senão eu gostaria de fazer a primeira comunhão.
[58:31:28 - 58:33:08]:  - Nada disso, nada disso.
[58:33:08 - 58:41:28]:  - E só vez o careto, 3 anos, por saber o careto sózinho sem Judas, é uma coisa difícil.
[58:41:28 - 58:43:08]:  E por bom, antes é lá.
[58:43:08 - 58:46:28]:  Portugal acolhe os jogos para o Límpicos.
[58:46:28 - 58:51:28]:  Só para a delinco antes e criminosa em cada vez de rodas.
[58:51:28 - 58:53:08]:  - Aí sim.
[58:53:08 - 58:54:48]:  - Esses reduz são as penas.
[58:54:48 - 59:06:28]:  E portanto, é das melhores ideias que eu já vi e portanto, eu não sei quem quer ter originalmente, mas bagável.
[59:06:28 - 59:08:08]:  - Porque é uma ideia para o Límpico.
[59:08:08 - 59:09:48]:  - Não precisa de justiça, né?
[59:09:48 - 59:11:28]:  - É, é para o Límpico.
[59:11:28 - 59:13:08]:  - Porque é deu feio, é isso.
[59:13:08 - 59:18:08]:  - É a ministra da justiça, novamente muito bem.
[59:18:08 - 59:33:08]:  - Quem também gostou de ser produado, disse-o de vivavós e publicamente, é o bicho que presida a jornada mundial das juventudes.
[59:33:08 - 59:39:48]:  - Vou fazer uma declaração de interesses.
[59:39:48 - 59:49:48]:  - A mim era muito bom que não tivesse limitação de idade, porque eu tenho umas multasinhas que gostava que fossem apanhadas pela ministria.
[59:49:48 - 59:53:08]:  - Estou a falar assim de coração a ver.
[59:53:08 - 59:59:48]:  - A confissão de coração a ver, tudo bicho pro América.
[59:59:48 - 60:06:28]:  - E a que a gente tem de brincar de dar-os para esta declaração de interesse?
[60:06:28 - 60:08:08]:  - Quem não, com a defesa?
[60:08:08 - 60:09:48]:  - O Carlos Lasta.
[60:09:48 - 60:16:28]:  - Eu tenho que dizer aqui, a tira primeira pedra.
[60:16:28 - 60:21:28]:  - Quem é com esta indica, como é esta semana?
[60:21:28 - 60:29:48]:  - Recebi um lá em casa, um papel de abdistração interna a dizer o seu estacionou num sítio.
[60:29:48 - 60:38:08]:  - Enfim, não sei o que é que terei feito, mas estacionei num sítio, não se podia.
[60:38:08 - 60:44:48]:  - Eu podia, mas eu não paguei, não percebi que era para pagar, não percebi.
[60:44:48 - 60:46:28]:  - Por isso...
[60:46:28 - 60:48:08]:  - Desentou-se.
[60:48:08 - 60:49:48]:  - Senhor Padre, eu fiz em todos.
[60:49:48 - 60:56:28]:  - Senhor Padre, também estou aqui de coração aberto, o problema é que tenho...
[61:03:08 - 61:06:28]:  - Fecharam uma coração aí, então...
[61:06:28 - 61:08:08]:  - Acho que vai ser uma...
[61:08:08 - 61:09:48]:  - Vai ser uma...
[61:09:48 - 61:11:28]:  - Mas é legal.
[61:11:28 - 61:19:48]:  - Eu percebo o interesse de ouvirmos o Senhor Bíscito, mas eu gostava de ouvir também
[61:19:48 - 61:24:48]:  outro seminarista, que é o André Ventura.
[61:24:48 - 61:29:48]:  - Eu gostava de ouvir porque quando foi o...
[61:29:48 - 61:31:28]:  - Qual a vida?
[61:31:28 - 61:44:48]:  - O Estado organizou-se para reduzir, digamos, uma oposição do chegue, acho que é um sujo.
[61:44:48 - 61:46:28]:  - É contra.
[61:46:28 - 61:48:08]:  - É contra.
[61:48:08 - 61:49:48]:  - É contra.
[61:49:48 - 61:51:28]:  - Amnistia, mas...
[61:51:28 - 61:53:08]:  - Mas toda ou...
[61:53:08 - 61:56:28]:  - Ah, não, olha, quando é ventura.
[61:56:28 - 62:01:28]:  - A Inguéja não dá muito contente com ventura, nem pela posição...
[62:01:28 - 62:06:28]:  - Não, não, nem pela posição que eu tomou com o seu antigo pago.
[62:06:28 - 62:08:08]:  - Com o pedras.
[62:08:08 - 62:09:48]:  - Senhor.
[62:09:48 - 62:14:48]:  - Não, não concorda aqui que não me dou muito contente.
[62:14:48 - 62:16:28]:  - Mas eu me reparem.
[62:16:28 - 62:19:48]:  - Mas o ventura é contra...
[62:19:48 - 62:21:28]:  - Eu gosto mais de esconfiquer.
[62:21:28 - 62:23:08]:  - Eu gosto de ser...
[62:23:08 - 62:48:08]:  - Eu gosto de ser...
[62:48:08 - 62:49:48]:  - Não, é...
[62:49:48 - 62:51:28]:  - Não, é...
[62:51:28 - 62:53:08]:  - É por isso.
[62:53:08 - 62:59:48]:  - Bom, depois da novir, depois da população...
[62:59:48 - 63:11:28]:  - Depois da polêmica, o PS já disse que estava disponível para introduzir altrações à proposta do governos da discussão da Chega.
[63:11:28 - 63:24:48]:  - É por isso que a gente não tem a ser de governos da discussão da especialidade, para tudo sem caminha, para que caia essa limitação da idade.
[63:24:48 - 63:33:08]:  - Como é que a valia pedra-me-se, o facto de tudo isto estará agora a ser tratado em contra-a-relógica,
[63:33:08 - 63:48:08]:  - Quando já tem tempo que se sabe da vinda do Papa, que chega no princípio de agosto, e já estamos quase a metis de julho.
[63:48:08 - 63:53:08]:  - Que é verdade, pós-poca, que isto não é verdade, para as ministras, não é?
[63:53:08 - 63:54:48]:  - Foi tudo...
[63:54:48 - 63:59:48]:  - Foi tudo na GFN, mas isto seria sempre problemático do Poder-Fista do Présio.
[63:59:48 - 64:09:48]:  - É um problema, tipo, do Poder-Fista do Présio da Igualdade, quando há uma decisão com um espectroetário...
[64:09:48 - 64:11:28]:  - É por que?
[64:11:28 - 64:14:48]:  - Porque, mas...
[64:14:48 - 64:26:28]:  - Mas podia haver uma contrariamentação, argumentação de que são os jovens, porque a jornada da jovem de tudo...
[64:26:28 - 64:36:28]:  - É muito poderil, tanto mais que as pessoas que não são jovens, podem participar nas jornadas da jovem de tudo,
[64:36:28 - 64:46:28]:  - Então, na água, os eventos, as jornadas da jovem, tudo embora, isso é uma de facto uma atividade, tipo, se você fica, pode haver tanto.
[64:46:28 - 64:53:08]:  - A argumentação não é de um grau de jurecerar muito evovaldo.
[64:53:08 - 64:59:48]:  - Estás claro, porque o João Miguel está avar-se de Clara 1, jovem de 50,
[64:59:48 - 65:11:28]:  - Quanto ao Ricardo Arospreira diz sentir-se vulcânico, será prigoso o vulcão?
[65:11:28 - 65:14:48]:  - Parece que, sim, acho que a vulcão é prigoso.
[65:14:48 - 65:18:08]:  - O vulcão em causa chama-se António.
[65:18:08 - 65:21:28]:  - António vulcão.
[65:21:28 - 65:29:48]:  - E era até esta semana chefe da responsável pela parte da educação dos vossores?
[65:29:48 - 65:31:28]:  - Já não é.
[65:31:28 - 65:33:08]:  - De mitios.
[65:33:08 - 65:34:48]:  - De mitios.
[65:34:48 - 65:44:48]:  - Depois de ter envido da públicas ameaças que fez aos criatores, João Elmeto, por causa de um livro,
[65:44:48 - 65:49:48]:  de João Elmeto, que fala da pobreza dos vossores.
[65:49:48 - 66:06:28]:  Será caso para concluir vendo o lado positivo do caso, se há algum que ainda, ao livro que incomodam, quem tem poder, Ricardo Arospreira?
[66:06:28 - 66:14:48]:  - Essa é uma parte de uma manifestação das tupides da censura.
[66:14:48 - 66:21:28]:  É sempre assim, o censor, porque é que é estúpido?
[66:21:28 - 66:33:08]:  Porque, no caso concreto, chamou mais atenção sobre aquilo que eu queria que não fosse sabido,
[66:33:08 - 66:39:48]:  que é o livro do João Elmeto, do que se não tivesse dito nada.
[66:39:48 - 66:41:28]:  - É necessário.
[66:41:28 - 66:44:48]:  - Mas nós estamos a falar do livro do João Elmeto e não estaríamos.
[66:44:48 - 66:46:28]:  - Sim.
[66:46:28 - 66:53:08]:  - Se esse vulcão não tivesse espirrado lava para o telefone...
[66:53:08 - 67:01:28]:  - Já agarram parentes, porque vem a detalhe de fãs, embora não sejam casos de mesma natureza,
[67:01:28 - 67:09:48]:  o famosíssimo, ninguém tinha ouvido falar até agora, "Rock in Rio Febras".
[67:09:48 - 67:13:08]:  - "Rock in Rio Febras".
[67:13:08 - 67:26:28]:  - Torna-se esta semana um grande sucesso, parece que vai ter uma enchente de gente, porque a empresa que tem o "Rock in Rio"
[67:26:28 - 67:31:28]:  - Foi processado, se passou, a minha soprocada.
[67:31:28 - 67:33:08]:  - É isso.
[67:33:08 - 67:36:28]:  - A minha soprocada, que está sendo usada.
[67:36:28 - 67:43:08]:  - E então deu aquilo uma dimensão que...
[67:43:08 - 67:49:48]:  - Pra já, devolver existência do "Rock in Rio Febras".
[67:49:48 - 67:56:28]:  - Este vulcão mandou então umas mensagens.
[67:56:28 - 68:03:08]:  A "Jualneto" que são objetivamente ameaças físicas.
[68:03:08 - 68:04:48]:  - São ameaças.
[68:04:48 - 68:08:08]:  - Se há alguma coisa de malto acontecer, se calhar fui eu.
[68:08:08 - 68:09:48]:  - Exatamente.
