[00:00:00 - 00:13:10]:  Esta semana Ricardo Oro Espreira em serviços terno declara-se secretário João Miguel
[52:06:50 - 52:16:50]:  - Enquanto não, o viral catrói apenas? Olha, você já estava falando que não. - É até que ia mais tuguista.
[52:16:50 - 52:51:50]:  - O pedromessia fica então o ministro do Senhor Polícia e está a entrada das pastas ministriais por esta semana, altura para saber-mos porque é que o pedromessia, ele de novo, se declara rescaldado e num rescaldo geral ou seletivo.
[52:51:50 - 53:15:10]:  - Não, não, não. Havia aquela expressão que, às vezes se utilizava de se chamar os secretários gerais, secretários gerais. E o secretário geral do peso foi um secretário geral.
[53:15:10 - 53:38:30]:  - Estamos a falar de iniciativa do secretário geral do peso, de ir para o terreno, de ir para as razões afetadas por os fogos da semana passada, mas para ir, mas para os conselhos socialistas da pena.
[53:38:30 - 54:03:30]:  - O que é isso? - O que é isso? - É assim, toda a gente que foi o que vai ao fotobó, que já foi ao fotobó já ouviu, não queremos ver eles boharder, mas não queremos ver as alterquias do outro para tirar a dê.
[54:03:30 - 54:26:50]:  - Não faz sentido nenhum que se fa a visita, que se fa a alterreno, só visitar as alterquias no seu campo político. É uma coisa grosseiramente infantilia, até ofensiva, é verdade que ele diz.
[54:26:50 - 54:48:30]:  - Eu sou os secretários de raio do PS, tanto só, mas... E o resto do país, porque não tenha subido a honra de ser governado pelo PS, merece ser adonovado como diz os brasileiros.
[54:48:30 - 55:30:10]:  - Não faz sentido nenhum, não percebo. Acho que é uma coisa, não gosto muito do argumento e maturo, acho que não tem muito interesse, utiliza essa linguagem, mas acho que é um tiro no pé, acho que não revela sentido estado, relação a uma tragédia, de discriminar, com bases nos resultados ileitorais e as últimas altercas, parece-me.
[55:30:10 - 55:41:50]:  - Vejo que ela tem a ver. - Vejo que ela tem a ver. Veja que a pede de não necessidade de uma migata avar os comunatural, como uma forma enviesada, dollar pro país.
[55:41:50 - 56:11:50]:  - Eu aqui sou mais compreensivo, compédio de não de santo, porque eu acho que pede de não de santo que tem consciência que nestas alturas, este positas são uma chatisse para as pessoas que elas estão, porque estão ocupadas, tenta assucionar infinitos problemas, e os seus conceitos acabam a agruender e agar,
[56:11:50 - 56:25:10]:  e muitas gente para tentar ajudar, e é um bocadinho como quando Luís mantendo que solta para cima de uma lancha, está mais a chatear do que a ajudar.
[56:25:10 - 56:43:30]:  - E portanto, mas eu li a chatear o pé, se tu diz que é paixatear, porque aí corre o risco de levar com ver a pau. Então, como vais chatear?
[56:43:30 - 56:51:50]:  - Chatear os dois são mais recebidos. - Vários os meus, mais chatear os dois.
[56:51:50 - 56:56:50]:  - Vários altercas do pé, se demostraram a sua... - Muito a tristeza.
[56:56:50 - 57:13:30]:  - A tristeza, mas a sua estuppação e a sua disponibilidade para já que ele se entrece pelos ensinos, como certamente se entrece, não põe.
[57:13:30 - 57:16:50]:  Isso em causa, se preocupa.
[57:16:50 - 57:31:50]:  - Essa é o ponto de ter sido, a diada, atrasava a reunião com Luís Montenegro por causa da estupenda.
[57:31:50 - 57:36:50]:  - Claro, claro. - E tem a sua intenção.
[57:36:50 - 57:46:50]:  - Eu sou sensível a largamento do poteio executivo e da alguém que está simplesmente no oposição.
[57:46:50 - 57:55:10]:  Pensei também no contrário, não vamos ter agora, depois das 3 gêrdios, uma espécie de comboinho,
[57:55:10 - 58:08:30]:  em que agora, além de que já terem ido o presidente da República, o primeiro ministro, os ministros que está estestado, vai também olhando a oposição.
[58:08:30 - 58:15:10]:  E depois também vai um under-eventura, depois também vai o Palau Rai Mundo, e também depois...
[58:15:10 - 58:28:30]:  E começava com um comboinho de todos os partidos que correm por exemplo, são para ele aumentar, a fazia em visitas a todos os consensios que dê-lo.
[58:28:30 - 58:33:30]:  - Não, não, não, não, não. - Então, é isso que... - Não, é isso que... - Não é todo pensas, que é o pedra.
[58:33:30 - 58:38:30]:  É isso só, hoje, com o sério de do partido.
[58:38:30 - 58:45:10]:  - Explo de pedra de mucéciar... - É que é muito gostar, é gostar.
[58:45:10 - 58:46:50]:  - Pedra de mucéciar... - Pedra de mucéciar...
[58:46:50 - 59:01:50]:  - Nem ainda será candidata, primeiro ministro, ou estará mais apostada em consolidar a posição de chefe de turma.
[59:01:50 - 59:16:50]:  - É, é importante não esquecer que ele não poderia ser, primeiro ministro, se não continuar a ser chefe de turma.
[59:16:50 - 59:36:50]:  E quer dizer, já, na turma, né? Na turma já... Não há muitas ainda, não há uma, duas movimentações no sentido de avaliar o que vai acontecer em relação ao orçamento,
[59:36:50 - 59:55:10]:  se calhar, tentar ir com o seu antorrotado, tentar novas emoções para chefe de turma, ver se são os mais bem representados junto do concilio direto.
[59:55:10 - 60:13:30]:  E, portanto, tendo em conta que ele precisa de se manter como chefe de turma, e, primeiro, seus conhendos, acaba a perceber visível.
[60:13:30 - 60:28:30]:  Há duas ainda situações possíveis. Uma é, pelo menos, quando se pensar, olha, em questão dos consens desafetados, para que possesam mais ajuda.
[60:28:30 - 60:38:30]:  São uns que são dirigidos pro gente do PS, deixe-me ir lá, ver se é preciso alguma coisa.
[60:38:30 - 61:08:30]:  O outro é, para a Pedra Número Santos, a dizer que os munícipes que não votam em autarcas do PS, têm este castigo. Não são visitados pelo Pedra Número.
[61:08:30 - 61:21:50]:  Imagino que isso faz a pensar duas vezes, da próxima vez que quiserem, ele deseja um autarca que não seja do partido de si, isto ia bem feito.
[61:21:50 - 61:45:10]:  E, pro ano, há eleições autarcas que achasse que é preciso, porque é que o Pedra Mestia se declara rescalbado, quando to a Ricardo Raúges Pereira, de sentir-se secretário, descreto ou disposta por a boca no trombone.
[61:45:10 - 61:46:50]:  Ricardo?
[61:46:50 - 61:56:50]:  As duas coisas, quer dizer, a boca foi uma boca no trombone, descreto.
[61:56:50 - 62:10:10]:  Estamos a falar do documento, do documento das cartárias de la Serra da Salas, na Comissão de Inquerido, de caso das GEMs.
[62:10:10 - 62:20:10]:  O documento, não é, pareceu concluzivo ou, para a essa pessoa, precisa contra a história?
[62:20:10 - 62:36:50]:  Bom, o contraditório já, na verdade, é este mais um documento que contradita, porque ele vem contraditar um documento anterior.
[62:36:50 - 62:58:30]:  É por isso que, a boca, a boca eu dizia que era, foi o cara no trombone, mas não é forma um pouco descreta, porque é pedido, da Secretaria, dos que está aí de Estado,
[62:58:30 - 63:15:10]:  da Secretaria da Salas, a CPI, a Comissão de Inquerido, teve determinadas características que, entre uma hora mais de secreta, não filmaram a senhora,
[63:15:10 - 63:33:30]:  coisa que eu tenho pena, porque eu costumo de bruçar-me sobre a Comissão de Inquerido, e, quanto mais imagens, tiveram a disposição melhor.
[63:33:30 - 64:01:50]:  Mas eu fiquei muito aliviado, porque, uma Serra da Salas, tinha dito que, as iniciativas tinham se tinham partido quase todas da própria Secretaria, que ainda, por cima, estava há o que, sempre tempo no cargo.
[64:01:50 - 64:36:50]:  E, portanto, eu tenho a posição que até cheguei a propor aqui, que, também quanto a que os Secretários, do Antitular de Carco Public, tinham capacidade para, agendar coisas, por sua própria iniciativa, fazer requisições ao hospital, etc.
[64:36:50 - 65:11:50]:  Eu tenho uma questão que propurs, que, além de nós nos dirigimos às urnas para a ilogêtero ministros e secretários de Estado e de portadas, pessoas que governam a ilogêter-la, que nós podá-semos ilogiar também os seus secretários, porque era aí que residia o verdadeiro poder.
[65:11:50 - 65:31:50]:  E, portanto, era muito bizarro que, vivendo nós numa democracia, o povo não poderia se ilogiar, as pessoas que tenham o verdadeiro poder, que eram os secretários dos titulares de cargo público.
[65:31:50 - 65:55:10]:  E, portanto, eu fiquei aliviado, porque a senhora disse, não, realmente, como calculando, não fui eu, se castaria, que tomou iniciativa de fazer estas coisas.
[65:55:10 - 66:10:10]:  Entretanto, na resposta escrita, na resposta que envio a Comissão de Inquery, tanto ao Nio Costa, na altura, Primeiro Ministro, deixou esta frase.
[66:10:10 - 66:38:30]:  Os governantes são responsáveis pelos atos da sua equipa, o que destaca nessa afirmação, como primordial Pedro Muxia, o que ela tem do obvio, ou que ela tem de contundente, porque também é um aspecto contundente que acerta em uma cara de salto.
[66:38:30 - 67:13:30]:  Os dois coisas, o obvio é, claro que é o obvio, aliás, quando foi a demissão do próprio Nio Costa, isso falou da qual foi a razão da demissão, e eu vou, pessoas que diziam "ah, foi por causa do Nio, dentro dos livros", e claro que não foi, foi por causa do meu acontecimento anterior, de famoso para a grava.
[67:13:30 - 67:26:50]:  Mas por exemplo, se tivesse sido por causa do dinheiro do seu chefe de... Na hora chefe de gabinete era...
[67:26:50 - 67:31:50]:  - É na hora chefe de gabinete? - Era chefe de gabinete.
[67:31:50 - 67:38:30]:  Eu acho que o primeiro ministro sabia que ele tinha me de por essa razão.
[67:38:30 - 67:48:30]:  Ou seja, agora, tem quem também disse isto, e claro que é o deserido de tachá-queir na certa sala.
[67:48:30 - 68:10:10]:  Quem também disse isto, e então, temos a escadinha, foi Marta Tremido. A hora vai, Marta Tremido era a ministra da Saúde, e portanto, aí...
[68:10:10 - 68:15:10]:  Mas um sucesso de estar até um gabinete ao tônio?
[68:15:10 - 68:35:10]:  Claro que tem um gabinete ao tônio, mas quer dizer algo mais pescido a uma responsabilidade de... E ela escolheu quem escolheu.
[68:35:10 - 68:41:50]:  Não estou a dizer que Marta Tremido se devia ser responsable da sede.
[68:41:50 - 68:58:30]:  Estou a dizer que é preciso ter um critério, digamos assim, invariável sobre quem é que apém na cor escolpa.
[68:58:30 - 69:28:30]:  Nós temos muitos casos na vida política portuguesa em que, de facto, não é pessoa responsabilizada, tanto que se dá sempre um exemplo máximo da admissão de Jorge Coelho, na altura da queda da ponta, onde ele se emitiu por responsabilidade, digamos, funcional.
[69:28:30 - 69:45:10]:  Não tinha nenhuma culpa no que aconteceu, mas achou que, portanto, a regra é boa, a regra é contundente, e a certa sala foi deixar de cair completamente.
[69:45:10 - 69:49:14]:  Quero tomar-te-te-te-te-te-te, mas que quer perguntar-te-te com isso.
[69:49:14 - 69:56:04]:  Não acerte a sal, mas tendo a dar pós-sonhar com uma carreira política, os ômigaltavar.
[69:56:04 - 70:01:20]:  Não sei se há algum dia, sonhou-me, mas je, pense que não.
[70:01:20 - 70:13:24]:  Eu também gostava da tabuícoupas, eu só gostava saber o acupa de que, porque isso continua
[70:13:24 - 70:18:52]:  a ser um mistério, ao fim deste tempo, do bom bom bom bom bom.
[70:18:52 - 70:25:34]:  Nós continuamos sem saber o que aconteceu, alguma coisa aconteceu e de grave tenda com
[70:25:34 - 70:28:58]:  tal silêncio, mas o que?
[70:28:58 - 70:31:58]:  Eu gostava mesmo saber.
[70:31:58 - 70:42:54]:  Já sabemos por que o Ricardo Aospreira se considera secretário, vamos agora tentar
[70:42:54 - 70:54:58]:  perceber rapidamente, porque aquilo João Miguel Tavar se sente cheio e isso é bom
[70:54:58 - 70:59:46]:  ao mal sinal, João Miguel Tavar.
[70:59:46 - 71:02:06]:  Este caso é bom sinal, né?
[71:02:06 - 71:03:46]:  É bom sinal.
[71:03:46 - 71:10:26]:  Se mesas quantas publicas não estavam em molestado, como anunciou o ministro sermento,
[71:10:26 - 71:12:06]:  aqui há uns meses?
[71:12:06 - 71:14:30]:  Pois eu também tinha ouvido isso.
[71:14:30 - 71:22:30]:  E também eu vi que as quantas estavam em molestado e de repente saiam os números e neste
[71:22:30 - 71:27:12]:  primeiro ssono, neste primeiro ssono, se se mestre, é um residente de um vinglador
[71:27:12 - 71:29:42]:  esprocente do PIB.
[71:29:42 - 71:38:18]:  E, portanto, as despesas que chegam emmenso, 7,5%, mas as receitas ainda que chegam mais, por
[71:38:18 - 71:39:58]:  um vinglador, 4%.
[71:39:58 - 71:49:36]:  Portanto, aparentemente, pela primeira vez, talvez nasceu a história, o PS deixou realmente
[71:49:36 - 71:54:02]:  pode dizer, olha, deixá-me de suscofe cheio.
[71:54:02 - 72:02:14]:  Isso nunca aconteceu nem com suagens, nem com coterras, nem com soclatives, mas olha,
[72:02:14 - 72:07:34]:  se dizer que aconteceu com o Antônio Costa.
[72:07:34 - 72:18:34]:  Chegou ao governo, o atual ministro das finanças, disse que as quantas estavam em molestado,
[72:18:34 - 72:20:14]:  eu acho que, agora...
[72:20:14 - 72:21:54]:  Eu acho que, agora...
[72:21:54 - 72:23:34]:  Eu acho que, agora...
[72:23:34 - 72:25:14]:  Não, é isso.
[72:25:14 - 72:27:30]:  Eu acho que criaram o facto político.
[72:27:30 - 72:29:10]:  Não sei.
[72:29:10 - 72:38:06]:  Chegou a hora de, como não está passando a nada de importante no país, nomeadamente,
[72:38:06 - 72:42:34]:  precisamente, de Estado, ninguém veio um ministro da junha antes, né?
[72:42:34 - 72:49:46]:  Porque é engraçado há uma grande discussão com soubordosamente, de Estado, ele tem
[72:49:46 - 72:55:02]:  uma sensação que a pessoa que ouvimos o menos é um ministro das finanças, que é uma coisa
[72:55:02 - 72:56:42]:  e também não com a gente...
[72:56:42 - 72:59:42]:  Com durante os fogos foi a ministra da administração, entenda?
[72:59:42 - 73:06:06]:  É, e sequer eu tenho pastas estucadas, ou valeu um jogo qualquer que eles perderem a nossa
[73:06:06 - 73:07:46]:  terpia pasta.
[73:07:46 - 73:09:26]:  E...
[73:09:26 - 73:17:10]:  E então, eu gostava de saber que alguém que explica essa final tem uns cofixais, ouvas
[73:17:10 - 73:20:06]:  e eles perguntaram me ganha, não sabe, mentem.
[73:20:06 - 73:21:46]:  A aparentemente, eu acho que...
[73:21:46 - 73:23:26]:  A aparentemente, eu acho que...
[73:23:26 - 73:25:06]:  Desculpa, Ricardo, brevemente.
[73:25:06 - 73:28:26]:  Deve-lhe folga.
[73:28:26 - 73:38:26]:  Carlos, deve-lhe folga porque quando o governo, por favor, é...
[73:38:26 - 73:46:22]:  Deixar de cobrar impostos a um grupo de pessoas é porque, por princípio, tem folga.
[73:46:22 - 73:57:30]:  E esta medida de o IRreasse jovem, que me parece claramente...
[73:57:30 - 74:13:26]:  Quer dizer, o projetado para que tenha em conta que o PS, ao que se diz, tem as pessoas mais vejas,
[74:13:26 - 74:18:46]:  o PSD quer ficar com as mais novas.
[74:18:46 - 74:35:46]:  O problema é que eu tenho vindo a verificar que os jovens deixam de ser jovens.
[74:35:46 - 74:43:18]:  Já os velhos nunca mais deixam de ser velhos, sentar uma coirência nos velhos que não
[74:43:18 - 74:46:38]:  se encontra no jovens.
[74:46:38 - 74:48:18]:  Muito bom.
[74:48:18 - 74:49:58]:  Seja como for.
[74:49:58 - 75:00:46]:  Quando pessoa de meia dada, senta-me um pouco abandonado o PS, me dedica a muito as velhos,
[75:00:46 - 75:08:30]:  o PSD adica as meninos de jovens até 35.
[75:08:30 - 75:11:50]:  Toda gente se morri feiminho.
[75:11:50 - 75:15:38]:  Um momento calimero do Ricardo Raúzo Pereira.
[75:15:38 - 75:19:14]:  Quem está a controlar numa frase?
[75:19:14 - 75:24:38]:  Quem está a controlar a melhor anarrativa das contas públicas?
[75:24:38 - 75:34:46]:  Numa frase, as narrativas, não deviam estar as contas, as narrativas, as contas não
[75:34:46 - 75:38:14]:  deviam estar as setas narrativas.
[75:38:14 - 75:39:54]:  Muito bem.
[75:39:54 - 75:44:14]:  Está na altura dos livros e outra é a esta semana.
[75:44:14 - 75:55:54]:  Um livro que na verdade são dois é reunião de um grande sucesso editorial com mais de
[75:55:54 - 76:08:58]:  30 anos, dois títulos publicados nos anos 90 dos éculo passado, mas que não se desatualizaram
[76:08:58 - 76:13:10]:  uma vez que as leis da física não prescrevem.
[76:13:10 - 76:27:42]:  E ainda assim, o autor review o livro, os livros, melhor dizendo, à luz de avanços científicos
[76:27:42 - 76:29:22]:  ao corredor dentro.
[76:29:22 - 76:39:58]:  Para cá, os dois livros em causa são física divertida e nova física divertida reunidos
[76:39:58 - 76:49:06]:  dão este volume agora chamado toda a física divertida, o autor, Carlos Filháis, cientista
[76:49:06 - 76:59:18]:  e conhecido divulgador científico, coloca a disposição dos leigos na matéria conhecimento
[76:59:18 - 77:12:06]:  especializado com sentido de humor e com uma irudição sem peneiras de explicação do que
[77:12:06 - 77:26:34]:  é a luz aos paradoxos quânticos passando pelas leis dos planetas ou planano-tecnologia.
[77:26:34 - 77:39:42]:  Tudo isto neste livro divertido, mas que nem esse susto de ciência pode realmente ser divertida
[77:39:42 - 77:47:06]:  como este livro mostra as ilustrações de José Bandeira, ajudam a afesta toda a física
[77:47:06 - 77:52:46]:  divertida de Carlos Filháis e edição gradiva.
[77:52:46 - 77:58:26]:  Os hormigal ta vários, recomenda Maria Filmane Mónica.
[77:58:26 - 78:08:30]:  Sim, esta viagem de Inverno é o seu livro mais recente e como é público, ela não conste
[78:08:30 - 78:19:58]:  com o meu nome, a Maria Filmane Mónica está muito ente e este livro tem um sério tom de
[78:19:58 - 78:23:54]:  despedida de jornada.
[78:23:54 - 78:31:22]:  Também em texto, em que ela homenageia, por exemplo, um dos seus grandes amigos, o Antonio
[78:31:22 - 78:36:46]:  Péla, que vá às com celos, ele tem um texto sobre ele bastante comovente.
[78:36:46 - 78:48:22]:  E o livro "Rion", textos que foram publicados na imprensa entre 2001 e 2022, mas é crescendo
[78:48:22 - 78:53:34]:  de uma introdução, um IPL de novos.
[78:53:34 - 79:03:46]:  E a Maria Filmane Mónica sempre me impressionou muito, porque ela é uma espécie de frontalidade
[79:03:46 - 79:12:14]:  furiosa, que vai ao ponto, por exemplo, nesta introdução dela falar do involucimento dos seus
[79:12:14 - 79:22:10]:  pelos públicos, que é uma coisa que qualquer pessoa, ela é uma alerta de que chama TMI,
[79:22:10 - 79:23:50]:  não é?
[79:23:50 - 79:26:14]:  Tu me adjude de informeja, não queremos saber.
[79:26:14 - 79:36:18]:  Mas na verdade, eu quero saber, aquilo é um reflexo, uma espécie de frontalidade furiosa
[79:36:18 - 79:53:26]:  que atravessa muito o seu percurso e que a singular guisa muito naquê o panorama da reflexão
[79:53:26 - 79:58:06]:  e das leitas portuguesas, e vale imessa pena, alegre.
[79:58:06 - 80:11:10]:  E às vezes em universo de Maria Filmane Mónica, o Pedro Muxia traz também uma autora
[80:11:10 - 80:19:30]:  relevante de contas de contas de lisa com a saguâmis, tem a particularidade de ser
[80:19:30 - 80:27:30]:  encontros inéditos e não uma reunião de contas já publicados, lisa costa que o quâmico
[80:27:30 - 80:37:26]:  sempre se do tabulho ou produz outras coisas, uma delas é a sua distância das fórmulas
[80:37:26 - 80:51:14]:  habituais e cansadas, mensagens e de todas essas produtos prefabricados da ficção portuguesa
[80:51:14 - 80:59:38]:  e as contas têm a particularidade de terem uma revisitação da história da política e da
[80:59:38 - 81:10:46]:  memória portuguesa, são um pouco mais autobio graficos, parece do que é habitual nela,
[81:10:46 - 81:19:30]:  mas a menys de tempo de memória que é falível, ali que tem os seus falências como ela
[81:19:30 - 81:21:10]:  diz.
[81:21:10 - 81:32:42]:  O Ricardo Espera também escolhe e suger contra uma autora portuguesa.
[81:32:42 - 81:43:14]:  Exatamente, há tantos meses sem livros de contas a serem publicadas e repentem de
[81:43:14 - 81:51:38]:  que tem um, duas das nossas melhores contas, lisa costa que vamos e três a veiga, fica
[81:51:38 - 82:01:10]:  não to acertar com, publica os seus livros, este é uma se ver uma delicada, na vez
[82:01:10 - 82:09:18]:  a veiga tem que da China já me serem atentos, é tão grave, por isso é isto.
[82:09:18 - 82:17:18]:  Pronto, así que a sugestão também de mais um livro de contas está concluído assim, mais
[82:17:18 - 82:27:18]:  uma reunião semanal das oitias, há mesmo a hora ou os mesmos de sempre também em
[82:27:18 - 83:12:14]:  um podcast de democia, de romegauta-barça e Ricardo Rúspere.
[83:12:14 - 83:28:54]:  [Música]
