[00:00:00 - 00:09:54]:  Esta semana, Ricardo Aoros Pereira ainda em confinamento sente uma semirretta.
[47:55:24 - 48:27:04]:  O facto de um em cada três bem-fiquistas, na verdade, um cadinho mais do que um, em cada três bem-fiquistas, ter indito que, no obstante estudo, estava na altura de mudar, ter uma emfica mais ambicioso, mais democrática, mais credível, parece-me apesar de tudo uma boa consolação.
[48:27:04 - 48:52:04]:  O Ricardo não poderia votar por estar confinado, mas como a diferença de votos tão grande, a favor de Luis Felipe Erick, como aquela que vai acontecer, pelo menos, não ficou a martirizar-se, porque os seus 50 votos também não teriam feito grande diferença.
[48:52:04 - 49:07:04]:  Não, não fazem sempre diferença, Carlos, aqui é o Proverbe Ungaro, que diz todo o bocadinho acrescenta de isso rato e fechixi no mar.
[49:07:04 - 49:25:24]:  E eu tenho que tapê-la por... Oi, ficou ofrizado. Eu vi tu preios, é imprivado como tu, vilência.
[49:25:24 - 49:30:24]:  -Vito pro quem? -Tenso que repetir isso por que? -Tenso que agusar, porque tivesse tomo.
[49:30:24 - 49:45:24]:  -Attensão, atenção, vê bem o que vai dizer, porque ficaste paralisado, mas pode ter sido Deus nosso senhor que não quis, que dissece dessas palavras.
[49:45:24 - 49:50:24]:  Eu não sei o que é que eles dizem, mas não pede.
[49:50:24 - 50:10:24]:  -Vé só não se já falou de dizer que tinha repreendido alguns amigos bem fiquistas meus, que ficaram em casa, em vez de desrotar, mas não disse-nos.
[50:10:24 - 50:15:24]:  Até a gente que a gente conhece, né?
[50:15:24 - 50:28:44]:  O que é que terá motivado esta fluência e recorde de votantes que foram lá para dizer que querem que continuo tudo na mesma pedremessia?
[50:28:44 - 50:48:44]:  Vamos lá ver, nós vamos falar e já falamos e vamos falar com a questão apelítica do Tribalismo e no FotoBola, o Tribalismo, que é particularmente agravado pelo pragmatismo,
[50:48:44 - 51:03:44]:  também se quisermos de ganhar ou não ganhar, boi fica este tempo de uma lugar, está agulhada, está a jogar bem, contratar os Jusuz, coisa estava feita.
[51:03:44 - 51:28:44]:  O que acontece é que o contrato é o que conta, não o nome, o resultado de Noranho Lopes é um resultado positivo, não se entender, em que ela era um desconhecido pro grande público,
[51:28:44 - 51:40:24]:  que se tivesse sido o candidato mais forte, talvez a história fosse mais forte que as imagens conhecidas, talvez a história fosse diferente,
[51:40:24 - 52:03:44]:  continuava a ver algumas pessoas entre as quais eu fui uma das pessoas vindo para a das pelas Ricardo, que perferia que o presente do club não fosse o nome que eu leste no jornal tantas vezes ao longo dos anos por razões que não tem a ver com jogos de futebol.
[52:03:44 - 52:13:44]:  O João Miguel Tavars, que é sociopagante tal como Ricardo, também...
[52:13:44 - 52:15:24]:  Como eu?
[52:15:24 - 52:18:44]:  E o Pedro, também não foi votar.
[52:18:44 - 52:40:24]:  Não, eu não fui votar, mas isso é só porque o meu amor, apesar do doo club não, já tinha os universitratos feitos que cada gostar da era, e tem dificuldade de resistir as filas de detagas horas que era o que estava para votar.
[52:40:24 - 52:42:04]:  É verdade.
[52:42:04 - 52:43:44]:  É verdade.
[52:43:44 - 52:43:44]:  É verdade.
[52:43:44 - 52:58:44]:  E quando eu, de facto, não acreditava que fosse possível remover a Luís Flimpera de lá, agora, eu acho que é verdade que a votação de Noranho Lopes foi muito positiva,
[52:58:44 - 53:17:04]:  exatamente seguia em que eu tinha votado, agora, aquilo, para a gente mais uma vez, é muito importante. Eu não acho que os bem-fiquistas tenham ido a limpar porque o bem-fiqui está em primar e estão muito contentes com os jogos de juz.
[53:17:04 - 53:45:24]:  Acho que a pior do que isso é nós vivemos, nós vivemos no mundo em que o futebol é um meio feio porco e mal, e as pessoas que gostam dele, fazem aquilo que eu já aqui falo uma vez,
[53:45:24 - 53:52:04]:  que é, para quando tu estás num pântano que esteu teu lado, tu esteja hoje a querer.
[53:52:04 - 53:55:24]:  Mas é interessante, americano, é a seguir, o próximo tempo, é?
[53:55:24 - 54:18:44]:  E portanto, o que os bem-fiquistas que errem é, para embater com o pinto da costa, é uma mais valeu até o Luís Flimpera que coxe os golpes baixos do que o class de um presidente todo certinho e muito honesto nas estão dos seus clubes.
[54:18:44 - 54:22:04]:  E isso ainda é mais prenecioso.
[54:22:04 - 54:25:24]:  O Ricardo Arrozpreiro fica assim, ministro.
[54:25:24 - 54:45:24]:  É só porque não souba pouca, esta ronda pelos bem-fiquistas que podiam ter ido em um forão porque as filas desfaziam doidoi.
[54:45:24 - 54:55:24]:  Por que com a sensação, podíamos ter ido um pouco mais longe, nessa ronda.
[54:55:24 - 55:05:24]:  É isso, sobretudo aqueles que ficaram em casa, porque estivaram em contact com pessoas...
[55:05:24 - 55:08:44]:  Estive com covg, ter sido 36%?
[55:08:44 - 55:12:04]:  Tinha me chegado lá.
[55:12:04 - 55:28:44]:  Bom, o Ricardo Arrozpreiro fica ministro do Cartão Amarelo, são entregues das pastas ministriais por esta semana, temos que andar agora mais rapidamente,
[55:28:44 - 55:40:24]:  altura para saber-mos por que a que o pedra-moxia diz sentir que a culpa é do Camões, e não é para falar do prêmio Camões atribuz esta semana.
[55:40:24 - 55:43:44]:  Não é, é, sem mais de que a culpa.
[55:43:44 - 56:00:24]:  Quero referir a polêmica gerada, pelo modo como o público se juntou sem distanciamento no grande prêmio de Portugal em fórmula 1 no fim de semana passada,
[56:00:24 - 56:13:44]:  e também sobre o modo como o adiador Arrozreal de saúde reagiu ao que aconteceu em portimão.
[56:13:44 - 56:38:44]:  A responsabilidade de uma minha, a voce é do Chida Dão, que nós é que temos de ter cuidado, manter-te facto a distância, e por tanto se um banco cortando a um autoclantar, dizer não se senta aqui, era bom que não se sentasse ali.
[56:38:44 - 56:50:24]:  Graças a Freitas sobre o Magotte de gente que se junto em portimão da fórmula 1 afinal a culpa é do Camões, pedra-moxia?
[56:50:24 - 57:05:24]:  Eu sinto que valeu uma de que as poemas vanguardistas, em que vão a crescente de uma reputida de um esverço e a crescentando de outros, porque eu fui repetindo este poemo ao longo dos meses.
[57:05:24 - 57:10:24]:  Zenas minhas pessoas investíveis, acho mal.
[57:10:24 - 57:13:44]:  Zenas minhas pessoas na festa do avente, acho mal.
[57:13:44 - 57:20:24]:  Zenas minhas pessoas em fato, mas acho mal. Zenas minhas pessoas na fórmula 1, acho mal.
[57:20:24 - 57:43:44]:  E o problema vai continuar, portanto essa ideia de que é diferente pela natureza do evento, não faixa ter nenhum. Essa é a primeira, o primeiro ponto.
[57:43:44 - 58:02:04]:  O segundo ponto é que, e agora antes de nós sabemos que há 14 elementos ligados às equipas, nois expectadores, mas às equipas que competiram em portimão, que estão infectados.
[58:02:04 - 58:23:44]:  E o que a história graça, a fretta, disse, foi que a situação não foi catastrófica e que temos que, mas que, como o ovo de respeito, temos que restringir, como se diz em inglês, não cheio de xarlog.
[58:23:44 - 58:28:44]:  É que aprender com a experiência, disse, ó.
[58:28:44 - 58:47:04]:  Sim, e depois diz esta frase que eu gosto muito, que é a culpa, a minha, a voz, a educida dão, a edu Camões, a minha tia e a uma privandré, que não tem.
[58:47:04 - 58:53:44]:  Ou seja, esta, vamos lá ver.
[58:53:44 - 59:13:44]:  Há um limite, eu acho que a da toda a graça, fratas, em alguns momentos, apanhe o vírus, que é o vírus do governo, que é o vírus de a responsabilidade de ser vagar realmente.
[59:13:44 - 59:27:04]:  Não da pessoa, ou da entidade, melhor dizendo, que cita a lutação.
[59:27:04 - 59:53:44]:  Nossa, a de sentar no banco do jardim, porque ele tinha que ver, 10 milhões de podências e vigiários de bancos de jardim, tratam-se de um evento, que, para a autorização, ao qual é dado, um número permitido, e depois nós vemos aquelas imagens, extraordinárias das pessoas hoje, o mundo.
[59:53:44 - 60:28:44]:  Quando se eu, na semana, em que foi sendo batido o sucebimento recorrer no mordinho infectado, este sábado haverá um conselho de ministros extraordinários, para rever as medidas de combate à pandemia, com o número de infeções, de aplicar cada 13 dias, parece que vai ser necessário usando a expressão do primeiro ministro recentemente.
[60:28:44 - 61:13:44]:  Vai ser preciso um novo abanão, para a gente mexer.
[61:13:44 - 61:30:24]:  É um novo constituição que legisla sob o todo, sobre a maneira como devemos pintar as nossas parede, e, de marelo ao branco, mas não para ver este caso.
[61:30:24 - 62:00:24]:  É avançar para, seja, o que for, que venha a seguir, baseado em leis da proteção civil, sem haver uma legislação específica constitucional, que nos dé garantia, não só que isto é bem usado, como não será mal usado no futuro, estamos a dar um passo realmente perigoso.
[62:00:24 - 62:22:04]:  A França e a Alemanha voltaram ao confinamento parcial, só se pode ser de casa com uma justificação valida e forte, estaremos a assistir pela Europa, já aquilo que poderá vir a suceder nos em breve, João Miguel Tavares.
[62:22:04 - 62:37:04]:  Espero que não é evidente que, se nós chegamos a um ponto de total e absoluto descontou-lo, em que estoramos com o SNS, acho que é mais ou menos inevitável.
[62:37:04 - 63:20:24]:  Espero que não nos quemos a este ponto, e espero que, aquilo que sempre foi a estratégia desde o primeiro dia, que era, vamos tentar estar com curva para nos preparar, nos para quando viéssem uma segunda vaga, o SNS, ter mais camas, mais ventiladores, para poder responder a este segunda vaga, que toda a gente sabia que vinha com alguma força e com isso, não se fossemos obrigados a fechar outra vez a economia toda, e se é algo plano, e portanto eu espero que este plano seja comprido.
[63:20:24 - 64:08:44]:  Eu pareço que o governo, neste momento, está a pensar bem, no sentido da antónio que gosta de estar resistindo, confinamente igual ao de marça, de que economia não aguenta, acho que essa resistência deve existir, as escolas, que aparentemente ainda assim têm de estar resistindo bastante bem, não têm sido grandes focos de seminamento do vírus, não, não, portanto devemos vermos fotos gigantes para continuar a ganhar abertas,
[64:08:44 - 64:45:24]:  e espero que as estratégias sejam essas agora, qual é que é uma problema? Quando veja mais da te media e como veja graça frutas, tene a mesma desconfiência que tinha na primeira dia, que são podem ser duas senhores, muito simpáticas, mas não são suficientemente boas para estar à frente de um acontecimento tão árduo e tão difícil como este, e portanto eu tempo que não estivemos tão preparados como devíamos estar.
[64:45:24 - 65:05:24]:  Que lações tira Ricardo Auxerpreira do facto das magadora, maioria dos portugueses, crere que o governo impone a ocolher obrigatória, são dados de uma sondagem publicada esta semana pelo JTN.
[65:05:24 - 65:22:04]:  O Carlos é uma sondagem, é uma sondagem de JTN, não sei nem o que conta que esses resultados se simplificam na prática.
[65:22:04 - 65:37:04]:  Então são 81% dos portugueses, segunda sondagem que a gente quer em que aja uma decisão de recolher obrigatória.
[65:37:04 - 66:07:04]:  Eu pego desde o princípio, tenho feito um poema, também em princípio eu não me negam isso, tenho feito um poema parecido com o do Pedro, mas nós descurdamos também, descurdamos no sentido em que também achamos o mesmo para cada situação, só que eu acho uma coisa e eu pedraxe a outra.
[66:07:04 - 66:25:24]:  Ou seja, eu acho que fazendo a pondração entre o número de pessoas, os pastos disponíveis, e se essas pessoas comprerem escrupulosamente sua organização, fizer com essas pessoas.
[66:25:24 - 66:52:04]:  Queriar condições para que as regras desfascamente e digiante, seja um escrupulosamente compridas, eu sou a favor, sou a favor, que seja um elas numa festa religiosa, numa festa política, em qualquer tipo de festa, no teatro, etc.
[66:52:04 - 67:20:24]:  Pois que eu disse desde o início, agora é realmente despejar umas desenas de minhas de pessoas para um cítio e depois de dizer assim, elas é que não respeitaram o autoclante, a gente vai emposlar o autoclante, mas não respeitaram o autoclante,
[67:20:24 - 67:48:44]:  não foi a si que pediu exigência, que a DHS, por exemplo, teve nem com a festa do avan, nem com o fato de uma, por exemplo, no dia 15 de notíburo. Exigiu-se bem que era irajar, que era o PCP, mantivei as condições de segurança exigidas.
[67:48:44 - 68:08:44]:  Estás se vacido porque o pedermostia, sente que a culpa é do Camões, quando o João Miguel Tavares declara-se de "mucrata" e era preciso verbalizá-lo, o João Miguel Tavares acha que é a gente com dúvidas.
[68:08:44 - 68:10:24]:  Ninguém quer esse país.
[68:10:24 - 68:13:44]:  O programa tem qualquer dúvida sobre o que é sobre isso.
[68:13:44 - 68:23:44]:  O programa que você recebeu, isto aqui é de "democratas" no sentido americano, de "democrata" para "solobarar"
[68:23:44 - 68:50:24]:  O que é o "Joy Biden"?
[68:50:24 - 69:15:24]:  Não acredite que Donald Trump voltassei a ser presidente dos EUA.
[69:15:24 - 69:40:24]:  É uma estrapalção muito engraçada no New York Times que coloca os resultados do Biden e do Trump em relação a estas chondagens e depois faz uma estrapalção e se as chondagens estiverem tão enganadas como estiverem em 2016, ainda assim o Biden ganha a vontade.
[69:40:24 - 69:53:44]:  Está a ver trampasseitar a derrota se margem a favor de "Joy Biden" não for clara e inequivo que é exmagadora.
[69:53:44 - 70:05:24]:  Mas não seja isso, vamos para o país de este tipo de forma.
[70:05:24 - 70:27:04]:  Mas como Hillary Clinton contra o Trump em 2016, em que ele tinha a maior parte do voto popular, e eu acredito que o Trump sei há alguma espécie de gigajogas, a coisa fosse mínimamente cinza.
[70:27:04 - 70:38:44]:  Acho que não vai ser e portanto todas estas conversas que vai começar a guerra civil na próxima quarta feira, acho isso rirrigo.
[70:38:44 - 70:50:24]:  Não é a chare de Carder a O Espreira como João Miguel Taváres que já se pode começar a falar do fim da era trampo.
[70:50:24 - 71:07:04]:  Eu já não faço deixei de fazer, tendo em conta aquilo que aconteceu em 2016, em que toda a gente acreditava que o Donald Trump não ia ganhar.
[71:07:04 - 71:15:24]:  Primeira, acreditaram que não ia ganhar as primárias e depois que não ia ganhar as presidenciais.
[71:15:24 - 71:30:24]:  E o certo é que ele foi ganhando tudo, depois que ele não só não ponhas mãos no fogo que ele não volta a ganhar, como da minha dúvida é seguir.
[71:30:24 - 71:40:24]:  Será que na eventualidade do Trump perder as eleições, se isso significa o fim da era trampo?
[71:40:24 - 71:52:04]:  Ou seja, eu espero que sim, porque não parece que ele não está, já que ele não vai estar voltando a ir a candidatar-se.
[71:52:04 - 72:10:24]:  E segundo, parece que ele é sendo o político, isso é carável que não só para os democrátis, mas também dentro do seu próprio partido, é possível que não haja como a gente se lembra de haver como é.
[72:10:24 - 72:32:04]:  Em todos os partidos, várias correntes, várias tendências, não sei se há, como melhor, quer acreditar que não haja uma corrente trampista no Partido Reboblicano, além que vá para além daquilo que é o pragmatismo imediato.
[72:32:04 - 72:53:44]:  Que é, pronto, é isto, agora, por isso vamos apoiar ele. Se ele sair de cena, não sei se não vai haver, se eles não vão todos rubberizar um bocadinho, pensar no que fizeram nos últimos 4 anos e tentar civilizar-se, voltar a comer com telhers e tal.
[72:53:44 - 73:02:04]:  O que conseguem se executaria a nível internacional, uma nova vitória de trampo?
[73:02:04 - 73:10:24]:  Eu gostava de saber se você vai se te manter, porque perguntar, seja, "Amegei-se o livro, balizar, eu queria verbalizar silenciosamente".
[73:10:24 - 73:22:04]:  É uma coisa que não é muito fácil, peças que o Paz, nós ouvintes radiofónicos, mas a minha posição é basicamente esta.
[73:22:04 - 73:30:24]:  Temos muitas vezes que o fascista não se nos jardins públicos, é...
[73:30:24 - 73:32:04]:  É um desce.
[73:32:04 - 73:33:44]:  Realmente senti chato, né?
[73:33:44 - 73:37:04]:  Vamos lá ver, se...
[73:37:04 - 73:40:24]:  Vamos fazer uma audio-descrição.
[73:40:24 - 73:43:44]:  Uma audio-descrição, é minha ticha...
[73:43:44 - 73:47:04]:  Ricardo, é minha ticha...
[73:47:04 - 73:48:26]:  O que aconteceu?
[73:48:26 - 73:58:06]:  O senhor do seguinte, o que aconteceu foi o Pedro abriu a Gabardín, como costuma fazer...
[73:58:06 - 74:05:18]:  Decordo que o meu próprio confusou a saída do metro, etc.
[74:05:18 - 74:13:20]:  E mostrou desta vez e tinham uma tixar por baixo e dizia "never Trump".
[74:13:20 - 74:19:52]:  Ou seja, Trump não quer.
[74:19:52 - 74:23:36]:  Bom, por que Trump nunca?
[74:23:36 - 74:27:00]:  Porque é vitória do Trump.
[74:27:00 - 74:35:34]:  Aliás, eu tenho lido muito na alenda na imprensa, um de livro sobre o Trump.
[74:35:34 - 74:40:52]:  Aliás, eu agora, sou um livro só sobre os livros sobre o Trump.
[74:40:52 - 74:46:00]:  Um tempo que eu e os livros todos, que são os livros do Trump, e escreveram isso sobre isso.
[74:46:00 - 74:49:58]:  Eu esse livro não li, mas li muitos dos livros sobre o Trump.
[74:49:58 - 74:56:44]:  E há uma coisa que toda a gente, os defensores do Trump, toda a gente não dirá-me,
[74:56:44 - 75:05:18]:  mas pegamos três quartos defensores do Trump, dizem, que é levando-nos a nossa decisão da boca.
[75:05:18 - 75:07:54]:  Famento do Trump é horrível.
[75:07:54 - 75:17:38]:  O Trump não tem conhecimento, nem experiência, nem caráter, mas ganha, ganha.
[75:17:38 - 75:22:02]:  E portanto, se ganha, vamos votar nela.
[75:22:02 - 75:33:22]:  E se é lógica, partir de repolicano e da política na Europa também vai ser este peor
[75:33:22 - 75:41:24]:  rival, não sabe nada, ainda apresentável, tiramos o som porque temos vergonha, uma
[75:41:24 - 75:44:48]:  jogánea e isso é catastrófico.
[75:44:48 - 75:48:58]:  Portanto, esperemos...
[75:48:58 - 75:50:38]:  Espere.
[75:50:38 - 75:52:18]:  Espere que ganha o bala, né?
[75:52:18 - 75:53:58]:  Bora o bala, não seja.
[75:53:58 - 75:55:38]:  Na próxima terça-feira.
[75:55:38 - 75:58:34]:  Que a lidar de fracíssima.
[75:58:34 - 76:03:22]:  Assim, alemamos o fim da era Trump.
[76:03:22 - 76:12:14]:  Estava na altura dos livros e eu trago um fascinante livro sobre livros.
[76:12:14 - 76:20:52]:  Antes de ter ouvido livros em papel, ou de abuinhas de regila, papiros, livros em cedo,
[76:20:52 - 76:22:32]:  livros em papel.
[76:22:32 - 76:32:02]:  E esta é uma história de mais de 30 séculos que é escritor a Espanhola Irene Valerro,
[76:32:02 - 76:42:34]:  uma estudiosa da cultura clássica, Rihanna, um livre intitulado, o infinito, no junco, o
[76:42:34 - 76:52:50]:  título faz a ilusão, a reíza etimológica da palavra, Canon, que utilizamos para referirmos
[76:52:50 - 76:56:26]:  a as obras essenciais de uma termina.
[76:56:26 - 77:04:18]:  A cultura que está agora aliás na ordem do dia com o livro que já foi até referido aqui.
[77:04:18 - 77:15:18]:  Canon tem uma reíza etimológica comum com a palavra cana, ou seja, o junco que é referido
[77:15:18 - 77:21:58]:  no título, o Canon na sessão original era uma vara de medir.
[77:21:58 - 77:30:38]:  E esta é apenas uma das milhenta histórias e curiosidades sobre livros e sobre a história
[77:30:38 - 77:33:58]:  do livro que encontramos.
[77:33:58 - 77:41:46]:  Nesta obra, onde temos a sensação, eu tive a sensação de permanente de estar
[77:41:46 - 77:53:26]:  cada página a aprender coisas essenciais e, para a maior parte de nós, certamente novas
[77:53:26 - 78:03:06]:  é um excelente livro para quem gosta de livros, o infinito no junco de Irene Valerro e
[78:03:06 - 78:05:38]:  ditado pela Bertre.
[78:05:38 - 78:15:46]:  Quanto o João Miguel Taváres traz um ensaio que foi Bess Célar, que agora tem uma versão
[78:15:46 - 78:17:26]:  em banda desenhada?
[78:17:26 - 78:19:06]:  Sim, sim.
[78:19:06 - 78:28:22]:  O sapiens é o livro que fez a origem da humanidade, é o livro que fez a fama do Yuval
[78:28:22 - 78:36:42]:  Agarri a partir daí, outro que não se conhece, é o grupo planetário.
[78:36:42 - 78:49:06]:  Mas este livro, que é a adaptação a banda desenhada desse ensaio e desse livro, que é
[78:49:06 - 79:01:06]:  basicamente um livro que traça uma história longa da humanidade, é muito bem conseguida.
[79:01:06 - 79:09:14]:  Este hoje em dia, o mundo editorial vai por modas e o que mais há hoje em dia é adaptações
[79:09:14 - 79:16:38]:  em banda desenhada de tudo que mexe, nomeadamente livros clássicos e tudo isso.
[79:16:38 - 79:24:02]:  Mas essas adaptações nem sempre são mais felizes, mas neste caso, esta adaptação é
[79:24:02 - 79:25:42]:  mesmo muito feliz.
[79:25:42 - 79:35:06]:  São 200 e 48 pais, mas ainda assim é só o primar que volume, mas é um dificilmente enorme,
[79:35:06 - 79:43:54]:  é muito bom para miludos adolescentes e também é muito bom para os pais dos miludos, se
[79:43:54 - 79:50:14]:  não tiver a grande paciência para ler o livro todo e para ver os seus membros.
[79:50:14 - 79:51:54]:  É muito bem feito.
[79:51:54 - 79:56:58]:  O Pedro Mexí é atrás, o vencedor do Prêmio Camões.
[79:56:58 - 80:04:10]:  O Camões, o professor Victor Agarri, esse livro que chama "Colheta de Inverno", que
[80:04:10 - 80:13:38]:  é seu exteno, edição da Almedina, e foi um vencedor do Prêmio Camões, talvez indesperado,
[80:13:38 - 80:21:14]:  mas não é mais depinto e discotível, não se entenderem que é um dos intelectuais estudiosos
[80:21:14 - 80:27:02]:  da literatura portuguesa como obra mais sólida.
[80:27:02 - 80:41:02]:  E este livro, certa forma, é quase a mantelujia, não sei, mas é quase a mantelujia das várias
[80:41:02 - 80:50:06]:  áreas que ele estudou, da trilha de literatura, ou barroque, ou maneirismo, até aos escritores
[80:50:06 - 80:57:18]:  contemporâneos, fala sobre o hibello, vasca, rassamora e tudo mais.
[80:57:18 - 81:07:38]:  E portanto, sobretudo, são porcamões excelentes ler os textos do professor Agarri Silva, e
[81:07:38 - 81:20:54]:  é também, não poder deixar de dizer, um dos apoiantes da iniciativa, nem de fesa da
[81:20:54 - 81:29:10]:  língua portuguesa contra o coro-ortográfico, porque há esta curiosidade de pessoas que
[81:29:10 - 81:34:46]:  conhecem bem a língua e a literatura, será enquanto trouva coro-ortográfico.
[81:34:46 - 81:44:50]:  O Ricardo Raúso Pereira recomenda um livro sobre um debate histórico.
[81:44:50 - 81:51:18]:  Exatamente, estou aqui dizendo que tem mesmo muito pouco tempo, por isso é um debate, é
[81:51:18 - 82:00:30]:  o livro que tem transcreve dois debates aliás, são dois, o aquele que ficou acelibrizado
[82:00:30 - 82:08:50]:  pela frase, olha que não, olha que não, mas também um que ocorreu antes numa estação
[82:08:50 - 82:18:10]:  de televisão francesa, nesses que ocorrem, eles estão os dois, o conhálio e o suar, estão
[82:18:10 - 82:27:26]:  os dois no governo, e por isso é bastante mais cordial, no outro já não estão e por isso
[82:27:26 - 82:34:42]:  é bastante mais acrimonioso, situação que também nos faz lembrar alguma coisa do que
[82:34:42 - 82:45:18]:  passa agora, do qualquer modo, os debates estão aqui transcritos, estão minuciosamente contextualizados
[82:45:18 - 82:53:02]:  pelos organizadores que são os de Zé Pedro Castanheira e José Maria Brandão de Brito,
[82:53:02 - 83:01:54]:  que não só dizem o que estava a passar, históricamente em Portugal nessa altura, como
[83:01:54 - 83:10:10]:  mostram o que é que os jornais noticiaram sobre estes debates, que comentários foram feitos
[83:10:10 - 83:20:10]:  sobre isso, até que cartunos saíram a propósito dos debates, e por isso é uma peça histórica
[83:20:10 - 83:29:30]:  penhotil, e é da tinta da China, e de toda, em cujo capital social, eu não tenho qualquer participação.
[83:29:30 - 83:38:02]:  E assim se conclui mais uma regina ao Sumanal, dois ou oito dias, aqui há mesmo hora no
[83:38:02 - 83:44:26]:  governo de sombra, Pedro Mexia, João Miguel Tavarde, Ricardo Rouspreira.
[83:44:26 - 83:57:46]:  [Música]
[83:57:46 - 84:14:26]:  [Música]
[84:14:26 - 84:31:06]:  [Música]
[84:31:06 - 84:57:46]:  [Música]
