[00:00:00 - 00:18:00]:  Esta semana, Ricardo Araújo, Pereira, declara-se Araújo, Pedro Mexia, Cento capital e João Miguel
[46:15:20 - 46:32:00]:  Como um haver manifestações na Grécia, por exemplo, ou um acidente de ferroviário, e estão a partir tudo.
[46:32:00 - 46:37:00]:  A manifestação de rua não precisa ser parte, era só...
[46:37:00 - 46:42:00]:  O alimentação se da avança em parte de coisas.
[46:42:00 - 46:58:40]:  O pedra-mexífico é então o ministro da confiança zero e é a vez do João Miguel Taváres de tornar ministro da violência doméstica e do discurso de ódio.
[46:58:40 - 47:05:20]:  E o que é que traz esses dois assuntos para o órdeno do dia João Miguel Taváres?
[47:05:20 - 47:13:40]:  Bom, vai se estigua uma conferência parlamentar que o anunciado pelo PS...
[47:13:40 - 47:20:20]:  E a intenção de legirlar sobre esta matéria, para todos os seus listas.
[47:20:20 - 47:22:00]:  E como eu acho?
[47:22:00 - 47:33:40]:  E vese, já agora vese a intenção de legirlar sobre esses temas, ver com o ruguzismo ou com prior passão?
[47:33:40 - 47:43:40]:  Não, é isso. A questão da violência doméstica é das questões mais séries, na sociedade portuguesa.
[47:43:40 - 47:58:40]:  Em todas as asiidades, mas como grande incidência, também tem Portugal, em Espanha, onde é uma verdade tragédia e onde faz sentido...
[47:58:40 - 48:10:20]:  As todas as inicetidas, as inicetidas, as legis lativas, tudo que for reflexão sobre o tema...
[48:10:20 - 48:15:20]:  É absolutamente fundamental.
[48:15:20 - 48:22:00]:  Mas e depois, a este de juntar de linhas, que é...
[48:22:00 - 48:30:20]:  E já agora aproveitamos e criminalizamos o discurso do ódio sexista.
[48:30:20 - 48:47:00]:  E, não por acaso, temos uma conferência com as inicetivas legislativas, sobre a violência doméstica e o título das notícias de todas.
[48:47:00 - 48:58:40]:  Que eu vi, é que o PS está a preparar a criminalização do discurso do ódio sexista.
[48:58:40 - 49:10:20]:  E aqui é que já estamos mais uma vez a misturar coisas. Não devem ser misturadas quando os insultos são tão graves.
[49:10:20 - 49:20:10]:  Porque todas a gente sabe o que é o vilácio doméstica e depois desconfio que já ninguém
[49:20:10 - 49:30:22]:  vai saber muito o que é que é discurso todo o sexista. E e e más de isso. E quanto confronto
[49:30:22 - 49:39:02]:  com com essa iniciativa para lamentar, o deputado do Eurico Perdinties, leida da bancada
[49:39:02 - 49:49:46]:  para lamentar do PS, afirma o seguinte, que há o enclichimento do discurso misógio e
[49:49:46 - 50:08:56]:  Eu não sei que dá-dos aqui o que o perigante dia esteja, é o que eu vejo a minha volta dos meus filhos, dos meus filhos e portanto eu, por que sou pai de uma determinada idade...
[50:08:56 - 50:24:46]:  -Amar com a análise de a cape? -Por que eu contato que não era só o nome. Eu a cape contato com uma realidade vasta, em temos de jovenho tudo.
[50:24:46 - 50:28:06]:  -Não note nada disso.
[50:28:06 - 51:08:06]:  E as pessoas confundem uma hipercemensibilidade ou hoje em dia aquilo que se passa que é uma muito maior sensibilidade em relação a séptemas, como seja, o discurso do ódio, a questão do homofobia, com um agravimento factual da homofobia, ou de machismo que não existe, ou de racismo que não existe.
[51:08:06 - 51:43:06]:  E eu gostava que as duas coisas fossem separadas, é o das não são iguais. E portanto nós estamos aqui falar do administrativa, que é muito importante no tren da violência doméstica, que depois corro o risco de lá, veamos outra vez, com diversas duas discursos do ódio, da linguagem, confundendo mais uma vez aquilo que é do domínio, da linguagem, com aquilo que é do domínio da ato, com crédito violento.
[51:43:06 - 52:03:06]:  E essa conclusão é muito priori. -Inititiva da bancada socialista é a reação parecer do conselho e econômico e social que é quando da falhas no combate à violência doméstica, como priori o que parece sem as conclusões desta estudo, Ricardo Arroz Pereira?
[52:03:06 - 52:26:26]:  -Mum impróqueo, e reação às conclusões também, porque as conclusões do estudo são alacunas gravíssimas, na proteção imediata da vítima, nas 72 horas posteriores à caixa, falta de formação à polícia para saber se quer que este mecanismo de proteção da vítima existe.
[52:26:26 - 52:44:46]:  -As polosseiras do retro, as eras são as eras de questões, não são controlares, não há monitorização de fiscalização, quem se tem que sair de casa é a vítima e os filhos, e não o agressor, solução, criminalizar o discurso do ódio.
[52:44:46 - 53:06:26]:  E portanto, a questão é a seguinte, nós já temos uma lei que criminaliza as palavras quando elas causam um dano. O que é que se pretende aqui? O que é que se pretende criminalizar além do que já está criminalizado pela nossa lei?
[53:06:26 - 53:36:26]:  Quem é que, em que medida que se quer ir além da lei que já existe? Segundo, qual é a definição da discurso do ódio? Eu recordo que é a última vez que, no Parlamento, uma deputada tentou definir a discurso do ódio, disse que faziam que eram discursos do ódio as cintes porções.
[53:36:26 - 53:51:26]:  Eu acho que ela não nos representa, eu sinto me enganado, fui induzida em erro, ninguém presta, não se pode confiar, não vale pena votar.
[53:51:26 - 54:06:26]:  E portanto, é de facto difícil definir a discurso do ódio e rapidamente se pode deslizar para que meras críticas seja um discurso do ódio.
[54:06:26 - 54:13:06]:  E não é esse o problema aqui, o problema é o que está identificado por aquela discurso.
[54:13:06 - 54:24:46]:  -E vais esconder os problemas principais, porque vai toda a gente andar, eu tenho vez que eu conversei o ódio que não ouque.
[54:24:46 - 54:34:46]:  -Se parece ser do que eu conselho econômico e que socialar recomendações sobre o que fazer para melhorar o combate à violência doméstica,
[54:34:46 - 54:41:26]:  como é que vê estas recomendações que estão neste relatório e peda-mecia?
[54:41:26 - 55:03:06]:  -Sim, eu suponho que uma parte, uma questão de facto, a relação ao número preocupante ao misídeo em contexto com o jogar.
[55:03:06 - 55:21:26]:  E depois há aquilo que eu peço que o relatório toma como objeto de tudo que é a violência online, a violência no sentido amplo do tempo.
[55:21:26 - 55:44:46]:  E eu concordo com o que o jovem e o meu gato recuerdo disseram no sentido que tudo que seja alterações legislativas ou processuais para tornar a punição de violência doméstica mais eficaz e mais rápida e bem-vinda.
[55:44:46 - 56:01:26]:  Entraram aquilo que o próprio líder da bancária do PS chamou maldinha Teno sobre o que é de escurocedódio, porque sempre que ouviagem falar de um caso de violência doméstica,
[56:01:26 - 56:09:46]:  descrevendo o que é que passou, eu nunca tive de ouvir daqui a que é a violência doméstica.
[56:09:46 - 56:21:26]:  E no entanto, já havíamos muitas pessoas chamarem crimes do ódio, a opiniões que eu não considero, a discursudódio.
[56:21:26 - 56:44:46]:  São opiniões que se cria dizer, por exemplo, que nenhuma opinião estramada em nenhuma matéria podia ser radical politicamente, em nenhum campondas pessoas espremendo.
[56:44:46 - 56:49:46]:  Acho que isso é mais do que uma linha Teno, é uma linha vermelho.
[56:49:46 - 57:01:26]:  O João Miguel Tavares fica assim, ministro, de violência doméstica e de discursos do ódio, estão assim entre as pastas ministriais para esta semana.
[57:01:26 - 57:13:06]:  Altura agora para sabermos por que é que o João Miguel Tavares ainda, de novo, se confessa o outro.
[57:13:06 - 57:16:26]:  Cuidado com os valentendidos.
[57:16:26 - 57:19:46]:  Eu tenho um caso muito nada mal entendido assim.
[57:19:46 - 57:26:26]:  É que eu quero falar para esse leum mal entendido ou no desentendimento mesmo.
[57:26:26 - 57:31:26]:  Ou uma estratégia? Não sei se não é uma estratégia.
[57:31:26 - 57:43:06]:  O que está em causa é o rompimento do acordo que viabilizava o governo dos assores.
[57:43:06 - 57:53:06]:  Percebeu as razões para que o dito acordo com o tivesse de declarar o roto?
[57:53:06 - 57:59:46]:  Sabe que é muito engraçado mais de uma vez quando nós lemos as notícias.
[57:59:46 - 58:09:46]:  Porque a notícia, as notícias com as todas as obras de tema, é totalmente centradas no facto de iniciativa liberal.
[58:09:46 - 58:16:26]:  Então, o outro deputado que já foi de chega e que agora não é de chega.
[58:16:26 - 58:23:06]:  E ninguém se dava o trabalho da profundar as razões.
[58:23:06 - 58:36:26]:  E podemos achar que são jornalistas que esquecem de fazer todo seu trabalho e perguntarmos exatamente o que é que se passa.
[58:36:26 - 58:46:26]:  A uma razão para o tratat é que nós assinamos um acordo e o PSD não está a cumprir.
[58:46:26 - 58:54:46]:  Mas o desinteresse, pelas veritadeiras motivações, é realmente significativo.
[58:54:46 - 58:59:46]:  Porque o que interessa, basicamente, está-lo dentro.
[58:59:46 - 59:06:26]:  Está-lo fora porque o que se passa é que todo Portugal está a projetar.
[59:06:26 - 59:13:06]:  Os assorques, naquilo que podem ser futuramente uma de legislativas.
[59:13:06 - 59:21:26]:  E neste caso, até que ponto ruim rocha, que é um novo líder da iniciativa liberal,
[59:21:26 - 59:28:06]:  e que já disse com uma clagueza gigantesca que nunca se vai aliar ao chega,
[59:28:06 - 59:36:26]:  pode também estar a que marcar aqui a sua posição, até para o deputado dos assorques.
[59:36:26 - 59:41:26]:  Parece que é muito próximo dele e dizer, olha, a FÁSTAT.
[59:41:26 - 59:46:26]:  Isso é significativo.
[59:46:26 - 59:59:46]:  Mas também é curgioso por outro lado, que aparentemente podiam, após a posição, avançar com uma função de confiança.
[59:59:46 - 60:03:06]:  E...
[60:03:06 - 60:06:26]:  Se sura, nunca se sura.
[60:06:26 - 60:09:46]:  Mas ninguém está muito difícil.
[60:09:46 - 60:16:26]:  Isso também é bastante curgioso.
[60:16:26 - 60:21:26]:  Parece que há alguma solução terrível mas que agora...
[60:21:26 - 60:34:46]:  Ninguém quer ficar com o level de estar contribuir para a enguvernabilidade ou para uma situação política.
[60:34:46 - 60:43:06]:  E, portanto, que podemos já estar agora nos autores, a maioria absoluta que aconteceu em Portugal.
[60:43:06 - 60:48:06]:  E estes jogos políticos são bastante interessantes.
[60:48:06 - 61:03:06]:  É uma espécie de microcogemos onde se pode jogar uma espécie de laboratório para ver o que pode acontecer no que contem dentro no futuro.
[61:03:06 - 61:09:46]:  É esse cenário que diz política nos assorges de sua pontifista, a permoxia que...
[61:09:46 - 61:23:06]:  que consequências poderá vir a ter e que partido poderá vir a penalizar mais.
[61:23:06 - 61:31:26]:  E, dependendo de haver da solução para a crise ser eleições ou não.
[61:31:26 - 61:43:06]:  É muito difícil que uma maioria que foi cozinhava por um que estava e que, entre tantos, já teve vários golpes.
[61:43:06 - 61:49:46]:  E que, de repente, mais há ganhçal de fora, não o justifique eleições.
[61:49:46 - 61:53:06]:  Eu acho que seria...
[61:53:06 - 61:59:46]:  Acho que seria a consilhava haver eleições de esclarecer essa questão.
[61:59:46 - 62:04:46]:  E, portanto, quem vai ganhar, é vendi eleições que vai ganhar.
[62:04:46 - 62:06:26]:  É quem ganhar as eleições?
[62:06:26 - 62:13:06]:  Se libertar dos outros parceiros ou se mirar sua ofituição.
[62:13:06 - 62:26:26]:  Mas acho que não só dizer a relação ao cogeomigal disso, que as pessoas estão a ler aquilo com olhos continentais,
[62:26:26 - 62:36:26]:  porque o PSD optou por uma opção que nos permite ler aquilo que o olho continentais.
[62:36:26 - 62:41:26]:  E, portanto, isso é um defeito de febrico.
[62:41:26 - 62:54:46]:  É um defeito de febrico, o PSD automar aquela decisão, inquinou aquela decisão com uma leitura política de balão de ensaio,
[62:54:46 - 62:59:46]:  de possibilidade de entendimento nacional.
[62:59:46 - 63:01:26]:  Não se pode que achar disso.
[63:01:26 - 63:06:26]:  O li é esta situação com olhos continentais, recabradoras para a era...
[63:06:26 - 63:09:46]:  É, exatamente isto que o Pedro disse.
[63:09:46 - 63:21:26]:  Esta solução teve impacto continental, porque toda a gente projeta no continente aquilo que aconteceu ali,
[63:21:26 - 63:28:06]:  e, entre tantas, já houve, pelos vistos, o chega já disse que se arrependeu,
[63:28:06 - 63:33:06]:  que se fosse hoje já não fazia aquilo assim, a iniciativa liberal agora quer sair.
[63:33:06 - 63:38:06]:  Mas olha que o PSD agora deu uma grande estabilidade.
[63:38:06 - 63:39:46]:  Mas, sei, mas, sei.
[63:39:46 - 63:44:46]:  Algumos, é responsável que é muito isso também.
[63:44:46 - 63:48:06]:  Sem semana, não, sei, mas é que...
[63:48:06 - 63:53:06]:  E o PSD rejou um grande seria ali, porque é tal coisa.
[63:53:06 - 63:56:26]:  Toda a gente projeta para o continente aquilo que ele aconteceu.
[63:56:26 - 64:03:06]:  Estás preciso porque o João Miguel Tavar se declara roto,
[64:03:06 - 64:08:06]:  quanto ao Pedro Mestia diz sentir-se capital.
[64:08:06 - 64:14:46]:  E já nisso, um projeto apenas uma ambição, Pedro Mestia.
[64:14:46 - 64:19:46]:  Para me experimentar tudo, a projeto é ambição e a reconhecimento.
[64:19:46 - 64:28:06]:  Quer falar dos zoom-zum sobre a agrelha de partida socialista na corrida a câmera do Lisboa?
[64:28:06 - 64:31:26]:  É, apremente, é só mais um zoom-zum.
[64:31:26 - 64:36:26]:  Não será ainda cedo para isso, tendem conta que as aulas sem saltar,
[64:36:26 - 64:39:46]:  que que é em condições normais, não é?
[64:39:46 - 64:46:26]:  Nada, não é? Não é uma locia serão apenas em, no atorno de 2025.
[64:46:26 - 64:51:26]:  Talvez seja, mas foi a própria marca temido.
[64:51:26 - 64:56:26]:  Quem agora se fala com possível candidato à Lisboa,
[64:56:26 - 65:01:26]:  que emitiu essa possibilidade, a dasão marca temido,
[65:01:26 - 65:08:06]:  não desapareceu depois de a ministra da saúde, ela é.
[65:08:06 - 65:11:26]:  Portada, líder da concilia,
[65:11:26 - 65:19:46]:  os vários pessoas do peço falam do seu capital político,
[65:19:46 - 65:26:26]:  da sua empatia nas ruas, etc., etc.,
[65:26:26 - 65:31:26]:  e portanto a possibilidade não desmentida pela própria,
[65:31:26 - 65:36:26]:  ela crescer a candidata à câmera nos ribadles boto,
[65:36:26 - 65:38:06]:  ou direita de celular.
[65:38:06 - 65:43:06]:  Há dois problemas para mim muito rapidamente sobre isso.
[65:43:06 - 65:49:46]:  Um é que aparentemente havia um candidato bem posicionado
[65:49:46 - 65:56:26]:  e que é uma pessoa, dev dizer que do outro lado, a governa,
[65:56:26 - 66:03:06]:  a pessoa que parece mais in atacável, que é um ministro ar-de-cordero,
[66:03:06 - 66:06:26]:  que é uma pessoa tudo que eu tenho visto,
[66:06:26 - 66:11:26]:  uma pessoa seria preparada e portanto seria um bom candidato.
[66:11:26 - 66:16:26]:  Pode-a não querer candidatar-se para perder isso outra questão,
[66:16:26 - 66:21:26]:  ainda será a ministra em princípio na altura.
[66:21:26 - 66:28:06]:  E depois é que, intimately, do que nós achamos de Marta Temido,
[66:28:06 - 66:34:46]:  ministra da Saúde, nós tivemos esta semana passada,
[66:34:46 - 66:39:46]:  uma Marta Temido que ou a Neste Mente,
[66:39:46 - 66:44:46]:  não estava a espera, que é a Marta Temido, que se diz,
[66:44:46 - 66:51:26]:  que os operadores privados e do setor social foram insenciais
[66:51:26 - 66:54:46]:  para a resposta da pandemia.
[66:54:46 - 66:58:06]:  Isto é preciso ter muita lata,
[66:58:06 - 67:03:06]:  porque nós ouvimos o que ela disse repetidamente,
[67:03:06 - 67:13:06]:  a entrevista, comissão, planário, desprezando aliás com um caráter ideológico assumido,
[67:13:06 - 67:21:26]:  e não tem nada com outras ideologias, uma indisponibilidade a setor.
[67:21:26 - 67:24:46]:  E portanto agora está a desdizer,
[67:24:46 - 67:28:06]:  santo que a gente está em campanha para qualquer coisa.
[67:28:06 - 67:34:46]:  E eu acho que esse é um preço que não devia ser pago para essa candidatura,
[67:34:46 - 67:36:26]:  ao próprio ano.
[67:36:26 - 67:39:46]:  Mas poderão vir a ser os trufos de parte a parte,
[67:39:46 - 67:44:46]:  num confronto de temido moedas,
[67:44:46 - 67:49:46]:  regardamos para a câmera delisboa.
[67:49:46 - 67:51:26]:  O Carlos, eu...
[67:51:26 - 67:59:46]:  Trufos que Marta Temido pudesse ter, alguns foram com o de Gaste,
[67:59:46 - 68:08:06]:  foram ficando desgastados lá está com o de Gaste da Governação
[68:08:06 - 68:16:26]:  e com o de Trufos que ela pudesse ter por causa do modo como a pandemia foi gêvida.
[68:16:26 - 68:19:46]:  É um grande catámba no chão da gente.
[68:19:46 - 68:21:26]:  Até o homeniano de Gaste.
[68:21:26 - 68:26:26]:  E isso é, por tanto, aquilo foi um balão que desenchou rapidamente.
[68:26:26 - 68:36:26]:  E há uma grande desvantagem que parece-me evidente que a vida da Marta Temido
[68:36:26 - 68:39:46]:  começou a correr muito pior desde que ela é militante do PS.
[68:39:46 - 68:43:06]:  Enquanto ela era independente,
[68:43:06 - 68:53:06]:  eu acho que a vida de Corria é melhor do que a partir do momento em que ela opte a vocartão.
[68:53:06 - 68:56:26]:  É uma questão para ela pensar.
[68:56:26 - 69:03:06]:  Que leitura política, os homogéutavares faz de facto de carlos moedas
[69:03:06 - 69:13:06]:  já ter vindo reagir a hipótese de uma eventual candidatura de Marta Temido.
[69:13:06 - 69:18:06]:  Então, ela provavelmente acredita como nós,
[69:18:06 - 69:24:46]:  que se calhar é realmente hipótese mais provavel que está em cima da mesa
[69:24:46 - 69:29:46]:  e começou a posicionar-se em relação a isso.
[69:29:46 - 69:38:06]:  O pelo que falou na empatia nas ruas com por uma arte-temido
[69:38:06 - 69:44:46]:  que será um argumento do PS, claramente não deve ser nas mesmas ruas para onde é o ano,
[69:44:46 - 69:48:06]:  porque é empatia com mais de a temido.
[69:48:06 - 69:58:06]:  Não, eu não vi na rua, mas sei é a empatia que a minha rua tem por uma arte-temido.
[69:58:06 - 70:03:06]:  Sei que o revés de uma rua fina.
[70:03:06 - 70:06:26]:  Essa empatia não é grande.
[70:06:26 - 70:11:26]:  Eu tenho dúvidas que o SNS não vai para melhor.
[70:11:26 - 70:16:26]:  E ela, para tudo ser feito, ela não é só o cara da pandemia.
[70:16:26 - 70:23:06]:  Ela é cara da alguma ex-descisões,
[70:23:06 - 70:29:46]:  mais erradas que foram tomadas nos últimos anos.
[70:29:46 - 70:36:26]:  E por que não tem muitas dúvidas que sejam grandes que estão na apresentação
[70:36:26 - 70:38:06]:  para pagar a camiga de Lisboa?
[70:38:06 - 70:43:06]:  Nós sabemos por que o Pedro Mexia, este clara capital,
[70:43:06 - 70:48:06]:  vamos tentar agora perceber por que é que o Ricardo...
[70:48:06 - 70:49:46]:  Sim, pode ser rapidamente.
[70:49:46 - 70:58:06]:  Porque o Ricardo era o espreiro, faz que estão de se clara-ar.
[70:58:06 - 71:01:26]:  Era o uso, o Ricardo era o uso, para era.
[71:01:26 - 71:08:06]:  Sim, exatamente, mas hoje só era o uso por causa da António e o Araújo.
[71:08:06 - 71:11:26]:  É a precisa de atenção a este caso.
[71:11:26 - 71:13:06]:  Pessoal, atenção de todos.
[71:13:06 - 71:18:06]:  António e Araújo era colunista dos Jornal dos Preços.
[71:18:06 - 71:24:46]:  E eles creveu no seu blog um texto crítico de uma reportagem
[71:24:46 - 71:28:06]:  de uma peça jornal distica dos Preços.
[71:28:06 - 71:33:06]:  E depois deixou de ser colunista dos Preços.
[71:33:06 - 71:34:46]:  Esta tem aqui são factos.
[71:34:46 - 71:38:06]:  Isso é o que nós sabemos de ciência certa.
[71:38:06 - 71:44:46]:  A partir daqui, eu não sou íntimo de nenhuma destas pessoas,
[71:44:46 - 71:48:06]:  e portanto, o que acontece são apenas,
[71:48:06 - 71:51:26]:  é o que nós temos ouvido a dizer.
[71:51:26 - 71:54:46]:  E portanto, o que traa, quando se e depois,
[71:54:46 - 71:58:06]:  a partir daqui, são trás.
[71:58:06 - 72:03:06]:  António era o ostra-se e de convidado pelos Preços
[72:03:06 - 72:06:26]:  a retratar-se do artigo que escreveu,
[72:06:26 - 72:11:26]:  não terá querido e terá preferido sair.
[72:11:26 - 72:14:46]:  E eu pensei, olha que está um excelente tema,
[72:14:46 - 72:19:46]:  para eu levar ao programa que os nomes, etc.
[72:19:46 - 72:24:46]:  Porque é exatamente aquilo que eu costumo gostar.
[72:24:46 - 72:28:06]:  Eu acho e continuo a achar que,
[72:28:06 - 72:33:06]:  para que alguém se retrate de uma opinião,
[72:33:06 - 72:36:26]:  a existirem, são ilgítimas.
[72:36:26 - 72:38:06]:  Como sempre, tantito.
[72:38:06 - 72:39:46]:  Sempre, tantito isso.
[72:39:46 - 72:44:46]:  E não interessa muito quem é a pessoa em causa,
[72:44:46 - 72:48:06]:  nem quem é que exerce as porções.
[72:48:06 - 72:53:06]:  Mas depois mandar um posto de Zé Neves,
[72:53:06 - 72:56:26]:  que é por suitoria na nova.
[72:56:26 - 72:59:46]:  Acho que este ano foi o que diz ele.
[72:59:46 - 73:04:46]:  É notável o silêncio e o entorno do afastamento de António era o ostra.
[73:04:46 - 73:08:06]:  Por causa não é assim tão notável,
[73:08:06 - 73:11:26]:  porque o próprio António era ostra em silêncio.
[73:11:26 - 73:14:46]:  E por isso, isso dificulta, mas enfim.
[73:14:46 - 73:16:26]:  É notável o silêncio.
[73:16:26 - 73:21:26]:  Na semana, a segunda testa escrito um texto muito crítico,
[73:21:26 - 73:24:46]:  de uma peça feita para um jornalista dos preços.
[73:24:46 - 73:29:46]:  E logo isto tinha da acontecer, diz o pessoas Zé Neves.
[73:29:46 - 73:33:06]:  Um dos órgãos do Senhor Bólicemão,
[73:33:06 - 73:38:06]:  nos quais não falta quem está já pronta a fazer-se paladino
[73:38:06 - 73:39:46]:  da liberdade de pressão,
[73:39:46 - 73:44:46]:  sempre que há um comentário antirraci-sto feminista
[73:44:46 - 73:46:26]:  em torno de questões de linguagem.
[73:46:26 - 73:49:46]:  Perderam o piu agora?
[73:49:46 - 73:51:26]:  Pergunte a ele.
[73:51:26 - 73:54:46]:  Não, caiu aqui a piara.
[73:54:46 - 73:58:06]:  Eu não deixe de piar nunca.
[73:58:06 - 73:59:46]:  Qual é o problema?
[73:59:46 - 74:04:46]:  É que o pessoas Zé Neves não escreve nomes aqui,
[74:04:46 - 74:06:26]:  deve ter sido lápso.
[74:06:26 - 74:11:26]:  Ou então, escreve-os nomes neste pósito e foi censurado.
[74:11:26 - 74:13:06]:  Se foi isso que aconteceu.
[74:13:06 - 74:16:26]:  Já agora fica aqui a minha solidariedade.
[74:16:26 - 74:19:46]:  Mas que a estúlil a piara,
[74:19:46 - 74:24:46]:  estou a piara e a dizer que são univalidos,
[74:24:46 - 74:28:06]:  os argumentos cínicos do que estúmem,
[74:28:06 - 74:29:46]:  não sei se sou a qualquer coisa,
[74:29:46 - 74:31:26]:  ou a pessoas Zé Neves.
[74:31:26 - 74:34:46]:  Por exemplo, aqui, os argumentos do gênero
[74:34:46 - 74:39:46]:  é que a gente tem que estar com liberdade de pressão
[74:39:46 - 74:44:46]:  se ele continuá a ter tanta espelata de formas.
[74:44:46 - 74:51:26]:  Ou então, mas o jornal não tem o direito de escolher os seus colaboradores.
[74:51:26 - 74:54:46]:  Não são univalidos.
[74:54:46 - 74:56:26]:  O que que eu faço hoje?
[74:56:26 - 74:58:06]:  Não sei bem, são pessoas.
[74:58:06 - 75:04:46]:  São certas e determinadas pessoas que estúmam de fazer.
[75:04:46 - 75:09:46]:  Estou a avançar com esses argumentos cínicos.
[75:09:46 - 75:13:06]:  Que eu continuo a achar que são univalidos,
[75:13:06 - 75:18:06]:  neste caso, e nos casos, em que está em causa,
[75:18:06 - 75:24:46]:  a liberdade de pessoas que dizem coisas de que os Zé Neves não gostam.
[75:24:46 - 75:28:06]:  É igualzinho em todos os casos.
[75:28:06 - 75:31:26]:  E foi o momento para hoje.
[75:31:26 - 75:36:26]:  Está na altura dos livros e outra a esta semana,
[75:36:26 - 75:39:46]:  na semana que se comemorou o dia internacional
[75:39:46 - 75:44:46]:  da mulher um livro em que as protagonistas são mulheres.
[75:44:46 - 75:48:06]:  Chamas as enviadas especiais.
[75:48:06 - 75:54:46]:  Hoje, nos jornalismo homens e mulheres estão em pé de igualdade,
[75:54:46 - 75:59:46]:  mas a profissão foi a terra relativamente pouco tempo.
[75:59:46 - 76:03:06]:  Mejoritariamente masculina ainda assim,
[76:03:06 - 76:06:26]:  a presença das mulheres nos jornalismo
[76:06:26 - 76:11:26]:  vem de longe e com uma expressão mais significativa
[76:11:26 - 76:16:26]:  do que aquilo provavelmente muitas vezes se pensa.
[76:16:26 - 76:19:46]:  No final da segunda guerra mundial,
[76:19:46 - 76:26:26]:  por exemplo, havia cerca de 250 mulheres repórteres acreditadas,
[76:26:26 - 76:31:26]:  junto das forças alviadas, repórteres das críticas
[76:31:26 - 76:34:46]:  e repórteres de imagem, fotografas.
[76:34:46 - 76:39:46]:  Este livro centra-se em seis casos,
[76:39:46 - 76:44:46]:  os extraordinários de mulheres repórteres nesse período
[76:44:46 - 76:48:06]:  e, na verdade, é um livro de aventuras.
[76:48:06 - 76:53:06]:  Estas seis pioneiras dos jornalismo de guerra distinguiram-se
[76:53:06 - 76:58:06]:  num momento crucial e a história delas cruzas
[76:58:06 - 77:01:26]:  com a história do próprio conflito.
[77:01:26 - 77:08:06]:  Não há tempo aqui para falar, em promenora de todas,
[77:08:06 - 77:16:26]:  vale a pena ler o livro, mas está com uma que até está editada em Portugal,
[77:16:26 - 77:21:26]:  Marta Gell Horn, além de uma grande repórter,
[77:21:26 - 77:26:26]:  foi uma escritor anotável que, durante muitos anos,
[77:26:26 - 77:33:06]:  como em tantos outros casos, ficou na sombra de um outro vulgo litrário
[77:33:06 - 77:38:06]:  com quem esteve casada Ernest Minguay.
[77:38:06 - 77:46:26]:  As enviadas especiais de Judith Macrel, edição de Casa das Letras.
[77:46:26 - 77:49:46]:  O Pedro Messia atrás, Bob Dylan.
[77:49:46 - 77:51:26]:  Tenho um Bob Dylan.
[77:51:26 - 77:56:26]:  Bob Dylan há uns anos e fez um programa de recávio,
[77:56:26 - 78:01:26]:  muito sugestionários, como eu estou aqui do Bob Dylan faz,
[78:01:26 - 78:06:26]:  em que se mostra que ele tem um conhecimento estomentiano
[78:06:26 - 78:16:26]:  sobre as canções pop, blues, e canto, e americanas ou não,
[78:16:26 - 78:21:26]:  que conhece todos os discos, todas as versões, etc.
[78:21:26 - 78:26:26]:  E este livro que chama a filosofia da canção moderna,
[78:26:26 - 78:36:26]:  são 66 ensaios sobre 66 canções, que vão desde canções
[78:36:26 - 78:41:26]:  e autores muito respeitáveis do Sinatra e nesse imôno,
[78:41:26 - 78:46:26]:  até coisas meio estranhas como o volar,
[78:46:26 - 78:51:26]:  ou outras canções menos óbvias para este canon,
[78:51:26 - 78:56:26]:  além de falar dos autores que eles são próximos de uma maneira,
[78:56:26 - 79:03:06]:  o Johnny Cash, o Towns of Anzenta, o Renquely Limbs, etc.
[79:03:06 - 79:08:06]:  E são os textos muito curiosos, por não enarvelso-se,
[79:08:06 - 79:13:06]:  na filosofia nium aqui, que é da testem duas partes,
[79:13:06 - 79:18:06]:  na primeira ação de textos criativos,
[79:18:06 - 79:21:26]:  em que eles se metem dentro da canção, dentro da história,
[79:21:26 - 79:26:26]:  começou a ser uma personagem, e na segunda, com a textualiza da opinião,
[79:26:26 - 79:34:46]:  faz provocações sempre muito zangado com a ideia de que as canções
[79:34:46 - 79:41:26]:  devem ser interpretadas, interpretadas enquanto ao seu sentido.
[79:41:26 - 79:48:06]:  O João Miguel Tavares traz a história.
[79:48:06 - 79:53:06]:  Sim, agora é mais agora.
[79:53:06 - 79:56:26]:  Sim, agora é mais agora, começou a perceber bem,
[79:56:26 - 79:59:46]:  começou a perceber um projeto livre,
[79:59:46 - 80:06:26]:  depois transformou-se num podcast muito interessante
[80:06:26 - 80:11:26]:  durante a pandemia, e, antiguentanto,
[80:11:26 - 80:16:26]:  transformou-se novamente a presidente de podcast em livre,
[80:16:26 - 80:21:26]:  são sete volumes que estão a sair com o público,
[80:21:26 - 80:24:46]:  editados pela tinta da China.
[80:24:46 - 80:29:46]:  Eu tenho bastante saudade de ler o Ruitavares,
[80:29:46 - 80:38:06]:  e assim tenho oportunidade de relegar a escrita dele,
[80:38:06 - 80:44:46]:  e fazer com ele verdademente uma viagem intelectual
[80:44:46 - 80:53:06]:  porque embora isto chama-se seis moias do último milênio,
[80:53:06 - 80:58:06]:  é o seu postítulo, e há temas como fanatismo,
[80:58:06 - 81:04:46]:  a polarização, a globalização, mas quer dizer mais do que o caminho
