[00:00:00 - 00:13:20]:  Esta semana a Pedermostia considera-se revisto João Miguel Tavars de Clara Centenario
[47:25:00 - 47:31:40]:  Nós, ao governarmos, se nos deixarem, quem é que preferem que governamos?
[47:31:40 - 47:35:00]:  - E nós ou a esquerda escolhão?
[47:35:00 - 47:43:20]:  - A escolha é você, se a esquerda vier a governar, a culpa é do vox.
[47:43:20 - 47:51:40]:  E neste caso a culpa seria do que chama-se na Vale da Ocame, que é...
[47:51:40 - 47:53:20]:  - Na Vale.
[47:53:20 - 48:11:40]:  - Que ir pela hipótesa interpretativa menos complexa, menos a persimónia, regra da persimónia, este é tão óbvio, isto é uma resposta.
[48:11:40 - 48:26:40]:  Tão óbvia a ver uma direita forte, uma direita forte à direita da direita, que essa pode ser uma lição...
[48:26:40 - 48:40:00]:  - Esta situação coloca a bascal líder do vox na cluna dos vencedores, na no desvencido, recadera-os para...
[48:40:00 - 48:51:40]:  - Eu acho que cloca na cluna dos vencidos, o senhor do vox e na cluna dos vencedores, las maripossas.
[48:51:40 - 48:53:20]:  - João Miguel.
[48:53:20 - 49:08:20]:  - Las maripossas venceram porque são as burboletas, são as burboletas espanholas que ganharam...
[49:08:20 - 49:16:40]:  - São burboletas espanholas, são mais burboletas de barba e risco.
[49:16:40 - 49:21:40]:  - Tá bem, mas não, mas do comunismo ali, bagnado.
[49:21:40 - 49:38:20]:  - Apesar de tudo, apesar de tudo, a Inspanha são o equivalente a las maripossas, porque como Pedro disse, o que está em causa agora é...
[49:38:20 - 50:03:20]:  - O senhor abascal tem a escolha, ou, engol, e fica sossegado, e se apesar tem para que o P.P. governam, ou não faz isso e arriscas...
[50:03:20 - 50:08:20]:  - E arriscas, você já...
[50:08:20 - 50:18:20]:  - Era isso, era muito simples, era como o Pedro disse, era nos assores, era o que havia a fazer, era isso que ia acontecer.
[50:18:20 - 50:38:20]:  - Estas ilusões provavelmente começou quando o líder do P.P., naquela moção da censura ao governo, deu um chega para lá e o que chega não é uma piada.
[50:38:20 - 50:43:20]:  - No voce, com aquele tipo de problema...
[50:43:20 - 50:48:20]:  - Chega para a história, contra a abascal.
[50:48:20 - 50:58:20]:  - Isso, embora depois nas regiões nem sempre isso se verificou, enfim, faz parte da...
[50:58:20 - 51:10:00]:  - Sim, em que me diz que esta vitória da direita espalhada pode servir de tônico para a direita portuguesa João Miguel Taváres?
[51:10:00 - 51:30:00]:  - Só no que ele sentiu, de que os tipos bebados que estão tão desprerados, não têm nenhuma boa grafa, então vai o primeiro vinha martelo que ele aparece em cima da mesa e marxa tudo.
[51:30:00 - 51:43:20]:  - Porque é aquilo que estava a dizer, o Pedro não existe nenhum paralelismo que se consiga estar o bossego, e muito menos esta história da lar mariposa.
[51:43:20 - 52:00:00]:  - Porque já é logo um problema no raciocínio do Ricardo, que a senhora e o sextava unida ao vox antes destas eleições.
[52:00:00 - 52:03:20]:  - Ela agora deixou-te precisar disso.
[52:03:20 - 52:16:40]:  - Deixou-te precisar disso. E no caso dos assors também nem sequer e consegue fazer facilmente um paralelismo, porque ali o PSD não foi sequer o partido mais resultado.
[52:16:40 - 52:23:20]:  - Aqui nós temos a falar de uma vitória, mas poderia...
[52:23:20 - 52:26:40]:  - Mas governaria com a abstranção do chão.
[52:26:40 - 52:31:40]:  - É completamente diferente a tendência de gemidade. - É, é o problema.
[52:31:40 - 52:48:20]:  - Com a escolha entre permitir viabilizar um governo da esquerda e depois nas próximas ilestões que valam, sem querer querer um desastre eleitoral, o calor se muito caladir.
[52:48:20 - 53:03:20]:  - Mas o problema aqui é, ouçam, é evidente que se india em Portugal se colocar a CSEP, se não é de repente revoltávaz, ter um PSD forte como agora foi o PP-Malegui.
[53:03:20 - 53:13:20]:  - E o chego, ou que fosse ficar se reduzido ali, há casa dos 10%, eu concordo com vocês.
[53:13:20 - 53:16:40]:  - Não, não. - Não, não.
[53:16:40 - 53:23:20]:  - Dezir da casa dos 10%, não sentida em que mais ou menos essa votação que o VOC se teve, o VOC se teve.
[53:23:20 - 53:30:00]:  - Eu concordo com vocês aí e não precisava, mas nenhum estaria a fazer acordes desagradáveis.
[53:30:00 - 53:38:20]:  - Mas tu aches que os desagradáveis não estão a ter mais isso, o teu atuo para o PSD não acham que o PSD vai ter muito menos.
[53:38:20 - 53:50:00]:  - É ser um problema. Quando eu falo o caminho das reguletas, mas, de vez, não é nada que o desejo é algo que eu estou a dizer que não vai acontecer.
[53:50:00 - 54:00:00]:  Ou seja, que a coligação é a coisa que mais possa aproximar um projeto de poder tenda a encontrar aquilo que vai acontecer em Portugal,
[54:00:00 - 54:03:20]:  mas só para finalizar.
[54:03:20 - 54:11:40]:  - Ainda assim, eu estou cada vez mais convencido que isto é do António Costa, é do gante mais seis anos, portanto, esteja uma vontade.
[54:11:40 - 54:20:00]:  - O Pedro Mercificá-seem-me, ministro da Navalha, está na entrega das pastas ministriais por esta semana.
[54:20:00 - 54:30:00]:  - Altura agora para saber-mos por que é que o Ricardo Raú's Pereira se sente premiado, jugou no top ao loto?
[54:30:00 - 54:35:00]:  - O Ricardo Raú's Pereira? - Não, não, não. - Não, não. - Não, também não.
[54:35:00 - 54:38:20]:  - No placar? - Nada.
[54:38:20 - 54:41:40]:  - Já sei. - A respadinha do patrimonio.
[54:41:40 - 54:45:00]:  - Também não, e que... - Não, também não.
[54:45:00 - 54:46:40]:  - Não, não, não, não. - Que...
[54:46:40 - 54:51:40]:  - A respadinha do patrimonio. - Então, de forma que você sai para me arde sem jogar?
[54:51:40 - 54:55:00]:  - E são os prêmios.
[54:55:00 - 55:01:40]:  Este é o nosso tema... Como é que se diz "Fill good" em português?
[55:01:40 - 55:06:40]:  - É, pode despor bem, né? - É, um tema pra despor bem, não sei.
[55:06:40 - 55:10:00]:  - É um tema vincidor. - É um tema vincidor.
[55:10:00 - 55:26:40]:  - Quer falar do da gente com o prêmio? - É, falar do prêmio de mais de um milhão e 800 mil euros, que é a equipa de gestão do novo banco, atribui-o.
[55:26:40 - 55:45:00]:  Assim, a própria pelo trabalho de gestão realizado no ano passado e que terminou com o projuízo líquido de mais de 1 milhão e 300 mil euros.
[55:45:00 - 55:51:40]:  - Não, não, ó Carlos. De 1.300 milhões de projuízo.
[55:51:40 - 55:56:40]:  - Sim, eu também tenho dificuldade com o zero. - Mílito 300 milhões.
[55:56:40 - 56:01:40]:  - Eu também tenho que dar a douzeros. - Sim, sim.
[56:01:40 - 56:05:00]:  - Baraleima aqui no j... - Perto.
[56:05:00 - 56:13:20]:  - Resumindo, 1.300 milhões de projuízo toma lá 1 milhão de prêmio.
[56:13:20 - 56:16:40]:  - Muito bem. - Com os outros milhão e 800 mil euros.
[56:16:40 - 56:20:00]:  - De prosjuízo. - Eu tenho...
[56:20:00 - 56:23:20]:  - Graças a quem encontra entre estes valores.
[56:23:20 - 56:30:00]:  - Eu não encontro graças a nenhum porque não sei fazer coisas, não sei de graças.
[56:30:00 - 56:31:40]:  - Eu não sei de graças. - Eu não sei de graças a meu...
[56:31:40 - 56:38:20]:  - Como eu estou sempre, por uma carreira na banca, pela qual eu alias tinha imensinho de 3.
[56:38:20 - 56:41:40]:  Foi o facto de não saber fazer quantas.
[56:41:40 - 56:46:40]:  - Constate, com surpresa que não é preciso. - É bem que a nitre é se protegido.
[56:46:40 - 56:51:40]:  - Sim, tinha, tinha mesmo. - E sabia fazer que?
[56:51:40 - 57:01:40]:  - Mas, constate que não é preciso saber fazer quantas porque...
[57:01:40 - 57:05:00]:  - A quese é... Alma hipótese, atenção.
[57:05:00 - 57:11:40]:  Alma hipótese, mesmo com os meus reduzidos e mescuncimentos matemáticos,
[57:11:40 - 57:16:40]:  são mil e 300 milhões de projuízo.
