[00:00:00 - 00:11:36]:  Esta semana João Miguel Tavares declara-se energizado. Pedramxia, sente-se como prometido na
[39:02:08 - 39:07:08]:  não seja uma riquinha, que tem que ir medecendo varidos,
[39:07:08 - 39:10:28]:  então mas a rua se envar de países.
[39:10:28 - 39:15:28]:  Estava lembrar-se de alguém concreto...
[39:15:28 - 39:18:48]:  Não, não, não, não, atenção, em Portugal,
[39:18:48 - 39:27:08]:  em pressa que eu leio, em Portugal, em França, em Esperem,
[39:27:08 - 39:35:28]:  ele em vários artigos de pessoas, criticaram, criticaram...
[39:35:28 - 39:43:48]:  Por favor, ir a estar provocar...
[39:43:48 - 39:50:28]:  Por favor, ir a escalada, tudo que se faz a escalada,
[39:50:28 - 39:58:48]:  quer dizer, invávido não é escalada, mas tudo que se faz para returquir a uma invasão escalada.
[39:58:48 - 40:08:48]:  Estranhamente, depois de um certo tom de ameaça, a Rússia, na semana passada, com o Medvedeva,
[40:08:48 - 40:18:48]:  relembrar que a Rússia tem armas nucleares, voltar a falar das armas nucleares,
[40:18:48 - 40:30:28]:  o arsinal nuclear-podroso, esta semana Putin veio baixar o tom,
[40:30:28 - 40:42:08]:  dizendo que se não colocar armas nas mãos dos suecos e dos filandesos, não há problema.
[40:42:08 - 40:48:48]:  Então, se você não tem tudo com uma ideia aqui, dizeu...
[40:48:48 - 40:53:48]:  Como é que entendeste a mudança de tom, a Ricardo Raúss Pereira?
[40:53:48 - 41:03:48]:  Eu quero dizer, acho, é uma suspensão minha, mas acho que, quando é o caso do Putin,
[41:03:48 - 41:12:08]:  quando se toma uma decisão para conter um suposto avanço da NATO,
[41:12:08 - 41:23:48]:  e o resultado concreto disso, a consequência disso, é um avanço mesmo da NATO.
[41:23:48 - 41:28:48]:  Eu acho que o melhor é dizer, "Pois, isso não há problema,
[41:28:48 - 41:35:28]:  o que a alternativa é reconhecer que se conter um desastroço,
[41:35:28 - 41:38:48]:  é reconhecer uma pessoa...
[41:38:48 - 41:42:08]:  Então, para ter mesmo um papelado...
[41:42:08 - 41:48:48]:  Ou é, então, para ter mesmo papelado, mas isso alge,
[41:48:48 - 41:53:48]:  isso alge e o princípio vai se dar problemas.
[41:53:48 - 41:58:48]:  E por cento, acho que este é o único alternativa de dizer, "Pois, não,
[41:58:48 - 42:03:48]:  eu não estou preocupado com isso".
[42:03:48 - 42:05:28]:  Vamos ver.
[42:05:28 - 42:08:48]:  O pedido da disão já foi formalizado,
[42:08:48 - 42:15:28]:  mas agora, subsiste, um problema chamado Turquia,
[42:15:28 - 42:18:48]:  que tem de haver uma demidade na Aliança Atlântica,
[42:18:48 - 42:22:08]:  para aceitar novos EUA dos EUA.
[42:22:08 - 42:27:08]:  Era tocando, só, só fazer o left.
[42:27:08 - 42:32:08]:  Eu vou me gravar, só, pode realmente ser um entravo complicado,
[42:32:08 - 42:35:28]:  sem a era de Madrid, onde isto vai decidir.
[42:35:28 - 42:40:28]:  Não, resposta com isso é que acho que está a fazer contas de me seguir.
[42:40:28 - 42:48:48]:  É, dizer, agora, eu vou aqui fazer isto, meu amulho, quem dá mais.
[42:48:48 - 42:53:48]:  E agora, e o que é que eu quero?
[42:53:48 - 42:57:08]:  Do que eu já li a dúvida?
[42:57:08 - 43:02:08]:  Por um lado, tem bírdra de muito com a suécia, porque a suécia...
[43:02:08 - 43:07:08]:  Tem lá, os coroageste tem um hábito da Curia Cultes,
[43:07:08 - 43:12:08]:  esses pobres desagarçados, o que é o mundo da caba,
[43:12:08 - 43:15:28]:  eles não têm nenhuma pátria.
[43:15:28 - 43:22:08]:  E também há quem tem a turía que quer matar a aula americana,
[43:22:08 - 43:30:28]:  uns aviões ínios, que os Estados Unidos têm resistido a isso,
[43:30:28 - 43:33:48]:  e agora pode ser um pouco mais da troca.
[43:33:48 - 43:35:28]:  Acho que é mais isso.
[43:35:28 - 43:42:08]:  Acho que é mais um quanto é que você ajudá-me para eu não protestar.
[43:42:08 - 43:47:08]:  E, portanto, eu aposto que a suécia e a fila dela,
[43:47:08 - 43:57:08]:  porque eu consegui entrar na nato, depois do senhor Eduardo achar que o seu sim
[43:57:08 - 44:02:08]:  foi devidamente remunerado.
[44:02:08 - 44:08:48]:  Eu gostava de ver a Zelenski, em Cane, Pedro Mexí é.
[44:08:48 - 44:17:08]:  Foi em Cane, não porque as não vi as imagens, mas eu só nos acho que a gente não deixaram entrar.
[44:17:08 - 44:22:08]:  Foi, porém, foi pena, porque eu vegui aca também.
[44:22:08 - 44:25:28]:  Nos dois que a gente vai que...
[44:25:28 - 44:30:28]:  Apenas estar ali uma pessoa que está a prever uma agressão,
[44:30:28 - 44:33:48]:  mas não vi, não quer de novo.
[44:33:48 - 44:38:48]:  O Pedro Mexí fica assim, ministro do Respanete Nordico,
[44:38:48 - 44:42:08]:  e também trago das pastas ministriais por esta semana,
[44:42:08 - 44:53:48]:  altura agora para darmos a possibilidade de ser esta semana,
[44:53:48 - 44:58:48]:  aquilo que não teve tempo de ser na semana passada, estadual.
[44:58:48 - 45:03:48]:  Como é que vê a possibilidade da interrupção voluntária da gravidez
[45:03:48 - 45:10:28]:  que poder vir a ser decidida nos Estados Unidos, o Estado ou o Estado?
[45:10:28 - 45:15:28]:  É, nesse momento-se não é esse valor na outra anterior, mas...
[45:15:28 - 45:18:48]:  Foram duas semedas seguidas.
[45:18:48 - 45:20:28]:  Assim é assim.
[45:20:28 - 45:22:08]:  Tentem haver com esta decisão, né?
[45:22:08 - 45:23:48]:  Não, não.
[45:23:48 - 45:25:28]:  Tem uma decisão.
[45:25:28 - 45:30:28]:  Para ser tratado há duas semedas, mas nem conhecido pedras perêlo.
[45:30:28 - 45:37:08]:  É, há uma decisão dessa que está onde o aborto, que neste momento não há de uma decisão nila,
[45:37:08 - 45:45:28]:  mas uma fuga de informação que permite supor que a ver neste momento um tribunal...
[45:45:28 - 45:48:48]:  Comeria conservadora.
[45:48:48 - 45:55:28]:  Embora um dos juízos conservadores, que é o presente do supremo, neste momento,
[45:55:28 - 46:02:08]:  vocês já vão voto, moderado e, portanto, não seria um voto sem estrés,
[46:02:08 - 46:10:28]:  mas cinco quatro, mas como é a conservadora, poderia reverter a decisão de setenta e três do aborto,
[46:10:28 - 46:12:08]:  do Rover Cs. Wade.
[46:12:08 - 46:17:08]:  É o que se diz, está para breve uma decisão.
[46:17:08 - 46:23:48]:  Que foi, que vai lembrar, porque isto faz parte da ticção,
[46:23:48 - 46:35:28]:  foi uma decisão tomada com fundamentos que ao longo dos anos foram criticados,
[46:35:28 - 46:43:48]:  inclusive, em esta esquerda, dizendo que o argumento essencial que foi o argumento
[46:43:48 - 46:53:48]:  que não é uma ingerência na privacidade da mulher, ficava muito atrás de um argumento,
[46:53:48 - 47:02:08]:  por exemplo, do direito ao corpo, a coisa do gênero, no sentido mais forte,
[47:02:08 - 47:07:08]:  muitas pessoas reclamaram e vi, a toda uma decisão muito interessante sobre isso.
[47:07:08 - 47:10:28]:  Agora, há aqui duas coisas.
[47:10:28 - 47:17:08]:  A primeira é que o supremo tribunal é um órgão sobre nila.
[47:17:08 - 47:30:28]:  E, portanto, as pessoas podem deplurar que o supremo tribunal tem esta, aquela composição,
[47:30:28 - 47:37:08]:  mas assim como foi o supremo tribunal que declarou, casamente,
[47:37:08 - 47:42:08]:  dando pessoas no mesmo sexo, com toda a legitimidade para isso,
[47:42:08 - 47:47:08]:  também pode declarar outra coisa com qualquer, com toda a legitimidade para isso.
[47:47:08 - 47:52:08]:  Tenho a incremento da concordância e a discordância e a outra questão.
[47:52:08 - 47:58:48]:  Outra questão ainda é saber o que é que deve ser um supremo tribunal,
[47:58:48 - 48:10:28]:  a toda uma debate interessante sobre se os juízes devem pensar como se fossem os pais fundadores
[48:10:28 - 48:17:08]:  e, neste caso, não vão pensar no aborto, porque não era um assunto que estivesse em uma da mesa,
[48:17:08 - 48:27:08]:  ou se pelo contrário devem usar o espírito das liberdades originais para contemplar
[48:27:08 - 48:37:08]:  os sujos modernos, não, aborto no assunto moderno, mas juridicamente, é um assunto moderno.
[48:37:08 - 48:47:08]:  Se o tribunal tem um déeviter ou numa componentativa e vista, etc., etc., etc.
[48:47:08 - 48:55:28]:  E depois, a terceira e última, do terceiro e último ponto, que é muito complicado de se dir que.
[48:55:28 - 49:07:08]:  O Estado Unido chama a Fundação, o que significa, é, são uma Fundação sempre e, neste momento, são uma Fundação dividida.
[49:07:08 - 49:20:28]:  O que significa que se a decisão for agvertida e cada Estado poder, e já sabe que alguns Estados vão imediatamente,
[49:20:28 - 49:30:28]:  porém, prático, uma lesilação mais repressiva contra o aborto, acho que vivinte Estados, anualestados, a vinte Estados.
[49:30:28 - 49:43:48]:  E significa duas coisas, significa de um lado triunfo do federalismo, no sentido em que está como na pena de morte,
[49:43:48 - 49:55:28]:  a Estado se cita em uma coisa e o Estado se cita em outra, da corte com o sentido político e social das populações,
[49:55:28 - 50:07:08]:  e isso é normal, não há nada de errado nisso, se na pena de morte é assim, então, por que nós outras matérias todas também pode ser.
[50:07:08 - 50:20:28]:  Por outro lado, vai tornar a divisão da América ainda mais grave do que ela já é, e ela já está insuportada muito grave ainda.
[50:20:28 - 50:45:28]:  Se o portário é totalmente grave, ela está insuportada muito grave ainda, também, de facto. E vai fazer, vai determinar algumas consequências terríveis como as pessoas terem,
[50:45:28 - 50:57:08]:  serem impedidas, as pessoas não têm meios, terem que ver já aportos, não podem ver já aportos estar, e para não podem abortar, etc.,
[50:57:08 - 51:07:08]:  tudo isso há toda uma dimensão social. Agora, acho que é interessante separar a questão de logite mirar,
[51:07:08 - 51:15:28]:  muitas pessoas estão a dizer que o Tribunal não tem um logite mirado, porque não há de logite mirado, também é uma logite mirado,
[51:15:28 - 51:27:08]:  para dizer o contrário. Outra coisa é ser sensato reverter, se não causa mais dano,
[51:27:08 - 51:45:28]:  a questão, e se não causa, sobretudo, uma polarização que a que niga, a polarização já existe, é isso, não pode ficar pior,
[51:45:28 - 52:00:28]:  mas é uma questão de divisão que vai cavar um foso social, e ser em duas américas mesmo no sentido, como de facto, de certa forma, já são.
[52:00:28 - 52:15:28]:  O assunto é relevante, por também si, mas também, pelo modo como o Chouau, o opinião pública ainda não há decisão, parece que não faltará muito para a ver decisão,
[52:15:28 - 52:32:08]:  mas soubesse por uma fuga de informação que tem a vida de uma votação prévia, no sentido de levar por diante à alteração legislativa,
[52:32:08 - 52:43:48]:  a qual dos dois aspectos que atribui mais significados, ou Miguel Tavars, ao assunto em si,
[52:43:48 - 52:55:28]:  ou porque já ouvi escrever também que há uma relevância muito grande nesta fuga de informação.
[52:55:28 - 53:10:28]:  Eu dou uma relevância brutal à fuga de informação ao tipo de fuga que foi, porque não é o resultado de uma votação,
[53:10:28 - 53:25:28]:  o primeiro draft, portanto, daquilo que seria uma decisão, a ser exposto na comunicação social, aquilo tipo de fuga, aquilo tipo de que é preciso já,
[53:25:28 - 53:35:28]:  ou já ou vou ter as fuga de informação do supremo, mas este tipo de specifico fuga é uma coisa inédida,
[53:35:28 - 53:40:28]:  e eu acho que é muito sintomático do clima que está a viver nos governadores.
[53:40:28 - 53:43:48]:  - É claro que interessar émos os lados da contenda.
[53:43:48 - 53:53:48]:  - Sente que não é fácil saber aquários dos lados realmente, pode vir a interessar,
[53:53:48 - 54:03:48]:  mas sobre tudo, a bala brutalmente, um prestígio de uma instituição, que até abenpoco tempo,
[54:03:48 - 54:13:48]:  e o seu prestígio já vinha de clínio, até abenpoco tempo é, possivelmente, a instituição mais prestigiada dos Estados Unidos da América.
[54:13:48 - 54:23:48]:  E, portanto, tendo em conta as ameaças que nós temos encontrado, pode me cascer a Americana,
[54:23:48 - 54:35:28]:  tudo que foi o tempo do trâmpio, a invasão, inacreditável do congresso,
[54:35:28 - 54:45:28]:  aquela fuga de informação mostra que o estado das instituições americanas está realmente,
[54:45:28 - 54:58:48]:  mostra uma fragilidade que, para mim, não faltam a alerta, mas custa ver, não é uma segunda invasão do capitóleo,
[54:58:48 - 55:03:48]:  mas para mim não anda muito distante disso.
[55:03:48 - 55:17:08]:  E, portanto, isso, para mim, torna-se mais importante do que, como explicou o Pedro,
[55:17:08 - 55:27:08]:  o supremo decidir para um lado ao pro outro, porque, factem-lo de intimidade para isso.
[55:27:08 - 55:35:28]:  Falta só que, se tem alguma coisa, aquilo que diz o Pedro, que é, para a doque, salmente,
[55:35:28 - 55:48:48]:  a maior parte dos americanos, e aí parece a ver uma maioria claga, que está contra a reforção da loja.
[55:48:48 - 56:00:28]:  E, estamos a falar de uma maioria muito claga, porque, até um caso, em que, digamos assim, o ativismo político do Partido Republicano,
[56:00:28 - 56:07:08]:  é muito mais conservador do que os próprios é das todas as conservadores do Partido Republicano.
[56:07:08 - 56:15:28]:  Portanto, nem isso é claga, ou seja, não é claga, seja, seja, essa reforção da lei,
[56:15:28 - 56:23:48]:  não possa vir a pôr o indicar o próprio Partido Republicano nos está desencado à fuga aplicado.
[56:23:48 - 56:30:28]:  Uma questão que se levanta, já foi abordada pelo João Miguel Tavares,
[56:30:28 - 56:40:28]:  saber quem é que passou a informação a jovens ao político, que foi a publicação que fez saber,
[56:40:28 - 57:02:08]:  que é esse draft, desse rascunho da decisão, parece que podemos imaginar quem pode ter atido mais interessem por abocando o trombóri.
[57:02:08 - 57:10:28]:  Eu é difícil, é como o João Miguel, e o Pedro disse, era um é difícil saber quem é o supeito,
[57:10:28 - 57:22:08]:  porque ambos os lados têm a ganhar com isso um para, não sei, mas um para a palparte renda,
[57:22:08 - 57:40:28]:  e outro para chitar, se é inflamada, é uma verla ver, se não há dúvida, o supeito tem legitimidade para fazer isso.
[57:40:28 - 57:55:28]:  Só que lá está, e eu já espero que não seja com isso retroativo, não vão chatear as mulheres que enquanto a lei esteve em vigor,
[57:55:28 - 58:02:08]:  isso era bom, e depois é um problema do que...
[58:02:08 - 58:20:28]:  - O Lamar do Pso era os batadados. - Exatamente, depois é um cadvisar um país em que as mulheres da manhã vão ter menos direitos do que as mulheres donem,
[58:20:28 - 58:33:48]:  do que as mulheres tenham ontem, e sobretudo isto o problema disso é, eu fiquei muito contente quando o aborto foi legalizada em Portugal,
[58:33:48 - 58:48:48]:  e porque contra o aborto somos todos, é uma solução que a gente, toda a gente quer ter na votada sim, quer ter na votada não no referendo,
[58:48:48 - 58:53:48]:  é uma solução que toda a gente pretende evitar.
[58:53:48 - 59:02:08]:  - Sim, é uma luña. - Se não seja tratado com a gravita, acho que o caso é maguesse.
[59:02:08 - 59:15:28]:  Eu sei o que eu acho, eu concordo com o que tu diz, mas a vez é uma leveza que a digaita ressente muito da parte da esquerda,
[59:15:28 - 59:25:28]:  na esta simplificação, na esta implica, mas essa gravita a gente não ter às vezes desaparece.
[59:25:28 - 59:33:48]:  - É bem, a questão é o seguinte, o problema disso é que eu fiquei muito contente quando eu estava a dizer,
[59:33:48 - 59:45:28]:  quando na sequência de termos aprovado, de eu te referente ter ganho o sinho, o refriando, passava uns anos feçam um estudo,
[59:45:28 - 59:53:48]:  e mesmo tendem conta que os números na clandestinidade eram... - Eles diminuíram.
[59:53:48 - 60:10:28]:  - Os números diminuíram, ou seja, isso acontece constantemente quando um estado prova o aborto, a des penalização do aborto, os números diminuem.
[60:10:28 - 60:27:08]:  E não só diminuem como as mulheres passam a fazer uma segurança, porque isto vai fazer, é o que o costume é a hipocrisia do aborto e o legal,
[60:27:08 - 60:37:08]:  portanto, pode fazer, mas é perúbito. - Está-se preciso, nós se nós conhecemos essa. - Sim, sim.
[60:37:08 - 60:50:28]:  - Não, se calhar relembramos dessa. - Está-se gostido porque eu pedra-mexia-se de clara... - E o Candolid? - Barito de Farmedan, no caso, é...
[60:50:28 - 60:57:08]:  - No Estados Unidos. - E o Candolid? Barito de Farmedan.
[60:57:08 - 61:18:48]:  - Então, o pedra-mexia fica estadual. Quando o João Miguel Tavares diz sentir sinergizado com ou sem a chamada...
[61:18:48 - 61:30:28]:  - Chamada temerabó. - Chamada de neutralidade climática.
[61:30:28 - 61:37:08]:  - Não, o que é com o neutralidade climática e este é ilgonia do caso.
[61:37:08 - 61:47:08]:  - Quer falar do pacote de 300 milhões de euros? - 300 mil milhões de euros. - Sim. - Acho que é sempre sempre...
[61:47:08 - 61:58:48]:  - 300 mil milhões de euros. - De 3 zeros, que a União Europeia vai gastar para tentar acabar com a dependência dos combustíveis russos.
[61:58:48 - 62:10:28]:  - Será que vem uma revolução verde? - Não, é isto que é impressionante. - É isso. - É revolucionante.
[62:10:28 - 62:15:46]:  E depois a filmagem de ações.
[62:15:46 - 62:17:18]:  Não, não.
[62:17:18 - 62:20:24]:  É o que vai fazer com que a gente conhece.
[62:20:24 - 62:28:34]:  O que vai conseguir é que os objetivos que a Ursula, os coisas...
[62:28:34 - 62:32:00]:  Sim, os objetivos de Ursula são uma lucura.
[62:32:00 - 62:40:00]:  Então estamos a falar de um pouco os anos passarem a dependência das energias verdes.
[62:40:00 - 62:48:20]:  Neste momento, está em 20% passarem para 45% da energia da Europa.
[62:48:20 - 62:59:22]:  E por tanto, o Putin parece que se tornou mais eficaz com bateras, alterações climáticas
[62:59:22 - 63:01:02]:  do que a Gareta.
[63:01:02 - 63:08:50]:  E, portanto, isso mostra realmente a igunia da história.
[63:08:50 - 63:16:26]:  E a igunia da história tem este lado que é o mesmo tempo terrível.
[63:16:26 - 63:21:14]:  A Gareta tem razão, está esteivamente bem intencionada.
[63:21:14 - 63:33:14]:  Mas, alterações radicais do modo de vida só acontecem a partir da acontecimentes radicais.
[63:33:14 - 63:42:34]:  E é por isso que nós assistimos de repente tantas mudanças quando surge uma pandemia
[63:42:34 - 63:48:58]:  que as pessoas achavam que ameaçavam muito diretamente a vida dela.
[63:48:58 - 63:58:22]:  E agora, diante de uma invasão da Ukraine com aquela brutalidade e de forma indispirada
[63:58:22 - 64:10:10]:  para muitas pessoas, tem de repente esta consequência que é uma onda de energia verde, embora
[64:10:10 - 64:15:02]:  também se fala do regresso que quer ver, então irá ir do nuclear.
[64:15:02 - 64:23:30]:  Mas há aqui uma onda de energia verde que é totalmente indispirada e que só é motivada
[64:23:30 - 64:25:10]:  por Vladimir.
[64:25:10 - 64:33:38]:  E ainda vamos descobrir que é la final, ainda vai se meu prêmio qualquer da glimpice.
[64:33:38 - 64:42:30]:  Sovere bons incentivos, recar de põe e pode instalar uma ólica lá no quintal do jardim.
[64:42:30 - 64:44:10]:  É possível.
[64:44:10 - 64:45:50]:  O quintal de casa.
[64:45:50 - 64:50:58]:  Sim, é possível, é possível porque o carros e outras são todas.
[64:50:58 - 65:01:30]:  As pessoas estão justamente preocupadas com o ambiente, com as questões energéticas,
[65:01:30 - 65:11:18]:  só que de repente tem a vida uma insistencia, tudo que me dá a palavra transição, exerço
[65:11:18 - 65:24:18]:  um fascínio que às vezes receio, que seja aproveitado por charlatãs, porque sempre que
[65:24:18 - 65:31:58]:  alguém diz, eu tenho aqui uma coisa ótima para a transição digital, tomo lá dinheiro.
[65:31:58 - 65:37:38]:  E a minha transição ecológica, transição energética, tomo.
[65:37:38 - 65:46:38]:  E eu tenho medo que sejam um livro paz para receber fundos europeus, tudo que as pessoas
[65:46:38 - 65:55:18]:  têm, tenho aqui uma coisa ótima para transitar em fundo, diversas transições.
[65:55:18 - 65:56:58]:  E transição.
[65:56:58 - 65:58:38]:  E transição.
[65:58:38 - 66:09:18]:  Não há dúvida, mas no meio das coisas boas, eu só não quero que há a bolha da transição,
[66:09:18 - 66:24:54]:  como há muitas coisas boas que são aproveitadas por pessoas que percebem o ar do tempo, não é
[66:24:54 - 66:31:58]:  cheiro, eles dizem, é niste, é na transição que agora está a bolha.
[66:31:58 - 66:39:58]:  De gente, que quero por meio, o lecano quintal, são as novas opções pandidas.
[66:39:58 - 66:53:26]:  Então já sabemos por que que o João Miguel Tavar se anunciia energizado, vamos agora tentar
[66:53:26 - 67:04:22]:  perceber por que que o Ricardo Araújo Pereira se sente Sancasseque, expresso um Tava
[67:04:22 - 67:09:58]:  de Inguas, porque o Ricardo Araújo Pereira se sente Sancasseque.
[67:09:58 - 67:11:38]:  É por causa...
[67:11:38 - 67:15:38]:  Sim, é sessente Sancasseque, é por causa do...
[67:15:38 - 67:17:18]:  Que roupa surge a Carla.
[67:17:18 - 67:21:58]:  É roupa surge do julgamento, o John I.D.E.P. Ember, I.D.P.
[67:21:58 - 67:28:30]:  Eu devo confessar o seguinte, eu não tenho acompanhado muito perto do julgamento, tenho
[67:28:30 - 67:32:18]:  acompanhadas pessoas que estão a acompanhar o julgamento.
[67:32:18 - 67:39:22]:  Isso é que é verdadeiramente fascinante, porque há duas...
[67:39:22 - 67:41:02]:  Exato, há cláxanos.
[67:41:02 - 67:50:46]:  Há cláxanos, há cláxanos de pessoas que sabem claramente, a través, neste momento, a través
[67:50:46 - 68:10:10]:  da prova jurídica mais flagrante que há, que é o meme, é o "Amemes que demonstram, com toda a clareza, que o John I.D.E.P. tem razão, e há outros que demonstram sem magia, em
[68:10:10 - 68:21:22]:  para dúvidas que quem estava a dizer a verdade é "Ember Hard". Eu perdi a paciência, pois, senhores há uns anos, quando ela
[68:21:22 - 68:31:30]:  o acusou a devolência de mérstica e ela acusou a destaramentir. E três meses depois fizeram o ambos uma declaração,
[68:31:30 - 68:36:50]:  conjunta e emclicerem o que tinham faltado, ambos há verdade.
[68:36:50 - 68:45:10]:  Ou seja, nem ela era culpada de violência de mérstica, nem ela era culpada de destaramentir.
[68:45:10 - 68:51:50]:  O que é uma impossibilidade filosófica, não é... não há hipótese.
[68:51:50 - 69:05:50]:  E, portanto, eu fui nessa altura que eu deixei de acompanhar os senhores. E agora este "Extrememes e tal", eu tenho essa certeza que
[69:05:50 - 69:15:50]:  aí já há pessoas tão fanáticas com isto e tenho essa certeza que seja qual for a sentença, um dos grupos vai apresentar recurso
[69:15:50 - 69:34:30]:  no tic-toc, em princípio. Mas é um espetáculo, em que dois grupos de pessoas, elas estavam, dois grupos de pessoas muito, muito
[69:34:30 - 69:48:14]:  violentas, fazem cláquio para saber qual destas duas trelas milionárias do alíudo coetadas
[69:48:14 - 69:57:18]:  é maior vítimo, sendo que embajado, mentindo, parece que estava provado que embas...
[69:57:18 - 70:05:54]:  Sim, incomparo, por ser estrelas do alíudo e o búrdio também pode acompanhar na cara.
[70:05:54 - 70:10:36]:  Não, isso está provado, estamos provando...
[70:10:36 - 70:16:08]:  O que já apanharam uns dois na cara, um do outro.
[70:16:08 - 70:26:44]:  Mas ambos dissem que realmente os senhores casaram-se e depois passavam uns pará-semos
[70:26:44 - 70:37:16]:  nos meses em que estiveram casados, passaram-nos a consumir drogas, destruir as suas olhadas
[70:37:16 - 70:48:08]:  e a bater um no outro, que é o que faz esta gente, é muito burocido e provisível este comportamento.
[70:48:08 - 70:52:40]:  E portanto, eu tenho um entretido mais, com quem está assistindo.
[70:52:40 - 70:58:00]:  Estás uma dona na ausira.
[70:58:00 - 71:02:16]:  Qual é a segunda revolução?
[71:02:16 - 71:05:36]:  Qual é a surpresa?
[71:05:36 - 71:08:56]:  O que é de ser um pôndio na ausira?
[71:08:56 - 71:12:16]:  De ser um pôndio na ausira, sim.
[71:12:16 - 71:18:08]:  Eu fiquei surprendido com uma forma como...
[71:18:08 - 71:21:28]:  Aosirado a uma chile.
[71:21:28 - 71:24:48]:  Eu faro desta gente.
[71:24:48 - 71:31:08]:  Eu sim, para ti, isso contei com a ideia que são privilegiados e tudo isso.
[71:31:08 - 71:41:52]:  Eu acho que o alíudo não pode ser seguido, confesso que estou em uma alegra e ignorância.
[71:41:52 - 71:49:08]:  Mas qual é a revolução mais escabrosa dessas audiências entre os dois?
[71:49:08 - 71:50:48]:  Não é, não é.
[71:50:48 - 71:57:28]:  É um coco na gama, não é?
[71:57:28 - 72:00:48]:  Não, parece que é um cam, ela diz que foi um cam.
[72:00:48 - 72:04:08]:  Ah, foi um cam, mas há algações diferentes.
[72:04:08 - 72:12:28]:  Como é que se provavelmente só postar seu boiite de substâncias é confundo cálco assim,
[72:12:28 - 72:14:08]:  é uma vista...
[72:14:08 - 72:17:28]:  Não é de que é um cúrbio de interducorbo.
[72:17:28 - 72:20:48]:  Ah, uma vista aqui?
[72:20:48 - 72:24:08]:  Tem também uma procura de droga de interducorbo.
[72:24:08 - 72:27:28]:  Uma procura de interducorbo, mas há...
[72:27:28 - 72:30:48]:  Tem a vida de alguns...
[72:30:48 - 72:40:40]:  Eu tenho visto pessoas a vibrar, por exemplo, com o momento em que o advogado desta senhora,
[72:40:40 - 72:47:20]:  faz uma pergunta a uma testemunha e depois diz, "Obsessão!"
[72:47:20 - 72:50:40]:  E isso é muito boa.
[72:50:40 - 72:54:00]:  E o juíste tem que lhe lembrar, foi o senhor, fez a pergunta.
[72:54:00 - 73:00:40]:  E, portanto, são a gente preparada e, sim, é um...
[73:00:40 - 73:04:00]:  Está seguido o fulhetiz, é o bagel da Vars?
[73:04:00 - 73:07:20]:  É, é o...
[73:07:20 - 73:10:40]:  Não, com uma grande intensidade, mas...
[73:10:40 - 73:17:20]:  O lado destino as claxes, num caso como este...
[73:17:20 - 73:27:20]:  Ah, sempre, pergo para um bocadinho, mas as claxes não eram equilibradas e no início
[73:27:20 - 73:30:40]:  estavam mesmo muito prodsionidepe.
[73:30:40 - 73:37:20]:  E isso estava uma fazer alguma impressão, porque eu estava ouvindo aquilo e...
[73:37:20 - 73:44:00]:  E aquilo tudo aquilo é muito pouco convincente.
[73:44:00 - 73:47:20]:  E já que a gente...
[73:47:20 - 73:50:40]:  E o que é a gente, o mito vai sendo enterrado também, um pouco...
[73:50:40 - 73:54:00]:  E eles já perdem o que é o final.
[73:54:00 - 73:57:20]:  E é possível que isto já acontecesse.
[73:57:20 - 74:05:40]:  Tenho dúvidas ali, de facto, eu apesar de tudo se tivesse que entre o Johnny Depp e Amber Hurd,
[74:05:40 - 74:07:20]:  de eu apesar de ter...
[74:07:20 - 74:07:20]:  Ah, é, mas...
[74:07:20 - 74:10:40]:  Acho que eu tendo a ir mais à palavra do que a palavra.
[74:10:40 - 74:15:40]:  Quer dizer, eu trago esta sunto para falar dos milhões de pessoas,
[74:15:40 - 74:22:20]:  para mim foi ela, para mim foi ela, para mim ou gosto da cara dela.
[74:22:20 - 74:25:40]:  E agora venhas de falar, mas assim, eu, para mim, eu voto nela.
[74:25:40 - 74:32:20]:  Não, eu acho que eu vi o lanceia muito, mas em termos de relações tóxicas,
[74:32:20 - 74:35:40]:  acho que eu entocha e cava mais de goto.
[74:35:40 - 74:44:00]:  Johnny Depp sempre fez papéis, figura bastante exótica,
[74:44:00 - 74:49:00]:  foi Eduardo Mons Tesoura, foi o pirato das caraíbas,
[74:49:00 - 74:52:20]:  vê alguma coincidência entre a personagem,
[74:52:20 - 74:55:40]:  é uma personagem de ficção que eu fiz e é...
[74:55:40 - 74:57:20]:  Na verdade...
[74:57:20 - 74:59:00]:  Na verdade, vou me perguntar.
[74:59:00 - 75:02:20]:  Vou me perguntar, vou me perguntar.
[75:02:20 - 75:07:20]:  Porque eu nunca consegui perceber o Johnny Depp fez alguns bons papéis,
[75:07:20 - 75:12:20]:  mas se foram sempre como todas as personagens,
[75:12:20 - 75:15:40]:  meio bizarro, foram sempre bonecos.
[75:15:40 - 75:20:40]:  Não quer dizer que eu não estenho feito muito bem, mas nunca fiz muito poucos papéis,
[75:20:40 - 75:24:00]:  clássicos de conclusão, como se quis te uma dizer,
[75:24:00 - 75:29:00]:  eu às vezes nunca vi com um pouco da dúvida,
[75:29:00 - 75:30:40]:  que o é um bom ator, é o anão.
[75:30:40 - 75:34:00]:  Então é que se interessa, interessa,
[75:34:00 - 75:35:40]:  porque isto está a ser...
[75:35:40 - 75:39:00]:  É, agora parece também ser um boneco.
[75:39:00 - 75:49:00]:  É isso porque isto está a ser um ácido comentado, suxitar claros.
