[00:00:00 - 00:10:18]:  Esta semana, Ricardo Raús Pereira declara-se com salvista João Miguel Taváres, com
[39:13:08 - 39:26:28]:  - Os versos em que ele diz "Mundo Mundo, Vasto Mundo", se eu me chamasse Rai Mundo, seria uma rima, não seria uma solução. - E eu lembrem disso, não?
[39:26:28 - 39:56:28]:  - Quero falar da mudança de turno no Carbo Escretário-Jalto da PSP? - Eu acho que a uma boa, as duas palavras rima e solução são duas boas palavras para analisar este caso, porque há obviamente uma rima que é ser um geronímo de soza inúvo, supostamente.
[39:56:28 - 40:26:28]:  - Embora não vou ficar discutir a nota biográfica apuética do PSP, mas para mim é... - Deixa-se para os canção de classes, mas é alguém que pode ser designado como operar ou como experiência, portanto é nesse sentido é um geronímo de soza.
[40:26:28 - 40:46:28]:  Mas para o outro lado, saber se é ou não a solução e aí é uma dos pontos aqui o concordo com algumas pessoas que defenderam esta escolha.
[40:46:28 - 40:59:48]:  Primeiro, nós achávamos que o geronímo de soza, muitas pessoas até pessoas do PC, a 18 é, foi 18 anos, não foi que eu acho.
[40:59:48 - 41:26:28]:  - Que ele não seria uma solução, que é sendo uma máscola, revelou-se que o que aconteceu é o leitoramento ao Partido Comunista de Mal, não foi colupado de jorar a indecisação de soza, mas jorar a indecisação de um geroma, simpatia humana, fora da área comunista é absolutamente divulgar.
[41:26:28 - 41:39:48]:  E além do mais, é um ponto muito importante que nós não ceremos nada tão menos nós aqui e a maioria das pessoas que opinaram sobre...
[41:39:48 - 41:56:28]:  - Sobre somos leigos, sobre o palma escolha, para o conhecido. - Sóbre o palma, é isso que eu queria dizer, não sei nada, para dizer que pode se revelar um sonente escritário geral, não é por ser desconhecido que não teve a louca.
[41:56:28 - 42:09:48]:  Mas, fomos submetidos a pessoas, de varia, natureza, de varia, de percurso muito diferente e de dar muito frente a zendo.
[42:09:48 - 42:26:28]:  Vocês falam de lá vem a boca antes de falar do PC, como se o PC não fosse um partido como os outros, não sentirem que tem regras diferentes, tem completamente diferentes.
[42:26:28 - 42:36:28]:  Nós podemos opinar os métodos, que não conteste aliás, internos, etc.
[42:36:28 - 42:49:48]:  Têm direte a eles, destas é constitucional, são tão sofisticados que o vúlgo não pode comentar, porque não sabe o que está a dizer.
[42:49:48 - 43:01:28]:  Não, nós podemos estranhar coisas, dizer, isso não é bem assim, isso não é a melhor maneira, isto é mais ou menos democrático.
[43:01:28 - 43:26:28]:  Mas isso é o apontamento. Agora, eu acho que a maneira como o partido comunista aguento foi devido, não há possibilidade de jornal de soza, mas há linha política de jornal de soza,
[43:26:28 - 43:43:08]:  não é por acaso que os partidos comunistas que aguentaram, pois querendo se deviar, que foram os ortodóxos, não foram os renovadores, e eles foram todos a vida, todos a vida.
[43:43:08 - 44:23:08]:  E esse segundo lugar, acho que não é provável que a questão da simpatia seja fundamental, porque, jornal de soza como digara muito, os que estávão dele, e a queda eleitoral foi grande, e para não vai ser por Paulo Raimundo ser ou não conhecido a ser ou não simpático, que para a lógica de votar no partido comunista, isto tem importância.
[44:23:08 - 44:36:28]:  O Corrico de Paulo Raimundo anunciado pelo PCP parece-lhe adequado as funções que ele vai desempenhar, João Miguel Tavarres.
[44:36:28 - 44:48:08]:  Claro que sim, é um funcionário do partido há quase 30 anos, portanto é por feito para as funções que vai desempenhar.
[44:48:08 - 45:11:28]:  A graça no corrícolo, e por isso é que ele tem dado tanta conversa, é porque o PCP, andou à procura no corrícolo, parece que estava a criar uma criptomoeda, que dizem que é preciso minerar,
[45:11:28 - 45:19:48]:  andar a minerar com computadores superpodedosos, para de repente sacar lá uma criptomoeda.
[45:19:48 - 45:34:48]:  Eles andavam à procura, entre o vasto corrícolo do senhor, que também andaram a gangue de imparro, à procura de odores operagens,
[45:34:48 - 45:36:28]:  ou odores operagens.
[45:36:28 - 45:39:48]:  Até na construção dos frases.
[45:39:48 - 45:46:28]:  Na construção dos frases, nos pais que ele nasceu em que as casmas nos pais no auto são de beija.
[45:46:28 - 45:48:08]:  É um contrário.
[45:48:08 - 45:51:28]:  É um contrário.
[45:51:28 - 46:01:28]:  É um contrário.
[46:01:28 - 46:06:28]:  Não é para mim a questão mais interessante, mas é engraçado isso de...
[46:06:28 - 46:24:48]:  Eu acho que é minha regra, é sempre porque um político chega a secretário geral, eu gostava de ver esta sanha, a desaminar a sua biografia, para ver se ele é o que diz ser.
[46:24:48 - 46:36:28]:  É o praio, é engenheiro, é rico, a minha errica, ou seja, sempre, mas sempre mesmo a sanha.
[46:36:28 - 46:43:08]:  Para ver se ele está na biografia dele, quando chega a se que está em geral, não é o que está.
[46:43:08 - 46:44:48]:  Mas pega aí.
[46:44:48 - 46:59:48]:  Mas o problema é que este é um formanal, isso é profundamente como diz-te, porque ninguém andou a fazer este continho, nem pesquisar, estava tudo descrito pelo próprio PCP,
[46:59:48 - 47:23:08]:  e o texto biografia que é que é que é muito engressado, algum conhece algum texto biografia que em que alguém venha a dizer que a panhou marisco com a mãe, a panhou marisco com a mãe, quando era pequeno, desculpa, muito engressado, como o maristo devia ser sensível.
[47:23:08 - 47:34:48]:  Apenas a atenção, e não conteste, não conteste, mas já porque a panhou do marisco é dura, e depois não tem maneira de comprovar a sua filha.
[47:34:48 - 47:36:28]:  Mas a tempo foi com a...
[47:36:28 - 47:46:28]:  Ricardo, tu nunca alombaste com qualquer coisa, quando era este pequeno, alombai.
[47:46:28 - 47:49:48]:  Então, deixa-me só atenção.
[47:49:48 - 47:53:08]:  Deixa-me-nos qualquer coisa.
[47:53:08 - 48:18:08]:  A batata não é uma batata, mas algumas uvas, mas também as uvas.
[48:18:08 - 48:23:08]:  A panhou é exatamente.
[48:23:08 - 48:44:48]:  Então, sendo o único, a mesa que tem algum conhecimento interno da Cânica do PCP, não conteste que isso.
[48:44:48 - 48:53:08]:  O que é que isso é dizer sobre Paul Raimundo e sobre as expectativas que se destimente se abrem.
[48:53:08 - 49:04:48]:  Não é verdade nada que estamos a dizer sobre Paul Raimundo, porque nós temos muitas coisas sobre ele, mas diremos, em breve.
[49:04:48 - 49:18:08]:  Mesmo tendo-te dessa breva experiência como militante aqui o Carlos Aludio, sou um leigo, como é evidente, este é uma escolha para conhecadores.
[49:18:08 - 49:26:28]:  E nós leigos que não precisamos nada do funcionamento interno do PCP.
[49:26:28 - 49:38:08]:  Tava bastante de que fosse o leidor, pro espírito do marxismo, ficamos surpreendidos, leigos como nós e como arménio Carlos.
[49:38:08 - 49:41:28]:  -Precês também. -Tamo aí disso.
[49:41:28 - 49:44:48]:  Por causa de todos surpreendidos.
[49:44:48 - 49:54:48]:  Nestas ocasiões, meus amigos, nestas ocasiões, há sempre alguém que se presta resiste.
[49:54:48 - 49:56:28]:  -Pra já? -Sim.
[49:56:28 - 49:59:48]:  -E diz não. -Mas há sempre alguém que diz sim.
[49:59:48 - 50:09:48]:  Aí este serviço que é dizer assim, não só esta escolha certa como é óbvia.
[50:09:48 - 50:21:28]:  Esta era a razão como se constata que é óbvia é a quantidade de gente que é previo.
[50:21:28 - 50:26:28]:  -A quantidade de gente que é previo. -Tá para o joanima de mídia o que não era óbvia.
[50:26:28 - 50:36:28]:  Mas enfim, há aqui um discurso da deput de comentário e político em relação a isto.
[50:36:28 - 50:39:48]:  Mas eu gosto de comentário e política e relação a isto.
[50:39:48 - 50:44:48]:  Que faz lembrar o comentário de futebol, mas não é o dos comentadores.
[50:44:48 - 50:49:48]:  É o dos adeptos. É o dos adeptos. Reparem neste portanto.
[50:49:48 - 50:59:48]:  O adepto, o adepto do bem fica esportem, mas aplicado aqui a política e o PCP ontem,
[50:59:48 - 51:03:08]:  -Gerónima par. -O nosso Gerónima par.
[51:03:08 - 51:06:28]:  Um sudutor das maças.
[51:06:28 - 51:16:28]:  Um sudutor das maças. Vocês vão arruar com o Joránima e vejam a adesão das maças.
[51:16:28 - 51:21:28]:  -Ois provérbios dele viraram lá para o momento. -O desconhecido.
[51:21:28 - 51:33:08]:  O desconhecido, como é óbvia, o PCP não é ainda nesta possibilidade das企libridades, das企libridades e das personalidades.
[51:33:08 - 51:38:08]:  -Aquí foi de preíço. -Comentem.
[51:38:08 - 51:44:48]:  Um sobrevivente da constituinte. Um homem que não falhou a minha ilusão até hoje.
[51:44:48 - 51:53:08]:  -Tive ali sempre um Parlamento que é importantíssimo o Parlamento. -Ois.
[51:53:08 - 51:56:28]:  Nem nunca entrou em listas que há sério do Parlamento.
[51:56:28 - 52:03:08]:  O PCP gosta de um chinde de cátos, está ali a trabalhar no chinde de cátos.
[52:03:08 - 52:11:28]:  E se a quinta é essa o Parlamento tem muito menos importância entre essa ação e assim sucivelmente.
[52:11:28 - 52:18:08]:  Era uma coisa que no Futebol, português, com certeza, somos os maiores no dia 15.
[52:18:08 - 52:24:48]:  Então é um estrangeiro. E bem, que é panoida cantiga destes empresários.
[52:24:48 - 52:31:28]:  -Exato. -É o PCP tem meio razão sobre isso.
[52:31:28 - 52:41:28]:  Porque, por um lado, é difícil dizer que um partido de lá inista dizem que as pessoas não contam.
[52:41:28 - 52:46:28]:  Quem sabe alguma coisa, por exemplo, que o lá inista contam alguma coisa.
[52:46:28 - 52:53:08]:  Mas, pro outro lado, é verdade que não conta eleitoralmente.
[52:53:08 - 53:04:48]:  Ou seja, assim patia, chamem-me de assim, gerada pro jornal de imedio de soza, não se repercutiu em foto.
[53:04:48 - 53:06:28]:  Isso é um fato.
[53:06:28 - 53:13:08]:  -Quem você não sabíamos? Não sabíamos? -Tivemos que ser empatizados.
[53:13:08 - 53:16:28]:  -Vamos falar sobre o que já. -Não, você sabíamos.
[53:16:28 - 53:24:48]:  -Cê não sabia que era ainda. -Vamos ter saudades de soza, Ricardo, espere.
[53:24:48 - 53:28:08]:  -Eu acho que ele... O que está? Fiz o que pode, não é?
[53:28:08 - 53:33:08]:  Fiz o que pode, basicamente, aquilo ser secretário-já do PCP.
[53:33:08 - 53:38:08]:  Neste momento não é secretário-já do PCP.
[53:38:08 - 53:44:48]:  É ir de uma conta da casa de um amigo. Não mexei nada e regas plantas.
[53:44:48 - 53:53:08]:  Mas, o fazia é ver, deixa lá ver qual é o tamanho da sangria.
[53:53:08 - 53:59:48]:  Nós não sabíamos se sangria, mas não era para beber.
[53:59:48 - 54:11:28]:  -A senjoragem de soza tinha sido pior, se calhar tinha. -Vai ter saudades das frases pro farviais de joragem de soza.
[54:11:28 - 54:19:48]:  Vou ter, como por exemplo, eu tinha, havia algumas, ainda não outro dia haviam um vídeo sobre...
[54:19:48 - 54:24:48]:  Que compilava algumas delas, ficou na memória.
[54:24:48 - 54:41:28]:  Quero dizer, todos os proverbes e tal, aplicados à política, que camaradas, pantudinhoiro, dinheiro, que injetado, pantista, manteiga inarista, camp,
[54:41:28 - 54:49:48]:  bem visto, pessoas pensavam exatamente imediatamente. Manteiga na isso, tem uma boa.
[54:49:48 - 54:58:08]:  Os boincadores que estão rotando em notas de senhora, os que cada vez que falam, pantudinho, também estavam visto.
[54:58:08 - 55:01:28]:  Estava em visto. E a sedeu não parece ser apelada.
[55:01:28 - 55:08:08]:  Estou na popularia, este é um original, este é um original de soza.
[55:08:08 - 55:13:08]:  E este era bem visto. Vamos ver o que é.
[55:13:08 - 55:14:48]:  -Vamos faltar, essa verbo. -Esta verbo.
[55:14:48 - 55:21:28]:  Sim, de que modo é que Paulo Raimundo vai também seduzir as massa.
[55:21:28 - 55:28:08]:  Seros que, numa eleições, eu fui correcardo com as entrevistas de líderes políticos, e a gente devia saber os joragem dos joragem dos jornais.
[55:28:08 - 55:36:28]:  A satura estava a falar de umas operárias, muito tezas. E ele diz assim, era cada catarina.
[55:36:28 - 55:41:28]:  Achei nessa graça catarina para...
[55:41:28 - 55:54:48]:  O Pedro Machia fica assim neste redo vasto mundo, agora que há na política portuguesa, um lugar destaque para um raio mundo.
[55:54:48 - 55:59:48]:  Isto também entregue as pastas ministriais por esta semana.
[55:59:48 - 56:09:48]:  Altura para sabermos porque que o jor Miguel Tavar se sente a Leste. Não se pode dizer neste caso, que a Leste nada de novo.
[56:09:48 - 56:19:48]:  Tem acontecido muita coisa, os rusos viram sobrigados a retirada de Kerson, na capital de uma das regiões,
[56:19:48 - 56:36:28]:  ele legalmente anexadas pelo Kremlin. A companhia, a opinião daqueles que dizem que isto é a prova de que apesar tudo Putin haja com alguma racionalidade,
[56:36:28 - 56:43:08]:  evitando conduzir as operações até as últimas consequências.
[56:43:08 - 56:46:28]:  Sim, ou mais.
[56:46:28 - 57:01:28]:  Eu parece que é uma interpretação legítima, até porque é uma retirada em parte surpreendente ordenada,
[57:01:28 - 57:11:28]:  dizem, ou seja, já não sei se você dizia que precisava deixar um longo seguido e os militários ficam patrás.
[57:11:28 - 57:26:28]:  Mas quer dizer, no norte houve uma controla ofensiva e os rusos não estavam a espera e pagueiram muito território.
[57:26:28 - 57:39:48]:  Aqui já exista uma ofensiva muito tempo, muito difícil, os rusos estavam a espera e ainda se retiraram.
[57:39:48 - 57:48:08]:  Portanto, é uma retirada muito significativa, exatamente porque seja planeada.
[57:48:08 - 58:01:28]:  O facto não resulta apapiamente uma surpreesa, não sei uma demandada, mas uma retirada ordenada.
[58:01:28 - 58:16:28]:  Eu acho que isso dá uma dimensão, porque é a mais profunda da droga em termos de que alguns objetivos e iniciais dos rusos,
[58:16:28 - 58:28:08]:  do que apapiamente tem que ter acontecido a norte até porque, supostamente, alguns magníficos referentes para Putin,
[58:28:08 - 58:33:08]:  que é russa, porque então acabou da abandonar uma parte da russe.
[58:33:08 - 58:39:48]:  O qual poderá ser agora a pedra-mexir a intenção do cremel,
[58:39:48 - 58:49:48]:  depois de ter visto falhar pro completo plano inicial e até os planos sobre os sequentes que foi tendo ao longo dos últimos meses.
[58:49:48 - 58:58:08]:  Não faz a mínima ideia, é a única coisa interessante.
[58:58:08 - 59:21:28]:  Não, as únicas coisas interessantes foi a uma, acho que o João Miguel disse agora, que é entre-se no outro país para reclamar território que é ruso e depois abandonar-se esse território ruso.
[59:21:28 - 59:41:28]:  Portanto, a russia não abandonaria território ruso, propriamente, ao deixar uma parte de territória nexado, estar reconhecer que a annexação não é exatamente,
[59:41:28 - 59:48:08]:  é uma rússia de segunda categoria, isso é interessante.
[59:48:08 - 59:59:48]:  E para que lado é aquilo que tudo o que vocês não estão perguntando e que acho, mesmo mais importante e mais apasiguador,
[59:59:48 - 60:14:48]:  principalmente para que está longe e não sofre diretamente com a guerra, com os mortes e com os ataques, que a saber que há racionalidade no cremeleno.
[60:14:48 - 60:26:28]:  Apesar de tudo nós vivemos muito antes com a bomba atômica e não andávamos tirando no tempo dos missas em que de Cuba, não andávamos,
[60:26:28 - 60:39:48]:  provavelmente, sem gostiados que o mundo acabasse, porque achávamos que no cremeleno, na casa branca estavam pessoas que podiam ter lá o seu futeo,
[60:39:48 - 60:59:48]:  mas não ia onde fulgar uma guerra mundial e tem a vida para usar tudo algumas frases e algumas garantias de alguma lógica e isso acho que é tranquilizador.
[60:59:48 - 61:14:48]:  Acreda que a audiência ocidental da põe à resistência do crânia da tem condições para se manter, se cardar hoje para com o embate do invierno, com agudizar da crise.
[61:14:48 - 61:28:08]:  Não tenho essa certeza, Carlos, sobre todo em relação a inclinação da opinião pública relativamente, já falamos isso aqui.
[61:28:08 - 61:46:28]:  -Sum o Cadinho? -Quanto houver, enquanto houver hipótese, enquanto se trata de uma fotografia da bandeira da o crânia, no Facebook, escrever a saliva à o crânia, está tudo bem.
[61:46:28 - 62:04:48]:  E agora 70% dos americanos, se faltar luz durante uma semana e tudo nem ao Facebook consegue exerir. Não sei se as pessoas não começam a dizer, olha que a Nat também andar a chatear o Putin também não se faz.
[62:04:48 - 62:13:08]:  -Está o seu sentimentagem que devida, que está abandonando. -Sai, eu trago sempre para aqui.
[62:13:08 - 62:29:48]:  Estás parecido porque a João Miguel Tavares se declara aleste, quanta ópera de mexida e sentir sem meio termos, mesmo sem saber ainda, por completo, nem para umas modas.
[62:29:48 - 62:54:48]:  Sim, mas geralmente as derrotas dos partidos, de um dos dois partidos do que estão no poder, no Estados Unidos, nas redes calares, engenhação sempre significativa, já se perdem 50 conversistas.
[62:54:48 - 63:13:08]:  -Estou em propósito dos dois partidos de calares norte-americanas, sem meio termos, porque as eleições são chamadas de um midterm, meio de uma andar presencial.
[63:13:08 - 63:29:48]:  As eleições aconteceram na terça-feira e a semana termina sem saber, e mesmo sem saber quem ficará no controle do Congresso.
[63:29:48 - 63:46:28]:  -Embra-me, a câmera dos presidentes, é claramente, será claramente republicana. -E agora, o Senado? -O Senado ainda tem que haver uma segunda volta, ainda há duas por serem.
[63:46:28 - 64:03:08]:  -Ageorga, será só em dezembro? -E ainda há duas por serem voltas? -Não, a segunda volta vai acontecer. -Pode-se já não ser. -Pode-se seguir.
[64:03:08 - 64:19:48]:  -Pode-se estar em de 2019? -Pode-se seguir em dezenso. -Pode-se seguir em dezenso. -Pode-se seguir em dezenso. -Pode-se seguir em dezenso.
[64:19:48 - 64:41:28]:  -O que entrece foi que, durante várias semanas, inclusive, eu acho que, a noite, na vez, para as eleições, o filho do Trump escrevia no Twitter, bem o de sangue,
