[00:00:00 - 00:25:50]:  [Música]
[23:32:24 - 23:37:24]:  abriu uma série de filmes...
[23:37:24 - 23:40:44]:  tem feito uma programação online...
[23:40:44 - 23:47:24]:  e portanto todos podemos ver certos filmes...
[23:47:24 - 23:52:24]:  nessa programação online...
[23:52:24 - 23:57:24]:  e agora tem três filmes...
[23:57:24 - 24:02:24]:  coreanos são os três interessantes...
[24:02:24 - 24:05:44]:  eu só vi dois deles...
[24:05:44 - 24:07:24]:  mas...
[24:07:24 - 24:10:44]:  nós estamos três disponíveis...
[24:10:44 - 24:17:24]:  três filmes de realizadores coreanos...
[24:17:24 - 24:25:44]:  que podemos ver gratuitamente online...
[24:25:44 - 24:29:04]:  o Pedro Luís já estive um juro três...
[24:29:04 - 24:32:24]:  o Poesie é mais que interessante...
[24:32:24 - 24:35:44]:  o Poesie é um filme extraordinário...
[24:35:44 - 24:37:24]:  é lindo...
[24:37:24 - 24:40:44]:  e os outros dois também...
[24:40:44 - 24:42:24]:  também são bons...
[24:42:24 - 24:44:04]:  eu vi isso...
[24:44:04 - 24:47:24]:  ficava a gestão dos filmes...
[24:47:24 - 24:50:44]:  e agora vão levar as mãos depois disso...
[24:50:44 - 24:52:24]:  vamos ver...
[24:52:24 - 24:54:04]:  vamos ver, senhor...
[24:54:04 - 24:59:04]:  você sabe a que estava a falar aos espectadores...
[24:59:04 - 25:02:24]:  depois deveria o programa ao avés...
[25:02:24 - 25:04:04]:  não era para vocês...
[25:04:04 - 25:05:44]:  não é bom...
[25:05:44 - 25:07:24]:  é bem...
[25:07:24 - 25:09:04]:  até a melhor...
[25:09:04 - 25:10:44]:  até a melhor...
[25:10:44 - 25:15:44]:  vamos ver...
[25:15:44 - 25:32:24]:  [Música]
[25:32:24 - 25:39:04]:  [Música]
[25:39:04 - 26:20:44]:  [Música]
