[00:00:00 - 00:11:32]:  Esta semana João Miguel Tavaros de Clara Sementico, Ricardo Borous para a Era Centro Fox,
[40:59:20 - 41:02:40]:  - É isso. - Isso foi um bom... - Não, mas...
[41:02:40 - 41:06:00]:  - Isso que é que blisco ocuro. - É uma série de coisas.
[41:06:00 - 41:12:40]:  - Imaginha que isso blisco. Não foi na altura do próprio Zé Eduardo Martins.
[41:12:40 - 41:16:00]:  O próprio não ficou meio... - Fio.
[41:16:00 - 41:19:20]:  - Tem uma reação de temperada. - Destemprada.
[41:19:20 - 41:22:40]:  - A minha questão é... - É.
[41:22:40 - 41:29:20]:  Esta coisa da boa educação.
[41:29:20 - 41:34:20]:  - Onde é que a gente traça... - Onde é que a gente traça ou do...?
[41:34:20 - 41:39:20]:  - Onde é que a gente traça? Limita e segundo.
[41:39:20 - 41:46:00]:  É tão... Mas eu periferia que no Parlamento eles dissessem.
[41:46:00 - 41:49:20]:  Desculpe-se, mas eu discorde de voce a silêncio.
[41:49:20 - 41:52:40]:  - Não está na... - Eu periferia.
[41:52:40 - 42:01:00]:  - Eu não tenho a ter a certeza se a solução não é... - Fica.
[42:01:00 - 42:07:40]:  - Como se eu vou tratar o chega... como a defrancia a terrível.
[42:07:40 - 42:11:00]:  - No Parlamento engolias. - No Parlamento engolias.
[42:11:00 - 42:16:00]:  - Isso não está... Isso não estivesse em tronco.
[42:16:00 - 42:21:00]:  - Não, eu até conseguiria. - No Parlamento engolias.
[42:21:00 - 42:24:20]:  - No Parlamento engolias. Não dá debates muito vivos.
[42:24:20 - 42:29:20]:  A regla de tratamento, mais write on roll friend, e depois existem coisas.
[42:29:20 - 42:32:40]:  - Às vezes, superagrecia. - Não há dúvida.
[42:32:40 - 42:34:20]:  - Não há dúvida. - Não há dúvida.
[42:34:20 - 42:37:40]:  - Não há dúvida. - Não há dúvida.
[42:37:40 - 42:41:00]:  - Não há dúvida. - Eu acho que vou adorbanhidade.
[42:41:00 - 42:46:00]:  E qual é a punição para quem não as comprováremos?
[42:46:00 - 42:51:00]:  - A minha questão é a sequência. - Não parlamento é por fora do chega.
[42:51:00 - 42:57:40]:  - É por fora. - Mas se o presidente está a recebular da República,
[42:57:40 - 43:01:00]:  que houve as postes fora, os dois deputados do chega.
[43:01:00 - 43:04:20]:  - Não sei se eu não sei se eu agosto.
[43:04:20 - 43:06:00]:  - Sante, se eu agosto, eu vou agotar, defendendo...
[43:06:00 - 43:09:20]:  - Eu não sei se eu estou sobrotúniso ao código de pedido.
[43:09:20 - 43:21:00]:  - Estou sobretudo mesmo, digamos, há uma certa amargura em ver o 25 de abril.
[43:21:00 - 43:24:20]:  Protagonizado pelo chega.
[43:24:20 - 43:27:40]:  - Eu acho que qualquer observador desapaisenado do Jornal,
[43:27:40 - 43:32:40]:  tem dificuldade em negar a condição. - O que o protagonista,
[43:32:40 - 43:36:00]:  do 25 de abril, foi o chega.
[43:36:00 - 43:42:40]:  - No rescal do dação, as três principais figuras do Estado
[43:42:40 - 43:49:20]:  foram filmadas a recomentar o que tinha acontecido no AmiCiglo.
[43:49:20 - 43:57:40]:  Sante, o Silva aproveitou para explicar o modo que o reagiu à atitude do chega.
[43:57:40 - 44:09:20]:  - Esta menina de folheta e a folha de um tipo de joelado.
[44:09:20 - 44:12:40]:  - O chega. - O chega.
[44:12:40 - 44:17:40]:  - O chega. - O chega.
[44:17:40 - 44:21:00]:  - Minhas vacímias.
[44:21:00 - 44:24:20]:  - Mas o filme, eu e o Yopo Sabendo,
[44:24:20 - 44:32:40]:  estava lá para ver a observação da sua vida, a temperatura,
[44:32:40 - 44:34:20]:  da direta.
[44:34:20 - 44:37:40]:  - Primeira, acho que o que faz.
[44:37:40 - 44:47:40]:  - Depois, a resposta, depois do calor,
[44:47:40 - 44:52:40]:  também é uma calotação, a turga de sova, a temperatura,
[44:52:40 - 44:54:20]:  a nossa antemática, a maravilha.
[44:54:20 - 44:57:40]:  - Está mais quente, lá em si.
[44:57:40 - 45:02:40]:  - E profundo, eu conheci a bem, não piása que acabou,
[45:02:40 - 45:07:40]:  não me fala muito engraçado, aqui é com o Lula Calma.
[45:07:40 - 45:12:40]:  - Não me dá pra ver o que está acontecendo,
[45:12:40 - 45:17:40]:  não me dá pra ver, não me dá pra ver o que está acontecendo.
[45:17:40 - 45:21:00]:  - Não me dá pra ver, não me dá pra ver.
[45:21:00 - 45:22:40]:  - Não me vejo, não me dá pra ver.
[45:22:40 - 45:26:00]:  - Mas, então, como é que é o Más?
[45:26:00 - 45:27:40]:  - Não me dá pra ver.
[45:27:40 - 45:29:20]:  - Não me dá pra ver.
[45:29:20 - 45:31:00]:  - Não me dá pra ver.
[45:31:00 - 45:32:40]:  - Sata, bravo.
[45:32:40 - 45:39:20]:  - Costa, Sante Silva e Marcelas,
[45:39:20 - 45:41:00]:  três principais figuras do Estado,
[45:41:00 - 45:44:20]:  comentarem o que se tinha passado,
[45:44:20 - 45:49:20]:  do Minuto dos Ants, e ainda, na mesma conversa,
[45:49:20 - 45:52:40]:  mais adiante, o presidente da Assembleia da República
[45:52:40 - 45:57:40]:  comenta também a atitude de protesto de iniciativa liberal
[45:57:40 - 46:02:40]:  contra a presença do presidente brasileiro.
[46:02:40 - 46:07:40]:  Os librais abandonaram a sala durante a sessão solenda,
[46:07:40 - 46:12:40]:  deixando apenas no amicículo o líder parlamentário do partido.
[46:12:40 - 46:17:40]:  Uma atitude de falta de, não se percervei,
[46:17:40 - 46:22:40]:  uma turidade, de integridade, de inteligência política,
[46:22:40 - 46:29:20]:  já hoje, as três versões, a expressão não é clara,
[46:29:20 - 46:39:20]:  mas foi isso que Sante Silva tradit durante esta conversa privada,
[46:39:20 - 46:42:40]:  que veio a política que vamos ver.
[46:42:40 - 47:27:40]:  - Aqui não é nada, de Sante Silva referente ao protesto de iniciativa liberal,
[47:27:40 - 47:36:00]:  parece-la justificada a indignação dos librais
[47:36:00 - 47:39:20]:  a este respeito, o Ricardo Arroz Pereira.
[47:39:20 - 47:44:20]:  - Na verdade, não, Carlos, eu acho que este caso,
[47:44:20 - 47:47:40]:  eu não tenho muito interesse nesta conversa,
[47:47:40 - 47:54:20]:  acho interessante que o presidente da Assembleia da República
[47:54:20 - 47:59:20]:  não controla televisão da Assembleia da República,
[47:59:20 - 48:04:20]:  e eu les vi isto, e também o coisa que o Dr. Balsmão
[48:04:20 - 48:07:40]:  de repente seria apanhar pelas câmeras da Sica
[48:07:40 - 48:14:20]:  dizer uma coisa que não era a pedcia que fosse tornada pública.
[48:14:20 - 48:17:40]:  - É que a parceira até pior do que isso.
[48:17:40 - 48:19:20]:  - Não é isso! - Que a parceira que é pior!
[48:19:20 - 48:22:40]:  - Tudo Sante Silva ainda não é dono.
[48:22:40 - 48:27:40]:  - Não é dono, mas eu quero dizer, mas é o presidente da Assembleia da República.
[48:27:40 - 48:32:40]:  - Que é que o épto, é o canal da Assembleia da Assembleia da Assembleia da República.
[48:32:40 - 48:34:20]:  - Não é bem, não é, não é.
[48:34:20 - 48:42:40]:  - Eu sei que não é, mas a questão é este que é o lugar de disculpas público.
[48:42:40 - 48:46:00]:  - Eu acho que não, mas eu acho que é o que é que é o que é.
[48:46:00 - 48:54:20]:  - Eu acho que ele diz falta de inteligência política e é conclusão de que é.
[48:54:20 - 49:01:00]:  - Eu disse que ele não sabe o que diz.
[49:01:00 - 49:06:00]:  - Sera-me, eu acho que ele tem tanta diferença, não é?
[49:06:00 - 49:09:20]:  - Não faz diferença porque eu concordo com ele.
[49:09:20 - 49:14:20]:  - Ele diz assim, é falta de inteligência política,
[49:14:20 - 49:21:00]:  aquilo que a iniciativa liberal fez, deu em nada exato.
[49:21:00 - 49:24:20]:  - Eu acho que iniciativas que dão em nada.
[49:24:20 - 49:27:40]:  - Que a gente sabe o que faz a pior diferença.
[49:27:40 - 49:34:20]:  - Exato, iniciativas que dão iniciativas políticas, que dão em nada.
[49:34:20 - 49:39:20]:  Realmente eu acho que revelam falta de inteligência política.
[49:39:20 - 49:46:00]:  É isso que eu receio para as iniciativas do próprio presidente da Assembleia da República.
[49:46:00 - 49:54:20]:  E portanto, eu acho que é a própria iniciativa liberal, o que havia a fazer,
[49:54:20 - 50:02:40]:  era, acho, eu, uma coisa que está, acho que está indusuzo na política,
[50:02:40 - 50:11:00]:  mas que eu acho que não ligar, não ligar porque enquanto não se liga.
[50:11:00 - 50:22:40]:  E assumimos uma postura até superior a aquilo que acabou da acontecer.
[50:22:40 - 50:29:20]:  É desagradável para quem fez as declarações.
[50:29:20 - 50:39:20]:  A única coisa divertida deste vídeo das vestidores da sessão parlamentária,
[50:39:20 - 50:46:00]:  é a fança, o Nisse, visteu, visteu quando eu e irritei,
[50:46:00 - 50:52:40]:  eu nem sou de me irritar, mas alereste que eu estava,
[50:52:40 - 50:59:20]:  pois foi, imagens, imagens, meu amigo, até disse, que eu estava vendo também,
[50:59:20 - 51:02:40]:  que me soube reflexidade, depois eu estou pra façam.
[51:02:40 - 51:06:00]:  - Que são sinónimos, não faz sentido.
[51:06:00 - 51:11:00]:  É preciso estar a mesma comunitar atenção para dizer, não isto já é este o que façam.
[51:11:00 - 51:16:00]:  Era para flexidade até aqui, mas agora já é este o que façam.
[51:16:00 - 51:26:00]:  É por tanto, é só o tom de fã de farrão, e eu receio por este tom de fã de farrão.
[51:26:00 - 51:31:00]:  É só isso, acho que receio que seja um tom de farrão,
[51:31:00 - 51:36:00]:  adixer uma laveira até a ola maçal.
[51:36:00 - 51:44:20]:  - A indignação de Nisse neoliberal para se lhe fazer sentido, mas não se liga.
[51:44:20 - 51:49:20]:  - Quando eu vi indignação, não sabia que aquela dizer respeito,
[51:49:20 - 51:56:00]:  mas já não sabemos exatamente o que a expressão é que o presidente vai fazer com a República Utiliza.
[51:56:00 - 51:59:20]:  Se o presidente vai fazer a Semblédia República,
[51:59:20 - 52:06:00]:  utilizou mesmo em privado, e vamos dizer privado para todos os efeitos,
[52:06:00 - 52:11:00]:  para a matriz que são sobre o que é privado.
[52:11:00 - 52:17:40]:  A porta fechada, ou é circuito fechado, por isso já é circuito aberto.
[52:17:40 - 52:27:40]:  É uma expressão que é depreciativa, a relação a um deputado, um grupo parlamentário,
[52:27:40 - 52:36:00]:  acho que não deve ter feito, mas não parece que este caso tenha essa dimensão,
[52:36:00 - 52:44:20]:  aliás, já houve mais e outros casos numa soção para acrescentar esta embora.
[52:44:20 - 52:52:40]:  - Fim de Cibli-Bralse, sentou feinida, do direito de... - Dispre-me, do direito.
[52:52:40 - 53:02:40]:  - Como é que viu aquele que conciliado, com mais altas figuras do Estado, de som e de cada vez?
[53:02:40 - 53:12:40]:  - Tem o problema de encaixar numa narrativa que mais uma vez vai dar...
[53:12:40 - 53:14:20]:  - Isso é verdade.
[53:14:20 - 53:22:40]:  - E quando... Eu acho que as pessoas quer ter a prestagem atenção aos palavras que eu acho menos interessante.
[53:22:40 - 53:29:20]:  Quando o António Costa diz, Lula estava entusia-se mate com essa perspectiva,
[53:29:20 - 53:37:40]:  que são as palavras do António Costa, significa que Lula da Silva estava a espega,
[53:37:40 - 53:41:00]:  nunca aconteceu na Assembleia da República.
[53:41:00 - 53:46:00]:  - Até porque chega, não tinha dito o que ia fazer.
[53:46:00 - 53:49:20]:  - Lulito da gente. - Mas já se desviu.
[53:49:20 - 53:54:20]:  - Lulito da gente. - Quando é Lulito da gente significa que algo estante
[53:54:20 - 53:59:20]:  - Que era bem. - Parece que foi muito apañado de surpresa, pela indignação.
[53:59:20 - 54:04:20]:  Não foi assim, então, apañado de surpresa.
[54:04:20 - 54:11:00]:  E quando ainda por cima vem, terás essas discussões nos bastidores, parece tudo um dia, tem.
[54:11:00 - 54:17:40]:  - O João Milho estava arreficando, então, o ministro da urbanidade,
[54:17:40 - 54:24:20]:  da curtizia e da educação, e a vez do Pedro Muxí, estornaram o ministro do ruído.
[54:24:20 - 54:31:00]:  Também ainda apropósito uma frase de Santos Silva no 20 de dicembro.
[54:31:00 - 54:37:40]:  O que que eles chamam atenção nessa passagem do discurso do presidente da Assembleia da República?
[54:37:40 - 54:46:00]:  - Eu comproci no ASF, estamos a falar de museada de Santos Silva,
[54:46:00 - 54:54:20]:  por isso vamos falar mais de Santos Silva. É só uma nota, Zinha, que não tem a ver com Lula,
[54:54:20 - 54:59:20]:  não tem a ver com a questão da Vídeca-Bil, tem a ver com...
[54:59:20 - 55:06:00]:  - Um discurso sobre o tempo. - Sim, é uma passagem, evidentemente,
[55:06:00 - 55:12:40]:  que o presidente da Assembleia da República fez uma defesa da estabilidade,
[55:12:40 - 55:26:00]:  faça o fantasma de solução, e diz que o Parlamento e o Governo não podem estar dependente,
[55:26:00 - 55:34:20]:  nos níveis de protesto deste lado aquele setor, do favor da opinião publicada,
[55:34:20 - 55:42:40]:  da percepção dos mídias, do ruído das redes sociais ou da evolução das chondas.
[55:42:40 - 55:47:40]:  - E eu concordo, o ASF tem sempre a ver com...
[55:47:40 - 55:51:00]:  - Casta o ruído, ruído das redes sociais.
[55:51:00 - 55:57:40]:  - E eu concordo com esta frase, não sei se tem que o Governo, o qualquer Governo,
[55:57:40 - 56:07:40]:  não pode estar dependente, a sua ação governativa, na alguma destes certamente não,
[56:07:40 - 56:17:40]:  da opinião publicada, e talvez, da chondagens não deve estar, mas está...
[56:17:40 - 56:31:00]:  - Agora, dos livros de protesto dos setores, será que o protesto de terminar dos setores
[56:31:00 - 56:36:00]:  não é uma questão atendível? Eu estou só a dizer isto pelo seguinte,
[56:36:00 - 56:46:00]:  tenho visto muitas pessoas, incluindo a área do PS e do PS, e da área do seu listem geral,
[56:46:00 - 56:52:40]:  por exemplo, dizer que Macron deve cair de por que está o país na rua contra ele?
[56:52:40 - 56:59:20]:  - Ora, das duas uma, ou isso conta, ou isso não conta?
[56:59:20 - 57:04:20]:  - É preciso que nos entendermos quanto é isto.
[57:04:20 - 57:11:00]:  Se o protesto desligitima a ação do Governo, desligitima sempre,
[57:11:00 - 57:22:40]:  e não só às vezes em atenção, eu sou contra qualquer expressiva, não é qualquer expressiva,
[57:22:40 - 57:31:00]:  a distulsão não há razões para uma distulsão, porque a distulsão não tem a ver com a uma a governação,
[57:31:00 - 57:37:40]:  se não dessolvia-se do da hora. E, portanto, eu não sou a revuada distulsão,
[57:37:40 - 57:51:00]:  mas acho que os níveis de protesto desto, daquilo setor, quando são professores, médicos, etc.,
[57:51:00 - 57:54:20]:  não há uma coisa despiciana.
[57:54:20 - 57:59:20]:  - Como é que tem visto os jovem e autobares de alusões frequentes do presente,
[57:59:20 - 58:06:00]:  da República, a possibilidade de dissolver o parlamento e convocar eleições?
[58:06:00 - 58:16:00]:  - Acostando logo de seguida, que não tem para já quaisquer intenções nesse sentido.
[58:16:00 - 58:24:20]:  - Acho que é uma reforma de alvalo de os águios, seu próprio papel, enquanto é equilíbrio.
[58:24:20 - 58:29:20]:  E eu acho que faz tudo sentido. É muito agressado ver como mais celo,
[58:29:20 - 58:34:20]:  eu acho que mais celo teve bastante mal no início deste Governo,
[58:34:20 - 58:39:20]:  para que se que estava morso, eu acho que ele ia imaginar bom,
[58:39:20 - 58:42:40]:  não vou ver nunca um outro pague-me-me-nisto sem ser este,
[58:42:40 - 58:47:40]:  e agora com uma manjuga é absolutamente, meu papel vai seguir relevante.
[58:47:40 - 58:56:00]:  Mas uma dutra de regação tão rápida da situação política que o papel do Marcelo volta,
[58:56:00 - 59:01:00]:  ou seja, muito importante, e ela é como que fluxeu.
[59:01:00 - 59:06:00]:  Eu acho que não tenho muito mal neste episódio, mas acho que no modo geral,
[59:06:00 - 59:14:20]:  o nível do Marcelo subiu a relação ao início do mandato de costa.
[59:14:20 - 59:19:20]:  Agora vamos ver a atenção. Eu concordo só para que sequeçamos sempre,
[59:19:20 - 59:24:20]:  porque o pessoal também de crítico do Governo, eu concordo com Marcelo.
[59:24:20 - 59:27:40]:  Eu gostava de ver cantar o encosto.
[59:27:40 - 59:32:40]:  Lá até 2016, e acho que os mandatos de regas devem ser respeitados,
[59:32:40 - 59:41:00]:  não sei que seja uma quietaste fúrgica, mas acho que ainda não estamos aí.
[59:41:00 - 59:46:00]:  Parece que o regular funcionamento das instituições está post-encausos,
[59:46:00 - 59:51:00]:  ou é só fumar-se a recarda da rostra-reira.
[59:51:00 - 59:56:00]:  Pode ser as duas coisas, Carlos, uma barulheira,
[59:56:00 - 60:04:20]:  e ao mesmo tempo, um caminho, ou seja, estarmos a caminhar para, por exemplo,
[60:04:20 - 60:19:20]:  hoje foi admitido mais um adjunto, que ficou que era culpa...
[60:19:20 - 60:24:20]:  -A desjunto do galámbio. -A desjunto do galámbio.
[60:24:20 - 60:37:40]:  E aí, pelo visto, o grande responsável, pelas reuniões prévia-se,
[60:37:40 - 60:42:40]:  minhas secretas ou completamente secretas, como assim?
[60:42:40 - 60:47:40]:  -Pare-me via-las respostas que ela deveria dar. -Exatamente.
[60:47:40 - 60:54:20]:  Coisa que tinha sido me gada até aqui, e que entre tantas semanas se descobriu que,
[60:54:20 - 60:59:20]:  afinal sempre havia... -Precisaria reunir um salpreia-se.
[60:59:20 - 61:02:40]:  -Certeza. -É o meu óbvio.
[61:02:40 - 61:11:00]:  E, portanto, eu não sei quantos episódios deste, a dar ver um deste episódio,
[61:11:00 - 61:14:20]:  que é a partir do qual a gente diz.
[61:14:20 - 61:19:20]:  Bom, se calhar a partir daqui...
[61:19:20 - 61:26:00]:  -Sama da gota d'água. -Tá o mesmo que não seja culpado,
[61:26:00 - 61:27:40]:  não subordinado.
[61:27:40 - 61:32:40]:  -O subordinado, por lema e custos. -Tum subordinados, tão fartos,
[61:32:40 - 61:36:00]:  tão mesmo muito... -Mas se não vai na tradução.
[61:36:00 - 61:42:40]:  -Muito culposos. -O Pedro Mxífica, sem ministro do ruído,
[61:42:40 - 61:47:40]:  e também traque-se das pastas ministriais para esta semana.
[61:47:40 - 61:56:00]:  E agora, até me sabemos, mas em paz corrida, porque é que o João Miguel Tavares
[61:56:00 - 62:01:00]:  se declara semântico comparecer ou sem parecer João Miguel Tavares.
[62:01:00 - 62:04:20]:  Acho que é duas coisas, mas não tem o...
[62:04:20 - 62:07:40]:  -Eu aliás, este sábado... -É o Shroudinger, desprecer.
[62:07:40 - 62:12:40]:  -É, escolha isso mesmo. É o título deste sábado.
[62:12:40 - 62:17:40]:  Escriva um teste no público, que tem exatamente esse nome.
[62:17:40 - 62:21:00]:  É o Parque de Shroudinger, porque ele é...
[62:21:00 - 62:26:00]:  -É e não é... -Esses teas sobre as explicações...
[62:26:00 - 62:32:40]:  As explicações sobre a questão do parecer, que não podia ser entregue,
[62:32:40 - 62:37:40]:  mas que, afinal, não existia...
[62:37:40 - 62:41:00]:  As explicações que leteram o assunto?
[62:41:00 - 62:46:00]:  Deixa-me eu lugear este magnífico programa mais uma vez,
[62:46:00 - 62:51:00]:  porque eu tinha dito na semana passada,
[62:51:00 - 62:56:00]:  exatamente que disse "quisei, isto vai acabar num problema de semântica".
[62:56:00 - 62:59:20]:  Foi meio diferente que disse.
[62:59:20 - 63:01:00]:  -O que ele disse? -O que ele disse?
[63:01:00 - 63:06:00]:  -O que ele disse? O que ele disse? -Não, mas estou eleugial o programa.
[63:06:00 - 63:09:20]:  -Tou que vai estar a dizer que foi eu. -Totros...
[63:09:20 - 63:11:00]:  Nós, faz de conta, nós, nós.
[63:11:00 - 63:17:40]:  Já tenhamos avisado que esteiram um problema de semântica.
[63:17:40 - 63:26:00]:  E Mariana Verde Silva já disse que este é uma questão puramente semântica.
[63:26:00 - 63:29:20]:  Ela disse...
[63:29:20 - 63:34:20]:  -Ah, eu disse para que seja jurídico? Porque, de facto, Mariana Verde Silva,
[63:34:20 - 63:41:00]:  coitada, "vogue-bel" dizou mesmo isto, tal como que tem ainda menos num comunicado.
[63:41:00 - 63:49:20]:  E disse para que seja jurídico, como podia ter utilizado as pressão após jurídico ou contributivo jurídico.
[63:49:20 - 63:56:00]:  É verdade o que ele está dizendo neste sentido.
[63:56:00 - 64:01:00]:  Qualquer que fosse a palavra que ela tivesse usado.
[64:01:00 - 64:04:20]:  Não interessava absolutamente para nada, porque...
[64:04:20 - 64:16:00]:  A documentação que eu para ser o nássembléia da República é posterior ao te pedimento,
[64:16:00 - 64:19:20]:  em direto nas televisões.
[64:19:20 - 64:22:40]:  Por tanto, é indiferente o que é que chama-se aquilo.
[64:22:40 - 64:31:00]:  Significa que aquilo que Madina disse que é uma decisão jurídicamente blindada,
[64:31:00 - 64:41:00]:  é mais uma mentira. É ir contando, não sei se vai tentar apontar, mas Madina, de facto.
[64:41:00 - 64:51:00]:  E notes, tal como disse o Ricardo com o assorto do Galamba,
[64:51:00 - 64:59:20]:  já são os pos, já são os pos, de missão, respeito de um de santo,
[64:59:20 - 65:07:40]:  já são os pos, onde estão as estes, são os ministros que não tiveram envolvidos no te pedimento de senhoga.
[65:07:40 - 65:14:20]:  Mas mesmo assim, já estão envolvidos umas terapalhadas gigantes.
[65:14:20 - 65:21:00]:  O que é grau de gravidade é que atribui este tipo de zóis bem concreto para a democracia?
[65:21:00 - 65:27:40]:  Eu podemos começar a fazer uma... uma agradação.
[65:27:40 - 65:34:20]:  Eu politicamente não concordo com a ministra Amarena Vera da Silva,
[65:34:20 - 65:37:40]:  mas filoso a ficamento concorda.
[65:37:40 - 65:42:40]:  Eu e o videoclino se tá encordando, estão só jogos de linguagem.
[65:42:40 - 65:51:00]:  De facto, tudo é semântica, mas dizer que é uma coisa só semântica sendo verdade,
[65:51:00 - 65:57:40]:  não respondo que aqui há uma dimensão que não é da semântica que é da ontologia,
[65:57:40 - 66:02:40]:  que é uma coisa existir, ou não, é como Deus.
[66:02:40 - 66:07:40]:  Deus ou exista ou não, pode existir mais ou menos.
[66:07:40 - 66:12:40]:  Ou a parceiro ou não, a parceiro? A partir daí.
[66:12:40 - 66:17:40]:  E o que é que ele parece esta polismeida palavra "parecer"?
[66:17:40 - 66:24:20]:  Acho ótimo Carlos, porque eu sou... eu de política gosto mais ou menos,
[66:24:20 - 66:29:20]:  agora, de semântica adoro. Eu tenho...
[66:29:20 - 66:31:00]:  Quando disseram, isto é semântica.
[66:31:00 - 66:32:40]:  E semântica?
[66:32:40 - 66:34:20]:  Ativou-se logo.
[66:34:20 - 66:41:00]:  E as medidas são... Gosto a acompanhar a realidade portuguesa com os minhas gramáticas lá em casa.
[66:41:00 - 66:47:40]:  Acondiou isso com o Tribunal Constitucional, o I, que valia de o o.
[66:47:40 - 66:52:40]:  E agora, se a ver se um pársir é um pársir, ou seja, uma coisa qualquer.
[66:52:40 - 66:54:20]:  Gosto muito.
[66:54:20 - 66:59:20]:  Estás gostido porque é que os homencaltavar se declara semântico?
[66:59:20 - 67:07:40]:  Quanto a pedra mexia atrás esta semana uma interrogação relativamente exclamativa?
[67:07:40 - 67:12:40]:  Aié. Aiéu. Que pedra mexia.
[67:12:40 - 67:19:20]:  Eu não tito olhar de uma notícia da semana passada, mas, entretanto, este processo de evolução de desenvolvimento,
[67:19:20 - 67:22:40]:  que, sobre o Tribunal Constitucional já foi escolhido.
[67:22:40 - 67:26:00]:  E... e lisa.
[67:26:00 - 67:27:40]:  E o ex-o.
[67:27:40 - 67:34:20]:  Já foram, no meia, corruptados os jovens que faltavam para substituir os que estavam que tinham terminado a mandat,
[67:34:20 - 67:37:40]:  já foi eleito o presidente.
[67:37:40 - 67:44:20]:  Mas o público titular, a semana passada, novos jovens do Tribunal Constitucional,
[67:44:20 - 67:51:00]:  que são os jovens, eles vão caras de loreiro, é contra a o tanázeo.
[67:51:00 - 67:57:40]:  E eu perguntei, aié, porque o que é que isto quer dizer?
[67:57:40 - 68:12:40]:  O que quer dizer que é um voto, que se vai manifestar a favor contra a lei de o tanázeo,
[68:12:40 - 68:19:20]:  então antes também poderia dizer, os outros dois jovens são a favor de o tanázeo.
[68:19:20 - 68:29:20]:  O que o título parece sugerir, e eu não sou o leitor dos provodores, provodados os leitores do público,
[68:29:20 - 68:34:20]:  sou o leitor do provodor, mas não sou o provodador do leitor,
[68:34:20 - 68:46:00]:  é que parece que ser contra a... contra a el tanázeo é uma coisa que desqualificam o juiz.
[68:46:00 - 68:52:40]:  E agora, se há decisões sobre o tanázeo, votações sobre o tanázeo,
[68:52:40 - 68:59:20]:  e referentes sobre o tanázeo, serão, não sobre o tanázeo, a favor do tanázeo,
[68:59:20 - 69:09:20]:  é uma pessoa política, é possível que o título quere dizer uma coisa, não sei se posso.
[69:09:20 - 69:16:00]:  Que o juiz é católico, não é o juiz católico.
[69:16:00 - 69:24:20]:  Pronto, era só para dizer, só para... e parece que não dá.
[69:24:20 - 69:31:00]:  Alguma mutação, a processa de leição esta semana...
[69:31:00 - 69:34:20]:  É só ter que...
[69:34:20 - 69:37:40]:  É só ter que isso não ter que nada a ver com isto, é ver como a senhora chamada "Magana Cantilha",
[69:37:40 - 69:44:20]:  basta ler as notícias que, evidentemente, aquilo tem que conhecer,
[69:44:20 - 69:49:20]:  para o presidente também do consto sional, e foi a digaí ter impeso,
[69:49:20 - 69:56:00]:  pelo que se percebeu, que votou no outro senão, porque não acreditou lá nada,
[69:56:00 - 70:01:00]:  até porque as alterações dá-sem o leitor de república,
[70:01:00 - 70:07:40]:  e justificam a aprovação desta leida ou tanázeo.
[70:07:40 - 70:12:40]:  E o juiz não estava em causa para ser o presidente da sede.
[70:12:40 - 70:16:00]:  Mas descansada agora que é a presidente no trono nacional,
[70:16:00 - 70:24:20]:  e até porque o presidente foi eleito, al fim de 157 voltas eleiturais.
[70:24:20 - 70:31:00]:  Ou seja, foi... eu propone este método, até, por exemplo, na Presidente de República.
[70:31:00 - 70:34:20]:  De que a continuo dura as voltas?
[70:34:20 - 70:37:40]:  Na Presidência da República às vezes há segunda volta,
[70:37:40 - 70:41:00]:  mas irmos a a centésima, quinhem com a gésima,
[70:41:00 - 70:46:00]:  seteima volta garantem uma legitimidade democrática ao eleito,
[70:46:00 - 70:52:40]:  que eu acho que é rara e mostra também que estes juízos do Tribunal Constitucional
[70:52:40 - 70:56:00]:  estão prontos para fazer trabalho minutioso.
[70:56:00 - 71:04:20]:  E aos não vão largar os diplomas até aquilo está-se porgada até a cartilagem.
[71:04:20 - 71:12:40]:  Já sabemos por que o Pedro Mexí é exclama "aic" ou "aie".
[71:12:40 - 71:21:00]:  Vamos agora tentar perceber por que o Ricardo Raúxperer se enuncia "fox"
[71:21:00 - 71:34:20]:  e será caso para dizer que esta semana a cadeia de televisão norte-americana perdeu a calda.
[71:34:20 - 71:39:20]:  Sim, perdeu uma calda especialmente f durenta.
[71:39:20 - 71:57:40]:  Porque era um Takar-Karlesa, um javardo, eu acho que é, não sei qual é a palavra em inglês,
[71:57:40 - 72:02:40]:  é um javardo, é um javardo de santa de pessoas que estão a dizer assim.
[72:02:40 - 72:09:20]:  Porque é incrível porque ele tinha o programa mais visto nos Estados Unidos, não tinha.
[72:09:20 - 72:12:40]:  Ele tinha três milhões de espectadores.
[72:12:40 - 72:19:20]:  Três milhões de espectadores nos Estados Unidos não chegaram 1% de audiência.
[72:19:20 - 72:31:00]:  Portanto ele não tinha o programa mais visto nos Estados Unidos, calma. E era um javardo, só que era um javardo que dava dinheiro.
[72:31:00 - 72:37:40]:  Justamente porque tem as milhões de algo, 3 milhões de ideias são milhões.
[72:37:40 - 72:46:00]:  E portanto é um potencial e comercial também, para que deu muito.
[72:46:00 - 72:54:20]:  E é só que agora o javardo custa mais dinheiro do que se conhece uma das coisas.
[72:54:20 - 72:57:40]:  E isso pode ter impacto nas hostes trampistas.
[72:57:40 - 73:09:20]:  Pode ter por que o javardo embora é imprivado. Confissar, só que o estado era ver a pública agora.
[73:09:20 - 73:22:40]:  Confissar, só a diário, trampo, em público era uma espécie de veículo incansável de diores da conspiração.
