[00:00:00 - 00:30:48]:  [Música]
[38:17:38 - 38:32:38]:  -Petada, ela fizemos negócios com a China e com o gimangulano, pois há também, de repente, também não é isso, gente, também não é o livável dos negócios, não quer se ter bem causando, né?
[38:32:38 - 38:44:18]:  -Ele estão aí são sancions, que acabam por nos sancionar a nós, digamos, o acidente, né?
[38:44:18 - 39:07:38]:  -Porque a questão é essa, é... na verdade, o que vamos fazer é dizer... Não queremos mais o teu caviar, seu porco, agora o gás, o gás, se não tem portas, continua, porque...
[39:07:38 - 39:20:58]:  -Sama, estás assim, justo, né? Então é o gás agora, pega suportamento quando o gás não for assim, então não saque, mas consta-se, tem-se...
[39:20:58 - 39:29:18]:  -Ele vai agarver a ilverão, se tu preparar, que você pega, não para cima e ver, não está estão dependendo...
[39:29:18 - 39:40:58]:  -Constra-se, é, exatamente, mas o certo é que é isso, é que a caviar não é assim, então não saque, pois é muito fácil, gente dizer, guarda isso.
[39:40:58 - 39:47:38]:  -Mas repaga, tu também, salmanha, tu tens um país dependente em se sentir...
[39:47:38 - 39:52:38]:  -Exatamente, é a sexta, acho que deixa-me daqui a sexta caso.
[39:52:38 - 39:55:58]:  -É a sexta, a almanha é um país dependente em se sentir por cento.
[39:55:58 - 40:12:38]:  -Mas isso, acaba perceb... acaba percebido o cidadivo dos limites que nós, de repente começamos a perceber quais são os nossos limites, e o nosso limite é...
[40:12:38 - 40:22:38]:  -Ok, então o senhor é invada a Ucrania, é... -Nossa, é certo, mas é certo, é invada a Ucrania, a gente deixa-te fazer negócios e consigo.
[40:22:38 - 40:30:58]:  É exceb-se, aqueles que ainda precisamos de fazer para não morrermos de fórmula.
[40:30:58 - 40:44:18]:  E antes de tanto, não sei se viram isso, mas no Brasil nós percebemos também qual é o nosso limite de resistência a cartinisse, não sei se reparar nessa história.
[40:44:18 - 40:59:18]:  Foi uma história interessante, foi um senhor que era deputado estadual de São Paulo por um partido liberal, foi a Ucrania ver aquilo.
[40:59:18 - 41:19:18]:  E é um daqueles realizou uma opração que só está ao alcance dos melhores poetas, que é ele contemplou um cenário de morte e devastação e conseguiu descobrir da flour e mandou por seus amigos um áudio em que dizia.
[41:19:18 - 41:30:58]:  As Ucranianas são mesmo bonitas, pá. E sabem o que é melhor? São fáceis porque são pobres.
[41:30:58 - 41:59:18]:  Pronto, o senhor é endotanto, a vida política dele terminou como é justificado, mas ao menos serviu para a gente perceber que no mundo em que Gravedam by the Pussy vál a presidência, o próprio Bolsonaro, de feste declarações, absolutamente...
[41:59:18 - 42:17:38]:  Mas o que descobrimos é que a fosquia é a verdade que a fosquia da cartinisse fica muito alta quando é fixada por este senhor. Mas ainda assim há um limite, já não é mal, já não é mal.
[42:17:38 - 42:30:58]:  O processo de liberalização, o João Miguel Tavares, que você terá supposed em causa quando tudo isto estará supposed em causa?
[42:30:58 - 42:54:18]:  Sim, a liberalização com isto já viu o melhor dia. Vamos ver, os meus critos clergos de panel, estavam a dizer, é bem verdade, nós sempre fizemos negócios com regímes, infamos.
[42:54:18 - 43:14:18]:  Agora, o que nós aprendemos com o Putin, convenha não fazer negócios com regímes e infamos, se esses negócios nos colocarem numa dependência brutal da este regime,
[43:14:18 - 43:25:58]:  isso não nos acontece, se você está tudo nem congola, nem portadinho muito com a China, que é a China talvez ainda não.
[43:25:58 - 43:40:58]:  Mas não podemos dizer isto nível energético, é que quando nós já não é agora, agora, acabamos eletrodomesticos, é bom em Portugal, nós temos as renas e...
[43:40:58 - 44:07:38]:  Mas assim, só aqui neste estúdio em estúdio em si, nada de fim da China se desengue, mas assim, o que você pode dizer? Não, mas assim, pode dizer que se os chinês desengar, eles reenheiam a depenção de um muséneo.
[44:07:38 - 44:27:38]:  No que mais tremos, vocês nos denomam a fina, é que é muito bom, é exatamente, mas enfim, mas a reenheia de piós não conseguem bater a deus. No ultima análise fica aqui, e a China se acceiu.
[44:27:38 - 45:00:58]:  Agora, esta dependência energética é de facto uma equilitável, isso parece que a humanha não volta com teus mesmos erros, e são erros bem tensionados, era para desnucleologizar, era o ambiente, é que bom, e as energias verdes é que bom, e agora está toda a gente a chorar em cima de um mulher.
[45:00:58 - 45:15:58]:  É que se metem os verdes no governo agora. Exatamente, com os verdes no governo, nós também já andamos a chorar pelas centrais que vamos que andamos a fichar, e portanto, o mundo todo é muito bonito.
[45:15:58 - 45:27:38]:  Mas é desde que as coisas funcionam, e portanto, fichar nas mãos de regime os corruptos não quer bom interesse.
[45:27:38 - 45:57:38]:  O Pedro Muxia, ficar sem ministro multinacional, e estão entregues das pastas misteriais por esta semana, altura agora para saber-me por que o Pedro Muxia, de novo, se declara o sofilo para homenagear a Chakov e Turbini-Ev, o Pedro Muxi, ou com intenções mais novas.
[45:57:38 - 46:09:18]:  Isso é muito bem. Menos novas, olha lá. O Fisa uma espécie de cálago de Rousseau-Filos, que tem visto nos comunicação social.
[46:09:18 - 46:15:58]:  Tem que ter até de Rousseau-Filos, nos faça um enviado aqui, porque é muito bom.
[46:15:58 - 46:34:18]:  No meu de cálago, só um tipo de pessoas é que se consideram alguns sofilos, e que são, por exemplo, os serveiros, que estavam frosemente a favor da invasão.
[46:34:18 - 46:49:18]:  Depois há nove caturias do Rousseau-Filos em negação. -Pero que é muito rápido. -Ausaventados.
[46:49:18 - 47:17:38]:  As pessoas que a ligação não é apenas de dar opiniões, mas de ligações profissionais ou outras, há os antiosidentais que seja rússia, seja o que for, seja contra o acidente, está contra.
[47:17:38 - 47:32:38]:  Aosquisse, seja, a esquerda direita, que o pensamento é para o Cranital e para a paciência, não se se vê se mais para cá.
[47:32:38 - 47:45:58]:  É que, por tanto, nada vai fazer, há os geostrategas, como os militários que parecem o jogar ao coluído, que dizem...
[47:45:58 - 48:05:58]:  Só dá um nota técnica, não olha o que eles quiserem, muito bem. Amenta esta jogada foi muito bem, como se não houvesse com as hidroções, não se se posso conhecer a palavra éticas, mas enfim, políticas até, aos alcolizados.
[48:05:58 - 48:20:58]:  Essas pessoas que estão num estupor alcoólico e olham para rússia ver em um suviético, estão completamente desveradas.
[48:20:58 - 48:24:18]:  -Ah, as pessoas... -É da vodka.
[48:24:18 - 48:39:18]:  Aos complexos seletivos, que dizem que pegam neste caso e dizem assim, isso realmente é um caso muito complexo com reínses históricas profundas que temos que analisar.
[48:39:18 - 48:50:58]:  E o concordo com esta frase, é essas pessoas nunca usaram esta frase na vida sobre os reínses, por exemplo.
[48:50:58 - 48:54:18]:  Os reíns não é complexão, caso, evidente.
[48:54:18 - 49:00:58]:  Eles não se perguntaram, "Ah, os que estavam no ver um putin na cada esquina?"
[49:00:58 - 49:10:58]:  Ben, por exemplo, e ainda agora continuava apoiada a uns que se arrependeram, salvindo e arrependeram-se.
[49:10:58 - 49:27:38]:  Os ém o ordezia, que era preciso um putin de Françaes ainda há há muitos anos, e, por tanto, pessoas que, no fundo, simpatizam com aquela ideia de unida,
[49:27:38 - 49:39:18]:  que tem um país onde toda a gente tem mesmo a cor, na verdade, não é verdade, mas que é verdade, porque aquilo é um continente.
[49:39:18 - 49:55:58]:  -É um esforzorado. -Mas que criam países ocidentais, e agora a gente vai ter essa, é mesmo a cor, a mesma colégia, a mesma oritação sexual, etc., etc.,
[49:55:58 - 50:07:38]:  depois, ah, aquilo que eu já se chama "o club dos amigos" da testosterona, são as pessoas que gostam sempre de bullies,
[50:07:38 - 50:27:38]:  isso é muito fisilão nas redes sociais, os bullies têm sempre largas e legiões de admiradores, e depois há uma categoria, de acima e última, que aparece ainda das estas coisas que é.
[50:27:38 - 50:44:18]:  Está toda a gente contra a invés, é um país de um estou a favor. Já ouvi, desenas de pessoas, só para ser do contra, que realmente é o grau zero da atitude política.
[50:44:18 - 50:55:58]:  -E encontra essas categoria, todas nos passos mediáticos portugueses? -Mediático, político, jornalístico e militar.
[50:55:58 - 51:19:18]:  Ve com bons olhos ou quantos de confiança, recardar o esperário, o facto de aparecer em algumas vozes que parecem compreender e aceitar as ações militares de Putin em função de um suposto direitos geostratégicos que encontrou na sua área de influência.
[51:19:18 - 51:27:38]:  -As duas coisas vejam como bons olhos, porque acham que acham todas as opiniões. -Claro, isso que a certeza.
[51:27:38 - 51:52:38]:  -E acham que acham opiniões contrárias, e vejam que quando os confiança crítica como olha para as opiniões em jornal, eu gosto muito de estar em curso, nessas, no âmbito destas novos, caturgias de onde calgo.
[51:52:38 - 52:00:58]:  -É, acho que é um de calgo. -É um de que se encaveli. É acho que a 2h e a 5h são mais a menção mesmo. -Pas ser um de calgo.
[52:00:58 - 52:32:38]:  -E assim ficaram todas de clinadas mesmo em muito bem de clinadinhas. Mas este de calgo, tenho o seu lado interessante. Eu gosto sempre de ficar a festa do fumeiro ou a grande...
[52:32:38 - 52:57:38]:  -E aquelas coisas de uma celebração da chorista, vamos a um cito que é só, durante um tempo é só com com ela, só com a pedra, e neste momento estamos no festival do eufemismo, que também, também entusiasma, no festival do eufemismo.
[52:57:38 - 53:37:38]:  -A ligada em vazão, já ouvi, ouvi a ligada em vazão, quer dizer, em vazão, ou, por exemplo, a operação militar, quer dizer guerra, e te agir o ver, engressado de ver as pessoas que têm esse tipo de posição, a fazerem uma espécie de contorcionismo complicada, e muitas vezes estão agarradas aos seus...
[53:37:38 - 54:10:58]:  -Não estão a falar de improviso, é impossível falar de improviso, quando se tem, quando se tem, quando se tem, quando se tem a descoidade, aliás, ouviu uma jornalista que é panhou muito bem, acho que é o senyor da... Acho que é o embaixador da Rússia, não, no que esteve, e mesmo esteve a poder assim, não, é uma guerra, não é guerra, não sei o que é a operação militar, não sei o que é...
[54:10:58 - 54:30:58]:  -Ai, o que você disse, porque nesta guerra é real, ai, o senhor disse que é real, e portanto é sempre possível ela peñar, quando eles estão destraído, é possível ela peñar, os isso, eu, para menos, em centra tempo.
[54:30:58 - 54:37:38]:  -E o que dizer da vaidade, diz ela isso aqui?
[54:37:38 - 54:59:18]:  -Vai dar, eu, eu, eu, quer dizer, em princípio, toda gente tem o seu que é de vaidade, nesta fase, estar a dizer, atenção que este tipo é um vaidoso, não sei se é o principal, se cê é tarefa principal,
[54:59:18 - 55:05:58]:  -Aldo um observador, desapaisionado da guerra...
[55:05:58 - 55:09:18]:  -Como é que você gostaram da situação?
[55:09:18 - 55:24:18]:  -É uma situação, não sei se é o trabalho principal, do observador, desapaisionado da guerra, estar a dizer, mas atenção que este tipo que está, que os povos estar a ser agredido, estar a ser alvo,
[55:24:18 - 55:25:58]:  -Tá armado em seu?
[55:25:58 - 55:34:18]:  -Tem a maninha que é bom, pá, não sei se, não sei se é bropriado, mas...
[55:34:18 - 55:54:18]:  -Para se engenho o democrático, João Miguel Tavar, ajudar palco nesta altura a quem defende de uma forma mais explícita, de um modo mais dissimulado, emvasão a russa da Ucrania.
[55:54:18 - 56:04:18]:  -Não, parecem o democrático e deve ser apoiado, porque nós temos a diversidade do opinião, a diferença entre o...
[56:04:18 - 56:05:58]:  -E para tomar a nota?
[56:05:58 - 56:07:38]:  -E para tomar a nota?
[56:07:38 - 56:22:38]:  -E para tomar a nota, não sei, exatamente, porque isto é sempre tão engênico, a gente se analisa, olha o olho, é muito, é parte engênico da liberdade de pessoas.
[56:22:38 - 56:32:38]:  -Mas eu concordo com uma história do afimismo do Ricardo, é o que eu não se pode, mesmo são os sons.
[56:32:38 - 56:47:38]:  -É porque, apesar de tudo dar uma espécie de... proputinismo coberdolas, porque são pessoas que a gente percebe que gostam muito do senhor,
[56:47:38 - 56:55:58]:  mas que é tão feio que não tem um cocagem de dizer.
[56:55:58 - 57:17:38]:  -Então, a região se uma forma inviesce de defender a coisa e só isso é que me chateia, e isso aí eu gostava mais ali um potinho, este tipo de forca dos da moita, que é a gente que após da olida e enfogueitar, eu gosto de gostos deste senhor, e vamos a isto.
[57:17:38 - 57:27:38]:  -Sas que não tinha perguntaram, porque você fala sempre no aposento da moita, quando quer referir-te a forca dos e é porque...
[57:27:38 - 57:30:58]:  -É muito bom, estou muito bem.
[57:30:58 - 57:32:38]:  -É a geleta dos forca dos.
[57:32:38 - 57:35:58]:  -Não, é, tudo não diz, passa a minha essa geleta.
[57:35:58 - 57:39:18]:  -Ah, mas é uma will, que isso não é?
[57:39:18 - 57:40:58]:  -Pá, tá bem, mas é...
[57:40:58 - 57:45:58]:  -É palavra que tem o tecrasso.
[57:45:58 - 57:50:58]:  -Ela puse dentro da moita, tem o tecrasso.
[57:50:58 - 57:54:18]:  -Ela braço, pô, puse dentro da moita.
[57:54:18 - 58:04:18]:  -E isto acho que você também, porque é que o Pedro Moxia se declara ao sófilo.
[58:04:18 - 58:25:58]:  -Quanto ao João Miguel Tavares diz sentir-se corrupto e que implicações é que a corrupção de João Miguel Tavares pode ter neste desenvolvimento, isto que está a acontecer.
[58:25:58 - 58:44:18]:  -Eu tenho um lido, um estetis muito engraçado a proposito disso, que derivam, de tal despanto, de a Rússia estar a porgulher, de tão pouco, ao fim de três semanas.
[58:44:18 - 58:49:18]:  -E as pessoas, porque são mais do que se passam ali.
[58:49:18 - 59:14:18]:  -E, de facto, tem evidentícias de comida fora do prazo, que já tinha passado em 2015, de não haver um suficiente abastecimento de gasólogo, de diesel, parece bizarro, tendo enquanto a que a Rússia é um...
[59:14:18 - 59:19:18]:  -É um grande produtor.
[59:19:18 - 59:40:58]:  -E também, até os aviões, que se postamente viam andar mais nos céus e o que é que se passa, porque é que neste momento a Rússia ainda não tem aparentemente o total contra os céus da Ocrania.
[59:40:58 - 59:49:18]:  -E a gente que utiliza, para justificar isto, é a mesma questão da corrupção.
[59:49:18 - 60:10:58]:  -E eu acho isso fechinante. Nós muitas vezes achamos que a corrupção é só colocada num plano moral, ou seja, uma coisa que é feia que se faz, e que não devia ser feita, gente a colocar em agnobolso.
[60:10:58 - 60:22:38]:  -Mas muitas vezes tendem nos esquecer que das implicações práticas da corrupção não é apenas um gesto feio.
[60:22:38 - 60:44:18]:  -É um gesto que dá cabo de empresas, de bancos, de clubes de futebol, de países e, pelos vistos, também tem boas probabilidades da cabo de exércitos.
[60:44:18 - 61:00:58]:  -Que as anualte ser só assim a corrupção que vai impedir a Rússia necessariamente de conquistar o Crania, mas aparentemente ajuda.
[61:00:58 - 61:25:58]:  -E não sei que a gasta mais de 5% do PIB é um dos países do mundo, que a gasta mais, uma percentage maior do PIB em argumento militar, os Estados Unidos gastam 3%, só para ter uma comparação a diferença que o PIB do Estados Unidos é 15 vezes maior, de corrupção.
[61:25:58 - 61:40:58]:  -É um investimento ainda muito diferente, mas a ideia que tem é que desses 5% é que o Tuto de Pagminho de Secrear é só um e-mail porque o Tragas e-Mai ficam nos bolsos de muitas outras pessoas.
[61:40:58 - 62:10:58]:  -E há institutos como a Tragas Pagnes e a Internacional que fizeram cálculos que dizem que os altos funcionários de Rússia entre 2008 e 2020 que se estima que compraram 28 mil propriedades em 85 países.
[62:10:58 - 62:50:58]:  -Oi, ou seja, esta gente está aí ao bolso e este envolve também os militares de topo e portanto este nível de corrupção perjudica o exército de Rússia e a própria meritocracia porque depois as grandes fias do exército já não estão lá, porque sejam os melhores tipos de puníveis, mas também aqueles que pelas suas relações com pedriguiam, conseguem movimentar a cenário e desviar a cenário.
[62:50:58 - 63:35:58]:  -E isso aparentemente pode parar a dar-se um avance ruso na Ucrania. -E isso também é facilvisível de corrupção russa, são os oligárcas que estão nesta altura na mira, tanto dos Estados Unidos como da União Europeia, ver alguma possibilidade de pedrimoscia desses mega-ricos virar as costas aputino por causa das sessões que neste momento estão sujeitos.
[63:35:58 - 64:24:18]:  -A possibilidade de virar em as costas, vejo, o efeito que isso tem na manutenção de pute né que não se é bem, qual pode ser apesar de tudo, é evidente que alguns delos o gostaram de um estatuto sobre todo que escrevem no acidente, ao que vivem parte do tempo no acidente, ao que tem filhos na escola as inglesas e contas na Suíça e propriedades aqui ali, evidentemente se se se se fira desaproçados tudo isso,
[64:24:18 - 65:00:58]:  podem dizer isto, é por causa de uma guerra que não, sobre qual prova não tem nada, qual não tem nada a ver e portanto é problema que virem as costas, também é possível que, como já falamos apacada por causa de tivárias coisas e também dos vítimas da guerra, quando nos números soberem, que os russos virem as costas mas aí não parece que tem um força.
[65:00:58 - 65:35:58]:  Agora há um núcleo de pessoas que podem virar costas e a se virar costas é importante, que são as fias militares, então se as fias militares virarem costas, se uma conjugação de penuri económica e de número grande de baixas levarem as fias económicas virem costas, aí é a única salvação de quem.
[65:35:58 - 65:59:18]:  As fias militares, e também os seus iatos, em vez de ter um viante de gasto em alguém em viões, as fias militares não são insensíveis, ou a história militar da, ou desfaz militar da...
[65:59:18 - 66:22:38]:  É importante um facto, como os dizem direto em mente, o português, mais rico do mundo, também está em apuros, tem alguma recomendação a fazer ao governo português a respeito deste nosso compatriota, Ricardo Raújo Pereira.
[66:22:38 - 66:29:18]:  Este nosso compatriota é chamado Roma Navarama-Vítis, o caulos adeção.
[66:29:18 - 66:32:38]:  Português há menos de um ano, mas em todo caso.
[66:32:38 - 67:00:58]:  E o registro, uma coisa certa em ninguém pode morar, antes de ser português a vida que rir bem, foi a tensão, ele era a vergonha do clube campeão da Europa em títulos, e agora de repente fez português e agora é um plímpere com quem ninguém quer falar, significa que não é um verdadeiro português.
[67:00:58 - 67:04:18]:  Exatamente, é impressionante.
[67:04:18 - 67:15:58]:  Desde esta semana, há algo de sessões por parte do governo britânico, nesse quer conceito vencer o vender o clube.
[67:15:58 - 67:20:58]:  Nesse quer vender bilhantes para os jogos.
[67:20:58 - 67:25:58]:  Nada, nada é dos franhos, que eu acho que se afanhe.
[67:25:58 - 67:34:18]:  E que os franhos que eles podem dar um novo retento do processo, no truzo dação deles, está?
[67:34:18 - 67:39:18]:  Sim, sim, e entretanto, sou fortíssima despeta.
[67:39:18 - 67:44:18]:  O Rabino.
[67:44:18 - 67:50:58]:  O Rabino do Correque, foi de títulos.
[67:50:58 - 67:59:18]:  Eu digo o seguinte, se a gente naturalizou a Putin, ele daqui a seis meses acabou.
[67:59:18 - 68:02:38]:  Fica sugestão.
[68:02:38 - 68:05:58]:  Exatamente, isso.
[68:05:58 - 68:19:18]:  É importante a maldição de ser português a ver se ele aguenta com guerras e se ele continua a dar uma bem bom.
[68:19:18 - 68:27:38]:  Já sabemos por que a João Miguel Tavar, se cê não cê é corrupto, agora vamos tentar...
[68:27:38 - 68:35:58]:  Rapidamente, por que o Ricardo Arroz para ele acertar o ortodoxo?
[68:35:58 - 68:42:38]:  E há uma explicação ortodoxa para estar a acontecer.
[68:42:38 - 68:47:38]:  Sim, a cánose, o que é esse que tem?
[68:47:38 - 68:52:38]:  É um dos...
[68:52:38 - 68:57:38]:  É o... É um dos chefes da igreja de Tavar.
[68:57:38 - 69:02:38]:  É o patriarca que queriu que...
[69:02:38 - 69:05:58]:  É o senhor, como barbas, com pedidas?
[69:05:58 - 69:12:38]:  Como barbas, com pedidas e tem aqueles chapéus e...
[69:12:38 - 69:14:18]:  O que que acontece?
[69:14:18 - 69:17:38]:  O mais iminente, entanto, é igreja de Tavar.
[69:17:38 - 69:22:38]:  Exatamente, toda a gente sabe que esta questão é complexa.
[69:22:38 - 69:29:18]:  Esta questão ali é complexa, que a Ocrania está num sítio, tal, numa posição.
[69:29:18 - 69:30:58]:  A Ocrania já foi...
[69:30:58 - 69:35:58]:  A parte da Ocrania já foi placa, a outra parte já foi um garado.
[69:35:58 - 69:40:58]:  Já foi um país, depois deixou de ser um país, passou a ser...
[69:40:58 - 69:44:18]:  passou a ser uma República Soviética.
[69:44:18 - 69:47:38]:  Agora, voltou a ser um país, mas é cremado...
[69:47:38 - 69:57:38]:  Há uma série de coisas, uma série de factos complexos que tornam aquela região,
[69:57:38 - 70:05:58]:  mesmo muito complicada e, portanto, às vezes, é difícil perceber o que se passa.
[70:05:58 - 70:09:18]:  Mas este senhor, este...
[70:09:18 - 70:10:58]:  Um patriarca que queriu...
[70:10:58 - 70:12:38]:  Tu poto.
[70:12:38 - 70:20:58]:  Eu sei quem é culpa desta guerra e é da parada do orgulho gay.
[70:20:58 - 70:24:18]:  Até que enfim, até que enfim, que alguém...
[70:24:18 - 70:25:58]:  As percava.
[70:25:58 - 70:35:58]:  Eu estava aqui em casa, quando é calga, vai dizer que culpa disto, é da parada do orgulho gay.
[70:35:58 - 70:39:18]:  E veio este senhor e...
[70:39:18 - 70:45:58]:  Espicar, como explicar-se, disse que era isso.
[70:45:58 - 70:47:38]:  Eu disse que...
[70:47:38 - 70:54:18]:  Aquelas paradas do orgulho gay são uma espécie de...
[70:54:18 - 71:02:38]:  A colherção de...
[71:02:38 - 71:07:38]:  Oblié-te para entrar no mundo ocidental.
[71:07:38 - 71:10:58]:  Ah, mas em um teste de realdade.
[71:10:58 - 71:12:38]:  Exatamente.
[71:12:38 - 71:19:18]:  Aquelas repúblicas, aquelas bravas repúblicas do...
[71:19:18 - 71:27:38]:  do leste da... da Ucrania, não querem que a orgulho gay e os nios...
[71:27:38 - 71:30:58]:  E por isso é óbvio que não podem...
[71:30:58 - 71:37:38]:  Será compatível a pedra-moxia com a recleração de Putin, segundo qual os dirigentes,
[71:37:38 - 71:42:38]:  o Cranianos são um banho de neonásis e de drogados.
[71:42:38 - 71:47:38]:  É um banho de neonásis e de drogados.
[71:47:38 - 71:52:38]:  É um banho de neonásis e de drogados.
[71:52:38 - 71:57:38]:  É um banho de neonásis e de drogados.
[71:57:38 - 72:02:38]:  É um banho de neonásis e de drogados.
[72:02:38 - 72:05:58]:  É um banho de neonásis e de drogados.
[72:05:58 - 72:10:58]:  É um banho de neonásis e de drogados.
[72:10:58 - 72:14:18]:  É um banho de neonásis e de drogados.
[72:14:18 - 72:17:38]:  É um banho de neonásis e de drogados.
[72:17:38 - 72:22:38]:  É um banho de neonásis e de drogados.
[72:22:38 - 72:25:58]:  É um banho de neonásis e de drogados.
[72:25:58 - 72:29:18]:  É um banho de neonásis e de drogados.
[72:29:18 - 72:30:58]:  É um banho de neonásis e de drogados.
[72:30:58 - 72:35:58]:  É um banho de neonásis e de drogados.
[72:35:58 - 72:40:58]:  É um banho de neonásis e de drogados.
[72:40:58 - 72:44:18]:  É um banho de neonásis e de drogados.
[72:44:18 - 72:47:38]:  É um banho de neonásis e de drogados.
[72:47:38 - 72:50:58]:  É um banho de neonásis e de drogados.
[72:50:58 - 72:54:18]:  É um banho de neonásis e de drogados.
[72:54:18 - 72:55:58]:  É um banho de neonásis e de drogados.
[72:55:58 - 72:59:18]:  É um banho de neonásis e de drogados.
[72:59:18 - 73:00:58]:  É um banho de neonásis e de drogados.
[73:00:58 - 73:02:38]:  É um banho de neonásis e de drogados.
[73:02:38 - 73:04:18]:  É um banho de neonásis e de drogados.
[73:04:18 - 73:05:58]:  É um banho de neonásis e de drogados.
[73:05:58 - 73:30:58]:  É um banho de neonásis e de drogados.
[73:30:58 - 73:35:58]:  É um banho de neonásis e de drogados.
[73:35:58 - 73:37:38]:  É um banho de neonásis e de drogados.
[73:37:38 - 73:40:58]:  É um banho de neonásis e de drogados.
[73:40:58 - 73:42:38]:  É um banho de neonásis e de drogados.
[73:42:38 - 73:44:18]:  É um banho de neonásis e de drogados.
[73:44:18 - 73:45:58]:  É um banho de neonásis e de drogados.
[73:45:58 - 73:47:38]:  É um banho de neonásis e de drogados.
[73:47:38 - 73:49:18]:  É um banho de neonásis e de drogados.
[73:49:18 - 73:50:58]:  É um banho de neonásis e de drogados.
[73:50:58 - 73:52:38]:  É um banho de neonásis e de drogados.
[73:52:38 - 73:54:18]:  É um banho de neonásis e de drogados.
[73:54:18 - 74:03:40]:  chama-se a guerra do mundo no jogo de palavras para evocar o célobre romance a guerra dos
[74:03:40 - 74:18:34]:  mundos de Gage EOLS no caso do romance Amiá sextriôr com uma invasão desta terrestres,
[74:18:34 - 74:28:28]:  mas o estudo de Neel Fargo-Cenaça serve para demonstrar que os verdadeiros prigos, como
[74:28:28 - 74:39:28]:  aliás, estamos a compreender e a comprovar, uma vez mais, são terrestres e estão bem perto
[74:39:28 - 74:50:58]:  de nós, terrenos. A guerra dos mundos é uma análise de telhada, a guerra do mundo,
[74:50:58 - 74:58:34]:  aliás, é uma análise de telhada à procura das razões que fizeram com que o século
[74:58:34 - 75:08:38]:  20, se tivesse tornado mais sangrante da história, quando tudo parecia indicar no início do século
[75:08:38 - 75:18:52]:  passado na Europa que se estava numa época de prosperidade em que a guerra já não
[75:18:52 - 75:30:04]:  faria sentido. Uma história que volta a repetir agora no caso do século 20, que inalizados
[75:30:04 - 75:38:38]:  são identificadas três componentes essenciais para explicar a inclusão da duas guerras
[75:38:38 - 75:48:56]:  devastadoras, não se fala na parada orgulho-guéi, são conflutétnicos, uma grande volatilidade
[75:48:56 - 75:57:48]:  económica e o declínio dos impérios. É uma análise muito larra, mas não vai ao fundo
[75:57:48 - 76:03:24]:  de questão. É a guerra do mundo de Neel Fargo-Cenaça
[76:03:24 - 76:12:48]:  com a edição de religidade. Ou Pedro Messia traz a edição de um romance que se rida
[76:12:48 - 76:17:48]:  a guerra. Sim, é um romance do Boa Mil-Rarabal,
[76:17:48 - 76:30:44]:  publicado em 1975. O Rarabal é um dos mais notáveis ficcionistas checos, que viveu nasismo,
[76:30:44 - 76:39:48]:  comunismo e que teve mil e um impregno, entre os quartos de ferroviário e este livre
[76:39:48 - 76:47:08]:  abasiado na sua experiência enquanto ferroviário é um livro passado no final da ocupação
[76:47:08 - 76:55:08]:  de uma aula luma. E é um livro que consegue, eu disse, um filme que também é um filme.
[76:55:08 - 77:02:32]:  É um filme importante aqui à adaptação deste livro, que consegue falar ao mesmo tempo
[77:02:32 - 77:19:32]:  da guerra do quotidiano, da resistência e do grotesco com um estilo muito centro-europêo
[77:19:32 - 77:28:28]:  e no época, esse que o meu ancondéra diz que o Rarabal é um dos seus mestres.
[77:28:28 - 77:37:40]:  O João Miguel Tavar sugera uma figura de uma guerra que nos é próxima. Sim, o Número
[77:37:40 - 77:47:56]:  Gossal de Poça escreveu o ano passado o livro que soube às FP25, foram de livros mais vendidos
[77:47:56 - 77:54:52]:  de não ficção portuguesa. E para os estes domulhos gostes, escreveu este pequeno livro
[77:54:52 - 78:02:40]:  dedicado a uma excelenda mata e significa que ele tem olho para as causas polêmicas que
[78:02:40 - 78:10:04]:  atravessam a sociedade portuguesa. E é um livro pequeno, não sei de uma investigação,
[78:10:04 - 78:19:48]:  realmente muita profundada em relação a figura de uma excelenda mata, faz um bom apanhado
[78:19:48 - 78:26:08]:  das coisas que foram sendo publicadas acerca dele e também das declarações que eu
[78:26:08 - 78:39:04]:  for fazendo, ao longo da sua vida, e também analisa a polêmica que seguiu após a sua morte.
[78:39:04 - 78:45:36]:  E portanto, é um bom resumo para quem quer perceber esta figura e também há alguns
[78:45:36 - 78:54:16]:  das polêmicas e das contradições da guerra colonial portuguesa e do tratamento que
[78:54:16 - 78:57:36]:  nós damos à sua memória.
[78:57:36 - 79:08:48]:  O Ricardo Arospreira traz um romance recuperado, digamos, do esquecimento de uma autora também
[79:08:48 - 79:12:08]:  que é ídia no esquecimento.
[79:12:08 - 79:20:52]:  Exato, sim, relacionasse mais ou menos vagamente com a guerra pro que o tratado de um mundo
[79:20:52 - 79:31:04]:  distópico é uma distopia... Eu pensava que as grandes distopias do século 20 eram o admirável
[79:31:04 - 79:41:36]:  mundo novo, 1974, e antes de todas o nós dos Amiatin, e esta chama-se "Ele", se é considerada
[79:41:36 - 79:52:28]:  uma obra perdida desta autora chamada "Kidick", que está a ser rediscovered agora.
[79:52:28 - 80:07:40]:  E fala sobre esse mundo em que eles, este estes eles, têm as opções habituais numa sociedade
[80:07:40 - 80:15:40]:  distópica autoritária, ou seja, a preenção de livros, etc., mas vão ligeiramente mais
[80:15:40 - 80:17:20]:  longe.
[80:17:20 - 80:29:16]:  Eles seguam os pintores, fazem com que os músicos fiquem surdos, queimam as mãos dos
