[00:00:00 - 00:08:20]:  Os livros da semana são patrocinados pelo novo Cooper formentor.
[51:03:20 - 51:11:40]:  A partir da parecia, uma acusação de uma abrangência tão grande em competência, que não é muito crível,
[51:11:40 - 51:23:20]:  mas é um péssimo sinal, porque é o continuado de norte de lidar com este caso,
[51:23:20 - 51:33:20]:  em que não bastava os crimes com tidos, o silenciamento dos crimes, o protelardo da investigação,
[51:33:20 - 51:46:40]:  mas agora são as duas comissões, a abulha uma com outra, enfim, foi, uma delas, aí começou, foi, a atual, e não a anterior.
[51:48:20 - 51:51:40]:  A atual, que foi criada pela Igreja Católica.
[51:51:40 - 52:00:00]:  Desvalorir, portanto, criando uma grande desconfiança sobre todo este processo.
[52:00:00 - 52:15:00]:  Que feita aqui o ataque da coordenadora deste grupo VITA, tem João Miguel Taváres sobre as conclusões que chegou a comissão independente,
[52:15:00 - 52:30:00]:  e que a implicação é que isso poderá ter no processo de indenizações de que tem, agora falava o Pedro Moxia, indenizações reclamadas pelas vítimas.
[52:31:40 - 52:40:00]:  É quem cima de tudo o que o Pedro disse muito bem, dá uma outra camada que é pilinho.
[52:40:00 - 52:43:20]:  Pois é isso, acho.
[52:43:20 - 52:58:20]:  E, ou seja, é que nós fiquem nos achar que esta nova comissão está a atual de uma managa, que nós não sabemos,
[52:58:20 - 53:11:40]:  que isto está a fazer por uma genuína de confiança ou desagrado, por terminar-te por setimentos,
[53:13:20 - 53:30:00]:  ou seja, tendo-la um objetivo que acaba-se de indenizações financeiras, se também não está a tentar baixar o valor da conta.
[53:30:00 - 53:33:20]:  Está a rever em baixo, o relator.
[53:33:20 - 53:46:40]:  O que eu acho no meio disso? O que eu acho no meio disso é que a Igreja consta uma comissão independente,
[53:46:40 - 53:53:20]:  e foi a ver, foi a um que era independente, mas passou gosto.
[53:55:00 - 54:05:00]:  E é só o problema, mas uma comissão que tem, o Labrino Lucio e o Pedro XIII, que tem Daniel Sampaio,
[54:05:00 - 54:15:00]:  e ainda bem que esta comissão foi feita, é que eles são das melhores pessoas que existem Portugal na sua área,
[54:15:00 - 54:21:40]:  é muito difícil ir além daquilo, portanto eu tendo a confiar mais.
[54:21:40 - 54:33:20]:  Como é que compatibiliza Ricardo Arosprega, esta tentativa de descalibilização do relatorio da comissão independente,
[54:35:00 - 54:45:00]:  o facto de o grupo Vita ter sido criado no MbT, o que é o play, a Igreja Católica.
[54:45:00 - 54:55:00]:  Primeira questão é complexa por cubismo, ornelas dentro de tanto de uma comissão independente,
[54:55:00 - 55:01:40]:  pelo menos no aspecto que é na ideia de factestar prevista à destruição dos dados.
[55:01:40 - 55:11:40]:  O problema agora é que este grupo Vita, que foi criado após a comissão independente,
[55:11:40 - 55:23:20]:  agora diz que gostaria ter acesso aos dados para então indemnizar as pessoas que estão a vir reclamar,
[55:23:20 - 55:31:40]:  a indemnização e eles querem reconcultar os dados para avaliar a indemnização e os dados não existem.
[55:31:40 - 55:48:20]:  E por isso há sugestões para fazer as pessoas contarem tudo outra vez, como sabe novo,
[55:48:20 - 55:58:20]:  né? Nesta, não sei já disse, mas na roada vem que apodrecemos, talvez há já lugar para isto, atenção.
[55:58:20 - 56:08:20]:  Eu tive aqui a fazer contas e se calhar, portanto, agora não, insêndios,
[56:10:00 - 56:21:40]:  agora essas alas são professores, cheias, talvez se possa ver aqui incluir as vítimas de abuso sexual na Igreja,
[56:21:40 - 56:30:00]:  um bocadinho lá no início do ano antes da privatização da TAP e dos insêndios através.
[56:30:00 - 56:33:20]:  Cateza de um guião, todo o programa até.
[56:33:20 - 56:48:20]:  E por isso uma vez que pelo juízo é preciso as pessoas terem outra vez a explicar que tipo de abuso é que sofreram com tudo que se implica.
[56:50:00 - 57:01:40]:  É que isso é que não é, mostrem outra vez que o papel não indiga a faixa por hora e diga outra vez que o traumatizou para a vida inteira.
[57:01:40 - 57:10:00]:  Exatamente, que é para a gente... Isso que é lá depois desta do grupo VITA, se calhar uma terceira comissão,
[57:10:00 - 57:21:40]:  se calhar estes vão só regulhar isto e depois haver uma terceira comissão que vai avaliar outras coisas, outros espetos.
[57:21:40 - 57:35:00]:  O Pedro Messia fica então ministro das Comissões, isto é a entrega das pastas ministrias para esta semana, altura para saber-mos
[57:36:40 - 57:45:00]:  que a de novo ele se declarar atrasado e é um atraso justificável ou que vai dar direito a falta.
[57:45:00 - 57:56:40]:  É um atraso justificado, não sentindo em que estava previsto, mas é um atraso tremado pro governo.
[57:56:40 - 58:08:20]:  Embraçoiro. Estamos a falar do atraso na entrega por parte do governo do plano de Orçamento Aldo Medio prazo em Bruxelas.
[58:08:20 - 58:18:20]:  Em certeza quanto orçamento para 2005 poderá alterar alguma coisa a ver com esta atraso, Pedro Messia.
[58:20:00 - 58:31:40]:  Muito outo porque tudo tem a ver com negociações de espézio receita e planos a médio prazo.
[58:31:40 - 58:38:20]:  Sabendo que o governo não tem esse que é médio prazo.
[58:38:20 - 58:43:20]:  Pois, não conseguem fazer planos a curto prazo.
[58:43:20 - 58:55:00]:  Por um lado, o próprio governo pode não ter planos a médio prazo, mas porque não existe médio prazo, pode deixar...
[58:55:00 - 59:01:40]:  E tem que, como acima de ser pra isso mesmo que o governo cair.
[59:03:20 - 59:23:20]:  Entretanto, que negociar como Bruxelas isso e deixar a porta aberta pra as negociações com as oposições disponíveis em Portugal,
[59:23:20 - 59:40:00]:  acho que não é adiar para 10 de outubro, quando tem que ser apresentado de 20 de setembro pro 10 de outubro.
[59:41:40 - 60:05:00]:  Eu acho que vai ser 9 de outubro às 23 e 50, porque vai ser muito complicado porque é em parte, porque por menos uma das oposições que é o PS, mas chega de outra maneira,
[60:05:00 - 60:23:20]:  as negociações que Bruxelas e as condições que Bruxelas há de querer não são necessariamente aquelas que o próprio governo cair e que as oposições cairam.
[60:25:00 - 60:48:20]:  É uma... vai ser uma manobra muito difícil e atenção, se muito negociar bem disto, é uma jogada de mestre, porque é quase impossível agradar a todas estas entidades que têm uma palavra a dizer.
[60:50:00 - 61:16:40]:  Mas as negociações entre o governo e a oposição foram interrompidas por causa dos incêndios durante esta semana, será isto um contratembro sério?
[61:16:40 - 61:33:20]:  Não, eu acho que quando se jogou o desfecho do orçamento, em primeiro lugar, e mais importante que tudo é mesmo Bruxelas, que é sempre aquilo que nós não acompanhemos.
[61:35:00 - 61:56:40]:  O nosso nos mosquinhas é a coisa mais interessante que está acontecendo. Caem Portugal, os meninos, os maninhos vão envirrando entre si, mas depois há o papá, há o papá que está lá fora, e é sé que conta.
[61:56:40 - 62:15:00]:  E as novas regras orçamentais, eu não sei bem como é que elas são compatíveis, com os aumentos totes que o governo já pronteu, é muito, muito difícil.
[62:16:40 - 62:26:40]:  Eu não sei que Bruxelas ainda vinha dar um mais de ajuda ao Pergnuno e diga essa coisa de erre, esse chove não há dinha para isso, nada.
[62:26:40 - 62:40:00]:  E neste contexto veio a público, esta semana, um recado de blen, noticiado pelo Corre da Manhã.
[62:40:00 - 63:03:20]:  Se o orçamento não passar, o presidente volta a dissolver o Parlamento, foi o que escreveu Corre da Manhã, quem aquele parece ser recada ao espereiro principal alvo desta pressão política de Marcelo.
[63:05:00 - 63:11:40]:  Eu acho que é a minha paciência, o alvo desta pressão política, porque...
[63:11:40 - 63:21:40]:  Porque é o Atlamento, mas seria a terceira dissolução em quatro anos, não.
[63:21:40 - 63:31:40]:  Eu não sei se já falei na roda, na roda em que...
[63:31:40 - 63:36:40]:  É que é por isso sempre, né? É cada noguínes.
[63:36:40 - 63:41:40]:  Em senhende e cheias regressas aulas que por isso temos?
[63:43:20 - 63:58:20]:  E agora a dissolução? É a altura da... Eu não estava a contar com esta, porque foi, ouve dois anos de distância entre a primeira e a segunda.
[63:58:20 - 64:06:40]:  Um ano de distância entre a segunda e a terceira, esta agora, é...
[64:06:40 - 64:11:40]:  Seis-meis, necessitamente, eu acho que...
[64:11:40 - 64:15:00]:  As vezes há aquela inserida.
[64:15:00 - 64:18:20]:  Se gidi cada vez de moramento de tempo.
[64:18:20 - 64:21:40]:  Olha, não é para todos.
[64:23:20 - 64:35:00]:  É incrível, é incrível. Eu acho que havia a ver de introduzir, com a instituição, um período refratário da dissolução.
[64:35:00 - 64:43:20]:  A polícia que é a política, temos que aumentar.
[64:43:20 - 64:46:40]:  Com a instituição, pensou bastante.
[64:46:40 - 64:48:20]:  Temos aumentado.
[64:48:20 - 65:03:20]:  Estás gostando porque a que o Pedro Muxia se declara atrasado, o João Miguel Tavárez diz sentir-se ilícito que é explicar isso a início.
[65:03:20 - 65:06:40]:  A início.
[65:08:20 - 65:28:20]:  Eu tenho porque a designação da investigação em curso na madera que recai sobre o círculo próximo de Miguel Alboquerque e que fez 8 detenções esta semana.
[65:28:20 - 65:41:40]:  O que está em causa são alegadas maroscas ilícitas no âmbito do PSD Madera.
[65:41:40 - 65:51:40]:  Isto complica a vida de Miguel Alboquerque, que é difícil, ela estar mais complicada.
[65:53:20 - 65:56:40]:  Não, é sempre possível complicar mais um cadinho.
[65:56:40 - 66:06:40]:  Elantinho, o ABN, significa desde o princípio, desde o começo, desde que o mundo é mundo.
[66:06:40 - 66:21:40]:  E desde que o mundo é mundo, um partido que se perpetua no poder durante décadas, vai se erudindo como está a acontecer ao PSD da madera.
[66:21:40 - 66:31:40]:  E o que vamos ver esta opressão, por um lado, é menos vistosa do canterior.
[66:31:40 - 66:41:40]:  Mas ainda assim, foi um português de 8 pessoas, incluindo um antigo secretário original, um presidente da Câmara.
[66:41:40 - 66:50:00]:  E depois, essa maroscas, como tudo se chama, se reparar, é um padrão maroscas.
[66:50:00 - 66:55:00]:  Alogada maroscas, é um padrão maroscinto.
[66:55:00 - 67:20:00]:  Porque a maroscas é, passou a ser, a maroscas deve ser o, não sei, o modo autônia-inverno da corrupção em Portugal, que é o concurso público, simulado, que serve para pagar favores.
[67:21:40 - 67:31:40]:  Mas é uma espécie de apagência de legalidade. Mas é verdade.
[67:31:40 - 67:50:00]:  Mas é verdade, é que as autoridades colocarem um cair em bem-sima disso e disseram que conduitas consideradas como criminalidade, altamente organizada.
[67:50:00 - 68:10:00]:  E o que acontece, ó, o senhor Miguel Lápqueer, este é o problema das pessoas diminuídas politicamente, é que nós temos a sensação que está evidentemente muito mais preocupada hoje em dia a portuger,
[68:10:00 - 68:13:20]:  e é o próprio do campo de jose interesses da madagra.
[68:13:20 - 68:28:20]:  Ele agora já não é, pareceu publicamente, fez um comunicado e nesse comunicado, reajou dizendo que está a ser atacado no seu bom nome.
[68:28:20 - 68:38:20]:  Como é que encarou esta autodofesa de Miguel Lápqueer?
[68:38:20 - 68:58:20]:  Eu já conheço o roche, eu tenho um micro-roche. Era meu colega enfoculado e o carro do roche tinha levado uma castada na porta da frente,
[68:58:20 - 69:20:00]:  lá direita que tinha esfregado a porta de trás de lado esquerdo, num pilar. E o mês namorada tinha escrito uma com uma chave, uma mensagem bastante longa e a Zeta no capo do carro do roche.
[69:20:00 - 69:28:20]:  E às vezes a gente estava conversar e quem sempre gostava do carro do roche, ele diz "eu, olha aí, não me reisque o carro".
[69:28:20 - 69:40:00]:  Nós estamos vendo aqui o que é chegar com este do bom nome do Miguel Álbum, quer?
[69:41:40 - 69:53:20]:  A gente já se sente que é como Jesus Cristo, sempre como a parabola, sempre como a parabola, sempre como a parabola do roche.
[69:53:20 - 70:01:40]:  Como sempre, o exército vivemos ser mais como Jesus Cristo, fica esta do roche.
[70:01:40 - 70:21:40]:  Depois disso, e de uma investigação anterior ter levado eleições anticipadas, vê alguma possibilidade de pedermostir a do Governo Regional, já está politicamente prequelitando resistirem funções.
[70:23:20 - 71:00:00]:  O que eu espero é que não atalize, espere em vão, não atalize o argumento sobre os eleitores já decidiram, os eleitores não decidem, os ações judiciais e, portanto, se o caso voltar espera-se com a mais substância do que pareceu da primeira vez, então, o Governo traquei.
[71:01:40 - 71:30:00]:  Continuar alimentar um fulho tinto, já dura algum tempo, já sabemos porque o João Miguel Tavá, se considera ilícito, agora rapidíssimamente, vamos tentar perceber porque recarda-a a ospreira, se sente o diventino, a título pessoal, como membro do Governo.
[71:30:00 - 71:50:00]:  Em várias qualidades, em todas as qualidades, se um sinto o diventino, o Carlos, o que aconteceu foi que o Nuno Melo, ministro da Defesa, e ele olhou a volta e pensou, "hora bem, o orçamento em princípio está".
[71:50:00 - 72:25:00]:  O regressa das aulas, também, está tudo tratado, aquilo da prisão, já ninguém lembra, o ver está tudo correto também, se calhar é altura de abrir aqui um dossier, que eu acho que é prioritario, ninguém ligou nenhuma,
[72:26:40 - 72:50:00]:  as pessoas ligaram durante cinco minutos só para dizer, "tira lá Ispa", e eles chegou a casa e, obviamente, eles que viam no Twitter, falar como no atualidade, não era nessa qualidade.
[72:50:00 - 73:15:00]:  A única pessoa que respondeu e a atenção não tinha se, não tinha certeza de que isto seja bom, porque realmente deu-lhe atenção, mas foi, para entendo, é o ministro da Defesa Portugal, o alcaide de olivência.
[73:15:00 - 73:56:40]:  - Que lisa assim, olha aí, Nuno, fala como está com o exilante. - Sentido o Estado, sentido, sentido o Estado, até foi bastante diplomático, o alcaide de fã, mas uma pessoa, um ministro, o var uma lição do alcaide de olivência, que nesse que era o demadrinho, o Barcelona, o alcaide de olivência.
[73:58:20 - 74:11:40]:  - E ainda por cima tão ser bem-gão-vognados, né? - Então ser perfechado, é perintente. - E depois vieram no estes hermanos com os canaderes ajudar-se.
[74:11:40 - 74:43:20]:  - E aí, de se mesmo? - Bom, vamos aos livros. São as outras livros na semana passada, não houve estas企beiras já, não houve o trago, um livro que teve uma edição no final dos anos 80 do século passado, já há muito tempo, na altura publicada pela saudosa editora Coutuvia,
[74:45:00 - 75:15:00]:  em tempo fora das livrarias e que reaparece agora numa nova edição com uma nova tradução, de vaneios do caminhante solitário, é a última obra de Jean Jacques Rousseau, e é uma espécie de pilos das confissões, é um livro considerado às confissões.
[75:16:40 - 76:01:40]:  - E aí, na primeira autóbiografia moderna, neste caso, nos devaneios do caminhante solitário, encontramos as reflexões de um homem do século 18, que depois ter pensado muito sobre a sociedade, em que vivia e sobre a organização da sociedade, mesmo que de forma em muitos aspectos controversa, encontrou na natureza e nas caminhadas pela natureza, o espaço de refúgio não havia, em sêndios flores de tais, à volta de certeza,
[76:03:20 - 76:45:00]:  o espaço de refúgio e o afastamento que necessitava depois de uma vida turbulente de combate político, um livro bucolico anunciar o temperamento, o temperamento que, em certo sentido, antecipou o período do romantismo, de vaneios, do caminhante solitário, de Jean Jacques Rousseau, tradução de Miguel Serra Espreira e edição antigo.
[76:46:40 - 77:35:00]:  - É verdade, eu, estas férias, entre as várias coisas que andei fazer, andei entre oito com a obra de Tayo Matsumoto, que é um japonês com muita obra, a que indica que os turcos são lentos, os japoneses são rapidíssimos, produzem, não mangá na banda desenhada japonesa, não só em grande quantidade com uma em grande qualidade, e este caso do Matsumoto, que tem uma particularidade que ele tem um traço, é um grande desenhador, é um grande contador de histórias, o traço dele é muito europeu, tem um toque, eu fui muito afilanciado pela BD,
[77:35:00 - 78:18:20]:  e este sânico, que saiu entre os vúmps na dever e estudo junto, da pai, cada vúmpto em quase 5 em estas páginas, portanto ainda é uma leitura longa, mas é muito preserosa, muito sensível, é sobre uma casa da colhimento para crianças orfas a banana, a banana de este sânico é um carro velho, que serve de refúgio para as crianças, e também para a sua imaginação.
[78:18:20 - 78:36:40]:  Eu já disse que há uma série hoje em dia, que também se chama Sani e que também é a japonesa, mas não tem nada a ver com isto, vale-me essa pena Sani de taio Matsumoto, me disse.
[78:36:40 - 78:48:20]:  O Pedro Messia propõe um livro muito ao oportuno, o contexto pre-eleitoral, ou eleitoral, na art americana.
[78:48:20 - 79:36:40]:  Os temas que mais distinguem os debates americanos, os debates do resto do europeu, o resto do mundo, o resto do mundo, que é a questão das armas, eu penso que é o último livro que o Paulo Ássefra publicou em 2023, que sembla bem de Sani americano com fotografias, nos animados, se pensaram ao Stranger, que têm a particularidade de serem fotografias sobre lugares onde o ovo, amicídios em massa, mas onde não há, nem vítimas, nem incriminados nem armas, só estão os locais,
[79:36:40 - 80:25:00]:  como se fossem lápides que perpetuam essesítios, e o Paulo, ou seja, no texto dele na descute várias coisas sobre a cultura das armas e a passagem dele, o convívio de algumas pessoas que viviam nessa cultura e a capacidade dele tentar perceber, porque aqui isso acontece, fala dos 80% de mortes atiros dos países desenvolvidos nos Estados Unidos, dos 333 milhões de armas disponíveis, e, finalmente, descuto uma questão importante.
[80:25:00 - 81:10:00]:  Que é a questão constitucional, porque estão das armas, resido numa emenda, a emenda fala em militias, e ele descute se militias não tenham a ver com a questão do estado dos Estados Unidos inicial, onde hoje não há militias há autoridades, e há cidadãos, e, portanto, se até do ponto de vista constitucional, é que estão onde deve ser outra passada.
[81:10:00 - 81:25:00]:  Bem de sangue americano, polóster e o Ricardo Arospreira, atrás dois livros que, aparentemente, não tem nada a ver com o outro, mas, a moção, catalgo-se de disposições.
[81:25:00 - 81:58:20]:  Exatamente, um chama-se António, cinquatâneos de humor, e uma exposição que, de qual já falamos aqui, que é do cartonista António, e outra que é o catalo da exposição, a melcar que é a melcar que abrar uma exposição irritado no âmbito da celebração dos cinquatâneos do 25 de abril, como estamos no ano dos cinquatâneos do 25 de abril e dos 500 anos do camões.
[81:58:20 - 82:03:20]:  E que era um que era o outro, sobretudo do camões, não é?
[82:03:20 - 82:16:40]:  Eu já não estarei cá quando os ingleses festeixarem os 500 anos dos Shakespeare, e por isso não vou ver, mas sei que vamos passar uma vergonha.
[82:16:40 - 82:28:20]:  Mas, enfim, mas é o ano dos cinquatâneos do 25 de abril e todos os protestos são bons para festejar.
[82:28:20 - 82:43:20]:  Se se concluir mais de uma regineira humanal, dois ou três, a mesma hora, os mesmos, sempre também em podcast, peda-me xia João Miguel Tavárez e Ricardo Arospreira.
[82:43:20 - 83:30:00]:  [Música]
