[00:00:00 - 00:07:48]:  Esta semana João Miguel Taváres declara-se de linkwente.
[47:55:14 - 48:15:14]:  Essas reparações, então reparações, seja por colonialismo, vocês tentam por escravatura, foi abolida, não sei quanto tempo, e que notes, foi abolida pelo homem branco em primeiro lugar.
[48:15:14 - 48:43:34]:  É bom ler para isso, foram, foi a consciência dos países occidentais que chegou a um pontal evidentemente, com revoltas negras, com a ati, com tudo isso, mas que chegou a um pontal, que dizem isto, é humanamente inaceitável.
[48:43:34 - 49:15:14]:  E isto é éticamente inaceitável, e portanto foi aí que aconteceu, e, neste caso, já se fizeram até, em boa medida, algumas reparações, embora, ao mesmo tempo que estávamos inmunizar notes, estavam inmunizar ainda as pessoas que tinham escravos.
[49:15:14 - 49:45:14]:  E a partir daí, continuo a uma história, cuja matemática é absolutamente impossível de fazer, impossível de fazer. E, portanto, não somos novos em 2024, que vamos certamente conseguir chegar a um valor a dizer "ah, este país agora amarece recebeixis".
[49:45:14 - 50:13:34]:  Mas, espere, não merece recebeixis, mas quem é que vai recebeixis? É o povo? Ou vamos dar aquilo a azelites corruptas e cleptocratas que muitas vezes hoje em dia mandou-nos aqueles países? É essas azelites que nós vamos dar a este dinheiro, como é que se faz essa matemática? É uma coisa impossível.
[50:13:34 - 50:28:34]:  Aliás, é impossível a univele infantil, é univele infantil. Tudo o resto, os museus, apoiar as pessoas, a cooperação que existe.
[50:28:34 - 51:03:34]:  E, evidentemente, deve-se feito, deve-se ir por um vídeo. Desculpa, deixa-me só que eu vá aqui para ajudar a se estomendo-nos a avisar que nós assistimos aqui, que são, é uma exárbela de sosa que está a falar nisto, e vem a Portugal, ou seja, o presidente Angólico, o presidente do São Bicol, o presidente Calvver, o presidente do presidente do São Temen e o presidente do presidente do presidente do Timor, e ninguém fala em repagüções.
[51:03:34 - 51:35:14]:  Este é um assunto, evidentemente, complexo. Aliás, não é um assunto que não é, o maior exárbela de portuguesa, foi agora associado pela intervenção do presidente da República, que está também a acontecer nos vários países de Europa que tiveram empérios comuniais, como que resumiria as posições em confronto.
[51:35:14 - 51:50:14]:  O presidente do Comforção, a sua favorda de bate, e que estava e tendem quanta que as questões serem, e merecem, em debate sério.
[51:50:14 - 52:15:14]:  E, portanto, não se estamos a conseguir-lo aqui, porque as posições em debate, o debate foi o ponto à pedaçaída. Neste caso concreto, é um debate que vem de trás, mas, neste caso, a razão placoal, estamos a falar de ela essa semana, é porque o senhor presidente da República, no Mb,
[52:15:14 - 52:30:14]:  e o Mb, e o Jantar, em que chamou rural ao primeiro ministro, o lento ao primeiro ministro anterior, e mal criado ao filho.
[52:30:14 - 53:00:14]:  A certa altura, ele levantou a tema das reparações, e isso que eram devidas, mas não disse como é que se calculavam, em que consistiriam, a quem seria pagas, e por outro lado.
[53:00:14 - 53:33:34]:  - E todos foram o tema na agenda, né? - Sim, mas o tema na agenda, mas... - Mas de uma forma tabalhada, e depois, se estava às a resposta mais vocal, se calhar foi a de André Ventura, que respondeu, dizendo que tinha orgulho na história de Portugal, que não estava de realmente em causa aqui.
[53:33:34 - 53:51:54]:  E há uma questão com isto, do orgulho na história de Portugal, que é provavelmente por falência da nossa estima de ensino. O Ventura esquece sempre que o 25 de abril faz parte da história de Portugal.
[53:51:54 - 54:03:34]:  Deve ter sido daqueles casos, gente, que é, vocês que aí aconteceu na nossa geração, João Miguel, que chega aquela programa de história...
[54:03:34 - 54:10:14]:  - Nunca desaglava no 25 de abril, nunca se falte. - Nunca se falte.
[54:10:14 - 54:28:34]:  Isso que a Lheroventura imagina que o 25 de abril não faz parte da história de Portugal, mas faz. E para quem ama, para quem ama a história de Portugal, é uma altura da história que ele devia amar também.
[54:28:34 - 54:43:34]:  O Pedro Bixia, fica assim, ministro de reparação, evidentemente, estão a suco que há de ter a sequência, estão a entregar das pastas ministriais por esta semana.
[54:43:34 - 54:58:34]:  Agora, vamos saber por o que é que o João Miguel Tavára se declara de link com o antisentense, pronto para vestir uma farda, João Miguel.
[54:58:34 - 55:06:54]:  Acho que já estou velho de país, sou eu nunca percebo fardas, não é verdade? Mas enfim, mas...
[55:06:54 - 55:21:54]:  Vamos fazer um breve inventário do que está em causa nesta polêmica desencadeada por uma ideia lançada pelo ministro da defesa, no Numelo.
[55:21:54 - 55:36:54]:  Por pequenos litros depois são metidos numa instituição, que a meu parte de casos só desconceiona como uma escola de clima de vida.
[55:36:54 - 56:03:34]:  Quantes destes jovens é que se investe estarem às vezes ali institucionalizados em nenhuma condição, se possuem cumprir um serviço militar, ter uma oportunidade de exercícios que é de formação, que é de autoridade, que é de valores, não podiam nisso ser mais tarde, se idade aos muito melhores.
[56:03:34 - 56:20:14]:  A ideia do ministro da defesa para resolver o problema da falta de efectivos no exército não foi bem recebida pelo os militares.
[56:20:14 - 56:30:14]:  O porta-vós do discontentamento da tropa foi o presidente da Associação Nacional de Sargentos.
[56:30:14 - 56:43:34]:  Forçado armadas não são uma instituição corregional nem uma instituição de reininferção social.
[56:43:34 - 57:00:14]:  Não há muito tempo atrás para significar nas forçado armadas, era necessário ter um registro criminal absolutamente limpo.
[57:00:14 - 57:15:14]:  Este é a ideia de que faz me lembrar um pouco, a ideia do senhor potinho ir buscar os prezores, as prezores para os mandar para frente com o mar.
[57:15:14 - 57:41:54]:  Os militares não perderão tempo a reagir à Associação do Ministro da Defesa, como vimos, o que levou de miliatur no nemelho a fazer marxar atrás e a ver dizer que o que propôs era final, apenas uma ideia no ambit acadêmico, que não havia qualquer decisão do governo nesse sentido.
[57:43:34 - 57:50:14]:  O que é que sobra depois de tudo isto irá da lente para os militares?
[57:50:14 - 57:58:34]:  Sobra não sobra nada porque no nemelho colocou rabinhas pernas e voltou para caserna.
[57:58:34 - 58:15:14]:  Mas eu que é que sublinhar esta oportunidade, que não vai acontecer muitas vezes, deu, possivelmente vir defender o pensamento no nemelho.
[58:15:14 - 58:31:54]:  Eu tenho não especialmente boa a opinião no nemelho e acho que ele nem sequer deveria ser ministro da Defesa, mas preocupa-me uma questão que é...
[58:31:54 - 58:58:34]:  A maneira como isto foi colocada e a maneira como toda a gente imediatamente saiu que eu em cima do homem, faz-me preocupar e não é de uma maneira sofisticada, não é de uma maneira elaborada, não é de dizer "olha, eu vou te explicar porque aqui esta a mais ideia".
[58:58:34 - 59:10:14]:  Por isto, por isto, hoje reações que nós ouvimos são os deste tipo, mas esta agora é uma rinse, é para a rinseção social.
[59:13:34 - 59:28:34]:  E a ideia é "me isto agora é como quer fazer o mesmo que o Putin, mas para qualquer pessoa que se interesse ligeiramente por história, é por cinema".
[59:28:34 - 59:45:14]:  A ideia do nemelho não só não é para você usar como a história, a história desde o início da que são as faças armadas e do exercito.
[59:45:14 - 60:10:14]:  Ou seja, a ideia ainda por cima do nemelho estava a falar de jovens estesionalizados e estava a falar daquela maneira paternalista do jano rapaz, tu precisas mesmo, ter aqui uma educação, nos termos e tal e tu vas-te indireitar.
[60:10:14 - 60:36:54]:  Não está a dizer que era o proponho dos dois mil e quinhentos, resolveu-me de uma vez patifos e não é só na Rússia.
[60:36:54 - 61:03:34]:  Então, a legião estrangeira, a mídia que a legião estrangeira, quando desfemos livros de falar disso, a ideia de alguém que encontra o assassino que de repente vai após ela, se tem contra a sua redensão no campo batalha, é uma história que existe desde o início dos tempos.
[61:03:34 - 61:26:54]:  Agora, é uma ideia parva, ela pode ser, até porque eu não percebo o suficiente do assunto, aquilo que eu, a razão pela qual ela atraque para aqui, é ela não é tão parva ao ponto de justificar este tipo de reações.
[61:26:54 - 61:51:54]:  E para quem acha que, de vez em quando podiam surgir, assim umas ideias nos passe público e que essas ideias conheciam-se que há sido discutidas, a maneira que uma vigor nas reações, das redes sociais caem em cima das pessoas, até ao ponto que o geralmente campino não enxerca o tempo,
[61:51:54 - 62:00:14]:  - De repente, campino, no inmel ou de repente... - O mental também não parecia muito firme na ideia por hoje, porque...
[62:00:14 - 62:08:34]:  - Eu ouvi a ideia de... - De imediato, descará apenas uma ideia para debata a caderno.
[62:08:34 - 62:31:54]:  Eu ouvi as declarações todas, as declarações são... Estas declarações acabaram com uma salva de palmas da sala, porque ele realmente estava a defender os pobres jovens e socializados, tem uma nova oportunidade na vida, aquilo acabou com palmas, ninguém...
[62:31:54 - 62:41:54]:  Mas a maneira como é apresentado, parece impossível, mas acabou com palmas e eu leia, acho que é uma ideia que ele já tinha em antiga.
[62:41:54 - 62:56:54]:  É pena não ter a curagem, e isso assim dá-lhe uma ideia ainda de maior superficialidade, não tem tanta decoração, mas pegue aqui.
[62:56:54 - 63:10:14]:  Eu vou explicar o que aqui existe, olha, já agora, existe esse que é da Inglaterra, existe nos Estados Unidos, até se fazem uns bootcampos, para exatamente pós mildios.
[63:10:14 - 63:23:34]:  Há muitas maneiras de fim daquilo e, sobretudo, acho que há maneiras de bater e ideias, digamos assim, surpreendentes.
[63:23:34 - 63:25:14]:  Mas não é tão...
[63:25:14 - 63:26:54]:  Retiro a surpresa da Dada da Dada da Dada.
[63:26:54 - 63:41:54]:  Quase e, entretanto, confrontada com as declarações de ministra da Cereza, a ministra da Administração Interna foi apanhada na curva.
[63:41:54 - 64:00:14]:  O senhor ministro falou daquilo que tem, portanto, que sabe do seu ministério e, obviamente, que falou em nome de todo o governo.
[64:00:14 - 64:26:54]:  E portanto, portanto, aquilo que temos que admitir é que todas as soluções, toda é a intenção do governo implementá-las, da vitales ao atual contexto.
[64:26:54 - 64:46:54]:  A Ministra Margarida Blasco assumir que as palavras do Nuno Mel vinculavam o governo inteiro, ainda antes do próprio Nuno Mel, vira de admitir depois que aquilo vítico lá.
[64:46:54 - 65:11:54]:  Não será aposta em prática, travid por uma mexia e ex-nuidade política, por parte da ministra, a responder publicamente a respeito desta sunto que, por isso isto, ela manifestamente desconhecia.
[65:11:54 - 65:33:34]:  Sim, acho que ela tem que se familiarizar com o conceito futebolístico, que está para cáncer, porque esta pergunta era uma pergunta...
[65:33:34 - 65:36:54]:  O da falta entre a gente, mas é isso.
[65:36:54 - 65:41:54]:  Que também o deu a falta entre a gente.
[65:41:54 - 65:50:14]:  Não vou dizer falta, porque falta uma infração enquanto está para cáncer não.
[65:50:14 - 66:00:14]:  É desconforçar, é dizer, falando de sotral, etc. Eu acho que há algumas coisas diferentes.
[66:00:14 - 66:15:14]:  Substancialmente não parece boa ideia, a ideia das forças armadas como um castigo, um reformatório ou que é que seja.
[66:15:14 - 66:18:34]:  São duas coisas diferentes, naturalmente.
[66:18:34 - 66:31:54]:  Mas a piora ainda é que se avance como ele é o resto de para fazer marcha atrás, isso não é muito...
[66:31:54 - 66:51:54]:  Ou seja, o problema é que a pasta da defesa foi da VOSCDS, porque a uma daquelas pastas sobrania que tradicionalmente interessa a VOSCDS,
[66:51:54 - 67:01:54]:  que é para para o CNS, ou seja, a VOSCDS, direita se quisermos.
[67:01:54 - 67:15:14]:  Mas isso não equivale, que seja necessariamente uma pasta que tem que ser do CNS, e a pessoa não for a mais ennincada.
[67:15:14 - 67:36:54]:  Eu não creio que, acho que o número não tem que termos em que a guerra não é uma palavra longe, não creio que o ministro da defesa possa exibir sinais de ligereza,
[67:36:54 - 67:50:14]:  mesmo que não assumiu de nada a ver com a guerra de regimentes, mas tem a ver com a área de tutela, e portanto acho que uma moca de mais de gravitas,
[67:50:14 - 67:56:54]:  no ministro da defesa, de mais de censura, digamos assim, era importante.
[67:56:54 - 68:20:14]:  A questão do recrutamento não foi o único momento de protagonismo de Nuno Mela esta semana, o ministro da defesa demonstra dificuldades com a sigla NATO.
[68:20:14 - 68:50:14]:  Estogalamos uns poucos membros ao início de países fundadores da NATO, que como bem sabem hoje são 32 países, sendo que no artículo 5 do tratado de Atlético Norte.
[68:50:14 - 69:35:14]:  A NATO, em português, ou até a organização do tratado do Atlético Norte, rebatiizada por Nuno Mela desta forma que ouvimos, seguindo o mesmo método tem sugestões recarderam o espreiro para uma revisão de siglas de grandes instituições nacionais ou internacionais de moda por Parmos trabalho ao ministro da defesa.
[69:35:14 - 70:15:14]:  O que é assim, de repente são duas ideias muito inovadoras do Nuno Mela esta semana, e esta, vamos começar por esta então, eu creio que esta organização do tratado do Atlético Norte pode perfeitamente entrar em combinação com uma organização das natações unidas, calear, e vir aí, de repente tens o Atlético e tens a votação, e enfim...
[70:15:14 - 70:46:54]:  - E esta, eu sou uma espécie de olimpia das militares, mas eu acho que, ao contrário do Jumig, ela é uma espécie normal, cair em cima, cair em cima, não, não crescia assim, não, tipo, e uma coisa, eles outros cair em cima, e cair em cima da algum ministro da defesa, é bom, mas cair em cima é, não, não está preparado mesmo, mas a sua ideia é...
[70:46:54 - 71:35:14]:  - Mas eu acho que, neste caso, a ministra não tem nenhuma crítica a fazer aquela ministra que disse que concordava com o senhor ministro porque o governo que fez aqui foi exatamente como um batalhão, é para avançar, avançarmos todos, é para recuar o reconho de outra vez, é o senhor ministro, neste contexto, e agora quando ele disse, afinal, não, eu não tenho que concordar com isso.
[71:35:14 - 71:43:34]:  - Eu não vou procurar com ele neste contexto, acho isso bem, o meu problema é o seguinte, é que...
[71:43:34 - 72:15:14]:  - Isso não é, primeira vez, eu já tenho visto que os nossos presidiários deviam ajudar na agricultura, limpar as matas, e agora ir para a tropa, eu receio que de que Portugal tenha defice de presidiários.
[72:15:14 - 72:20:18]:  Sim,玲 ' quantitative piel Hamburgistan'
[72:20:18 - 72:33:28]:  Abor o tempo, tubo.
[72:33:28 - 72:40:26]:  A água Latos Maria.
[72:40:26 - 72:43:40]:  Tinha corred dreams?
[72:43:40 - 72:47:48]:  cultivos labourais?
[72:47:48 - 72:51:04]: ão barulho e seulement habilitamos
[72:51:04 - 72:53:50]:  Na Curinha Fauder e...]
[72:53:50 - 72:55:34]:  Paris.
[72:55:34 - 73:01:24]:  R$ 6000.
[73:01:24 - 73:04:58]:  r submerged para eu vlogging com ela.
[73:05:10 - 73:08:30]:  Ainda é a questão do esqueleto.
[73:08:30 - 73:11:50]:  A história é meio?
[73:11:50 - 73:15:10]:  A gente viu essas histórias de mil vezes.
[73:15:10 - 73:18:30]:  É certo, mas parte é nesse sentido.
[73:18:30 - 73:20:10]:  A resistção.
[73:20:10 - 73:25:10]:  Porque a João Miguel Tavares se declara de link oento.
[73:25:10 - 73:28:30]:  Pedra-me xia, deixa-me sentir-se na bolha.
[73:28:30 - 73:31:50]:  Temos que acelerar agora.
[73:31:50 - 73:38:30]:  Na bolha para comentar o que já sabe sobre o novo canal televisivo
[73:38:30 - 73:45:10]:  de notícias do grupo, que também tenho correda amanhã.
[73:45:10 - 73:48:30]:  O que conclui Pedra-me xia?
[73:48:30 - 73:53:30]:  Tenda em conta o elenco de figura já anunciado.
[73:53:30 - 73:56:50]:  António Costa, Fernando Medina,
[73:56:50 - 74:01:50]:  Ruí Rio, o Cardião América Guiar,
[74:01:50 - 74:08:30]:  Luis Paixão Martins, Graça Freitas e Eugso Suar.
[74:08:30 - 74:11:50]:  Acho que não me esquecido de ninguém.
[74:11:50 - 74:15:10]:  Dos nomes que foram anunciados até o momento.
[74:15:10 - 74:25:10]:  O para citar o padrinho, oenco se tenta sair puxando e devolta a pedendo.
[74:25:10 - 74:30:10]:  E, de facto, eu gostava de passar com a questão da bolha.
[74:30:10 - 74:33:30]:  Porque faz a gente falar mal em graça,
[74:33:30 - 74:38:30]:  que a quantidade de pessoas que falam mal da bolha e que potente se habita.
[74:38:30 - 74:43:30]:  E, ao contínuo, politico e ambiático.
[74:43:30 - 74:58:30]:  Eu não vejo que, que haja uma, digamos assim, um problema entre isso,
[74:58:30 - 75:06:50]:  que, em que políticos passem documentadores, documentadores, passem políticos.
[75:06:50 - 75:20:10]:  É não ser que, quando estão numa dessas funções, estesjam nessa qualidade.
[75:20:10 - 75:26:50]:  Isto é o problema não é que uma pessoa passem politico a manhã,
[75:26:50 - 75:30:10]:  e não via seguinte documentador ou contrário.
[75:30:10 - 75:40:10]:  Mas, que quando estão numa das funções, seja que o que é um comentador a comentar
[75:40:10 - 75:45:10]:  e um politico, agir politicamente, com o marcanilo.
[75:45:10 - 75:46:50]:  A politicar.
[75:46:50 - 75:51:50]:  A linha programática é politicar.
[75:51:50 - 76:01:50]:  Agora, não vejo nenhum problema, não deixe certamente não menurizo
[76:01:50 - 76:10:10]:  um comentador a ser politico, nem um politico por vir documentário.
[76:10:10 - 76:16:50]:  Da a Mireia, que a se trans e tem um transito imperfecto,
[76:16:50 - 76:23:30]:  em que a pessoa, basicamente, não é um pouco clara quente que tem.
[76:23:30 - 76:28:30]:  Mantenha o mesmo tempo a quem isol e o fato de superar o membro baixo.
[76:28:30 - 76:33:30]:  E, se eu acho que tem que se escuriar um indumentário.
[76:33:30 - 76:38:30]:  Vamos lá ver como é que isso resulta no novo canal.
[76:38:30 - 76:41:50]:  Gostou do novo canal?
[76:41:50 - 76:45:10]:  News No.
[76:45:10 - 76:53:30]:  O canal News No, Carlos Nomes e Nínglis, deixe-me sempre extremamente happy.
[76:53:30 - 76:58:30]:  Eu acho que é excelente para Portugal.
[76:58:30 - 77:10:10]:  Fico especialmente curioso para saber por que há colunas de crítica de televisão
[77:10:10 - 77:20:10]:  no correda manhã, que, e bem, assim, não lá, digamos, algum ridículo.
[77:20:10 - 77:25:10]:  O facto da CNN ter o break of the news.
[77:25:10 - 77:33:30]:  Tal Hollywood, breaking news, e agora, eu vou gostar de ver o que é que com a mesma razão,
[77:33:30 - 77:38:30]:  vão dizer sobre este News No.
[77:38:30 - 77:43:30]:  Parece que há mercado para mais um canal de informação,
[77:43:30 - 77:46:50]:  João Miguel Taváres, legalificamente.
[77:46:50 - 77:53:30]:  Eu diria que não, não percebo o suficiente documentário do negócio de televisão.
[77:53:30 - 77:58:30]:  Eu diria que não, agora, não temos tempo, talvez de volta a isso.
[77:58:30 - 78:00:10]:  Voltemos.
[78:00:10 - 78:06:50]:  Isto para mim é, isto começa a ser um problema sério.
[78:06:50 - 78:13:30]:  Não tem ver com um político, tem ver que isto já é uma manada.
[78:13:30 - 78:18:30]:  É impossível, isto não faz mais ninguém, né?
[78:18:30 - 78:21:50]:  A política, né, a comunicação social.
[78:21:50 - 78:25:10]:  É falar disso mais aviante.
[78:25:10 - 78:30:10]:  Já sabemos por que o pedra-mexia-se de centros na bolha.
[78:30:10 - 78:35:10]:  Agora, vamos tentar perceber rapidíssimamente porque o Ricardo Raújo Pereira
[78:35:10 - 78:43:30]:  se enuncia puro e é por causa da aprovação de uma lei em Gila Terra,
[78:43:30 - 78:50:10]:  que na prática vai impedir para toda a vida todos os cidadãos,
[78:50:10 - 78:56:50]:  nascidos depois de 2009, portanto atualmente com 14 anos,
[78:56:50 - 79:01:50]:  devirem algum dia comprar tabaco.
[79:01:50 - 79:10:10]:  Será que isto pode ser eficaz no combate ao terrorisismo?
[79:10:10 - 79:15:10]:  Acho que, sim, acho que esta aprovição tem provas dadas,
[79:15:10 - 79:23:30]:  quer no tabajismo, quer nas bebidas alcoólicas, os americanos também experimentaram isso durante algo.
[79:23:30 - 79:26:50]:  No alcalo era a lei seca, e ela é que...
[79:26:50 - 79:31:50]:  Não sei bem que lei é esta, mas é...
[79:31:50 - 79:36:50]:  Não sei que é que poderia ser, mas era uma expressão, né?
[79:36:50 - 79:45:10]:  É engraçado que no maltorem que, em que se propõem, digamos,
[79:45:10 - 79:50:10]:  a despinalização das drogas-leves, a legalização das drogas,
[79:50:10 - 79:53:30]:  a ilogilização do tabaco ao mesmo tempo,
[79:53:30 - 79:58:30]:  é para, mas o do tabaco faz mal, para as fases, isso não há dúvida,
[79:58:30 - 80:03:30]:  dos fritos e as gorduras também fazem mal, o alcalo também faz mal,
[80:03:30 - 80:08:30]:  viver faz mal, mas as pessoas...
[80:08:30 - 80:16:50]:  E acabam mal, mas vivem sem um papá, sem um papá, que de diga,
[80:16:50 - 80:21:50]:  olha, cuidado, não compro isso que faz mal, e portanto,
[80:21:50 - 80:26:50]:  fica curioso para saber em que me direto.
[80:26:50 - 80:31:50]:  É que isto vai dar, isso não chegará cá um dia deste.
