[00:00:00 - 00:06:44]:  Esta semana, Ricardo Oroespreira confessa-se ilegal.
[35:31:34 - 35:33:14]:  Essas espetras daagem.
[35:33:14 - 35:34:54]:  Essas espetras daagem.
[35:34:54 - 35:36:34]:  Essas espetras daagem.
[35:36:34 - 35:38:14]:  Essas espetras daagem.
[35:38:14 - 35:39:54]:  Essas espetras daagem.
[35:39:54 - 35:41:34]:  Essas espetras daagem.
[35:41:34 - 35:43:14]:  Essas espetras daagem.
[35:43:14 - 35:44:54]:  Essas espetras daagem.
[35:44:54 - 35:46:34]:  Essas espetras daagem.
[35:46:34 - 35:48:14]:  Essas espetras daagem.
[35:48:14 - 35:49:54]:  Essas espetras daagem.
[35:49:54 - 35:51:34]:  Essas espetras daagem.
[35:51:34 - 35:53:14]:  Essas espetras daagem.
[35:53:14 - 35:54:54]:  Essas espetras daagem.
[35:54:54 - 35:56:34]:  Essas espetras daagem.
[35:56:34 - 35:58:14]:  Essas espetras daagem.
[35:58:14 - 35:59:54]:  Essas espetras daagem.
[35:59:54 - 36:01:34]:  Essas espetras daagem.
[36:01:34 - 36:03:14]:  Essas espetras daagem.
[36:03:14 - 36:04:54]:  Essas espetras daagem.
[36:04:54 - 36:06:34]:  Essas espetras daagem.
[36:06:34 - 36:08:14]:  Essas espetras daagem.
[36:08:14 - 36:09:54]:  Essas espetras daagem.
[36:09:54 - 36:11:34]:  Essas espetras daagem.
[36:11:34 - 36:13:14]:  Essas espetras daagem.
[36:13:14 - 36:14:54]:  Essas espetras daagem.
[36:14:54 - 36:16:34]:  Essas espetras daagem.
[36:16:34 - 36:18:14]:  Essas espetras daagem.
[36:18:14 - 36:19:54]:  Essas espetras daagem.
[36:19:54 - 36:21:34]:  Essas espetras daagem.
[36:21:34 - 36:23:14]:  Essas espetras daagem.
[36:23:14 - 36:24:54]:  Essas espetras daagem.
[36:24:54 - 36:26:34]:  Essas espetras daagem.
[36:26:34 - 36:28:14]:  Essas espetras daagem.
[36:28:14 - 36:29:54]:  Essas espetras daagem.
[36:29:54 - 36:31:34]:  Essas espetras daagem.
[36:31:34 - 36:33:14]:  Essas espetras daagem.
[36:33:14 - 36:34:54]:  Essas espetras daagem.
[36:34:54 - 36:36:34]:  Essas espetras daagem.
[36:36:34 - 36:38:14]:  Essas espetras daagem.
[36:38:14 - 36:39:54]:  Essas espetras daagem.
[36:39:54 - 36:41:34]:  Essas espetras daagem.
[36:41:34 - 36:43:14]:  Essas espetras daagem.
[36:43:14 - 36:44:54]:  Essas espetras daagem.
[36:44:54 - 36:46:34]:  Essas espetras daagem.
[36:46:34 - 36:48:14]:  Essas espetras daagem.
[36:48:14 - 36:49:54]:  Essas espetras daagem.
[36:49:54 - 36:51:34]:  Essas espetras daagem.
[36:51:34 - 36:53:14]:  Essas espetras daagem.
[36:53:14 - 36:54:54]:  Essas espetras daagem.
[36:54:54 - 36:56:34]:  Essas espetras daagem.
[36:56:34 - 36:58:14]:  Essas espetras daagem.
[36:58:14 - 36:59:54]:  Essas espetras daagem.
[36:59:54 - 37:01:34]:  Essas espetras daagem.
[37:01:34 - 37:03:14]:  Essas espetras daagem.
[37:03:14 - 37:04:54]:  Essas espetras daagem.
[37:04:54 - 37:06:34]:  Essas espetras daagem.
[37:06:34 - 37:08:14]:  Essas espetras daagem.
[37:08:14 - 37:09:54]:  Essas espetras daagem.
[37:09:54 - 37:11:34]:  Essas espetras daagem.
[37:11:34 - 37:13:14]:  Essas espetras daagem.
[37:13:14 - 37:14:54]:  Essas espetras daagem.
[37:14:54 - 37:16:34]:  Essas espetras daagem.
[37:16:34 - 37:18:14]:  Essas espetras daagem.
[37:18:14 - 37:19:54]:  Essas espetras daagem.
[37:19:54 - 37:21:34]:  Essas espetras daagem.
[37:21:34 - 37:23:14]:  Essas espetras daagem.
[37:23:14 - 37:24:54]:  Essas espetras daagem.
[37:24:54 - 37:26:34]:  Essas espetras daagem.
[37:26:34 - 37:28:14]:  Essas espetras daagem.
[37:28:14 - 37:29:54]:  Essas espetras daagem.
[37:29:54 - 37:31:34]:  Essas espetras daagem.
[37:31:34 - 37:33:14]:  Essas espetras daagem.
[37:33:14 - 37:34:54]:  Essas espetras daagem.
[37:34:54 - 37:36:34]:  Essas espetras daagem.
[37:36:34 - 37:38:14]:  Essas espetras daagem.
[37:38:14 - 37:39:54]:  Essas espetras daagem.
[37:39:54 - 37:41:34]:  Essas espetras daagem.
[37:41:34 - 37:43:14]:  Essas espetras daagem.
[37:43:14 - 37:44:54]:  Essas espetras daagem.
[37:44:54 - 37:46:34]:  Essas espetras daagem.
[37:46:34 - 37:48:14]:  Essas espetras daagem.
[37:48:14 - 37:49:54]:  Essas espetras daagem.
[37:49:54 - 37:51:34]:  Essas espetras daagem.
[37:51:34 - 37:53:14]:  Essas espetras daagem.
[37:53:14 - 37:54:54]:  Essas espetras daagem.
[37:54:54 - 37:56:34]:  Essas espetras daagem.
[37:56:34 - 37:58:14]:  Essas espetras daagem.
[37:58:14 - 37:59:54]:  Essas espetras daagem.
[37:59:54 - 38:01:34]:  Essas espetras daagem.
[38:01:34 - 38:03:14]:  Essas espetras daagem.
[38:03:14 - 38:04:54]:  Essas espetras daagem.
[38:04:54 - 38:06:34]:  Essas espetras daagem.
[38:06:34 - 38:08:14]:  Essas espetras daagem.
[38:08:14 - 38:09:54]:  Essas espetras daagem.
[38:09:54 - 38:11:34]:  Essas espetras daagem.
[38:11:34 - 38:13:14]:  Essas espetras daagem.
[38:13:14 - 38:14:54]:  Essas espetras daagem.
[38:14:54 - 38:16:34]:  Essas espetras daagem.
[38:16:34 - 38:18:14]:  Essas espetras daagem.
[38:18:14 - 38:19:54]:  Essas espetras daagem.
[38:19:54 - 38:21:34]:  Essas espetras daagem.
[38:21:34 - 38:23:14]:  Essas espetras daagem.
[38:23:14 - 38:24:54]:  Essas espetras daagem.
[38:24:54 - 38:26:34]:  Essas espetras daagem.
[38:26:34 - 38:28:14]:  Essas espetras daagem.
[38:28:14 - 38:29:54]:  Essas espetras daagem.
[38:29:54 - 38:31:34]:  Essas espetras daagem.
[38:31:34 - 38:33:14]:  Essas espetras daagem.
[38:33:14 - 38:38:14]:  E depois... E é curioso porque...
[38:38:14 - 38:43:14]:  André Ventura mais uma vez acaba por distinguir,
[38:43:14 - 38:51:34]:  no sentido em que ele contribuno e, como jeito para a canulada e para a oratória,
[38:51:34 - 38:53:14]:  é melhor...
[38:53:14 - 38:54:54]:  é melhor...
[38:54:54 - 38:58:14]:  uma unha dela é melhor do que todas as outras bancadas, a direita.
[38:58:14 - 38:59:54]:  E nos desce bem?
[38:59:54 - 39:01:34]:  Mas...
[39:01:34 - 39:03:14]:  E nos desce bem.
[39:03:14 - 39:04:54]:  Mas até ele...
[39:04:54 - 39:13:14]:  Como sente na obrigação de dizer sempre coisas extremamente estúpidas no mundo bate.
[39:13:14 - 39:16:34]:  É cábamo a intervenção que é bem...
[39:16:34 - 39:18:14]:  Com a história...
[39:18:14 - 39:19:54]:  Com a história da alta era.
[39:19:54 - 39:21:34]:  Com a casa da alta era.
[39:21:34 - 39:23:14]:  A casa da alta era...
[39:23:14 - 39:29:54]:  António Costa quer que tenha formado Portugal na casa da alta era.
[39:29:54 - 39:31:34]:  Nedeu o golpe.
[39:31:34 - 39:33:14]:  Qualquer pessoa diz.
[39:33:14 - 39:36:34]:  E eu não percebi essa parte que eu...
[39:36:34 - 39:38:14]:  Que eu se be eu estava falando dela...
[39:38:14 - 39:39:54]:  Eu estava falando dela...
[39:39:54 - 39:41:34]:  Eu estava falando sobre...
[39:41:34 - 39:43:14]:  Em migração...
[39:43:14 - 39:44:54]:  Sobre a emigração.
[39:44:54 - 39:48:14]:  E depois diz que quer fazer...
[39:48:14 - 39:51:34]:  Que casas da alta era naquilo frequentará?
[39:51:34 - 39:53:14]:  Eu não sei...
[39:53:14 - 39:54:54]:  Eu não tenho ideia de...
[39:54:54 - 39:56:34]:  Naquilo...
[39:56:34 - 39:58:14]:  Naquilo...
[39:58:14 - 40:01:34]:  A dúvida, acho que seja mal, para começar...
[40:01:34 - 40:03:14]:  Sim...
[40:03:14 - 40:04:54]:  Não percebo...
[40:04:54 - 40:06:34]:  Não percebo...
[40:06:34 - 40:09:54]:  Onde é que ponto é este que ele quer...
[40:09:54 - 40:11:34]:  Mas o que eu seife para aqui é...
[40:11:34 - 40:13:14]:  Aquilo é...
[40:13:14 - 40:14:54]:  Aquilo é coisa que ele apontou...
[40:14:54 - 40:16:34]:  Ah, pera, não final...
[40:16:34 - 40:18:14]:  Eu tenho que dizer uma coisa assim...
[40:18:14 - 40:19:54]:  É uma larvesculpe.
[40:19:54 - 40:21:34]:  Tem que dizer uma...
[40:21:34 - 40:23:14]:  Sim...
[40:23:14 - 40:24:54]:  É que não precisa...
[40:24:54 - 40:26:34]:  O ventura...
[40:26:34 - 40:28:14]:  As fostas...
[40:28:14 - 40:29:54]:  Esperto...
[40:29:54 - 40:31:34]:  Tanto precisa que...
[40:31:34 - 40:33:14]:  Tanto precisa que temos aqui a falar dela...
[40:33:14 - 40:34:54]:  É que não precisa ler burro.
[40:34:54 - 40:36:34]:  Ela é burro...
[40:36:34 - 40:38:14]:  Não, é burro...
[40:38:14 - 40:39:54]:  Não é burro...
[40:39:54 - 40:41:34]:  É burro...
[40:41:34 - 40:43:14]:  É um estado que eu fosse burro.
[40:43:14 - 40:44:54]:  Não é burro...
[40:44:54 - 40:46:34]:  Porque é burro...
[40:46:34 - 40:49:54]:  Não chega a um ponto...
[40:49:54 - 40:51:34]:  Chega um ponto que ela é burro...
[40:51:34 - 40:56:34]:  Porque aquilo não pode estar sem pincestigo na mesma fórmula...
[40:56:34 - 40:59:54]:  É uma coisa ele está...
[40:59:54 - 41:03:14]:  Se eu eleiturado com o seu...
[41:03:14 - 41:06:34]:  É burro, tudo...
[41:06:34 - 41:08:14]:  É...
[41:08:14 - 41:11:34]:  Não é isso, mas não pode estar a fazer de cavernico...
[41:11:34 - 41:16:34]:  Tu faz cavernico do gatão terminar...
[41:16:34 - 41:19:54]:  Tem esta da tenta política mundial...
[41:19:54 - 41:23:14]:  Mas não venhas dizer...
[41:23:14 - 41:28:14]:  Não, mas os líderes políticos não podem fazer de cavernículas...
[41:28:14 - 41:31:34]:  Não, se o seu eliturado não vai estar...
[41:31:34 - 41:33:14]:  Até o tergato...
[41:33:14 - 41:36:34]:  Aí tu lejo ornais, como tu não é...
[41:36:34 - 41:43:14]:  Mas é que até o trampo tem a pesada de um substrato...
[41:43:14 - 41:46:34]:  A impulsão da arra...
[41:46:34 - 41:49:54]:  Mas qualquer um desses...
[41:49:54 - 41:53:14]:  São que o verbículas da compão...
[41:53:14 - 41:56:34]:  Escoca algum desses...
[41:56:34 - 41:59:54]:  Tem um substrato política que está ao centro do chega...
[41:59:54 - 42:03:14]:  O chega é uma coisa que não é nada...
[42:03:14 - 42:06:34]:  Que não acredita em nada...
[42:06:34 - 42:09:54]:  Não tem substrato política...
[42:09:54 - 42:13:14]:  Não tem um substrato política...
[42:13:14 - 42:16:34]:  É um substrato política...
[42:16:34 - 42:19:54]:  E em espanha, e tal...
[42:19:54 - 42:23:14]:  O chega não tem nada...
[42:23:14 - 42:26:34]:  Está doingando 2 ou 3 anos a dizer a oportunidades para reparar em ele...
[42:26:34 - 42:29:54]:  Mas quer dizer...
[42:29:54 - 42:31:34]:  Vai continuar aqui...
[42:31:34 - 42:34:54]:  Não, é que não passa...
[42:34:54 - 42:36:34]:  Não vai passar a limpa...
[42:36:34 - 42:39:54]:  Vai estar sempre baraca que a cabeça nos desprecenta...
[42:39:54 - 42:43:14]:  E tudo isto para dizer que...
[42:43:14 - 42:46:34]:  Eu consegui fazer a diferença...
[42:46:34 - 42:51:34]:  Se disse as coisas apenas sensatas e não acabasse com a casa da alterna...
[42:51:34 - 42:54:54]:  O que é isso?
[42:54:54 - 42:58:14]:  É mesmo que isso que o ilitário deu...
[42:58:14 - 43:01:34]:  Que é...
[43:01:34 - 43:04:54]:  Deu mais eficaz...
[43:04:54 - 43:08:14]:  Deu mais eficaz em no debate...
[43:08:14 - 43:13:14]:  Na atuação da opoção ou no do governo?
[43:13:14 - 43:18:14]:  Em primeiro lugar quer defender uma redorbanca das casas da alterna...
[43:18:14 - 43:21:34]:  O Portugal podia ter sido...
[43:21:34 - 43:24:54]:  É que apresentada no Parlamento?
[43:24:54 - 43:28:14]:  Não, mas devia...
[43:28:14 - 43:31:34]:  Devi-lo impendiada...
[43:31:34 - 43:34:54]:  Acho que foi...
[43:34:54 - 43:38:14]:  Acho que foi...
[43:38:14 - 43:41:34]:  Acho que era transformar o país em uma calota...
[43:41:34 - 43:44:54]:  Podia se transformar o país em coisas muito piores do que casas da alterna...
[43:44:54 - 43:48:14]:  Tem profissionais dignas e bríosas...
[43:48:14 - 43:51:34]:  Exatamente...
[43:51:34 - 43:54:54]:  O contra ponto da aventura era...
[43:54:54 - 43:58:14]:  Que a direita queria fazer...
[43:58:14 - 44:01:34]:  Uma casa de família da Europa...
[44:01:34 - 44:04:54]:  Muito chato...
[44:04:54 - 44:08:14]:  Mas... Quem foi mais eficaz?
[44:08:14 - 44:11:34]:  A oposição assina-lo...
[44:11:34 - 44:14:54]:  A preto da oposição assina-lo...
[44:14:54 - 44:18:14]:  A mojo coisa, Miguel...
[44:18:14 - 44:21:34]:  A oposição assina-lo...
[44:21:34 - 44:24:54]:  Que as demissões no governo continuam...
[44:24:54 - 44:28:14]:  Mesmo após a aprovação daquela questionária...
[44:28:14 - 44:31:34]:  Com 36 perguntas que...
[44:31:34 - 44:34:54]:  Descarva...
[44:34:54 - 44:38:14]:  Não sei se foi do momento...
[44:38:14 - 44:41:34]:  E não começou a fazer e feita...
[44:41:34 - 44:44:54]:  É como aquelas medicamentos que vocês querem para se ter entre duas horas?
[44:44:54 - 44:51:34]:  Mas Antalha, eu quase já fiz questão de dizer que nenhum dos membros do governo...
[44:51:34 - 44:54:54]:  Seu por a função esgovernativa...
[44:54:54 - 44:58:14]:  Exatamente...
[44:58:14 - 45:01:34]:  Mas, como vocês, e que os ministros são agora mais populares...
[45:01:34 - 45:04:54]:  Estão mais populares do governo...
[45:04:54 - 45:08:14]:  A oposição também falou...
[45:08:14 - 45:11:34]:  No custo-vida...
[45:11:34 - 45:14:54]:  O custo-vida...
[45:14:54 - 45:18:14]:  Está aumentou...
[45:18:14 - 45:21:34]:  E não a meditir...
[45:21:34 - 45:24:54]:  E a subida dos juros também falou nisso...
[45:24:54 - 45:28:14]:  Os salários baixos foram referidos...
[45:28:14 - 45:31:34]:  A habitação está inacível...
[45:31:34 - 45:38:14]:  A salute precária e a educação caótica foram repetidos...
[45:38:14 - 45:48:14]:  O governo falou em indicadores macroectômicos muito agradáveis...
[45:48:14 - 45:51:34]:  E...
[45:51:34 - 45:54:54]:  E...
[45:54:54 - 45:58:14]:  Essa frase é o governo que eu vou dizer...
[45:58:14 - 46:01:34]:  E 7...
[46:01:34 - 46:08:14]:  E 7 dos 10 unicornias existentes no sul da Europa...
[46:08:14 - 46:11:34]:  Tenha a adénio português...
[46:11:34 - 46:14:54]:  O que eu imagine também seja muito agradável...
[46:14:54 - 46:18:14]:  E portanto a gente...
[46:18:14 - 46:24:54]:  "Papa, não vamos conseguir pagar estas rendas...
[46:24:54 - 46:31:34]:  O que eu acho que o que a invasão continua no cabaias produtos essenciais...
[46:31:34 - 46:34:54]:  Está bem filho, né?
[46:34:54 - 46:38:14]:  Cala-te com o municóner...
[46:38:14 - 46:41:34]:  É a minha do unicornia...
[46:41:34 - 46:44:54]:  O sul da Europa...
[46:44:54 - 46:48:14]:  É a minha português...
[46:48:14 - 46:51:34]:  É muito agradável...
[46:51:34 - 46:54:54]:  E é isso...
[46:54:54 - 47:01:34]:  António Costa admitiu que o governo às vezes erra...
[47:01:34 - 47:08:14]:  Perciou quais os aspectos em que o proeminestro se mostra a disponível...
[47:08:14 - 47:18:14]:  O intermeculpa e o António Costa disse sobre o inquérito da taba...
[47:18:14 - 47:21:34]:  Porque era tirar consequências políticas...
[47:21:34 - 47:24:54]:  Eu já estou como já estecendo...
[47:24:54 - 47:28:14]:  Não queria morrer sem ver a cor da liberdade...
[47:28:14 - 47:34:54]:  Eu gostava de um dia antes de falecer...
[47:34:54 - 47:38:14]:  Ou eu ou ele...
[47:38:14 - 47:41:34]:  António Costa...
[47:41:34 - 47:44:54]:  De ver a tirar consequência da alguma coisa...
[47:44:54 - 47:48:14]:  Atenção... António Costa tem...
[47:48:14 - 47:51:34]:  E todos nós já difcemos aqui em vários momentos...
[47:51:34 - 47:54:54]:  Vários méritos e o governo tem...
[47:54:54 - 47:58:14]:  Também há alguns méritos...
[47:58:14 - 48:01:34]:  Deadamente com as meguer...
[48:01:34 - 48:04:54]:  Estou um procecronômico...
[48:04:54 - 48:08:14]:  Muito agradável...
[48:08:14 - 48:11:34]:  E outros...
[48:11:34 - 48:14:54]:  Mas...
[48:14:54 - 48:18:14]:  António Costa nunca tira consequências...
[48:18:14 - 48:21:34]:  Nunca tira ou...
[48:21:34 - 48:24:54]:  Não há um único momento...
[48:24:54 - 48:28:14]:  António Costa tira consequências políticas...
[48:28:14 - 48:31:34]:  Quando outros as tiraram por ele...
[48:31:34 - 48:34:54]:  Ou quando já não era possível...
[48:34:54 - 48:41:34]:  E às que já não ia mulher devia estar do lado de ele...
[48:41:34 - 48:44:54]:  E portanto...
[48:44:54 - 48:48:14]:  Esta...
[48:48:14 - 48:51:34]:  Esta...
[48:51:34 - 48:54:54]:  Não, vamos ser uma maioria...
[48:54:54 - 48:58:14]:  Embora seja uma maioria...
[48:58:14 - 49:01:34]:  Vamos ser uma maioria de ilugentes...
[49:01:34 - 49:04:54]:  Vou tirar consequências políticas...
[49:04:54 - 49:08:14]:  Que são as políticas que tira...
[49:08:14 - 49:11:34]:  António Costa tira...
[49:11:34 - 49:14:54]:  Eu venho sei que...
[49:14:54 - 49:18:14]:  A totalidade dos commentadores...
[49:18:14 - 49:21:34]:  Ou a da opinião pública...
[49:21:34 - 49:24:54]:  Quero que eu tira consequências de revelamento...
[49:24:54 - 49:28:14]:  A remodulação...
[49:28:14 - 49:31:34]:  É uma sensação mais em 68%.
[49:31:34 - 49:34:54]:  Nada...
[49:34:54 - 49:38:14]:  78%.
[49:38:14 - 49:41:34]:  E carboxésar...
[49:41:34 - 49:44:54]:  É uma sensação mais...
[49:44:54 - 49:48:14]:  É uma sensação mais...
[49:48:14 - 49:51:34]:  É uma sensação mais...
[49:51:34 - 49:54:54]:  É uma sensação mais...
[49:54:54 - 49:58:14]:  É uma sensação mais...
[49:58:14 - 50:01:34]:  É uma sensação mais em 68%.
[50:01:34 - 50:04:54]:  Nada...
[50:04:54 - 50:08:14]:  78%.
[50:08:14 - 50:11:34]:  E carboxésar...
[50:11:34 - 50:14:54]:  Estou fazendo isso no mudão.
[50:14:54 - 50:18:14]:  Depois de este diagnóstico...
[50:18:14 - 50:21:34]:  Estamos no ministério do diagnóstico...
[50:21:34 - 50:24:54]:  Quem tem mais razões para ir tranquilo...
[50:24:54 - 50:28:14]:  Para para ir ao governo ao oposição.
[50:28:14 - 50:31:34]:  É uma sensação mais...
[50:31:34 - 50:34:54]:  É uma sensação mais...
[50:34:54 - 50:38:14]:  O que eu acho que quer dizer...
[50:38:14 - 50:41:34]:  É o que eu pedro disso...
[50:41:34 - 50:44:54]:  O governo vai afontar...
[50:44:54 - 50:48:14]:  Vai muito tranquilo...
[50:48:14 - 50:51:34]:  Eu acho que depois do ano que não podia ter sido...
[50:51:34 - 50:54:54]:  Que foi bastante chato...
[50:54:54 - 50:58:14]:  A oposição não aproveita...
[50:58:14 - 51:01:34]:  Algumas frases no debate...
[51:01:34 - 51:04:54]:  Que foram proeminentes...
[51:04:54 - 51:08:14]:  Para mim...
[51:08:14 - 51:11:34]:  Sim, sim, exatamente...
[51:11:34 - 51:14:54]:  Todas as frases em que o venturo disse a palavra "treuze"...
[51:14:54 - 51:18:14]:  É cheio importante...
[51:18:14 - 51:21:34]:  Sempre...
[51:21:34 - 51:24:54]:  Eu disse muitas vezes "treuze".
[51:24:54 - 51:28:14]:  Estou na mão de "treuze".
[51:28:14 - 51:31:34]:  Estou na mão de "treuze".
[51:31:34 - 51:34:54]:  E eu digo que também "treuze".
[51:34:54 - 51:38:14]:  Mas a palavra não tem lá nenhum...
[51:38:14 - 51:41:34]:  Está bem...
[51:41:34 - 51:44:54]:  Fogo não imbi o rinco de Alan Tjane.
[51:44:54 - 51:48:14]:  Tu é Alan Tjane e vice-treuze.
[51:48:14 - 51:51:34]:  Se Alan Tjane não diz...
[51:51:34 - 51:54:54]:  Tu é escareca e Alan Tjane não são carecas.
[51:54:54 - 51:58:14]:  Vale a me deus, pália, pália.
[51:58:14 - 52:01:34]:  E também...
[52:01:34 - 52:04:54]:  Então, então, então, então, então, então, então...
[52:04:54 - 52:08:14]:  Não, os criminos os gastos dizem "treuze".
[52:08:14 - 52:11:34]:  Eu digo que "treuze" também...
[52:11:34 - 52:14:54]:  Não, eu não os criminos os que dizem "treuze".
[52:14:54 - 52:18:14]:  Os que são doutoradas.
[52:18:14 - 52:21:34]:  Você acha que isso já dá?
[52:21:34 - 52:24:54]:  E já posso dar...
[52:24:54 - 52:28:14]:  Eu não tenho que te engapô, não.
[52:28:14 - 52:31:34]:  Eu doutorado não sou.
[52:31:34 - 52:34:54]:  Que é meio exnerente no Twitter, por isso a gente chama-lo.
[52:34:54 - 52:38:14]:  É o "roio rocha".
[52:38:14 - 52:41:34]:  Oito do Pradente Rocha.
[52:41:34 - 52:48:14]:  E a gente faz um debate que é, por exemplo,
[52:48:14 - 52:54:54]:  ter uma frase que trosse de casa.
[52:54:54 - 52:58:14]:  Ah, trosse de casa.
[52:58:14 - 53:01:34]:  É isso.
[53:01:34 - 53:04:54]:  É isso.
[53:04:54 - 53:08:14]:  Não é...
[53:08:14 - 53:11:34]:  É me tentar me ter.
[53:11:34 - 53:14:54]:  Olha, como agora...
[53:14:54 - 53:18:14]:  Não é dizer assim.
[53:18:14 - 53:23:14]:  Mas isto não são casos e casinhos.
[53:23:14 - 53:28:14]:  Quando muito são casos e crevinhos.
[53:28:14 - 53:31:34]:  Ó, isto é o "toma".
[53:31:34 - 53:34:54]:  Pumba.
[53:34:54 - 53:38:14]:  É tão...
[53:38:14 - 53:41:34]:  Vai dar um "work shop".
[53:41:34 - 53:44:54]:  Vai dar um "work shop".
[53:44:54 - 53:48:14]:  É por isso por essas e por outras.
[53:48:14 - 53:53:14]:  É que a sandagem, a sandagem que temos está documentar,
[53:53:14 - 53:59:54]:  dá um encontro de estar de aumento com a muda da oposição.
[53:59:54 - 54:03:14]:  Um ventura.
[54:03:14 - 54:06:34]:  É caso para dizer,
[54:06:34 - 54:09:54]:  "toma" e "cravinhos".
[54:09:54 - 54:13:14]:  Olha, mas o "toma" é o "toma".
[54:13:14 - 54:16:34]:  O "toma" é o "toma".
[54:16:34 - 54:19:54]:  O "toma" é o "toma".
[54:19:54 - 54:23:14]:  Não, tu achas que a frase é "boi",
[54:23:14 - 54:26:34]:  foi desaproveitada pela maneira como ela foi dita.
[54:26:34 - 54:29:54]:  Não, são duas coisas.
[54:29:54 - 54:33:14]:  Não é especialmente "boi".
[54:33:14 - 54:36:34]:  Por isso, ele teve em casa a pensar,
[54:36:34 - 54:39:54]:  isto foi o melhor que ele fez.
[54:39:54 - 54:43:14]:  E depois ainda chega ali a "cravinhos".
[54:43:14 - 54:46:34]:  É o que não é assim tão mal.
[54:46:34 - 54:49:54]:  Tudo para dizer, não entrava...
[54:49:54 - 54:53:14]:  Não, não, não.
[54:53:14 - 54:56:34]:  É a faça, é bem.
[54:56:34 - 54:59:54]:  Estão frados.
[54:59:54 - 55:03:14]:  Estão casos e casinhos.
[55:03:14 - 55:06:34]:  Estou querendo dizer, isto é só para ter um nome do carroinho aqui.
[55:06:34 - 55:09:54]:  É por si de com o "cazinho".
[55:09:54 - 55:13:14]:  Por causa de várias casmas de fãs.
[55:13:14 - 55:16:34]:  Há várias casmas de fãs, não te fez.
[55:16:34 - 55:19:54]:  Não dá que a gente vê, mas a história é...
[55:19:54 - 55:23:14]:  Por causa de dizer, "pais, não são casinhos aqui,
[55:23:14 - 55:26:34]:  há porque problemas mesmo graves".
[55:26:34 - 55:29:54]:  E se tivesse, não fazia um "toma".
[55:29:54 - 55:33:14]:  Não.
[55:33:14 - 55:36:34]:  Não, não.
[55:36:34 - 55:39:54]:  Não, não.
[55:39:54 - 55:41:34]:  Não, não.
[55:41:34 - 55:44:54]:  Acho que é o caso dele, ou...
[55:44:54 - 55:48:14]:  Não, não, não, não.
[55:48:14 - 55:51:34]:  Vocês já criou para o caso.
[55:51:34 - 55:54:54]:  Não, não.
[55:54:54 - 55:58:14]:  A gente tem de livre e tem...
[55:58:14 - 56:01:34]:  Tem, mas eu não tenho jeito para isto.
[56:01:34 - 56:04:54]:  O João Miguel Tavares fica assim, ministro do Diagnóstico,
[56:04:54 - 56:08:14]:  isto também traga essas pastas, não estresse para...
[56:08:14 - 56:14:54]:  Althou agora percebemos por que o João Miguel Tavares ainda,
[56:14:54 - 56:21:34]:  ele se anunciia a porta e...
[56:21:34 - 56:24:54]:  E por que ninguém abre?
[56:24:54 - 56:28:14]:  Por causa que tem tampões nos ouvidos,
[56:28:14 - 56:31:34]:  o que eu vi, agora, Lee, não, Lee.
[56:31:34 - 56:34:54]:  Quero falar do...
[56:34:54 - 56:39:54]:  Ainda do caso das buscas, a casa de Rio,
[56:39:54 - 56:43:14]:  continuaram de desenvolver mesmo.
[56:43:14 - 56:44:54]:  É, o seguinte, é o mesmo do lugar.
[56:44:54 - 56:48:14]:  Essa semana, o que ele vai considerar significativo,
[56:48:14 - 56:53:14]:  o facto de se ter sabido que o Antique Líter do PS
[56:53:14 - 56:59:54]:  demorou três horas a abrir as portas
[56:59:54 - 57:04:54]:  aos inspeitores de ediciária.
[57:04:54 - 57:08:14]:  Eu vou tentar indignar-me com isto,
[57:08:14 - 57:13:14]:  com o esmento de esme, com o Ricardo,
[57:13:14 - 57:16:34]:  e não há pouco medo que dar-se a significativo.
[57:16:34 - 57:19:54]:  Sim, sim, sim.
[57:19:54 - 57:21:34]:  Por que?
[57:21:34 - 57:23:14]:  Nesse semana passada.
[57:23:14 - 57:26:34]:  Socida, nós tiveram a dormir,
[57:26:34 - 57:33:14]:  a esmorar é abrir a porta aos agentes do ediciária,
[57:33:14 - 57:34:54]:  não ele parece atendível?
[57:34:54 - 57:38:14]:  Mas alguém acredita que o reitado em militares
[57:38:14 - 57:39:54]:  das deas na manhã,
[57:39:54 - 57:43:14]:  isto é toda a imagem do Rio,
[57:43:14 - 57:44:54]:  todos nós costumem o Rio.
[57:44:54 - 57:48:14]:  Tem que ser uma pessoa que se vai estar atendendo.
[57:48:14 - 57:51:34]:  É, pera que a mente estreia a imagem do ministério público,
[57:51:34 - 57:54:54]:  porque as polícias vão fazer uns buscas,
[57:54:54 - 57:58:14]:  claro, a ninguém abre.
[57:58:14 - 58:01:34]:  E é, agora, que é o seu que eles iam com um daqueles barrotes.
[58:01:34 - 58:06:34]:  Mas se é um, mas se é um.
[58:06:34 - 58:08:14]:  Mas é um ponto.
[58:08:14 - 58:11:34]:  É, primeiro, ninguém acredita com o que ela imagina.
[58:11:34 - 58:14:54]:  O senhor é um man, um homem adornas com ela a man,
[58:14:54 - 58:18:14]:  e falar a um man sempre pode,
[58:18:14 - 58:21:34]:  uma pessoa que tem mais, sabe dizer,
[58:21:34 - 58:24:54]:  mais do que tem esse palavra, exerce-me a mão.
[58:24:54 - 58:26:34]:  Não, o venta é a gente.
[58:26:34 - 58:28:14]:  O venta é a gente.
